字	片	区	小片	方言点	声母	韵母	调值	调类	备注
一	闽北区	西北片		石陂	ʔ	i	214	阴入	
丁	闽北区	西北片		石陂	t	aiŋ	53	阴平	
七	闽北区	西北片		石陂	tsʰ	i	214	阴入	
丈	閩北區	西北片		石陂	t	iɔŋ	53	陰平	單位、丈夫讀音亦同。
三	闽北区	西北片		石陂	s	aŋ	53	阴平	
上	闽北区	西北片		石陂	s/ts	iɔŋ	45	阳去	上海，上下。
下	闽北区	西北片		石陂	ɦ	a	33	阴去	下里：下面。
丑	闽北区	西北片		石陂	tʰ	iu	21	上声	地支。
专	闽北区	西北片		石陂	ts	yiŋ	53	阴平	
且	闽北区	西北片		石陂	tsʰ	ia	21	上声	
世	闽北区	西北片		石陂	s	ie	33	阴去	
丗	闽北区	西北片		石陂	s	ie	33	阴去	
丘	閩北區	西北片		石陂	kʰ	iu	53	陰平	
丙	闽北区	西北片		石陂	p	eiŋ	21	上声	
业	闽北区	西北片		石陂	ŋ	ie	42	阳平	
丛	闽北区	西北片		石陂	ts	əŋ	33	阴去	
东	闽北区	西北片		石陂	t	əŋ	53	阴平	
丝	闽北区	西北片		石陂	s	i	53	阴平	
丞	闽北区	西北片		石陂	tsʰ	eiŋ	21	上声	
两	闽北区	西北片		石陂	l/s	iɔŋ/ɔŋ	21/53	上声/阴平	斤两，两千。
严	闽北区	西北片		石陂	ŋ	iŋ	33	阴去	
丧	闽北区	西北片		石陂	s	ɔŋ	45	阳去	丧事、丧气读音亦同。
中	闽北区	西北片		石陂	t	ɔŋ/ueiŋ	53	阴平	中国，中央心：中间。
临	闽北区	西北片		石陂	l	eiŋ	33	阴去	
丸	闽北区	西北片		石陂	ʔ	yiŋ	33	阴去	
丹	閩北區	西北片		石陂	t	uaiŋ	53	陰平	
主	闽北区	西北片		石陂	ts	y	21	上声	
丼	闽北区	西北片		石陂	ts	aŋ	21	上声	
乃	闽北区	西北片		石陂	n	ai	21	上声	
久	闽北区	西北片		石陂	k	iu	21	上声	
义	闽北区	西北片		石陂	ŋ	i	45	阳去	
之	闽北区	西北片		石陂	ts	i	53	阴平	
乌	闽北区	西北片		石陂	ʔ	u	53	阴平	
乍	闽北区	西北片		石陂	ts	a	214	阴入	
乏	闽北区	西北片		石陂	x	uai	53	阴平	
乐	闽北区	西北片		石陂	ŋ	ɔ	214	阴入	奏乐。
乔	闽北区	西北片		石陂	g	iau	42	阳平	
乗	闽北区	西北片		石陂	tsʰ	eiŋ	21	上声	
乘	闽北区	西北片		石陂	tsʰ	eiŋ	21	上声	
乙	闽北区	西北片		石陂	ʔ	i	214	阴入	
