					#调值 [1]31 [3]213 [5]53
字	声	韵	调	注释	
多	t	uə	31		
拖	tʰ	uə	31		
大	t	a	53		
锣	l	uə	31		
左	ts	uə	213		
歌	k	ɤ	31		
个	k	ɤ	53		
可	kʰ	ɤ	213		
鹅	Ǿ	uə	31		
饿	Ǿ	uə	53		
河	x	ɤ	53		
茄	tɕʰ	iɛ	53		
破	pʰ	ɤ	53		
婆	pʰ	ɤ	53		
磨	m	ɤ	31		
磨	m	ɤ	53		
躲	t	uə	213		
螺	l	uə	53		
坐	ts	uə	53		
锁	s	uə	213		
果	k	uə	213		
过	k	uə	53		
课	kʰ	ɤ	53		
火	x	uə	213		
货	x	uə	53		
祸	x	uə	53		
靴	ɕ	yɛ	31		
把	p	a	213		
爬	pʰ	a	53		
马	m	a	213		
骂	m	a	53		
茶	tsʰ	a	53		
沙	s	a	31		
假	tɕ	ia	213		
嫁	tɕ	ia	53		
牙	Ǿ	ia	31		
虾	ɕ	ia	31		
下	ɕ	ia	53		
夏	ɕ	ia	53		
哑	Ǿ	ia	213		
姐	tɕ	iɛ	213		
借	tɕ	iɛ	53		
写	ɕ	iɛ	213		
斜	ɕ	iɛ	53		
谢	ɕ	iɛ	53		
车	tʂʰ	ɤ	31		
蛇	ʂ	ɤ	53		
射	ʂ	ɤ	53		
爷	Ǿ	iɛ	31	爷～	
爷	Ǿ	iɛ	53	财神～	
野	Ǿ	iɛ	213		
夜	Ǿ	iɛ	53		
瓜	k	ua	31		
瓦	Ǿ	ua	213		
花	x	ua	31		
化	x	ua	53		
华	x	ua	31		
谱	pʰ	u	213		
布	p	u	53		
铺	pʰ	u	31		
簿	p	u	53		
步	p	u	53		
赌	t	u	213		
土	tʰ	u	213		
图	tʰ	u	53		
杜	t	u	53		
奴	n	u	53		
路	l	u	53		
租	ts	u	31		
做	ts	əu	53	～饭	
做	ts	uə	53	～事	
错	tsʰ	uə	53		
箍	k	u	31		
古	k	u	213		
苦	kʰ	u	213		
裤	kʰ	u	53		
吴	Ǿ	u	53		
五	Ǿ	u	213		
虎	x	u	213		
壶	x	u	53		
户	x	u	53		
乌	Ǿ	u	53		
女	n	y	213		
吕	l	y	213		
徐	ɕ	y	213		
猪	tɕ	y	31		
除	tsʰ	u	53		
初	tsʰ	u	31		
锄	tsʰ	u	53		
所	s	uə	213		
书	ɕ	y	31	又	
书	s	u	31	又	
鼠	ɕ	y	213	属～儿，又	
鼠	s	u	213	又	
如	Ǿ	y	53		
举	tɕ	y	213		
锯	tɕ	y	53		
去	tɕʰ	y	53	我～	
去	tɕʰ	i	53	别～了	
渠	tɕʰ	y	31		
鱼	Ǿ	y	31		
许	ɕ	y	213		
余	Ǿ	y	53		
府	f	u	213		
付	f	u	31		
父	f	u	53		
武	Ǿ	u	213		
雾	Ǿ	u	53		
取	tɕʰ	y	213		
柱	tɕ	y	53		
住	ts	u	53		
数	s	u	213		
数	s	u	53		
主	ts	u	213		
输	ɕ	y	31	又	
输	s	u	31	又	
竖	s	u	53		
树	ɕ	y	53	又	
树	s	u	53	又	
句	tɕ	y	53		
区	tɕʰ	y	31		
遇	Ǿ	y	53		
雨	Ǿ	y	213		
芋	Ǿ	y	53		
裕	Ǿ	y	53		
胎	tʰ	ai	31		
台	tʰ	ai	53		
袋	t	ai	53		
来	l	ai	31		
菜	tsʰ	ai	53		
财	tsʰ	ai	53		
该	k	ai	31		
改	k	ai	213		
开	kʰ	ai	31		
海	x	ai	213		
爱	Ǿ	ai	53		
贝	p	ei	53		
带	t	ai	53		
盖	k	ai	53		
害	x	ai	53		
拜	p	ai	53		
排	pʰ	ai	53		
埋	m	ai	31		
戒	tɕ	iɛ	53		
摆	p	ai	213		
派	pʰ	ai	53		
牌	pʰ	ai	53		
买	m	ai	213		
卖	m	ai	53		
柴	tsʰ	ai	53		
晒	s	ai	53		
街	k	ai	31	白	
街	tɕ	iɛ	31	文	
解	tɕ	iɛ	213		
鞋	ɕ	iɛ	53		
蟹	ɕ	iɛ	53		
矮	Ǿ	iai	213	又	
矮	Ǿ	ai	213	又	
败	p	ai	53		
币	p	i	53		
制	ts	ɿ	213		
世	ʂ	ʅ	53		
艺	Ǿ	i	53		
米	m	i	213		
低	t	i	31		
梯	tʰ	i	31		
剃	tʰ	i	31		
弟	t	i	53		
递	t	i	53		
泥	m	i	31		
犁	l	ei	53		
西	ɕ	i	31		
洗	ɕ	i	213		
鸡	tɕ	i	31		
溪	ɕ	i	31		
契	tɕʰ	i	53		
系	ɕ	i	53		
杯	p	ei	31		
配	pʰ	ei	53		
赔	pʰ	ei	53		
背	p	ei	53		
煤	m	ei	53		
妹	m	ei	53		
对	t	ei	53		
雷	l	ei	31		
罪	ts	ei	53		
碎	s	ei	53		
灰	x	uei	31		
回	x	uei	53		
外	Ǿ	uai	53		
会	x	uei	53		
怪	k	uai	53		
块	kʰ	uai	53		
怀	x	uai	53		
坏	x	uai	53		
拐	k	uai	213		
挂	k	ua	53		
歪	Ǿ	uai	31		
画	x	ua	53		
快	kʰ	uai	53		
话	x	ua	53		
岁	s	ei	53		
卫	Ǿ	uei	213		
肺	f	ei	53		
桂	k	uei	53		
碑	p	ei	31		
皮	pʰ	i	53		
被	p	ei	53		
紫	ts	ɿ	213		
刺	tsʰ	ɿ	53		
知	ts	ɿ	31		
池	tsʰ	ɿ	53		
纸	ts	ɿ	213		
儿	Ǿ	ɚ	31		
寄	tɕ	i	53		
骑	tɕʰ	i	53		
蚁	Ǿ	i	213		
义	Ǿ	i	53		
戏	ɕ	i	53		
移	Ǿ	i	53		
比	p	i	213		
屁	pʰ	i	53		
鼻	p	i	53		
眉	m	ei	31		
地	t	i	53		
梨	l	ei	31		
资	ts	ɿ	31		
死	s	ɿ	213		
四	s	ɿ	53		
迟	tsʰ	ɿ	31		
师	s	ɿ	31		
指	ts	ɿ	213		
二	Ǿ	ɚ	53		
饥	tɕ	i	31		
器	tɕʰ	i	53		
姨	Ǿ	i	31	大～	
姨	Ǿ	i	53	小～子	
李	l	ei	213		
子	ts	ɿ	213		
字	ts	ɿ	53		
丝	s	ɿ	31		
祠	tsʰ	ɿ	53		
寺	tsʰ	ɿ	53		
治	ts	ɿ	53		
柿	s	ɿ	53		
事	s	ɿ	53		
使	s	ɿ	213		
试	ʂ	ʅ	53		
时	s	ɿ	53		
市	s	ɿ	53		
耳	Ǿ	ɚ	213		
记	tɕ	i	53		
棋	tɕʰ	i	53		
喜	ɕ	i	213		
意	Ǿ	i	53		
几	tɕ	i	213		
气	tɕʰ	i	53		
希	ɕ	i	213		
衣	Ǿ	i	31		
嘴	ts	ei	213		
随	s	ei	53		
吹	tsʰ	uei	31		
垂	tsʰ	uei	53		
规	k	uei	31		
亏	kʰ	uei	31		
跪	k	uei	53		
危	Ǿ	uei	213		
类	l	ei	53		
醉	ts	ei	53		
追	ts	uei	31		
锤	tsʰ	uei	53		
水	ʂ	uei	213		
龟	k	uei	31		
季	tɕ	i	53		
柜	k	uei	53		
位	Ǿ	uei	53		
飞	f	ei	31		
费	f	ei	53		
肥	f	ei	53		
尾	Ǿ	i	213	~巴	
尾	Ǿ	uei	213	年头年~	
味	Ǿ	uei	53		
鬼	k	uei	213		
贵	k	uei	53		
围	Ǿ	uei	31		
胃	Ǿ	uei	53		
宝	p	ɑu	213		
抱	p	ɑu	53		
毛	m	ɑu	31	鸡～，姓～	
毛	m	ɑu	213		
帽	m	ɑu	53		
刀	t	ɑu	31		
讨	tʰ	ɑu	213		
桃	tʰ	ɑu	53		
道	t	ɑu	53		
脑	n	ɑu	213		
老	l	ɑu	213		
早	ts	ɑu	213		
灶	ts	ɑu	53		
草	tsʰ	ɑu	213		
糙	ts	ɑu	53	～米	
造	ts	ɑu	53		
嫂	s	ɑu	213		
高	k	ɑu	31		
靠	kʰ	ɑu	53		
熬	Ǿ	ɑu	31		
好	x	ɑu	213		
号	x	ɑu	53		
包	p	ɑu	31		
饱	p	ɑu	213		
炮	pʰ	ɑu	53		
猫	m	ɑu	31		
闹	n	ɑu	53		
罩	ts	ɑu	53		
抓	ts	ua	31		
找	ts	ɑu	213		
抄	tsʰ	ɑu	31		
交	tɕ	iɑu	31		
敲	tɕʰ	iɑu	31		
孝	ɕ	iɑu	53		
校	ɕ	iɑu	53		
表	p	iɑu	213		
票	pʰ	iɑu	53		
庙	m	iɑu	53		
焦	tɕ	iɑu	31		
小	ɕ	iɑu	213		
笑	ɕ	iɑu	53		
朝	tsʰ	ɑu	53		
照	ts	ɑu	53		
烧	s	ɑu	31		
绕	Ǿ	iɑu	53		
桥	tɕʰ	iɑu	53		
轿	tɕ	iɑu	53		
腰	Ǿ	iɑu	31		
要	Ǿ	iɑu	53		
摇	Ǿ	iɑu	31		
鸟	n	iɑu	213		
钓	t	iɑu	53		
条	tʰ	iɑu	53		
料	l	iɑu	53		
箫	ɕ	iɑu	31		
叫	tɕ	iɑu	53		
母	m	u	213		
抖	t	əu	213		
偷	tʰ	əu	31		
头	tʰ	əu	53		
豆	t	əu	53		
楼	l	əu	53		
走	ts	əu	213		
凑	tsʰ	əu	53		
钩	k	əu	31		
狗	k	əu	213		
够	k	əu	53		
口	kʰ	əu	213		
藕	Ǿ	əu	213		
后	x	əu	53		
厚	x	əu	53		
富	f	u	53		
副	f	u	53		
浮	f	u	53		
妇	f	u	53		
流	l	iəu	53		
酒	tɕ	iəu	213		
修	ɕ	iəu	31		
袖	ɕ	iəu	53		
抽	tsʰ	əu	31		
绸	tsʰ	əu	53		
愁	tsʰ	əu	53		
瘦	s	əu	53		
州	ts	əu	31		
臭	tsʰ	əu	53		
手	s	əu	213		
寿	s	əu	53		
九	tɕ	iəu	213		
球	tɕʰ	iəu	53		
舅	tɕ	iəu	53		
旧	tɕ	iəu	53		
牛	n	iəu	31		
休	ɕ	iəu	31		
优	Ǿ	iəu	31		
有	Ǿ	iəu	213		
右	Ǿ	iəu	53		
油	Ǿ	iəu	31		
丢	t	iəu	31		
幼	Ǿ	iəu	53		
贪	tʰ	an	31		
潭	tʰ	an	53		
南	n	an	31		
蚕	tsʰ	an	53		
感	k	an	213		
含	x	an	53		
暗	Ǿ	an	53		
搭	t	a	213		
踏	tʰ	a	213		
拉	l	a	213	～车	
拉	l	a	53	～屎	
杂	ts	a	53		
鸽	k	ɤ	31		
盒	x	ɤ	53		
胆	t	an	213		
毯	tʰ	an	213		
淡	t	an	53		
蓝	l	an	31		
三	s	an	31		
甘	k	an	31		
敢	k	an	213		
喊	x	an	213		
塔	tʰ	a	213		
蜡	l	a	213		
赚	ts	uan	53		
杉	s	an	31		
减	tɕ	iɛn	213		
咸	ɕ	iɛn	53		
插	tsʰ	a	213		
闸	ts	a	53		
夹	tɕ	ia	213		
衫	s	an	31		
监	tɕ	iɛn	31		
岩	Ǿ	iɛn	53		
甲	tɕ	ia	213		
鸭	Ǿ	ia	213		
黏	n	iɛn	31		
尖	tɕ	iɛn	31		
签	tɕʰ	iɛn	31		
占	ts	an	53		
染	Ǿ	iɛn	213		
钳	tɕʰ	iɛn	53		
验	Ǿ	iɛn	53		
险	ɕ	iɛn	213		
厌	Ǿ	iɛn	53		
炎	Ǿ	iɛn	53		
盐	Ǿ	iɛn	31		
接	tɕ	iɛ	213		
折	tʂ	ɤ	213		
叶	Ǿ	iɛ	213		
剑	tɕ	iɛn	213		
欠	tɕʰ	iɛn	53		
严	Ǿ	iɛn	53		
业	Ǿ	iɛ	53		
点	t	iɛn	213		
店	t	iɛn	53		
添	tʰ	iɛn	31		
甜	tʰ	iɛn	53		
念	n	iɛn	53		
嫌	ɕ	iɛn	53		
跌	t	iɛ	213		
贴	tʰ	iɛ	213		
碟	t	iɛ	53		
协	ɕ	iɛ	53		
犯	f	an	53		
法	f	a	213		
品	pʰ	in	213		
林	l	in	53		
浸	tɕʰ	yn	213		
心	ɕ	in	31		
寻	ɕ	yn	53	～人启示	
寻	ɕ	in	53	~思	
沉	tʂʰ	ən	53		
参	s	ən	31		
针	ts	ən	31		
深	s	ən	31		
任	Ǿ	in	53		
金	tɕ	in	31		
琴	tɕʰ	in	53		
音	Ǿ	in	31		
立	l	ei	53		
集	tɕ	i	53		
习	ɕ	i	213		
汁	ts	ɿ	31		
十	ɕ	i	53	又	
十	ʂ	ʅ	53	又	
入	Ǿ	y	213		
急	tɕ	i	213		
及	tɕ	i	213		
吸	ɕ	i	53		
单	t	an	31		
炭	tʰ	an	53		
弹	tʰ	an	53		
难	n	an	31	～办	
难	n	an	53	～处	
兰	l	an	53		
懒	l	an	213		
烂	l	an	53		
伞	s	an	213		
肝	k	an	31		
看	kʰ	an	53		
岸	Ǿ	an	53		
汉	x	an	53		
汗	x	an	53		
安	Ǿ	an	31		
达	t	a	213		
辣	l	a	213		
擦	tsʰ	a	213		
割	k	a	213		
渴	kʰ	a	213		
扮	p	an	53		
办	p	an	53		
铲	tsʰ	an	213		
山	s	an	31		
产	tsʰ	an	213		
间	tɕ	iɛn	31		
眼	Ǿ	iɛn	213		
限	ɕ	iɛn	53		
八	p	a	213		
扎	ts	a	213		
杀	s	a	213		
班	p	an	31		
板	p	an	213		
慢	m	an	53		
奸	tɕ	iɛn	31		
颜	Ǿ	iɛn	31		
瞎	ɕ	ia	213		
变	p	iɛn	53		
骗	pʰ	iɛn	53		
便	p	iɛn	53		
棉	m	iɛn	31		
面	m	iɛn	53		
连	l	iɛn	53		
剪	tɕ	iɛn	213		
浅	tɕʰ	iɛn	213		
钱	tɕʰ	iɛn	53		
鲜	ɕ	iɛn	31	～亮	
鲜	ɕ	yɛn	213	朝～	
线	ɕ	iɛn	53		
缠	tsʰ	an	53		
战	ts	an	53		
扇	s	an	53		
善	s	an	53		
件	tɕ	iɛn	53		
延	Ǿ	iɛn	53		
别	p	iɛ	53		
灭	m	iɛ	53		
列	l	iɛ	53		
撤	tʂʰ	ɤ	53		
舌	ʂ	ɤ	53		
设	ʂ	ɤ	53		
热	Ǿ	iɛ	213	天～	
热	Ǿ	iɛ	53	～闹	
杰	tɕ	iɛ	53		
孽	n	iɛ	53		
建	tɕ	iɛn	53		
健	tɕ	iɛn	53		
言	Ǿ	iɛn	53		
歇	ɕ	iɛ	31		
扁	p	iɛn	213		
片	pʰ	iɛn	53		
面	m	iɛn	53		
典	t	iɛn	213		
天	tʰ	iɛn	31		
田	tʰ	iɛn	53		
垫	t	iɛn	53		
年	n	iɛn	31		
莲	l	iɛn	53		
前	tɕʰ	iɛn	53		
先	ɕ	iɛn	31		
肩	tɕ	iɛn	31		
见	tɕ	iɛn	53		
牵	tɕʰ	iɛn	31		
显	ɕ	iɛn	213		
现	ɕ	iɛn	53		
烟	Ǿ	iɛn	31		
憋	p	iɛ	213		
篾	m	iɛ	53		
铁	tʰ	iɛ	213		
捏	n	iɛ	31		
节	tɕ	iɛ	213		
切	tɕʰ	iɛ	213		
截	tɕ	iɛ	53		
结	tɕ	iɛ	213		
搬	p	an	31		
半	p	an	53		
判	pʰ	an	53		
盘	pʰ	an	53		
满	m	an	213		
端	t	ɑŋ	53		
短	t	an	213		
断	t	an	53		
暖	n	an	213		
乱	l	an	53		
酸	s	an	31		
算	s	an	53		
官	k	uan	31		
宽	kʰ	uan	31		
欢	x	uan	31		
完	Ǿ	uan	31		
换	x	uan	53		
碗	Ǿ	uan	213		
拨	p	ɤ	213		
泼	pʰ	ɤ	213		
