cid	character	initial	final	tone	note
211	移	∅	i	31	
212	比	p	i	44	
213	屁	ph	i	212	
214	鼻	ph	i	31	
215	眉	m	eɪ	31	
216	地	th	i	212	白
216	地	t	i	212	文
217	梨	l	i	31	
218	资	ts	ɿ	53	
219	死	s	ɿ	44	
220	四	s	ɿ	212	
221	迟	tsh	ɿ	31	
222	师	s	ɿ	53	
223	指	ts	ɿ	44	
224	二	∅	ər	44	
225	饥	tɕ	i	53	
226	器	tɕh	i	212	
227	姨	∅	i	31	
228	李	l	i	44	
229	子	ts	ɿ	44	
230	字	tsh	ɿ	212	白
230	字	ts	ɿ	212	文
231	丝	s	ɿ	53	
232	祠	tsh	ɿ	31	
233	寺	s	ɿ	212	
234	治	tʂ	ʅ	212	
235	柿	s	ɿ	212	
236	事	s	ɿ	212	
237	使	s	ɿ	44	
238	试	s	ɿ	212	
239	时	s	ɿ	31	
240	市	s	ɿ	212	
241	耳	∅	ər	44	
242	记	tɕ	i	212	
243	棋	tɕh	i	31	
244	喜	ɕ	i	44	
245	意	∅	i	212	
246	几	tɕ	i	44	
247	气	tɕh	i	212	
248	希	ɕ	i	53	
249	衣	∅	i	53	
250	嘴	ts	ueɪ	44	
251	随	s	ueɪ	31	
252	吹	tʂh	ueɪ	53	
253	垂	tʂh	ueɪ	31	
254	规	k	ueɪ	53	
255	亏	kh	ueɪ	53	
256	跪	kh	ueɪ	212	
257	危	v	eɪ	53	
258	类	l	eɪ	44	
259	醉	ts	ueɪ	212	
260	追	tʂ	ueɪ	53	
261	锤	tʂh	ueɪ	31	
262	水	s	eɪ	44	
263	龟	k	ueɪ	53	
264	季	tɕ	i	212	
265	柜	kh	ueɪ	212	
266	位	v	eɪ	212	
267	飞	f	eɪ	53	
268	费	f	eɪ	212	
269	肥	f	eɪ	31	
270	尾	∅	i	44	～巴
270	尾	v	eɪ	44	结～
271	味	v	eɪ	212	
272	鬼	k	ueɪ	44	
273	贵	k	ueɪ	212	
274	围	v	eɪ	31	
275	胃	v	eɪ	212	
276	宝	p	ɔ	44	
277	抱	ph	ɔ	53	
278	毛	m	ɔ	31	姓
278	毛	m	ɔ	44	一～钱
279	帽	m	ɔ	212	
280	刀	t	ɔ	53	
281	讨	th	ɔ	44	
282	桃	th	ɔ	31	
283	道	t	ɔ	212	
284	脑	n	ɔ	44	
285	老	l	ɔ	44	
286	早	ts	ɔ	44	
287	灶	ts	ɔ	212	
288	草	tsh	ɔ	44	
289	糙	tsh	ɔ	31	
290	造	ts	ɔ	212	
291	嫂	s	ɔ	44	
292	高	k	ɔ	53	
293	靠	kh	ɔ	212	
294	熬	ŋ	ɔ	31	
295	好	x	ɔ	44	
296	号	x	ɔ	212	
297	包	p	ɔ	53	
298	饱	p	ɔ	44	
299	炮	ph	ɔ	212	
300	猫	m	ɔ	31	
301	闹	n	ɔ	212	
302	罩	ts	ɔ	212	
303	抓	tʂ	ua	53	
304	找	ts	ɔ	44	
305	抄	tsh	ɔ	53	
306	交	tɕ	iɔ	53	
307	敲	tɕh	iɔ	53	
308	孝	ɕ	iɔ	212	
309	校	ɕ	iɔ	212	
310	表	p	iɔ	44	
311	票	ph	iɔ	212	
