D0序	D0用字	注例	声类	清浊	韵类	摄	开合	等	韵	调类	舒入	平仄	记音	备注
1153	字		从	全浊	止开三志	止	开	三	志	去	舒	仄		
1154	牸		从	全浊	止开三志	止	开	三	志	去	舒	仄		
1155	司		心	清	止开三之	止	开	三	之	平	舒	平		
1156	絲		心	清	止开三之	止	开	三	之	平	舒	平		
1157	思	(平声)	心	清	止开三之	止	开	三	之	平	舒	平		
1158	伺		心	清	止开三志	止	开	三	志	去	舒	仄		
1159	思	(去声)	心	清	止开三志	止	开	三	志	去	舒	仄		
1160	辭		邪	全浊	止开三之	止	开	三	之	平	舒	平		
1161	詞		邪	全浊	止开三之	止	开	三	之	平	舒	平		
1162	祠		邪	全浊	止开三之	止	开	三	之	平	舒	平		
1163	似		邪	全浊	止开三止	止	开	三	止	上	舒	仄		
1164	祀		邪	全浊	止开三止	止	开	三	止	上	舒	仄		
1165	巳		邪	全浊	止开三止	止	开	三	止	上	舒	仄		
1166	寺		邪	全浊	止开三志	止	开	三	志	去	舒	仄		
1167	嗣		邪	全浊	止开三志	止	开	三	志	去	舒	仄		
1168	飼		邪	全浊	止开三志	止	开	三	志	去	舒	仄		
1169	置		知	全清	止开三志	止	开	三	志	去	舒	仄		
1170	癡		彻	次清	止开三之	止	开	三	之	平	舒	平		
1171	恥		彻	次清	止开三止	止	开	三	止	上	舒	仄		
1172	持		澄	全浊	止开三之	止	开	三	之	平	舒	平		
1173	痔		澄	全浊	止开三止	止	开	三	止	上	舒	仄		
1174	峙		澄	全浊	止开三止	止	开	三	止	上	舒	仄		
1175	治		澄	全浊	止开三志	止	开	三	志	去	舒	仄		
1176	輜		庄	全清	止开三之	止	开	三	之	平	舒	平		
1177	淄		庄	全清	止开三之	止	开	三	之	平	舒	平		
1178	滓		庄	全清	止开三止	止	开	三	止	上	舒	仄		
1179	廁		初	次清	止开三志	止	开	三	志	去	舒	仄		
1180	士		崇	全浊	止开三止	止	开	三	止	上	舒	仄		
1181	仕		崇	全浊	止开三止	止	开	三	止	上	舒	仄		
1182	柿		崇	全浊	止开三止	止	开	三	止	上	舒	仄		
1183	俟		崇	全浊	止开三止	止	开	三	止	上	舒	仄		
1184	事		崇	全浊	止开三志	止	开	三	志	去	舒	仄		
1185	使		生	清	止开三止	止	开	三	止	上	舒	仄		
1186	史		生	清	止开三止	止	开	三	止	上	舒	仄		
1187	駛		生	清	止开三止	止	开	三	止	上	舒	仄		
1188	之		章	全清	止开三之	止	开	三	之	平	舒	平		
1189	芝		章	全清	止开三之	止	开	三	之	平	舒	平		
1190	止		章	全清	止开三止	止	开	三	止	上	舒	仄		
1191	趾		章	全清	止开三止	止	开	三	止	上	舒	仄		
1192	址		章	全清	止开三止	止	开	三	止	上	舒	仄		
1193	志	(～气)	章	全清	止开三志	止	开	三	志	去	舒	仄		
1194	誌	(誌。标～)	章	全清	止开三志	止	开	三	志	去	舒	仄		
1195	痣		章	全清	止开三志	止	开	三	志	去	舒	仄		
1196	嗤		初	次清	止开三之	止	开	三	之	平	舒	平		
1197	齒		昌	次清	止开三止	止	开	三	止	上	舒	仄		
1198	詩		书	清	止开三之	止	开	三	之	平	舒	平		
1199	始		书	清	止开三止	止	开	三	止	上	舒	仄		
1200	試		书	清	止开三志	止	开	三	志	去	舒	仄		
1201	時		禅	全浊	止开三之	止	开	三	之	平	舒	平		
1202	鰣		禅	全浊	止开三之	止	开	三	之	平	舒	平		
1203	市		禅	全浊	止开三止	止	开	三	止	上	舒	仄		
1204	恃		禅	全浊	止开三止	止	开	三	止	上	舒	仄		
1205	侍		禅	全浊	止开三志	止	开	三	志	去	舒	仄		
1206	而		日	次浊	止开三之	止	开	三	之	平	舒	平		
1207	耳		日	次浊	止开三止	止	开	三	止	上	舒	仄		
1208	餌		日	次浊	止开三志	止	开	三	志	去	舒	仄		
1209	基		见	全清	止开三之	止	开	三	之	平	舒	平		
1210	萁		见	全清	止开三之	止	开	三	之	平	舒	平		
1211	箕		见	全清	止开三之	止	开	三	之	平	舒	平		
1212	姬		见	全清	止开三之	止	开	三	之	平	舒	平		
1213	己		见	全清	止开三止	止	开	三	止	上	舒	仄		
1214	紀		见	全清	止开三止	止	开	三	止	上	舒	仄		
1215	記		见	全清	止开三志	止	开	三	志	去	舒	仄		
1216	欺		溪	次清	止开三之	止	开	三	之	平	舒	平		
1217	起		溪	次清	止开三止	止	开	三	止	上	舒	仄		
1218	杞		溪	次清	止开三止	止	开	三	止	上	舒	仄		
1219	其		群	全浊	止开三之	止	开	三	之	平	舒	平		
1220	棋		群	全浊	止开三之	止	开	三	之	平	舒	平		
1221	期		群	全浊	止开三之	止	开	三	之	平	舒	平		
1222	旗		群	全浊	止开三之	止	开	三	之	平	舒	平		
1223	忌		群	全浊	止开三志	止	开	三	志	去	舒	仄		
1224	疑		疑	次浊	止开三之	止	开	三	之	平	舒	平		
1225	擬		疑	次浊	止开三止	止	开	三	止	上	舒	仄		
1226	嬉		晓	清	止开三之	止	开	三	之	平	舒	平		
1227	熙		晓	清	止开三之	止	开	三	之	平	舒	平		
1228	嘻		晓	清	止开三之	止	开	三	之	平	舒	平		
1229	禧		晓	清	止开三之	止	开	三	之	平	舒	平		
1230	熹		晓	清	止开三之	止	开	三	之	平	舒	平		
1231	喜		晓	清	止开三止	止	开	三	止	上	舒	仄		
1232	蟢		晓	清	止开三止	止	开	三	止	上	舒	仄		
1233	醫		影	全清	止开三之	止	开	三	之	平	舒	平		
1234	意		影	全清	止开三志	止	开	三	志	去	舒	仄		
1235	矣		云	次浊	止开三止	止	开	三	止	上	舒	仄		
1236	飴		以	次浊	止开三之	止	开	三	之	平	舒	平		
1237	怡		以	次浊	止开三之	止	开	三	之	平	舒	平		
1238	貽		以	次浊	止开三之	止	开	三	之	平	舒	平		
1239	已		以	次浊	止开三止	止	开	三	止	上	舒	仄		
1240	以		以	次浊	止开三止	止	开	三	止	上	舒	仄		
1241	異		以	次浊	止开三志	止	开	三	志	去	舒	仄		
1242	幾	(幾。～乎)	见	全清	止开三微	止	开	三	微	平	舒	平		
1243	機		见	全清	止开三微	止	开	三	微	平	舒	平		
1244	譏		见	全清	止开三微	止	开	三	微	平	舒	平		
1245	饑	(饑。～荒)	见	全清	止开三微	止	开	三	微	平	舒	平		
1246	譏		见	全清	止开三微	止	开	三	微	平	舒	平		
1247	幾	(幾。～个)	见	全清	止开三尾	止	开	三	尾	上	舒	仄		
1248	既		见	全清	止开三未	止	开	三	未	去	舒	仄		
1249	豈		溪	次清	止开三尾	止	开	三	尾	上	舒	仄		
1250	氣		溪	次清	止开三未	止	开	三	未	去	舒	仄		
1251	汽		溪	次清	止开三未	止	开	三	未	去	舒	仄		
1252	祈		群	全浊	止开三微	止	开	三	微	平	舒	平		
1253	沂		疑	次浊	止开三微	止	开	三	微	平	舒	平		
1254	毅		疑	次浊	止开三未	止	开	三	未	去	舒	仄		
1255	希		晓	清	止开三微	止	开	三	微	平	舒	平		
1256	稀		晓	清	止开三微	止	开	三	微	平	舒	平		
1257	衣		影	全清	止开三微	止	开	三	微	平	舒	平		
1258	依		影	全清	止开三微	止	开	三	微	平	舒	平		
1259	累	(～积)	来	次浊	止合三纸	止	合	三	纸	上	舒	仄		
1260	累	(连～)	来	次浊	止合三寘	止	合	三	寘	去	舒	仄		
1261	嘴		精	全清	止合三纸	止	合	三	纸	上	舒	仄		
1262	髓		心	清	止合三纸	止	合	三	纸	上	舒	仄		
1263	隨		邪	全浊	止合三支	止	合	三	支	平	舒	平		
1264	隋		邪	全浊	止合三支	止	合	三	支	平	舒	平		
1265	揣		初	次清	止合三纸	止	合	三	纸	上	舒	仄		
1266	吹		昌	次清	止合三支	止	合	三	支	平	舒	平		
1267	炊		昌	次清	止合三支	止	合	三	支	平	舒	平		
1268	垂		禅	全浊	止合三支	止	合	三	支	平	舒	平		
1269	睡		禅	全浊	止合三寘	止	合	三	寘	去	舒	仄		
1270	瑞		禅	全浊	止合三寘	止	合	三	寘	去	舒	仄		
1271	蘂		禅	全浊	止合三纸	止	合	三	纸	上	舒	仄		
1272	規		见	全清	止合三支	止	合	三	支	平	舒	平		
1273	詭		见	全清	止合三纸	止	合	三	纸	上	舒	仄		
1274	虧		溪	次清	止合三支	止	合	三	支	平	舒	平		
1275	窺		溪	次清	止合三支	止	合	三	支	平	舒	平		
1276	跪		群	全浊	止合三纸	止	合	三	纸	上	舒	仄		
1277	危		疑	次浊	止合三支	止	合	三	支	平	舒	平		
1278	偽		疑	次浊	止合三寘	止	合	三	寘	去	舒	仄		
1279	麾		晓	清	止合三支	止	合	三	支	平	舒	平		
1280	毀		晓	清	止合三纸	止	合	三	纸	上	舒	仄		
1281	萎		影	全清	止合三支	止	合	三	支	平	舒	平		
1282	委		影	全清	止合三纸	止	合	三	纸	上	舒	仄		
1283	餧	(～食)	影	全清	止合三寘	止	合	三	寘	去	舒	仄		
1284	為	(作～)	云	次浊	止合三支	止	合	三	支	平	舒	平		
1285	為	(～什么)	云	次浊	止合三寘	止	合	三	寘	去	舒	仄		
1286	壘		来	次浊	止合三旨	止	合	三	旨	上	舒	仄		
1287	類		来	次浊	止合三至	止	合	三	至	去	舒	仄		
1288	淚		来	次浊	止合三至	止	合	三	至	去	舒	仄		茂林用涕
1289	醉		精	全清	止合三至	止	合	三	至	去	舒	仄		
1290	翠		清	次清	止合三至	止	合	三	至	去	舒	仄		
1291	悴		从	全浊	止合三至	止	合	三	至	去	舒	仄		
1292	雖		心	清	止合三脂	止	合	三	脂	平	舒	平		
1293	綏		心	清	止合三脂	止	合	三	脂	平	舒	平		
1294	粹		心	清	止合三至	止	合	三	至	去	舒	仄		
1295	遂		邪	全浊	止合三至	止	合	三	至	去	舒	仄		
1296	隧		邪	全浊	止合三至	止	合	三	至	去	舒	仄		
1297	穗		邪	全浊	止合三至	止	合	三	至	去	舒	仄		
1298	追		知	全清	止合三脂	止	合	三	脂	平	舒	平		
1299	槌		澄	全浊	止合三脂	止	合	三	脂	平	舒	平		
1300	錘		澄	全浊	止合三脂	止	合	三	脂	平	舒	平		
1301	椎		澄	全浊	止合三脂	止	合	三	脂	平	舒	平		
1302	墜		澄	全浊	止合三至	止	合	三	至	去	舒	仄		
1303	衰		生	清	止合三脂	止	合	三	脂	平	舒	平		
1304	摔		生	清	止合三脂	止	合	三	脂	平	舒	平		
1305	帥		生	清	止合三至	止	合	三	至	去	舒	仄		
1306	錐		章	全清	止合三脂	止	合	三	脂	平	舒	平		
1307	水		生	清	止合三旨	止	合	三	旨	上	舒	仄		
1308	誰		禅	全浊	止合三脂	止	合	三	脂	平	舒	平		
1309	龜		见	全清	止合三脂	止	合	三	脂	平	舒	平		
1310	軌		见	全清	止合三旨	止	合	三	旨	上	舒	仄		
1311	癸		见	全清	止合三旨	止	合	三	旨	上	舒	仄		
1312	愧		见	全清	止合三至	止	合	三	至	去	舒	仄		
1313	季		见	全清	止合三至	止	合	三	至	去	舒	仄		
1314	逵		群	全浊	止合三脂	止	合	三	脂	平	舒	平		
1315	葵		群	全浊	止合三脂	止	合	三	脂	平	舒	平		
1316	櫃		群	全浊	止合三至	止	合	三	至	去	舒	仄		
1317	饋		群	全浊	止合三至	止	合	三	至	去	舒	仄		
1318	位		云	次浊	止合三至	止	合	三	至	去	舒	仄		
1319	維		以	次浊	止合三脂	止	合	三	脂	平	舒	平		
1320	惟		以	次浊	止合三脂	止	合	三	脂	平	舒	平		
1321	濰		以	次浊	止合三脂	止	合	三	脂	平	舒	平		
1322	帷		以	次浊	止合三脂	止	合	三	脂	平	舒	平		
1323	遺		以	次浊	止合三脂	止	合	三	脂	平	舒	平		
1324	唯		以	次浊	止合三旨	止	合	三	旨	上	舒	仄		
1325	非		非	全清	止合三微	止	合	三	微	平	舒	平		
1326	飛		非	全清	止合三微	止	合	三	微	平	舒	平		
1327	匪		非	全清	止合三尾	止	合	三	尾	上	舒	仄		
1328	榧		非	全清	止合三尾	止	合	三	尾	上	舒	仄		
1329	疿		非	全清	止合三未	止	合	三	未	去	舒	仄		
1330	沸		非	全清	止合三未	止	合	三	未	去	舒	仄		
1331	妃		敷	次清	止合三微	止	合	三	微	平	舒	平		
1332	菲		敷	次清	止合三尾	止	合	三	尾	上	舒	仄		
1333	費		敷	次清	止合三未	止	合	三	未	去	舒	仄		
1334	肥		奉	全浊	止合三微	止	合	三	微	平	舒	平		
1335	翡		奉	全浊	止合三未	止	合	三	未	去	舒	仄		
1336	微		微	次浊	止合三微	止	合	三	微	平	舒	平		
1337	薇		微	次浊	止合三微	止	合	三	微	平	舒	平		
1338	尾		微	次浊	止合三尾	止	合	三	尾	上	舒	仄		
1339	未		微	次浊	止合三未	止	合	三	未	去	舒	仄		
1340	味		微	次浊	止合三未	止	合	三	未	去	舒	仄		
1341	歸		见	全清	止合三微	止	合	三	微	平	舒	平		
1342	鬼		见	全清	止合三尾	止	合	三	尾	上	舒	仄		
1343	貴		见	全清	止合三未	止	合	三	未	去	舒	仄		
1344	巍		疑	次浊	止合三微	止	合	三	微	平	舒	平		
1345	魏		疑	次浊	止合三未	止	合	三	未	去	舒	仄		
1346	揮		晓	清	止合三微	止	合	三	微	平	舒	平		
1347	輝		晓	清	止合三微	止	合	三	微	平	舒	平		
1348	徽		晓	清	止合三微	止	合	三	微	平	舒	平		
1349	卉		晓	清	止合三尾	止	合	三	尾	上	舒	仄		
1350	諱		晓	清	止合三未	止	合	三	未	去	舒	仄		
1351	卉		晓	清	止合三未	止	合	三	未	去	舒	仄		
1352	威		影	全清	止合三微	止	合	三	微	平	舒	平		
1353	畏		影	全清	止合三未	止	合	三	未	去	舒	仄		
1354	慰		影	全清	止合三未	止	合	三	未	去	舒	仄		
1355	尉		影	全清	止合三未	止	合	三	未	去	舒	仄		
1356	違		云	次浊	止合三微	止	合	三	微	平	舒	平		
1357	圍		云	次浊	止合三微	止	合	三	微	平	舒	平		
1358	偉		云	次浊	止合三尾	止	合	三	尾	上	舒	仄		
1359	葦		云	次浊	止合三尾	止	合	三	尾	上	舒	仄		
1360	韋		云	次浊	止合三尾	止	合	三	尾	上	舒	仄		
1361	緯		云	次浊	止合三未	止	合	三	未	去	舒	仄		
1362	胃		云	次浊	止合三未	止	合	三	未	去	舒	仄		
1363	謂		云	次浊	止合三未	止	合	三	未	去	舒	仄		
1364	蝟		云	次浊	止合三未	止	合	三	未	去	舒	仄		
1365	渭		云	次浊	止合三未	止	合	三	未	去	舒	仄		
1366	彙	(彙。词～)	云	次浊	止合三未	止	合	三	未	去	舒	仄		
1367	褒		帮	全清	效开一豪	效	开	一	豪	平	舒	平		
1368	保		帮	全清	效开一皓	效	开	一	皓	上	舒	仄		
1369	堡		帮	全清	效开一皓	效	开	一	皓	上	舒	仄		
1370	寶		帮	全清	效开一皓	效	开	一	皓	上	舒	仄		
1371	報		帮	全清	效开一号	效	开	一	号	去	舒	仄		
1372	袍		并	全浊	效开一豪	效	开	一	豪	平	舒	平		
1373	抱		并	全浊	效开一皓	效	开	一	皓	上	舒	仄		
1374	暴		并	全浊	效开一号	效	开	一	号	去	舒	仄		
1375	菢		并	全浊	效开一号	效	开	一	号	去	舒	仄		茂林用孵
1376	毛		明	次浊	效开一豪	效	开	一	豪	平	舒	平		
1377	冒		明	次浊	效开一号	效	开	一	号	去	舒	仄		
1378	帽		明	次浊	效开一号	效	开	一	号	去	舒	仄		
1379	刀		端	全清	效开一豪	效	开	一	豪	平	舒	平		
1380	叨		端	全清	效开一豪	效	开	一	豪	平	舒	平		
1381	禱		端	全清	效开一皓	效	开	一	皓	上	舒	仄		
1382	島		端	全清	效开一皓	效	开	一	皓	上	舒	仄		
1383	倒	(打～，颠～)	端	全清	效开一皓	效	开	一	皓	上	舒	仄		
1384	搗		端	全清	效开一皓	效	开	一	皓	上	舒	仄		
1385	到		端	全清	效开一号	效	开	一	号	去	舒	仄		
1386	倒	(～水)	端	全清	效开一号	效	开	一	号	去	舒	仄		
1387	滔		透	次清	效开一豪	效	开	一	豪	平	舒	平		
1388	掏		透	次清	效开一豪	效	开	一	豪	平	舒	平		
1389	討		透	次清	效开一皓	效	开	一	皓	上	舒	仄		
1390	套		透	次清	效开一号	效	开	一	号	去	舒	仄		
1391	桃		定	全浊	效开一豪	效	开	一	豪	平	舒	平		
1392	逃		定	全浊	效开一豪	效	开	一	豪	平	舒	平		
1393	淘		定	全浊	效开一豪	效	开	一	豪	平	舒	平		
1394	陶		定	全浊	效开一豪	效	开	一	豪	平	舒	平		
1395	萄		定	全浊	效开一豪	效	开	一	豪	平	舒	平		
1396	濤		定	全浊	效开一豪	效	开	一	豪	平	舒	平		
1397	道		定	全浊	效开一皓	效	开	一	皓	上	舒	仄		
1398	稻		定	全浊	效开一皓	效	开	一	皓	上	舒	仄		
1399	盜		定	全浊	效开一号	效	开	一	号	去	舒	仄		
1400	導		定	全浊	效开一号	效	开	一	号	去	舒	仄		
1401	蹈		定	全浊	效开一号	效	开	一	号	去	舒	仄		
1402	腦		泥	次浊	效开一皓	效	开	一	皓	上	舒	仄		
1403	惱		泥	次浊	效开一皓	效	开	一	皓	上	舒	仄		
1404	勞		来	次浊	效开一豪	效	开	一	豪	平	舒	平		
1405	嘮		来	次浊	效开一豪	效	开	一	豪	平	舒	平		
1406	撈		来	次浊	效开一豪	效	开	一	豪	平	舒	平		
1407	癆		来	次浊	效开一豪	效	开	一	豪	平	舒	平		
1408	牢		来	次浊	效开一豪	效	开	一	豪	平	舒	平		
1409	老		来	次浊	效开一皓	效	开	一	皓	上	舒	仄		
1410	佬		来	次浊	效开一皓	效	开	一	皓	上	舒	仄		
1411	澇		来	次浊	效开一号	效	开	一	号	去	舒	仄		
1412	遭		精	全清	效开一豪	效	开	一	豪	平	舒	平		
1413	糟		精	全清	效开一豪	效	开	一	豪	平	舒	平		
1414	早		精	全清	效开一皓	效	开	一	皓	上	舒	仄		
1415	棗		精	全清	效开一皓	效	开	一	皓	上	舒	仄		
1416	蚤		精	全清	效开一皓	效	开	一	皓	上	舒	仄		
1417	澡		精	全清	效开一皓	效	开	一	皓	上	舒	仄		
1418	藻		精	全清	效开一皓	效	开	一	皓	上	舒	仄		
1419	躁		精	全清	效开一号	效	开	一	号	去	舒	仄		
1420	竈		精	全清	效开一号	效	开	一	号	去	舒	仄		
1421	操		清	次清	效开一豪	效	开	一	豪	平	舒	平		
1422	草	(～地)	清	次清	效开一皓	效	开	一	皓	上	舒	仄		
1423	騲	(騲。～鸡)	清	次清	效开一皓	效	开	一	皓	上	舒	仄		
1424	糙		清	次清	效开一皓	效	开	一	皓	上	舒	仄		
1425	曹		从	全浊	效开一豪	效	开	一	豪	平	舒	平		
1426	槽		从	全浊	效开一豪	效	开	一	豪	平	舒	平		
1427	皂		从	全浊	效开一皓	效	开	一	皓	上	舒	仄		
1428	造		从	全浊	效开一皓	效	开	一	皓	上	舒	仄		
1429	騷		心	清	效开一豪	效	开	一	豪	平	舒	平		
1430	臊		心	清	效开一豪	效	开	一	豪	平	舒	平		
1431	掃	(～地)	心	清	效开一皓	效	开	一	皓	上	舒	仄		
1432	嫂		心	清	效开一皓	效	开	一	皓	上	舒	仄		
1433	掃	(～帚)	心	清	效开一号	效	开	一	号	去	舒	仄		
1434	燥		心	清	效开一号	效	开	一	号	去	舒	仄		
1435	高		见	全清	效开一豪	效	开	一	豪	平	舒	平		
1436	膏	(药～)	见	全清	效开一豪	效	开	一	豪	平	舒	平		
1437	篙		见	全清	效开一豪	效	开	一	豪	平	舒	平		
1438	羔		见	全清	效开一豪	效	开	一	豪	平	舒	平		
1439	糕		见	全清	效开一豪	效	开	一	豪	平	舒	平		
1440	稿		见	全清	效开一皓	效	开	一	皓	上	舒	仄		
1441	告		见	全清	效开一号	效	开	一	号	去	舒	仄		
1442	膏	(～车，～油)	见	全清	效开一号	效	开	一	号	去	舒	仄		
1443	考		溪	次清	效开一皓	效	开	一	皓	上	舒	仄		
1444	烤		溪	次清	效开一皓	效	开	一	皓	上	舒	仄		
1445	拷		溪	次清	效开一皓	效	开	一	皓	上	舒	仄		
1446	靠		溪	次清	效开一号	效	开	一	号	去	舒	仄		
1447	犒		溪	次清	效开一号	效	开	一	号	去	舒	仄		
1448	銬		溪	次清	效开一号	效	开	一	号	去	舒	仄		
1449	熬		疑	次浊	效开一豪	效	开	一	豪	平	舒	平		
1450	敖		疑	次浊	效开一豪	效	开	一	豪	平	舒	平		
1451	傲		疑	次浊	效开一号	效	开	一	号	去	舒	仄		
1452	鏊		疑	次浊	效开一号	效	开	一	号	去	舒	仄		
1453	蒿		晓	清	效开一豪	效	开	一	豪	平	舒	平		
1454	薅		晓	清	效开一豪	效	开	一	豪	平	舒	平		
1455	好	(形容词，美～)	晓	清	效开一皓	效	开	一	皓	上	舒	仄		
1456	好	(喜～)	晓	清	效开一号	效	开	一	号	去	舒	仄		
1457	耗		晓	清	效开一号	效	开	一	号	去	舒	仄		
1458	豪		匣	全浊	效开一豪	效	开	一	豪	平	舒	平		
1459	壕		匣	全浊	效开一豪	效	开	一	豪	平	舒	平		
1460	毫		匣	全浊	效开一豪	效	开	一	豪	平	舒	平		
1461	號	(呼～)	匣	全浊	效开一豪	效	开	一	豪	平	舒	平		
1462	蠔		匣	全浊	效开一豪	效	开	一	豪	平	舒	平		
1463	浩		匣	全浊	效开一皓	效	开	一	皓	上	舒	仄		
1464	號	(～数)	匣	全浊	效开一号	效	开	一	号	去	舒	仄		
1465	爊		影	全清	效开一豪	效	开	一	豪	平	舒	平		
1466	襖		影	全清	效开一皓	效	开	一	皓	上	舒	仄		
1467	懊	(～恼)	影	全清	效开一皓	效	开	一	皓	上	舒	仄		
1468	奧		影	全清	效开一号	效	开	一	号	去	舒	仄		
1469	懊	(～悔)	影	全清	效开一号	效	开	一	号	去	舒	仄		
1470	澳		影	全清	效开一号	效	开	一	号	去	舒	仄		
1471	包		帮	全清	效开二肴	效	开	二	肴	平	舒	平		
1472	胞		帮	全清	效开二肴	效	开	二	肴	平	舒	平		
1473	苞		帮	全清	效开二肴	效	开	二	肴	平	舒	平		
1474	飽		帮	全清	效开二巧	效	开	二	巧	上	舒	仄		
1475	豹		帮	全清	效开二效	效	开	二	效	去	舒	仄		
1476	爆		帮	全清	效开二效	效	开	二	效	去	舒	仄		
1477	泡	(豆～儿)	滂	次清	效开二肴	效	开	二	肴	平	舒	平		
1478	抛		滂	次清	效开二肴	效	开	二	肴	平	舒	平		
1479	脬		滂	次清	效开二肴	效	开	二	肴	平	舒	平		
1480	炮		滂	次清	效开二效	效	开	二	效	去	舒	仄		
1481	泡	(～在水里)	滂	次清	效开二效	效	开	二	效	去	舒	仄		
1482	跑		并	全浊	效开二肴	效	开	二	肴	平	舒	平		
1483	刨	(～地)	并	全浊	效开二肴	效	开	二	肴	平	舒	平		
1484	麅		并	全浊	效开二肴	效	开	二	肴	平	舒	平		
1485	匏		并	全浊	效开二肴	效	开	二	肴	平	舒	平		
1486	鮑		并	全浊	效开二巧	效	开	二	巧	上	舒	仄		
1487	鉋	(鉋。～子)	并	全浊	效开二效	效	开	二	效	去	舒	仄		
1488	茅		明	次浊	效开二肴	效	开	二	肴	平	舒	平		
1489	貓	(肴韵)	明	次浊	效开二肴	效	开	二	肴	平	舒	平		
1490	錨		明	次浊	效开二肴	效	开	二	肴	平	舒	平		
1491	卯		明	次浊	效开二巧	效	开	二	巧	上	舒	仄		
1492	貌		明	次浊	效开二效	效	开	二	效	去	舒	仄		
1493	鐃		泥	次浊	效开二肴	效	开	二	肴	平	舒	平		
1494	撓		泥	次浊	效开二肴	效	开	二	肴	平	舒	平		
1495	鬧		泥	次浊	效开二效	效	开	二	效	去	舒	仄		
1496	罩		知	全清	效开二效	效	开	二	效	去	舒	仄		
1497	櫂		澄	全浊	效开二效	效	开	二	效	去	舒	仄		
1498	抓	(用手～牌)	庄	全清	效开二肴	效	开	二	肴	平	舒	平		
1499	爪		庄	全清	效开二巧	效	开	二	巧	上	舒	仄		
1500	找	(～零钱)	庄	全清	效开二巧	效	开	二	巧	上	舒	仄		
1501	笊		庄	全清	效开二效	效	开	二	效	去	舒	仄		
1502	抄		初	次清	效开二肴	效	开	二	肴	平	舒	平		
1503	鈔		初	次清	效开一肴	效	开	一	肴	平	舒	平		
1504	炒		初	次清	效开二巧	效	开	二	巧	上	舒	仄		
1505	吵		初	次清	效开二巧	效	开	二	巧	上	舒	仄		
1506	巢		崇	全浊	效开二肴	效	开	二	肴	平	舒	平		
1507	梢		生	清	效开二肴	效	开	二	肴	平	舒	平		
1508	捎		生	清	效开二肴	效	开	二	肴	平	舒	平		
1509	筲		生	清	效开二肴	效	开	二	肴	平	舒	平		
1510	稍		生	清	效开二效	效	开	二	效	去	舒	仄		
1511	潲	(猪食)	生	清	效开二效	效	开	二	效	去	舒	仄		
1512	潲	(～雨)	生	清	效开二效	效	开	二	效	去	舒	仄		
1513	哨		生	清	效开二效	效	开	二	效	去	舒	仄		
1514	交		见	全清	效开二肴	效	开	二	肴	平	舒	平		
1515	郊		见	全清	效开二肴	效	开	二	肴	平	舒	平		
1516	茭		见	全清	效开二肴	效	开	二	肴	平	舒	平		
1517	蛟		见	全清	效开二肴	效	开	二	肴	平	舒	平		
1518	膠		见	全清	效开二肴	效	开	二	肴	平	舒	平		
1519	教	(～书)	见	全清	效开二肴	效	开	二	肴	平	舒	平		
1520	絞		见	全清	效开二巧	效	开	二	巧	上	舒	仄		
1521	狡		见	全清	效开二巧	效	开	二	巧	上	舒	仄		
1522	鉸		见	全清	效开二巧	效	开	二	巧	上	舒	仄		
1523	攪		见	全清	效开二巧	效	开	二	巧	上	舒	仄		
1524	搞		见	全清	效开二巧	效	开	二	巧	上	舒	仄		
1525	教	(～育，～他去)	见	全清	效开二效	效	开	二	效	去	舒	仄		
1526	校	(～对)	见	全清	效开二效	效	开	二	效	去	舒	仄		
1527	較		见	全清	效开二效	效	开	二	效	去	舒	仄		
1528	酵		见	全清	效开二效	效	开	二	效	去	舒	仄		
1529	窖		见	全清	效开二效	效	开	二	效	去	舒	仄		
1530	覺	(睡～)	见	全清	效开二效	效	开	二	效	去	舒	仄		
1531	珓		见	全清	效开二效	效	开	二	效	去	舒	仄		
1532	敲		溪	次清	效开二肴	效	开	二	肴	平	舒	平		
1533	骹		溪	次清	效开二肴	效	开	二	肴	平	舒	平		
1534	巧		溪	次清	效开二巧	效	开	二	巧	上	舒	仄		
1535	咬		疑	全浊	效开二巧	效	开	二	巧	上	舒	仄		
1536	樂		疑	全浊	效开二效	效	开	二	效	去	舒	仄		
1537	哮		晓	清	效开二肴	效	开	二	肴	平	舒	平		
1538	孝		晓	清	效开二效	效	开	二	效	去	舒	仄		
1539	肴		匣	全浊	效开二肴	效	开	二	肴	平	舒	平		
1540	淆		匣	全浊	效开二肴	效	开	二	肴	平	舒	平		
1541	效		匣	全浊	效开二效	效	开	二	效	去	舒	仄		
1542	校	(学～)	匣	全浊	效开二效	效	开	二	效	去	舒	仄		
1543	校	(上～)	匣	全浊	效开二效	效	开	二	效	去	舒	仄		
1544	坳		影	全清	效开二肴	效	开	二	肴	平	舒	平		
1545	凹		影	全清	效开二肴	效	开	二	肴	平	舒	平		
1546	拗		影	全清	效开二巧	效	开	二	巧	上	舒	仄		
1547	靿		影	全清	效开二效	效	开	二	效	去	舒	仄		
1548	臕		帮	全清	效开二肴	效	开	二	肴	平	舒	平		
1549	標		帮	全清	效开三宵	效	开	三	宵	平	舒	平		
1550	表	(～面)	帮	全清	效开三小	效	开	三	小	上	舒	仄		
1551	錶	(錶。手～)	帮	全清	效开三小	效	开	三	小	上	舒	仄		
1552	婊		帮	全清	效开三小	效	开	三	小	上	舒	仄		
1553	飄		滂	次清	效开三宵	效	开	三	宵	平	舒	平		
