D0序	D0用字	注例	声类	清浊	韵类	摄	开合	等	韵	调类	舒入	平仄	记音	备注
155	詐		庄	全清	假开二禡	假	开	二	禡	去	舒	仄		
156	榨		庄	全清	假开二禡	假	开	二	禡	去	舒	仄		
157	炸	(～弹)	庄	全清	假开二禡	假	开	二	禡	去	舒	仄		
158	叉		初	次清	假开二麻	假	开	二	麻	平	舒	平		
159	杈		初	次清	假开二麻	假	开	二	麻	平	舒	平		
160	差	(～别，～不多)	初	次清	假开二麻	假	开	二	麻	平	舒	平		
161	岔		初	次清	假开二禡	假	开	二	禡	去	舒	仄		
162	差	(～多少钱)	初	次清	假开二禡	假	开	二	禡	去	舒	仄		
163	茬		崇	全浊	假开二麻	假	开	二	麻	平	舒	平		
164	查	(调～)	崇	全浊	假开二麻	假	开	二	麻	平	舒	平		
165	乍		崇	全浊	假开二禡	假	开	二	禡	去	舒	仄		
166	沙		生	清	假开二麻	假	开	二	麻	平	舒	平		
167	紗		生	清	假开二麻	假	开	二	麻	平	舒	平		
168	痧		生	清	假开二麻	假	开	二	麻	平	舒	平		
169	砂		生	清	假开二麻	假	开	二	麻	平	舒	平		
170	鯊		生	清	假开二麻	假	开	二	麻	平	舒	平		
171	裟		生	清	假开二麻	假	开	二	麻	平	舒	平		
172	灑	(马韵)	生	清	假开二马	假	开	二	马	上	舒	仄		
173	廈	(偏～，前廊后～)	匣	全浊	假开二马	假	开	二	马	上	舒	仄		
174	家		见	全清	假开二麻	假	开	二	麻	平	舒	平		
175	傢		见	全清	假开二麻	假	开	二	麻	平	舒	平		
176	加		见	全清	假开二麻	假	开	二	麻	平	舒	平		
177	枷		见	全清	假开二麻	假	开	二	麻	平	舒	平		
178	痂		见	全清	假开二麻	假	开	二	麻	平	舒	平		
179	嘉		见	全清	假开二麻	假	开	二	麻	平	舒	平		
180	袈		见	全清	假开二麻	假	开	二	麻	平	舒	平		
181	假	(真～)	见	全清	假开二马	假	开	二	马	上	舒	仄		
182	賈		见	全清	假开二马	假	开	二	马	上	舒	仄		
183	假	(放～)	见	全清	假开二禡	假	开	二	禡	去	舒	仄		
184	架		见	全清	假开二禡	假	开	二	禡	去	舒	仄		
185	駕		见	全清	假开二禡	假	开	二	禡	去	舒	仄		
