#i
p[2]皮疲脾琵枇[4]被{棉~}婢[6]被{~打}避备鼻
pʰ[1]披丕纰[5]屁
ɓ[1]碑卑悲[3]彼鄙比髀{大~：大腿}畀{~我：给我}[5]臂泌{~尿}庇痹秘{~书}
m[1]咪{笑~~}眯{~眼}[2]糜弥靡眉楣微媚微[4]美尾[6]昧未味寐
f[1]非飞妃[2]肥[3]匪翡{~}翠[5]废肺吠费{~}用
θ[1]斯撕厮私司丝思[2]雌瓷慈磁辞词[3]死[4]似寺[5]四肆祀巳[6]自字祠嗣饲
t[1]资姿咨兹滋[3]紫姊子梓[6]地
tʰ[1]疵=[3]此[5]刺次伺赐
ɗ[1]啲{你~：你们}[5]□{~米子疮：挤痘痘}
n[1]昵[2]尼妮[3]拟[4]你[6]腻溺
l[2]离{~}开离{~}别篱璃梨狸[4]李理鲤里{公~}[6]利痢吏
tɕ[1]知蜘支枝肢梔脂之芝[3]纸只{旨}指止趾址[5]智致雉稚至置志痣[6]治
tɕʰ[1]眵{眼~：眼屎}痴嗤[3]耻齿始侈{奢~}[5]翅厕
ȵ[1]□{撕}儿{细子~：小孩子}[2]儿{~童}宜仪谊而疑[4]尔耳饵议[6]义二贰
ɕ[1]施师狮尸诗[2]池驰匙迟持时[3]矢屎使{天~}史驶[4]是嗜柿市[5]试[6]氏豉示视痔士仕事恃侍
k[1]饥肌基机讥饥{~荒}几{茶~}姬畸{~形}[2]奇骑岐祁鳍其棋期旗祈[3]己纪杞几{~乎}几{~个}[4]企[5]寄记既[6]技妓冀忌
h[1]欺嬉熙希稀[3]起喜岂[5]戏器弃气汽
∅[1]伊医衣依姨[2]移夷姨怡贻沂颐[3]倚椅[4]矣已以[5]意薏[6]易异

#u
p[2]葡匍蒲菩脯浦[6]步埠部薄
pʰ[1]铺{~满}[3]谱普[5]铺{当~}
ɓ[3]补捕[5]布怖
m[1]模诬{~蔑}茂[2]无[3]拇[4]武舞侮鹉牡母[6]暮慕墓募务雾
f[1]枯呼乎夫肤敷孵麸[2]符扶笑浮[3]苦虎浒府腑俯甫脯斧俘抚釜辅[4]父妇[5]库裤富副[6]付赋傅赴腐附负阜
θ[1]苏酥[4]储={~存}[5]素诉
t[1]租[2]徒屠途图[3]袓组[4]肚[5]做[6]杜度渡镀
tʰ[1]吐粗[3]土[5]兔醋措
ɗ[1]都{~市}[3]堵赌
n[2]奴[4]努[6]怒
l[2]庐炉芦[4]鲁橹虏[6]路赂露鹭
k[1]姑孤估[3]古牯股鼓[5]故{固}锢雇顾
∅[1]鸟污坞巫[2]湖胡狐壶[3]捂[4]户[6]护互芋

#y
θ[1]须需[2]徐[4]序叙绪储聚[5]絮
tʰ[1]蛆趋[3]取娶[5]趣
ɗ[3]□{动词，指}[5]□{动词，垃}
n[4]女
l[4]吕铝侣榈旅缕屡履里{~面}[6]虑滤
tɕ[1]猪诸朱珠[3]煮拄主[5]著箸驻注蛀铸[6]住
tɕʰ[3]处{~理}[5]处{到~}
ȵ[2]鱼渔儒愚[4]语
ɕ[1]书舒枢输[2]除薯厨雏殊[3]暑鼠署[4]柱竖树[5]庶恕数
k[1]居车{~马炮}拘驹[2]渠[3]举矩[4]巨拒距[5]据锯句[6]倶具
kʰ[1]区驱
h[1]墟虚嘘[3]许[5]去
∅[1]於淤迂于[2]如余馀虞娱榆逾愉[4]汝与雨宇禹羽[6]御誉预豫遇寓愈喻裕

#a
p[2]钯爬琶杷耙[6]罢
pʰ[1]趴[5]怕
ɓ[1]爸巴芭疤[3]把[5]霸坝
m[1]蟆{癞蛤~}妈[2]麻[4]马码[6]骂
f[1]花[5]化
tʰ[1]他她它
ɗ[3]打
n[1]□{动词，枯}[2]拿[3]乸[4]哪[6]那
l[3]□{抓}[5]□{缝隙}
ts[1]渣抓[5]诈榨炸乍
tsʰ[1]差{~错}叉[5]杈岔
s[1]莎沙纱[2]茶搽查[3]洒
ȵ[1]□{量词，把}
k[1]家加伽迦痂嘉瓜[2]□{表示横跨的动作或状态}[3]假贾寡[5]架驾嫁稼价卦[6]嘎噶
kʰ[1]夸卡咔咖喀[3]垮挎[5]跨
ŋ[1]鸦丫=[2]牙芽衙伢涯崖[4]雅瓦
h[1]虾哈[6]霞瑕下夏厦
∅[3]阿哑舰[5]亚{~洲}

#ua
∅[1]蛙[2]华桦[6]画话

#ie
pʰ[1]□{扑克}
m[1]咩[3]□{末尾}[5]□{动词，背}
θ[1]些[2]邪斜[3]写□{形容东西倒了散落一地}[5]泻卸[6]谢
t[1]爹[3]姐[5]借藉
tʰ[3]且[5]笡
l[5]□{缝隙}
tɕ[1]遮[3]者[4]这[5]蔗
tɕʰ[1]车[3]扯
ȵ[4]惹嘢
ɕ[1]奢赊佘畲[2]蛇[3]舍{~得}[4]社[5]舍{宿~}[6]射麝赦
j[1]耶[2]爷[4]也野[6]夜椰
k[2]燕[4]□{形容瓜果等长相不好}
ŋ[5]□{蹭，挨}

#ɔ
p[2]婆袍雹{冰~}[4]抱□{泡沫}[6]暴爆
pʰ[1]颇坡=[5]破
ɓ[1]波菠坡煲[3]簸保堡宝[5]报
m[1]么魔摩{~托车}摸{自~}[2]蘑磨{~刀}毛摩{观~}[3]摸{~鱼}[6]磨{石~}冒帽
f[1]科[3]火伙[5]课货
θ[1]骚[2]曹槽{马~}□{吵}[3]锁琐嫂[4]坐造{建~}[5]扫{~地}扫{~把}[6]座
t[1]遭糟[2]驼驮桃逃淘{~米}陶萄□{捆，扎}[3]早枣蚤[4]椭导[5]左佐[6]舵惰道稻盗
tʰ[1]拖滔掏{~出来}涛=操{~作，~演}糙{粗~，~米}[3]妥讨草[5]错套躁燥
ɗ[1]多叨{唠~}[3]躲祷岛倒{打~，颠~}倒{~水}朵[5]到
n[1]□{揉搓}[2]挪[4]脑恼[5]□{用拇指和食指来回捻碎}[6]糯
l[1]捞啰{~嗦}箩{一~}[2]罗锣箩{~框}骡螺劳牢唠{~叨}[3]裸颗[4]老[5]□{捅：用棍子~鸟窝}[6]涝{旱~}
ts[2]锄[3]阻[6]助
tsʰ[1]初磋[3]楚础
s[1]蓑梭唆梳疏蔬[2]□{量词，一~香蕉}[3]所[6]傻□{米~：糍粑}
k[1]歌哥锅戈=高膏篙羔糕膏{~车，~油}[2]□{形容冷到没知觉}□{死}[3]果裹稿[5]个过告[6]□{介词，的}
ŋ[2]蛾鹅俄[4]我[6]饿傲
h[2]河何荷豪壕毫[3]可好{~坏}[5]好{喜~}耗[6]贺号{呼~}浩号{~数}
∅[5]懊{~恼，~悔}奥

#uɔ
∅[1]倭窝[2]和禾[4]祸{车~}[5]□{脏}

#œ
h[1]靴

#ai
p[2]排牌[6]稗败
pʰ[3]□{~开：将东西展开}[5]派
ɓ[3]摆[5]拜
m[2]埋[3]歪[4]买[6]卖迈
f[5]快筷块
θ[1]□{浪费}[2]□{数落}[5]□{穷尽，没有}
t[6]大
tʰ[5]态贷太泰
ɗ[1]姼[5]戴带
n[4]乃奶
l[5]拉[4]□{丢失}[6]赖癞
ts[1]斋[5]债寨{山~}
tsʰ[1]猜差{出~}[3]踩
s[2]柴[5]晒[6]寨
k[1]皆佳街阶[2]□{污垢}[3]解[4]□{~着脚：扭到脚}[5]介界芥尬疥戒届[6]{□压：用石头~住}
ŋ[2]捱[5]□{~吃：喜欢吃}
h[1]嗨[2]鞋[4]亥谐骇械懈蟹
∅[1]挨{~近}埃{~及}[3]矮[5]隘

#uai
∅[2]怀槐淮[6]坏

#uai
p[6]敝弊毙币
pʰ[1]批呸[5]□{翻找}
ɓ[1]□{瘸}[5]蔽闭陛
m[1]□{削：~苹果}[2]迷谜[4]米[5]□{男性生殖器}
f[5]废{~话}
θ[1]西犀[2]齐脐荠[3]洗[5]细婿
t[1]挤剂[2]堤题提蹄啼[3]仔[4]弟[5]祭际济[6]第递
tʰ[1]梯妻凄[3]体睇[5]替涕剃砌{~墙}沏{~茶}
ɗ[1]低[3]底抵[5]帝
n[2]泥[5]□{小}[6]□{涂抹}
l[2]犁黎[4]礼[5]□{用舌头舔}[6]例厉励丽荔
ts[5]滞制
s[1]筛[3]使[5]世势誓逝
k[1]鸡龟圭闺归[2]奎逵葵[3]诡轨鬼[4]跪[5]计继髻鱖桂季贵瑰[6]柜□{主意，方法}
kʰ[1]溪规亏窥稽挥辉晖[3]启[5]契愧
ŋ[1]□{央求，乞求}[4]蚁[6]艺伪魏危
h[1]㞓{女阴}[6]系
∅[1]哎[5]□{伤心}

#uɐi
∅[1]威喂[2]为{作~}维惟遗唯违围韦[3]毁萎委慰[4]伟苇{芦~}纬胃卫[5]喂{~养}[6]为{~什么}位讳畏谓惠慧

#ɔi
θ[1]腮鳃[2]才材财裁[4]在[5]赛
t[1]灾栽[2]台苔抬[3]宰[5]载再[6]待怠殆代袋
tʰ[1]胎[3]彩睬[5]菜蔡
n[6]耐奈
l[2]来
k[1]该乖[2]□{喷}[3]改拐[5]怪盖丐
kʰ[5]概溉钙
ŋ[2]呆[6]碍艾
h[1]开[2]孩[3]凯海[6]害
∅[1]哀埃[3]蕩[5]爱

#au
p[4]刨
pʰ[1]泡{水~}抛[3]跑[5]炮{枪~}泡{~在水里}
ɓ[1]包胞苞鲍{~鱼}[3]饱[5]豹爆龅{~牙}
m[2]茅锚矛[4]卯牡铆[6]貌茂贸
n[6]闹
l[1]捞
ts[3]爪{~牙}找[5]罩焯{用油炸}
tsʰ[1]抄钞[3]炒吵{~闹}[5]吵
s[1]梢{树~}[3]捎{~带}稍[5]潲{猪食}
ȵ[1]挠[3]爪{鸡~}
k[1]交郊胶[3]绞狡搅搞较饺{~子}[5]教{~书，~育}校{~对}窖觉{睡~}
kʰ[5]靠搞{~劳}拷
ŋ[2]淆[4]咬
h[1]烤{烧~}酵敲[3]考拷巧[5]孝{~顺}[6]孝{不~}效校{学~}
∅[5]拗坳

#iau
p[6]□{形容用鼻子拱的动作}
m[1]猫[3]喵瞄
ɗ[5]□{扔}
l[3]□{缠住：~脚}[5]□{扔}
k[3]□{搅拌}[6]□{撬}
kʰ[1]□{形容小孩爱哭}[5]撬
ŋ[3]□{~断：折断}

#ɐu
pʰ[3]剖[5]□{蓬松}□{膨胀}
m[1]□{~低：蹲下}[2]谋[3]□{木材朽烂的现象}[4]某冇[5]□{农作物空壳瘪粒}
f[2]浮[3]否
θ[1]修羞馐貅[3]叟搜馊艘[5]嗽秀绣锈[6]就袖
t[2]头投[3]走酒[5]奏[6]豆逗痘窦
tʰ[1]偷秋{~天}[3]□{休息}[5]透凑
ɗ[1]兜[3]抖陡斗{量~}[5]斗□{雀儿~：鸟窝}
n[1]□{生气}[2]□{稠}[3]扭[4]纽
l[1]篓楼{大~}骝{马~：猴子}溜{~冰}[2]楼流刘留權{石~}琢{~}横桃{~}璃馈瘤[3]搂□{摇晃}[4]柳[5]□{~落来：滑下来}[6]漏陋
ts[1]邹周舟州洲[3]肘久[5]昼纣皱咒灸[6]骤宙
tsʰ[1]抽[3]丑[5]臭
s[1]收[2]绸稠筹愁仇酬[3]手首守[4]受授[5]瘦兽[6]寿售
k[1]沟鸠[2]求球[3]狗苟九韭[4]臼{舅}[5]够构购救究咎[6]旧□{量词，形容块状物}
kʰ[1]抠[5]叩扣寇
ŋ[1]勾钩[2]牛[4]藕偶[5]□{悬挂}
h[1]睺{盯住}[2]侯喉猴[3]口吼[4]后{~面}厚[6]后{皇~}候
∅[1]欧瓯殴鸥区{姓}[3]呕[5]沤怄

#iɐu
ȵ[1]□{形容东西有韧性不易断}
∅[1]丘邱休优忧悠幽[2]柔揉尤邮由油游犹酉鱿疣[3]莠[4]有友[5]诱幼[6]又右佑祐柚釉

#iu
p[2]瓢嫖{~娼}
pʰ[1]飘漂{~泊，~亮}[5]票{车~}
ɓ[1]标表{手~}鳔骠镖彪飚飙[3]表{~达}婊裱
m[2]苗描[4]藐渺秒[6]庙妙谬
θ[1]悄{静~~}消宵霄硝销肖逍潇萧箫[3]小筱[5]笑
t[1]焦蕉{芭~}椒[2]条迢[6]调{~和，音~，~动}掉
tʰ[3]挑[3]□{交换位置}[5]俏跳鞘{刀~}
ɗ[1]刁貂雕凋碉丟[3]叼[5]钓吊
n[1]□{好~：很黏}[2]□{形容东西脆弱、易断}[4]鸟[6]尿
l[1]遛[2]聊辽疗瞭寮燎缭僚撩[3]□{~起身：绑起来}[4]了{~结}[5]□{缝补}[6]寥料廖
tɕ[1]朝{今~}昭招[5]照[6]赵兆召沼{~气}诏
tɕʰ[1]超钊[3]□{~开：掀开}
ȵ[2]饶尧[3]绕{~路}[4]扰绕{围~}[5]要{重~}
ɕ[1]烧[2]朝{~代}潮嘲晁[3]少{多~}[5]少{~年}[6]韶{~关}绍邵
k[1]骄娇[2]乔侨桥荞[3]缴{上~}纠{~正}矫[5]叫[6]轿
h[1]嚣[3]饶{~幸}晓
∅[1]邀腰夭要{~求}幺吆{~喝}[2]摇谣瑶遥窑姚[3]妖[4]舀{~水}杳{~无音信}[6]耀

#øy
p[2]陪赔裴[4]培倍焙[6]背{~书}□{狗~：狗叫声}
pʰ[1]胚坯{土~}[5]沛配佩
ɓ[1]杯[5]贝辈背{~脊}
m[2]梅枚媒煤霉玫莓酶[3]妹[4]每
f[1]恢灰诙徽[3]悔[5]晦
θ[1]虽[2]随隋[3]髓[4]罪[5]碎岁[6]瑞隧穗
t[2]颓[3]嘴[4]兑锐[5]最醉[6]队
tʰ[1]推催崔[3]腿[5]退蛻脆翠粹
ɗ[1]堆[5]对
n[3]□{用力搓}[5]□{枯萎}[6]内
l[2]雷蕾[4]儡{傀~}累{~积，连~}垒类磊[5]累{心~}[6]泪擂{~台}
ts[1]追锥[2]槌锤捶[5]缀赘[6]坠
tsʰ[1]吹炊[5]□{擦}
s[1]衰[2]垂谁[3]水[5]税帅[6]睡
k[6]□{累}

#uøy
∅[1]煨[2]回茴蛔[4]会{~冇~：会不会}[6]会{~计，开~}绘汇荟

#am
θ[1]三[2]蚕惭[3]糁{撒}
t[2]谈痰谭潭[4]淡[6]啖□{一会儿}
tʰ[1]贪参{~加}[3]惨[5]探
ɗ[1]耽担{~任}[3]胆[5]担{挑~}
n[2]南男[3]□{舀}
l[2]蓝篮[3]览揽榄缆[5]□{跨，迈}
ts[2]谗馋[3]斩崭眨[5]蘸湛[6]暂站{车~，~立}
tsʰ[3]□{畚箕}[5]杉
s[1]衫
k[1]尴监{~视}[3]减[5]鉴监{太~}
ŋ[1]啱{正确，合适}[2]岩癌
h[2]咸[3]喊[5]□{骂}[6]陷馅

#iam
θ[3]□{动词，撒}
ɗ[1]□{用嘴巴叼}
n[5]□{~鞋：人字拖}
l[3]□{火燎}
k[2]钳[4]槛{门~}
ŋ[1]□{~先：刚才}□{合适}

#ɐm
θ[1]心[2]寻
t[2]□{掩埋}[4]凼[5]浸[6]□{跺脚}
tʰ[1]侵[3]寝□{哄骗}[5]□{把零件组合起来的动作}
n[1]□{~眼：闭眼}□{形容衣服不够干}[2]□{形容东西（肉、饭等食物）很软烂}[3]谂{想念}
l[1]□{痒的感觉}□{引诱人上当}[2]林淋琳霖啉临[4]凛[5]冧{倒塌}[6]□{摞，堆砌}
ts[1]针斟砧[3]枕[4]妗{舅母}[6]□{~水：溺水}
tsʰ[5]□{~饭：将水或汤汁浇在饭上}
s[1]森参{人~}深莘[2]沉岑[3]沈审婶[5]渗{~透}瘆[6]葚甚
ȵ[1]□{商量}□{剁}[3]饮[5]□{上下颤动}[6]任壬
k[1]今金[2]琴禽檎[3]锦[5]禁[6]揿
kʰ[1]襟□{耐用}[3]冚{覆盖}
ŋ[3]□{蹲}[6]□{形容絮叨}

#iɐm
∅[1]音阴荫[2]吟淫[5]钦鑫

#ɔm
l[3]□{抱}[4]□{抱}
k[1]甘柑泔[3]感敢撖咁{这么}
h[1]堪勘酣憨[2]含晗函涵菡□{~~声：气势凶猛的样子}[3]龛坎埯{坑}[5]□{山~：山谷}[6]撼憾□{组合部件}
∅[1]谙庵鹌□{撞击}[5]暗黯

#im
t[1]尖[2]甜[6]垫掂{搞~}
tʰ[1]添签迁[3]舔
ɗ[3]掂{~量}点[5]店
n[1]拈黏[4]鲇[6]念
l[2]廉镰帘[4]脸敛殓[5]□{量词，一~：一瓣（桔子等}）
tɕ[1]沾枯瞻占{~卜}[5]占{~有}
ȵ[2]严嫌[4]染冉[6]验
ɕ[2]蝉禅婵缠[3]陕闪
k[1]兼[4]俭[5]剑
kʰ[3]检
h[1]谦[3]险[5]欠歉
∅[1]淹阉[2]盐阎檐[3]掩厣{螺类的盖}[5]厌[6]炎艳焰

#an
p[6]扮瓣办
pʰ[1]攀[5]盼
ɓ[1]班斑颁癍[3]扳{~手}板版
m[1]摱{~住：扶着}[2]蛮[4]晚[6]慢馒漫幔鳗谩万蔓
f[1]藩翻番[2]凡帆烦矾繁[3]反返=[4]犯范{规~}贩[5]泛{~滥}[6]范{姓}饭
θ[2]残[3]散{~装}[5]伞散{分~}
t[2]檀弹{~琴}昙坛[5]赞[6]但弹{子~}蛋
tʰ[1]滩摊瘫餐[3]坦袒毯[5]炭碳叹
ɗ[1]丹单[5]诞旦
n[2]难{困~}[3]□{挪：~桌子}[6]难{大~临头}
l[1]躝{叫人滚蛋}[2]兰拦栏澜阑斓镧蘭岚婪[4]懒[6]滥烂
ts[3]盏[6]绽{破~}赚栈
tsʰ[3]铲产[5]灿燦颤
s[1]珊删姗闩山[5]疝汕讪
k[1]艰间{空~}奸关[3]简柬谏拣茧碱[5]间{~断}涧锏惯
ŋ[2]顽颜[4]眼[6]雁赝谚彦
h[1]悭{节省}[2]衔闲[4]限
∅[5]晏

#ian
pʰ[1]□{~书：翻书}
ɓ[3]扁
tʰ[5]□{挣扎}
n[3]□{用拇指和食指捏}
ȵ[1]□{脸皮厚}

#uan
∅[1]弯湾豌[2]还环[3]挽[4]皖[6]幻患宦

#ɐn
p[2]贫频[6]笨
pʰ[3]品[5]喷
ɓ[1]彬宾槟缤斌奔[3]禀[5]殡鬓
m[1]蚊焖坟[2]民文纹雯玟闻[3]抿[4]闽悯敏吻刎[5]□{好~：比喻做事情把握不大或刚好做到}[6]问汶
f[1]昏婚分{~开}芬氛纷熏荤[2]焚坟[3]粉[4]愤忿奋[5]粪训[6]份分{本~}
θ[1]辛新薪[2]秦荀旬循巡[3]笋榫[4]尽[5]信讯汛迅逊殉□{陡峭}
t[1]津遵樽{瓶子}[2]屯豚臀囤[5]进晋俊駿峻竣[6]顿炖钝遁盾
tʰ[1]吞亲
ɗ[1]敦墩蹲吨[3]□{堆积}
n[3]□{蚯蚓}
l[1]□{饭~：饭太硬}[2]邻鳞磷伦沦轮仑纶[3]□{寻找}[4]□{满}[6]论
ts[1]珍榛臻真[3]准[5]镇振震圳[6]阵
tsʰ[1]春□{为什么}[3]诊蠢[5]趁衬
s[1]身{申}伸绅呻娠[2]陈尘神辰晨臣唇纯莼醇宸[4]肾□{傻}[5]□{呻吟；诉苦}[6]慎顺舜
k[1]跟根巾斤筋均钧筠君军[2]勤芹裙群[3]紧仅谨滚=[4]近菌[5]棍□{冷}[6]郡
kʰ[1]昆琨鲲焜堃坤[3]捆[5]困□{松开、解开或脱下}
ŋ[1]奀{细小}[2]银龈
h[2]痕□{痒}[3]恳垦狠很[5]睏{~觉：睡觉}[6]恨
∅[1]恩[5]□{掂量}

#iɐn
ȵ[1]□{调皮}[2]人仁[3]忍[6]刃韧仞纫认润闰
∅[1]因姻茵欣殷[2]寅匀[3]隐尹[4]引瘾蚓[5]印[6]孕

#uɐn
∅[1]温瘟[2]魂浑云芸沄纭耘晕[3]稳[4]允[5]□{~住：关押着}[6]混韵运

#ɔn
k[1]干{晒~}肝杆[3]秆擀赶竿{竹~}[5]干{~事}
h[1]刊[2]寒韩[3]罕{稀~}[4]旱悍[5]看汉[6]翰瀚汗焊
∅[1]安鞍[5]按案

#in
p[4]辫辩[6]便辨汴
pʰ[1]篇偏编煸[5]骗遍片
ɓ[1]鞭边[3]贬蝙扁匾[5]变
m[2]绵棉眠[4]免勉娩冕缅渑[6]面
θ[1]仙鲜{新~}先[2]潜钱前[3]鲜{~少}癣冼[4]践羡[5]线[6]渐贱饯
t[1]煎[2]田填[3]剪[5]箭溅荐[6]电殿奠個淀甸靛
tʰ[1]天千[3]浅
ɗ[1]颠巅癫[3]典碘[5]□{跌倒}
n[2]年[3]碾
