字	注释	音
恐		kʰʊŋ25
擁		jʊŋ25
恿		jʊŋ25
蛹		jʊŋ25
勇		jʊŋ13
奉		fʊŋ22
捧		pʰʊŋ25
誦		ʦʊŋ22
用		jʊŋ22
綠		lʊk2
錄		lʊk2
促		ʦʰʊk5
粟		ɬʊk5
粟		sʊk5
續		ʦʊk2
俗		sʊk2
燭		ʦʊk5
囑		ʦʊk5
矚		ʦʊk2
屬	屬文	sʊk2
屬	屬於	sʊk2
觸		ʦʰʊk5
鐲		ʦʊk5
蜀		sʊk2
束		ʦʰʊk5
贖		sʊk2
辱		ȵʊk2
辱		jʊk2
曲		kʰʊk5
獄		jʊk2
玉		ȵʊk2
玉		jʊk2
旭		jʊk5
浴		jʊk2
慾		jʊk2
欲		jʊk2
局		kʊk2
樁		ʦɔŋ55
撞		ʦɔŋ22
幢	幡幢	ʦɔŋ22
幢	一幢樓	ʦɔŋ22
幢	海幢寺	ʦɔŋ22
雙		sioŋ55
雙		sɔŋ55
江		kɔŋ55
肛		kɔŋ55
扛		kɔŋ55
控		hʊŋ33
腔		hɔŋ55
缸		kɔŋ55
降	投降	hɔŋ22
降	降落	kɔŋ33
邦		pɔŋ55
龐		pʰɔŋ22
講		kɔŋ25
港		kɔŋ25
項		hɔŋ13
棒		pʰaŋ13
蚌		pʰɔŋ13
蚌		pʰaŋ22
巷		hɔŋ13
巷		hɔŋ22
桌		ʦʰiok3
琢		tiok3
卓		ʦʰiok3
擢		ʦɔk2
濁		ʦʊk2
捉		ʦɔk3
朔		sɔk3
確		kʰɔk3
嶽		ŋɔk2
嶽		ŋɔk2
學		hɔk2
握		ɐk5
渥		ɐk5
喔	喔喔叫	ɔ33
剝		mɔk5
駁		pɔk3
雹		pau55
璞		pʰɔk3
罹		lei22
鸝		lei22
離		lei22
驪		lei22
麗		lɐi22
璃	琉璃	lei22
璃	玻璃	lei55
漓		lei22
籬		lei22
劑		ʦɐi55
雌		ʦʰi22
疵		ʦʰi55
斯		si55
廝		si55
隨		ʦʰui22
隋		ʦʰui22
肢		ʦi55
支		ʦi55
只		ʦi25
枝		ʦi55
氏	姓氏	si22
炊		ʦʰui55
吹		ʦʰui55
提		tʰɐi22
垂		sui22
匙	鑰匙	si22
匙	茶匙，湯匙，一本作「瓷」	ʦʰi22
堤		tʰɐi22
施		si55
兒		ȵi22
兒		ji22
規		kʰʷɐi55
窺		kʰʷɐi55
墮		tɔ22
蛇	委蛇	sɛ22
蛇	毒蛇	sɛ22
移		ji22
卑		pei55
脾		pʰei13
瀰		nei22
獼		mei22
彌		nei22
歧		kʰei22
祇	神祇	kʰei22
祇	同「只有」的「只」；正、恰、只	ʦi25
示		si22
累	累積	lui13
累	受累；連累	lui22
邐		lɐi13
紫		ʦi25
此		ʦʰi25
髓		ɬui13
髓		sui13
徙		ɬai25
徙		sai25
紙		ʦi25
咫		ʦi25
枳		ʦi25
侈		ʦʰi25
是		si22
弛		ʦʰi22
舐		sai25
蕊		ȵui13
蕊		jui13
爾		ȵi13
爾		ji13
邇		ȵi13
邇		ji13
企		kʰei13
婢		pʰei13
積		ʦɪk5
刺		ʦʰi33
漬		ʦɪk5
賜		ʦʰi33
惴		ʦui33
睡		sui22
瑞		sui22
翅		ʦʰi33
吱		ʦi55
縊		ɐi33
易	容易	ji22
易	交易	jɪk2
臂		pei33
避		pei22
譬		pʰei33
知	知道	ʦi55
知	知識	ʦi33
蜘		ʦi55
池		ʦʰi22
錘	鐵錘，稱錘	ʦʰui22
馳		ʦʰi22
差	差別	ʦʰa55
差	出差	ʦʰai55
差	參差	ʦʰi55
衰	衰老	sui55
衰	齊衰	ʦʰui55
妓		kei22
畸		kʰei55
崎	崎嶇	kʰei22
虧		kʰʷɐi55
崖		ŋai22
儀		ji22
宜		ȵi22
宜		ji22
涯		ŋai22
危		ŋɐi22
犧		hei55
羲		hei55
曦		hei55
戲		hei33
犄	音漪	ji25
逶		ʋɐi25
椅		ji25
漪		ji25
萎	枯萎	ʋɐi25
委	虛與委蛇，委委佗佗；委委佗佗	ʋɐi55
委	委託	ʋɐi25
爲	人爲	ʋɐi22
襬		pai25
碑		pei55
疲		pʰei22
罷		pa22
皮		pʰei22
糜		mei22
披		pʰei55
奇	奇怪	kʰei22
奇	奇數	kei55
琦		kʰei22
騎	騎馬；騎樓	kʰɛ22
騎	鐵騎；騎兵	kʰei22
揣		ʦʰiŋ25
灑		sa25
詭		kʷɐi25
跪		kʷɐi22
綺		ji25
蟻		ŋɐi13
毀		fɐi25
倚		ji25
彼		pei25
被	棉被	pʰei13
被	被動	pei22
靡	所向披靡	mei13
靡	通「糜」，浪費；腐敗	mei22
技		kei22
智		ʦi33
寄		kei33
誼		ji22
義		ji22
議		ji13
纍		lui13
梨		lei22
諮		ʦi55
資		ʦi55
姿		ʦi55
瓷		ʦʰi22
茨		ʦʰi22
雖		ɬui55
雖		sui55
私		si55
脂		ʦi55
錐		ʦui55
推		tʰui55
誰		sui22
屍		si55
屎		si25
咦		ji25
伊		ji55
黝		jɐu25
胰		ji22
夷		ji22
惟		ʋɐi22
羨		siŋ22
寅		jɐŋ22
唯	唯一	ʋɐi22
唯	唯唯諾諾	ʋɐi22
遺	遺失	ʋɐi22
維		ʋɐi22
姨	姨媽	ji22
姨	姨仔/細姨/阿姨	ji55
琵		pʰei22
比	比較	pei25
比	比鄰	pei25
枇		pʰei22
鰭		kʰei22
葵		kʰʷɐi22
壘	堡壘	lui13
壘	神荼鬱壘；鬱壘	lɐk2
履		lei13
耒		lui22
姊		ʦi25
死		ɬei25
指		ʦi25
旨		ʦi25
視		si22
矢		ʦʰi25
水		sui25
癸		kʷɐi25
妣		pei25
揆		kʰʷɐi22
地		tei22
淚		lui22
利		lei22
類		lui22
痢		lei22
恣	恣意	ʦʰi33
恣	恣意	ʦi33
恣	恣睢	ʦi55
醉		ʦui33
翠		ʦʰui33
次		ʦʰi33
悴		ʦʰui33
自		ʦi22
嫉		ʦɐk2
萃		ʦʰui33
邃		ɬui22
邃		sui22
粹		ʦʰui33
四		ɬei33
四		sei33
肆	肆意	si33
肆	四的大寫	ɬei33
肆	四的大寫	sei33
祟	俗讀：鬼鬼祟祟	si25
祟		ɬui33
祟		sui33
駟		ɬei33
駟		sei33
遂		ɬui22
遂		sui22
穗		ɬui22
穗		sui22
彗		ʋɐi22
隧		ɬui22
隧		sui22
摯		ʦi33
至		ʦi33
出		ʦʰɐk5
嗜		si33
二		ȵi22
二		ji22
貳		ȵi22
貳		ji22
季		kʷɐi33
棄		hei33
庇		pei33
鼻		pei22
寐		mei22
屁		pʰei33
悸		kʷɐi33
尼		nɐi22
呢	呢喃	nɐi22
呢	語氣助詞	ni55
胝		ʦi55
追		ʦui55
遲		ʦʰi22
槌		ʦʰui22
椎	鐵椎	ʦʰui22
椎	脊椎	ʦui55
鎚		ʦʰui22
莉		lei22
師		si55
篩		sɐi55
篩		sai55
獅		si55
肌		kei55
龜	烏龜	kʷɐi55
龜	龜裂	kʷɐŋ55
飢		kei55
帷		ʋɐi22
悲		pei55
邳		pʰei22
麋		mei22
薇		mei22
黴	文讀	mui22
黴	白讀	mui55
黴	白讀	mou55
楣		mei22
眉		mei22
逵		kʰʷɐi22
軌		kʷɐi25
幾		kei25
晷		kʷɐi25
鄙		pʰei25
圮		pʰei25
圮		kei25
否	否定	fɐu25
否	否極泰來	pʰei25
美		mei13
膩		nɐi22
致		ʦi33
質	物質	ʦɐk5
質	人質	ʦi33
墜		ʦui22
稚		ʦi33
緻		ʦi33
帥		sui33
率	率領	sɐk5
率	效率	lɐk2
冀		kʰei33
愧		kʰʷɐi33
器		hei33
喟		ʋɐi22
懿		ji33
位		ʋɐi22
祕		pei33
費		fei33
費		fɐi33
泌		pei33
備		pei22
魅		mei22
媚		mei22
餽	同「饋」	kʰʷɐi33
櫃		kʷɐi22
饋		kʰʷɐi33
暨		kei33
匱		kʰʷɐi33
釐	釐定	lei22
釐	恭賀新釐	hei55
狸		lei22
仔	仔細	ʦi25
仔	豬仔	ʦɐi25
滋		ʦi55
孜		ʦi55
慈		ʦʰi22
思	思想	si55
思	於思	sɔi55
絲		si55
伺	窺伺	si22
伺	伺候	ʦʰi22
司		si55
詞		ʦʰi22
辭		ʦʰi22
祠		ʦʰi22
癡		ʦʰi55
持		ʦʰi22
治		ʦi22
芝		ʦi55
之		ʦi55
嗤		ʦʰi55
時		si22
詩		si55
而		ȵi22
而		ji22
居		kei55
基		kei55
箕		kei55
欺		hei55
疑		ȵi22
疑		ji22
熙		hei55
熹		hei55
嘻		hei55
嬉		hei55
禧		hei55
醫		ji55
姬		kei55
怡		ji22
臺	古代第一人稱；喜悅，通「怡」	ji22
臺	天臺。地名	tʰɔi55
貽		ji22
飴		ji22
頤		ji22
期	日期	kʰei22
期	期年；一周年	kei55
淇		kʰei22
琪		kʰei22
其		kʰei22
旗		kʰei22
裏	公里	lei13
李		lei13
理		lei13
鯉		lei13
子		ʦi25
梓		ʦi25
巳		ʦi22
似		ʦʰi13
祀		ʦi22
耜		ʦi22
姒		ʦʰi13
恥		ʦʰi25
祉		ʦi25
峙		ʦi22
仕		si22
士		si22
史		si25
使	使用	sɐi25
使	使者	si25
駛		sɐi25
止		ʦi25
趾		ʦi25
址		ʦi25
齒		ʦʰi25
市		si13
恃		ʦʰi22
始		ʦʰi25
耳		ȵi13
耳		ji13
己		kei25
紀		kei25
杞		kei25
起		hei25
擬		ȵi13
擬		ji13
喜		hei25
矣		ji13
已		ji13
以		ji13
吏		lei22
字		ʦi22
嗣		ʦʰi22
寺		ʦi22
飼		ʦʰi22
置		ʦi33
植		ʦɪk2
值		ʦɪk2
事	文讀	si22
事	白讀	ɬei22
廁		ʦʰi33
織		ʦɪk5
誌		ʦi33
識	認識	sɪk5
識	默而識之；默而識之;通「志」	ʦi33
志		ʦi33
熾		ʦʰi33
侍		si22
試		si33
試	口語變調，例如「考試」	si13
幟		ʦʰi33
餌		ȵi13
餌		ji13
記		kei33
亟	亟請	kʰei33
亟	亟需；亟待解決	kɪk5
意		ji33
食		sɪk2
異		ji22
忌		kei22
歸		kʷɐi55
嘰		kei55
饑		kei55
譏		kei55
機		kei55
磯		kei55
巍		ŋɐi22
揮		fɐi55
輝		fɐi55
希		hei55
徽		fɐi55
暉		fɐi55
稀		hei55
依		ji55
衣	衣服	ji55
衣	衣錦還鄉	ji55
威		ʋɐi55
圍		ʋɐi22
違		ʋɐi22
韋		ʋɐi22
韋	習慣讀音	ʋɐi25
飛		fei55
非		fei55
扉		fei55
肥		fei22
微		mei22
妃		fei55
菲	芳菲	fei55
菲	菲薄	fei55
祈		kʰei22
幾	幾個	kei25
幾	幾乎	kei55
鬼		kʷɐi25
豈		hei25
卉		ʋɐi25
偉		ʋɐi25
瑋		ʋɐi25
葦		ʋɐi25
煒		ʋɐi25
匪		fei25
尾	文讀	mei13
尾	白讀；後尾	mei55
娓		mei13
悱		fei25
斐		fei25
溉		kʰɔi33
既		kei33
貴		kʷɐi33
氣		hei33
魏		ŋɐi22
毅		ŋɐi22
諱		ʋɐi25
愾		kʰɔi33
蔚		ʋɐi33
慰		ʋɐi33
熨	熨斗。訓讀「燙」；熨斗	tʰɔŋ33
熨	熨貼	ʋɐk5
尉	太尉	ʋɐi33
尉	尉遲	ʋɐk5
畏		ʋɐi33
胃		ʋɐi22
渭		ʋɐi22
謂		ʋɐi22
彙		ʋui22
蝟		ʋɐi22
緯		ʋɐi25
芾	蔽芾	fɐi33
芾	蔽芾	fei33
芾	芾芾；「芾，草木盛也。」	fɐk5
沸		fɐi33
沸		fei33
翡		fei25
未		mei22
味		mei22
廬		lou22
蘆		lou22
櫚		lui25
驢		lou22
且		ʦʰɛ25
蛆		ʦui55
沮	沮喪	ʦui25
徐		ʦʰui22
豬		ʦi55
塗		tʰou22
躇		ʦʰi22
除		ʦʰui22
儲		ʦʰi13
屠		tʰou22
著	顯著	ʦi33
著	著衫	ʦiok3
著	著涼	ʦiok2
初		ʦʰɔ55
鋤		ʦʰɔ22
疏	疏通	sɔ55
蔬		sɔ55
梳		sɔ55
諸		ʦi55
藷	藷蕷；藷蕷，山藥	si22
藷	藷蔗；藷蔗，甘蔗	ʦi55
舒		si55
紓		si55
書		si55
如		ji22
茹		ji22
車	車馬炮；象棋的「車」	kei55
車	汽車	ʦʰɛ55
據	拮据	kei55
墟		hɔi55
魚		ȵi22
魚		ji22
漁		ȵi22
漁		ji22
衙		ŋa22
虛		hei55
於		ji55
予	古代第一人稱	ji22
予	給予	ji13
餘		ji22
輿		ji22
與		ji13
與	參與；句末語氣助詞	ji22
譽		ji22
餘		ji22
蜍	蠄蜍：癩蛤蟆	si22
渠		kʰei22
女		nui13
女		nui25
旅		lei13
旅		lui13
侶		lui13
呂		lui13
咀		ʦui25
咀		ʦɔi25
嶼	島嶼	ʦui22
嶼	島嶼	ji13
序		ʦui22
敘		ʦui22
緒		sui13
抒		si55
貯		ʦʰi13
杼		ʦʰi13
佇		ʦʰi13
阻		ʦɔ25
俎		ʦɔ25
楚		ʦʰɔ25
礎		ʦʰɔ25
所		sɔ25
杵		ʦʰi13
處	處理	ʦʰi25
處	住處	ʦʰi33
墅		sui13
墅		sui22
野		jɛ13
鼠		si25
暑		si25
黍		si25
汝		ji13
莒		kei25
舉		kei25
櫸		kei25
去		hɔi33
禦		ji22
語	語言；語文	ji13
語	不以語人；公語之故，且告之悔	ji22
許		hei25
距		kʰei13
巨		kei22
炬		kei22
鉅		kei22
拒		kʰei13
慮		lui22
絮		ɬui33
絮		sui33
助		ʦɔ22
署		si25
曙		si25
薯		si22
恕		si33
庶		si33
踞		kei33
據		kei33
鋸		kei33
禦		ji22
馭		ji22
菸		jiŋ55
豫		ji22
預		ji22
遽		kei22
都		tou55
圖		tʰou22
途		tʰou22
塗		tʰou22
徒		tʰou22
荼	如火如荼	tʰou22
荼	神荼；神荼鬱壘	si55
鍍		tou22
菟		tʰou33
奴		nou22
盧		lou22
顱		lou22
爐		lou22
租		ʦou55
蘇		ɬou55
蘇		sou55
酥		ɬou55
酥		sou55
穌		ɬou55
穌		sou55
辜		ku55
箍		kʰu55
孤		ku55
呱	頂呱呱	kʷa55
呱	呱呱墜地	ku55
沽		ku55
姑		ku55
枯		kʰu55
蜈		ŋ̍22
梧		ŋ̍22
吾		ŋ̍22
吳		ŋ̍22
呼		fu55
糊		fu22
瑚		fu22
胡		fu22
瓠		fu22
壺		fu22
湖		fu22
弧		fu22
葫		fu22
狐		fu22
乎		fu22
嗚		ʋu55
烏		ʋu55
惡	惡毒	ɔk3
惡	可惡	ʋu33
惡	惡乎；如何、怎麼；表示驚訝的語氣	ʋu55
樸	文讀	pʰɔk3
樸	訓讀，用作量詞「捆」、「把」，常用於修飾蔬菜；或借自遂城黎話	pʷɐk2
菩	菩提	pʰou22
菩	菩薩	pʰɔ22
匍		pʰou22
蒲		pʰou22
模		mou55
摸		mɔ55
膜	薄膜	mɔk2
膜	膜拜	mou22
睹		tou25
堵		tou25
賭		tou25
土		tʰou25
吐		tʰou33
肚		tʰou13
杜		tou22
努		nou13
怒		nou22
弩		nou13
弩		nou22
擄		lou13
虜		lou13
滷		lou13
魯		lou13
櫓		lou13
組		ʦou25
祖		ʦou25
粗		ʦʰou55
詁		ku25
鼓		ku25
估	估計	ku55
估	估計	ku25
估	估衣	ku33
古		ku25
股		ku25
賈	商賈	ku25
賈	賈姓	ka25
苦		fu25
午		ŋ̍13
五		ŋ̍13
伍		ŋ̍13
琥		fu25
虎		fu25
滸		fu25
雇		ku33
滬		fu22
扈		fu22
戶	文讀	fu22
戶	白讀；用作量詞「戶」	fu13
塢	山塢	ʋu55
圃		pʰou25
譜		pʰou25
補		pou25
簿		pou22
部		pou22
媽		ma55
莽		mɔŋ13
浦		pʰou25
普		pʰou25
妒		tou22
兔		tʰou33
渡		tou22
度	度量衡	tou22
度	量度	tɔk2
路		lou22
鷺		lou22
露		lou22
賂		lɔk3
作		ʦɔk3
措		ʦʰɔ33
醋		ʦʰou33
厝		ʦʰɔ33
錯	錯誤	ʦʰɔ33
訴		ɬou33
訴		sou33
塑		ɬɔk3
塑		sɔk3
素		ɬou33
素		sou33
固		ku33
鯝		ku33
故		ku33
顧		ku33
錮		ku33
庫		fu33
悟		ŋ̍22
寤		ŋ̍22
誤		ŋ̍22
晤		ŋ̍22
互		fu22
護		fu22
布		pou33
佈		pou33
步		pou22
捕		pʰou25
哺		pou25
慕		mou22
墓		mou22
暮		mou22
募		mou22
怖		pou33
摟		lɐu25
鏤		lɐu22
趨		ʦʰui55
鬚		ɬou55
鬚		sou55
需		ɬui55
需		sui55
須		ɬui55
須		sui55
娶		ʦʰui25
株		ʦi55
列		lik2
蛛		ʦi55
廚		ʦʰi22
廚		ʦʰui22
雛		ʦʰɔ22
朱		ʦi55
珠		ʦi55
侏		ʦi55
樞		si55
殊		si22
茱		ʦi55
輸		si55
嚅		ji22
儒		ji22
懦		nɔ22
俱	傢俱	kei22
俱	俱樂部	kʰei55
拘		kʰei55
嶇		kʰei55
軀		kʰei55
驅		kʰei55
摳		kʰɐu55
區	區別	kʰei55
區	區姓；姓氏	ɐu55
隅		ji22
虞		ji22
愚		ji22
娛		ji22
籲	籲唏	hei55
於		ji55
汙		ʋu55
迂		ji55
芋		ʋu22
盂		ji22
萸		ji22
逾		ji22
瑜		ji22
榆		ji22
諛		ji22
舀		jiu25
渝		ji22
愉		ji22
膚		fu55
夫	農夫	fu55
夫	古代指示詞、代詞、助詞	fu22
符		fu22
芙		fu22
苻		fu22
扶		fu22
蕪		mou22
無		mou22
巫		mou55
誣		mou55
毋		mou22
鋪	鋪張	pʰou55
鋪	店鋪	pʰou33
孵		fu55
敷		fu55
俘		fu55
瞿	瞿塘峽	kʰei22
