字	注释	音
湃		pai33
厲		lei22
例		lɐi22
蠣		lɐi22
勵		lɐi22
際		ʦɐi33
祭		ʦɐi33
脆		ʦʰui33
歲		ɬui33
歲		sui33
制		ʦɐi33
贅		ʦui22
製		ʦɐi33
掣		ʦɐi33
逝		sɐi22
噬		sɐi22
誓		sɐi33
說		sik3
說	説客	sui33
說	通「悅」：學而時習之，不亦說乎！	jik2
世		sɐi33
蛻		tʰui33
稅		sui33
勢		sɐi33
鈉		nap2
藝		ŋɐi22
洩	排洩；同「泄」	ɬik3
洩	排洩；同「泄」	sik3
洩	洩洩	jɐi22
銳		jui22
曳		jɐi22
泄		ɬik3
泄		sik3
裔		jui22
蔽		pɐi33
彆		pik2
敝		pɐi22
斃		pɐi22
弊		pɐi22
幣		pɐi22
輟		ʦik3
啜		ʦik3
綴	點綴	ʦui33
滯	文讀：「滯留」	ʦɐi33
滯	白讀，表示「飽了，膩了」；鬱滯	ʦɐi22
鱖		kʰik3
憩		hei33
揭		kʰik3
衛		ʋɐi22
柢		tɐi25
低		tɐi55
梯		tʰɐi55
蹄		tʰɐi22
啼		tʰɐi22
締		tɐi33
題		tʰɐi22
折	骨折	ʦik3
折	折本	sik2
泥	泥土	nɐi22
犁		lɐi22
黎		lɐi22
擠		ʦɐi55
妻		ʦʰɐi55
萋		ʦʰɐi55
淒		ʦʰɐi55
悽		ʦʰɐi55
齊	整齊	ʦʰɐi22
齊	齊衰	ʦi55
臍		ʦʰi22
棲		ʦʰɐi55
犀		ɬɐi55
犀		sɐi55
撕		si55
西		ɬɐi55
西		sɐi55
嘶		si55
圭		kʷɐi55
雞		kɐi55
閨		kʷɐi55
鮭		kʷɐi55
稽	無稽之談；稽查	kʰɐi55
稽	稽首	kʰɐi25
溪		kʰɐi55
睽		kʰʷɐi22
谿		kʰɐi55
霓		ŋɐi22
倪		ŋɐi22
奚		hɐi22
攜		kʰʷɐi22
兮		hɐi22
畦		kʰʷɐi22
迷		mɐi22
批		pʰɐi55
抵		tɐi25
牴		tɐi25
底		tɐi25
邸		tɐi25
涕		tʰɐi33
體		tʰɐi25
遞		tɐi22
弟		tɐi22
弟	對於年輕後生的稱呼	ti25
豊		lɐi13
禮		lɐi13
濟	人才濟濟	ʦɐi33
濟	救濟	ʦɐi33
洗		ɬɐi25
洗		sɐi25
陛		pɐi22
米		mɐi13
帝		tɐi33
嚏		tʰɐi33
諦		tɐi33
剃		tʰɐi33
替		tʰɐi33
逮		tɐi22
第		tɐi22
捩	琵琶撥法	lɐi22
捩	捩手；捩轉；捩手	lik2
隸		tɐi22
戾		lui22
砌		ʦʰɐi33
切	一切	ʦʰɐi33
切	急切	ʦʰik3
切	借自遂城黎話，表示「親吻；疼愛」	ʦʰɔi55
細		ɬɐi33
細		sɐi33
髻		kɐi33
桂		kʷɐi33
計		kɐi33
繫	聯繫	hɐi22
繫	繫鞋帶；繫鈕	kɐi33
繼		kɐi33
係		hɐi22
契	契約	kʰɐi33
契	契丹	kʰik3
羿		ŋɐi22
蕙		ʋɐi22
系		hɐi22
惠		ʋɐi22
慧	智慧	ʋɐi33
閉		pɐi33
謎		mɐi22
媲		pʰei33
胎		tʰɔi55
臺		tʰɔi22
檯		tʰɔi22
苔	青苔	tʰɔi22
苔	舌苔	tʰɔi55
能		nɐŋ22
來		lɔi22
來		lui22
萊		lɔi22
災		ʦɔi55
哉		ʦɔi55
栽		ʦɔi55
猜		ʦʰai55
材		ʦʰɔi22
財		ʦʰɔi22
裁		ʦʰɔi22
才		ʦʰɔi22
鰓		ɬɔi55
鰓		sɔi55
該		kɔi55
賅		kɔi55
開		hɔi55
皚		ŋɔi22
皚		ɔi25
孩		hai22
咳	咳嗽	kʰɐk5
咳	小兒笑；咳！我昨天沒去醫院。	hɔi22
唉		ai55
哀		ɔi55
埃		ai55
欸	語氣助詞，緊跟主語後或者短句末尾，用於停頓	ɛ22
欸	感歎	ei22
欸	嘆詞，表示詫異	ei25
等		tɐŋ25
怠		tɔi22
待		tɔi22
殆		tɔi22
迺		nai13
乃		nai13
載	記載	ʦɔi33
宰		ʦɔi25
採		ʦʰɔi25
采		ʦʰɔi25
彩		ʦʰɔi25
綵		ʦʰɔi25
在	文讀	ʦɔi22
在	語氣助詞，表示強調，如「ang2 未在」=「還沒有」	ʦʰui33
在	白讀	ʦʰɔi13
改		kɔi25
凱		hɔi25
海		hɔi25
亥		hɔi22
戴		tai33
態		tʰai33
貸		tʰai33
岱		tɔi22
代		tɔi22
袋		tɔi22
黛		tɔi22
耐	好耐：（時間）好久	nɔi22
耐	耐藥	nai22
睞		lɔi22
再		ʦɔi33
菜		ʦʰɔi33
塞	塞車	ɬɐk5
塞	塞車	sɐk5
塞	塞外	ʦʰɔi33
塞	訓讀：阻礙、阻塞；「塞埞」	tʰɐk5
賽		ɬɔi33
賽		sɔi33
概		kʰɔi33
慨		kʰɔi33
礙		ŋɔi22
愛		ɔi33
搥		ʦʰui22
堆		tui55
敦		tɐŋ55
頹		tʰui22
雷		lui22
儡		lui13
鐳		lui22
崔		ʦʰui55
催		ʦʰui55
摧		ʦʰui55
蓑		sɔ55
傀	傀儡	kʰʷɐi25
傀	傀偉	kʷɐi25
恢		fui55
魁		fui55
盔		kʰʷɐi55
桅		ʋɐi22
嵬		ŋɐi22
灰		fui55
回		ʋui22
瑰	玫瑰	kʷɐi33
瑰	瑰麗	kʷɐi55
洄		ʋui22
迴		ʋui22
徊		ʋui22
偎		ʋui55
杯		pui55
盃		pui55
陪		pʰui22
徘		pʰui22
培		pʰui22
媒		mui22
莓		mui22
梅		mui22
枚	口語變調，用作量詞	mui55
枚	本調，見「不勝枚舉」	mui22
煤		mui22
腿		tʰui25
餒		nui13
蕾		lui13
璀		ʦʰui25
罪		ʦui22
悔		fui25
賄		fui25
蓓		pʰui13
倍		pʰui13
每		mui13
啡		fɛ55
對		tui33
退		tʰui33
隊		tui22
內		nɔi22
淬		ʦʰui33
碎		ɬui33
碎		sui33
塊		fai33
誨		fui25
晦		fui25
潰		kʰʷui33
潰		kʰʷui25
輩		pui33
背	背書	pui22
背	背後；背脊	pui33
悖		pui33
珮		pʰui33
佩		pʰui33
妹		mui22
妹	對年輕女性的稱呼	mui55
昧		mui22
配		pʰui33
麟		lɐŋ22
掄		lɐŋ22
磷		lɐŋ22
鄰		lɐŋ22
輪		lɐŋ22
論	討論	lɐŋ22
論	論語	lɐŋ22
倫		lɐŋ22
綸	垂綸	lɐŋ22
綸	綸巾	kʷaŋ55
鱗		lɐŋ22
淪		lɐŋ22
遵		ʦiŋ55
津		ʦɐŋ55
竣		ʦɐŋ33
親	親人	ʦʰɐŋ55
親	親家	ʦʰɐŋ33
秦		ʦʰɐŋ22
薪		ɬɐŋ55
薪		sɐŋ55
詢		ɬɐŋ22
詢		ɬɐŋ55
新		ɬɐŋ55
新		sɐŋ55
辛		ɬɐŋ55
辛		sɐŋ55
巡		sɐŋ22
巡		ʦʰɐŋ22
馴		sɐŋ22
旬		sɐŋ22
循		ʦʰɐŋ22
肫		ʦɐŋ55
振		ʦɐŋ33
諄		ʦɐŋ55
真		ʦɐŋ55
甄		jɐŋ55
瞋		ʦʰɐŋ55
春		ʦʰɐŋ55
淳		sɐŋ22
醇		sɐŋ22
辰		sɐŋ22
臣		sɐŋ22
宸		sɐŋ22
純		sɐŋ22
鶉	鵪鶉，鵪鶉蛋	ʦʰɐŋ55
晨		sɐŋ22
身		sɐŋ55
申		sɐŋ55
伸		sɐŋ55
紳		sɐŋ55
呻		sɐŋ55
脣		sɐŋ22
神		sɐŋ22
人		ȵɐŋ22
人		jɐŋ22
仁		ȵɐŋ22
仁		jɐŋ22
鈞		kʰʷɐŋ55
均		kʰʷɐŋ55
因		jɐŋ55
茵		jɐŋ55
姻		jɐŋ55
勻	文讀	ʋɐŋ22
勻	白讀	jɐŋ22
濱		pɐŋ55
檳		pɐŋ55
賓		pɐŋ55
蘋		pʰɪŋ22
頻		pʰɐŋ22
民		mɐŋ22
繽		pɐŋ55
盡		ʦɐŋ22
筍		ɬɐŋ25
筍		sɐŋ25
疹		ʦʰɐŋ25
診		ʦʰɐŋ25
准		ʦɐŋ25
準		ʦɐŋ25
賑		ʦɐŋ33
蠢		ʦʰɐŋ25
腎		sɐŋ13
盾		tɐŋ22
盾		tʰɐŋ13
忍		ȵɐŋ13
忍		jɐŋ13
緊		kɐŋ25
蚓		jɐŋ13
允		ʋɐŋ13
尹		ʋɐŋ13
引		jɐŋ13
臏		pɐŋ55
臏		pɐŋ33
藺		lɐŋ22
遴		lɐŋ22
吝		lɐŋ22
進		ʦɐŋ33
俊		ʦɐŋ33
晉		ʦɐŋ33
駿		ʦɐŋ33
訊		ɬɐŋ33
訊		sɐŋ33
峻		ʦɐŋ33
迅		ɬɐŋ33
迅		sɐŋ33
信		ɬɐŋ33
信		sɐŋ33
殉		sɐŋ55
殉		sɐŋ22
震		ʦɐŋ33
盹		tɐŋ22
慎		sɐŋ22
舜		sɐŋ22
舜		sɐŋ33
瞬		sɐŋ22
瞬		sɐŋ33
順		sɐŋ22
仞		ȵɐŋ22
仞		jɐŋ22
閏		ȵɐŋ22
閏		jɐŋ22
刃		ȵɐŋ22
刃		jɐŋ22
認		ȵɐŋ22
認		jɐŋ22
潤		ȵɐŋ22
潤		jɐŋ22
韌		ȵɐŋ22
韌		jɐŋ22
印		jɐŋ33
鬢		pɐŋ33
栗		lɐk2
律		lɐk2
慄		lɐk2
卒	士卒；身先士卒	ʦɐk5
卒	倉卒	ʦʰʊk5
唧		ʦɪk5
柒		ʦʰɐk5
七		ʦʰɐk5
漆		ʦʰɐk5
疾		ʦɐk2
窸		ɬɪk5
窸		sɪk5
悉		ɬɪk5
悉		sɪk5
膝		ɬɐk5
膝		sɐk5
恤		ɬɐk5
恤		sɐk5
蟋		ɬɪk5
蟋		sɪk5
戌		ɬɐk5
戌		sɐk5
失		sɐk5
室		sɐk5
朮		sɐk2
實		sɐk2
述		sɐk2
術		sɐk2
日		ȵɐk2
日		jɐk2
橘		kɐk5
吉		kɐk5
拮		kik3
壹		jɐk5
一		jɐk5
逸		jɪk2
逸		jɐk2
溢		jɪk5
佚		jɪk2
佚		jɐk2
鷸		ʋɐk2
必		pik5
畢		pɐk5
謐		mɐk2
蜜		mɐk2
匹		pʰɐk5
紉		ȵɐŋ22
紉		jɐŋ22
填		tʰiŋ22
屯		tʰiŋ22
屯		tʰiŋ22
珍		ʦɐŋ55
鎮		ʦɐŋ33
塵		ʦʰɐŋ22
陳		ʦʰɐŋ22
趁		ʦʰɐŋ33
巾		kɐŋ55
銀		ŋɐŋ22
垠		ŋɐŋ22
份		fɐŋ22
彬		pɐŋ55
貧		pʰɐŋ22
岷		mɐŋ22
閩		mɐŋ13
隕		ʋɐŋ13
憫		mɐŋ13
敏		mɐŋ13
窘		kʰʷɐŋ33
菌		kʰʷɐŋ25
陣		ʦɐŋ22
襯		ʦʰɐŋ33
瑾		kɐŋ25
僅		kɐŋ25
暱		nɪk5
暱		nɪk2
茁		ʦik3
窒		ʦɐk2
怵		ʦɐk5
秩		tik2
姪		ʦɐk2
蟀		sɐk5
乙		jik3
筆		pɐk5
密		mɐk2
櫛		ʦik3
瑟		sɐk5
蝨		sɐk5
吞		tʰɐŋ55
跟		kɐŋ55
根		kɐŋ55
痕		hɐŋ22
恩		jɐŋ55
墾		hɐŋ25
懇		hɐŋ25
很		hɐŋ25
恨		hɐŋ22
墩		tɐŋ55
燉		tɐŋ22
臀		tʰiŋ22
豚		tʰiŋ22
沌		tɐŋ22
尊		ʦiŋ55
村		ʦʰiŋ55
蹲	習讀音	tɐŋ55
蹲	音「存」	ʦʰiŋ22
存		ʦʰiŋ22
孫		ɬiŋ55
孫		siŋ55
孫	謙卑、恭順;「民有孫心。」	ɬɐŋ33
孫	謙卑、恭順;「民有孫心。」	sɐŋ33
飧		ɬiŋ55
飧		siŋ55
昆		kʰʷɐŋ55
坤		kʰʷɐŋ55
昏		fɐŋ55
婚		fɐŋ55
渾	渾人，雄渾	ʋɐŋ22
渾	同「混」	ʋɐŋ22
溫		ʋɐŋ55
奔		pɐŋ55
盆		pʰuŋ22
門		muŋ22
噴		pʰɐŋ33
遁		tɐŋ22
忖		ʦʰiŋ25
鱒		ʦiŋ55
損		ɬiŋ25
損		siŋ25
壼		kʰʷɐŋ25
棍		kʷɐŋ33
混		ʋɐŋ22
穩		ʋɐŋ25
本		puŋ25
笨		pɐŋ22
畚		puŋ25
頓	安頓	tɐŋ22
頓	冒頓	tʊk2
鈍		tɐŋ22
嫩		niŋ22
寸		ʦʰiŋ33
遜		ɬɐŋ33
遜		sɐŋ33
困		kʰʷɐŋ33
悶		muŋ22
咄		tɐk5
突		tɐk2
凸	文讀	tɐk2
凸	白讀；飽凸，「非常飽」之意	tʰɐk2
屑		ɬik3
屑		sik3
窣		ɬɐk5
窣		sɐk5
骨		kʷɐk5
滑	光滑	ʋak2
窟	洞窟	kʰʷɐk5
窟	洞窟	ʋɐk5
窟	屎窟	fɐk5
兀		ŋɐk2
惚		fɐk5
忽		fɐk5
脖		puk2
渤		puk2
勃		puk2
沒		muk2
沒	訓讀，表｛順走｝，或借自遂城黎話	mʷɐk5
筋		kɐŋ55
斤		kɐŋ55
齦		ŋɐŋ22
欣		jɐŋ55
殷	殷切	jɐŋ55
殷	殷紅	jiŋ55
芹		kʰɐŋ22
勤		kʰɐŋ22
槿		kɐŋ25
謹		kɐŋ25
隱		jɐŋ25
近	好近；文讀；最近	kɐŋ22
近	靠近；白讀；遠近	kʰɐŋ13
吃	口吃；啞～: 講話結巴	kɐk5
吃	吃飯	hiɐk3
乞		hɐk5
屹		ŋɐk2
迄		ŋɐk2
軍		kʷɐŋ55
君		kʷɐŋ55
薰		fɐŋ55
醺		fɐŋ55
燻		fɐŋ55
勛		fɐŋ55
蘊		ʋɐŋ13
雲		ʋɐŋ22
雲		ʋɐŋ22
芸		ʋɐŋ22
員		jiŋ22
耘		ʋɐŋ22
分	分開	fɐŋ55
分	本分	fɐŋ22
扮		paŋ22
焚		fɐŋ22
墳		fɐŋ22
頒		paŋ55
氛		fɐŋ55
聞		mɐŋ22
文	文字	mɐŋ22
文	文過	mɐŋ22
蚊		mɐŋ55
紋		mɐŋ22
芬		fɐŋ55
紛		fɐŋ55
醞		ʋɐŋ13
粉		fɐŋ25
憤		fɐŋ13
刎		mɐŋ13
吻		mɐŋ13
忿		fɐŋ13
訓		fɐŋ33
訓		fɐŋ13
運		ʋɐŋ22
韻		ʋɐŋ13
暈	日暈	ʋɐŋ22
暈	頭暈	ʋɐŋ22
糞		fɐŋ33
奮		fɐŋ13
拚		pʰuŋ33
問		mɐŋ22
紊		mɐŋ22
郡		kʷɐŋ22
郡		kʷɐŋ33
屈	文讀	ʋɐk5
屈	白讀：使彎曲	kʰʷɐk5
鬱		ʋɐk5
弗		fɐk5
弗		fɐk2
佛	佛教	fɐk2
佛	仿佛	fɐk5
物		mɐk2
勿		mɐk2
拂		fɐk2
彿		fɐk5
掘		kʷɐk2
倔		kʷɐk2
崛		kʷɐk2
端		tiŋ55
單	單純	taŋ55
單	單姓	siŋ22
殫		taŋ55
丹		taŋ55
湍		tʰɐŋ55
嘆		tʰaŋ33
攤		tʰaŋ55
灘		tʰaŋ55
團		tʰiŋ22
壇		tʰaŋ22
檀		tʰaŋ22
彈	彈劾；彈琴	tʰaŋ22
彈	彈丸；子彈	taŋ22
但		taŋ22
難	困難	naŋ22
闌		laŋ22
巒		liŋ22
蘭		laŋ22
瀾		laŋ22
攔		laŋ22
欄		laŋ22
欄	口語變調：豬欄（豬圈）	laŋ55
鑽		ʦiŋ33
餐		ʦʰaŋ55
殘		ʦʰaŋ22
跚		saŋ55
酸		ɬiŋ55
酸		siŋ55
珊		saŋ55
痠		ɬiŋ55
痠		siŋ55
姍		saŋ55
棺		kuŋ55
奸		kaŋ55
肝		kɔŋ55
竿		kɔŋ55
觀	參觀	kuŋ55
觀	道觀	kuŋ33
冠	衣冠	kuŋ55
冠	冠軍	kuŋ33
官		kuŋ55
貫		kuŋ33
倌		kuŋ55
乾	乾燥	kɔŋ55
乾	乾坤	kʰiŋ22
幹		kɔŋ55
刊		hɔŋ13
寬		fuŋ55
看	看守	hɔŋ55
看	看待	hɔŋ33
歡		fuŋ55
鼾		hɔŋ22
汗	流汗	hɔŋ22
汗	可汗	hɔŋ22
桓		ʋuŋ22
翰		hɔŋ33
翰		hɔŋ22
院		jiŋ22
寒		hɔŋ22
完		jiŋ22
韓		hɔŋ22
丸		jiŋ22
安		ɔŋ55
般	一般	puŋ55
般	般若	pɔ55
般	般樂；般桓：徘徊、流連不進	pʰuŋ22
蹣		pʰuŋ22
盤		pʰuŋ22
饅		maŋ22
蔓	藤蔓	maŋ22
蔓	蔓菁	maŋ22
鰻		maŋ22
瞞		muŋ22
曼		maŋ22
拌		puŋ33
拌		puŋ22
潘		pʰuŋ55
斷	恩斷義絕；斷斷續續	tʰiŋ13
斷	［白］；判斷	tiŋ22
短		tiŋ25
坦		tʰaŋ25
瘓		ʋuŋ22
誕		taŋ33
袒		tʰaŋ25
緞		tiŋ22
暖		niŋ13
懶		laŋ13
卵	卵子	liŋ13
卵	卵脬：「陰囊」	lɐm55
散	散文	ɬaŋ25
散	散文	saŋ25
散	散步	ɬaŋ33
散	散步	saŋ33
算		ɬiŋ33
算		siŋ33
傘		ɬaŋ25
傘		saŋ25
管		kuŋ25
稈		kɔŋ25
侃		hɔŋ25
款		fuŋ25
棵		kʰɔ55
棵	訓讀	pʰɔ55
浣		ʋuŋ13
旱		hɔŋ13
緩		ʋuŋ22
粄		paŋ25
伴		puŋ22
滿		muŋ13
旦	元旦	taŋ33
鍛		tiŋ22
歎		tʰaŋ33
炭		tʰaŋ33
憚		taŋ22
段		tiŋ22
亂		liŋ22
爛		laŋ22
讚		ʦaŋ33
贊		ʦaŋ33
璨		ʦʰaŋ33
燦		ʦʰaŋ33
竄		ʦʰiŋ33
蒜		ɬiŋ33
蒜		siŋ33
鸛		kuŋ33
杆		kɔŋ55
罐		kuŋ33
館		kuŋ25
灌		kuŋ33
幹		kɔŋ33
岸		ŋɔŋ22
玩	玩弄	ʋaŋ25
奐		ʋuŋ22
喚		ʋuŋ22
漢		hɔŋ33
煥		ʋuŋ22
換		ʋuŋ22
悍		hɔŋ13
瀚		hɔŋ22
瀚		hɔŋ33
案		ɔŋ33
按		ɔŋ33
腕		ʋuŋ25
惋		ʋuŋ25
晏		aŋ33
半		puŋ33
絆		puŋ22
絆		puŋ33
叛		pʰuŋ33
畔		pʰuŋ33
漫		maŋ22
幔		maŋ22
判		pʰuŋ33
胖	肥胖	pʰuŋ33
胖	心廣體胖	pʰuŋ22
達		tak2
奪		tik2
脫		tʰik3
捺		nak2
撮		ʦʰik3
薩		ɬak3
薩		sak3
聒		kʰuk3
割		kɔk3
活		ʋuk2
括		kʰuk3
葛		kɔk3
闊		fuk3
渴		hɔk3
豁		kʰuk3
褐		hɔk3
遏		ak3
撥	撥號	puk3
撥	撥涼	pʰuk3
跋		pɐk2
末		muk2
抹	塗抹；抹茶	muk2
抹	抹檯；抹布	mak3
源		jiŋ22
元		jiŋ22
阮		jiŋ13
阮		jiŋ25
原		jiŋ22
言		jiŋ22
掀		hiŋ55
軒		hiŋ55
喧		hiŋ55
喧		ɬiŋ55
暄		hiŋ55
暄		ɬiŋ55
鴛		jiŋ55
焉	焉知非福	jiŋ55
焉	心不在焉	jiŋ55
冤		jiŋ55
怨		jiŋ33
宛	宛然	ʋuŋ25
宛	大宛	jiŋ55
蜿		ʋuŋ25
園		jiŋ22
援		ʋuŋ22
轅		jiŋ22
猿		jiŋ22
袁		jiŋ22
垣		ʋuŋ22
藩		faŋ55
藩		faŋ22
樊		faŋ22
繁		faŋ22
蟠		pʰuŋ22
番		faŋ55
蕃	蕃盛	faŋ22
蕃	吐蕃	faŋ55
煩		faŋ22
反		faŋ25
翻	文讀	faŋ55
翻	白讀	fiɛŋ55
翻	白讀：翻動。翻書。	pʰiɛŋ55
堰		jiŋ33
苑		jiŋ25
鼴		jiŋ25
婉		ʋuŋ25
婉		jiŋ25
遠	遠方	jiŋ13
阪		paŋ25
返		faŋ25
飯		faŋ22
挽	挽救	ʋaŋ13
挽	冇得挽「沒有挽救的餘地」	maŋ55
輓		ʋaŋ13
晚		maŋ13
圈	圓圈	hiŋ55
建		kiŋ33
券		kiŋ33
勸		hiŋ33
願		jiŋ22
憲		hiŋ33
販		faŋ33
萬		maŋ22
健		kiŋ22
健		kiŋ33
撅		kʰik3
蕨		kʰik3
闕		kʰik3
月		ȵik2
月		jik2
歇		hik3
粵		jik2
曰		jik2
曰		jɔk3
越		jik2
髮		fak3
發		fak3
罰		fak2
罰		fɐk2
拔		pak2
拔		pɐk2
筏		fak2
伐		fak2
襪		mɐk2
竭		kʰik3
訕		saŋ33
刪		saŋ55
關		kʷaŋ55
姦		kaŋ55
頑		ʋaŋ22
顏		ŋaŋ22
環		ʋaŋ22
寰		ʋaŋ22
鬟		ʋaŋ22
還		ʋaŋ22
灣		ʋaŋ55
彎		ʋaŋ55
斑		paŋ55
班		paŋ55
蠻		maŋ22
攀		pʰaŋ55
撰		ʦaŋ22
板		paŋ25
版		paŋ25
柵	木柵；柵欄	ʦʰak3
柵	柵極；光柵	saŋ55
慣		kʷaŋ33
澗		kaŋ33
諫		kaŋ25
串		ʦʰiŋ33
雁		ŋaŋ22
患		ʋaŋ22
慢		maŋ22
刷		sak3
刷		ʦʰak3
刮		kʷak3
瞎		hɐk2
舌		sik2
帕		pʰak3
斕		laŋ22
潺		saŋ22
山		saŋ55
閒		haŋ22
艱		kaŋ55
湲		ʋuŋ22
盞		ʦaŋ25
鏟		ʦʰaŋ25
棧		ʦaŋ25
產		ʦʰaŋ25
揀		kaŋ25
簡		kaŋ25
眼		ŋaŋ13
限		haŋ22
綻		ʦaŋ22
綻		ʦaŋ33
幻		ʋaŋ22
瓣		paŋ22
辦		paŋ22
盼		pʰaŋ33
劄		ʦak3
紮		ʦak3
紮		ʦak3
察		ʦʰak3
煞		sak3
嘎		kak3
楔		sik3
頡		kʰik3
黠		hɐk2
猾		ʋak2
揠		ak3
軋		ʦak3
捌		pak3
八		pak3
連		liŋ22
令	令狐	lɪŋ22
漣		liŋ22
煎		ʦiŋ55
遷		ʦʰiŋ55
詮		ʦʰiŋ22
拴		saŋ55
拴		ʦʰiŋ22
銓		ʦʰiŋ22
痊		ʦʰiŋ22
全		ʦʰiŋ22
錢		ʦʰiŋ22
泉		ʦʰiŋ22
鮮	鮮美	ɬiŋ55
鮮	鮮美	siŋ55
鮮	鮮有	ɬiŋ25
鮮	鮮有	siŋ25
仙		ɬiŋ55
仙		siŋ55
宣		ɬiŋ55
宣		siŋ55
旋		ɬiŋ22
旋		siŋ22
旋	髮旋	ʦiŋ22
專		ʦiŋ55
氈		ʦiŋ55
川		ʦʰiŋ55
穿		ʦʰiŋ55
蟬		sim22
禪	禪師	sim22
扇		siŋ33
煽		siŋ33
船		siŋ22
燃		jiŋ22
然		jiŋ22
嬛	便嬛	hiŋ55
嬛	美好；「孤獨」之意	kʰɪŋ22
嬛	嫏嬛	ʋaŋ22
娟		kiŋ55
筵		jiŋ22
鳶		jiŋ55
蜒		jiŋ22
捐		kiŋ55
鉛		jiŋ22
緣		jiŋ22
沿		jiŋ22
延		jiŋ22
鞭		piŋ55
便	便利；文讀：便利	piŋ22
便	大腹便便；白讀：便宜	pʰiɐŋ22
平	文讀	pʰɪŋ22
棉		miŋ22
綿		miŋ22
翩		pʰiŋ55
篇		pʰiŋ55
偏		pʰiŋ55
扁	扁平；文讀	piŋ25
扁	白讀	piɛŋ25
扁	一葉扁舟	pʰiŋ55
剪		ʦiŋ25
翦		ʦiŋ25
踐	實踐	ʦiŋ25
踐	踐踏	ʦiŋ22
雋	同「俊」字	ʦɐŋ33
雋	雋永	siŋ13
餞		ʦiŋ22
選		ɬiŋ25
選		siŋ25
蘚		ɬiŋ25
蘚		siŋ25
闡		sim22
舛		ʦʰiŋ25
喘		ʦʰiŋ25
善		siŋ22
善		sim22
軟		ȵiŋ13
軟		jiŋ13
遣		hiŋ25
衍		jiŋ25
演		jiŋ25
緬		miŋ13
戀		liŋ25
箭		ʦiŋ33
賤		ʦiŋ22
渲		ɬiŋ33
渲		siŋ33
線		ɬiŋ33
線		siŋ33
顫		ʦʰaŋ33
戰		ʦiŋ33
擅		siŋ22
繕		siŋ22
繕		sim22
絹		kiŋ55
譴		hiŋ25
面		miŋ22
劣		lik2
冽		lik2
烈		lik2
裂	文讀	lik2
裂	白讀	liɛk2
絕		ʦik2
雪		ɬik3
雪		sik3
薛		ɬik3
薛		sik3
浙		ʦik3
拙		ʦik3
設		sik3
熱		ȵik2
熱		jik2
悅		jik2
閱		jik2
滅		mik2
鏈		liŋ22
傳	傳播	ʦʰiŋ22
傳	自傳	ʦiŋ22
纏		ʦʰiŋ22
栓		ʦʰiŋ22
騫		hiŋ55
嫣		jiŋ55
圓		jiŋ22
捲		kiŋ25
虔		kʰiŋ22
蜷		kʰiŋ22
鍵		kiŋ33
權		kʰiŋ22
卷	試卷	kiŋ25
拳		kʰiŋ22
展		ʦiŋ25
輾	輾轉	ʦiŋ25
輾	輾穀；同“碾”，軋	ŋiɛŋ25
轉	轉變	ʦiŋ25
轉	自轉；車輪飛轉	ʦiŋ33
辨		piŋ22
辯		piŋ22
冕		miŋ13
免		miŋ13
勉		miŋ13
件		kiŋ22
碾	文讀	ʦiŋ25
碾	文讀	ŋiŋ25
碾	白讀	ŋiɛŋ25
眷		kiŋ33
這		ʦɛ25
諺		jiŋ22
彥		jiŋ22
變		piŋ33
汴		piŋ22
倦		kiŋ22
倦		kiŋ33
吶		nap2
哲		ʦik3
轍		ʦʰik3
撤		ʦʰik3
徹	文讀	ʦʰik3
徹	白讀，僅用於「凍～」一詞，表示物體溫度徹底冷卻	tʰiɛk3
澈		ʦʰik3
別		pik2
傑		kik2
傑		kik2
癲		tiŋ55
巔		tiŋ55
顛		tiŋ55
天		tʰiŋ55
闐		tʰiŋ22
田		tʰiŋ22
佃	佃作	tʰiŋ22
佃	佃農	tiŋ22
年		niŋ22
零	文讀	lɪŋ22
零	白讀	liɐŋ22
蓮		liŋ22
憐		liŋ22
淺		ʦʰiŋ25
箋		ʦiŋ55
濺	飛濺	ʦiŋ33
仟		ʦʰiŋ55
阡		ʦʰiŋ55
千		ʦʰiŋ55
前		ʦʰiŋ22
先		ɬiŋ55
先		siŋ55
肩		kiŋ55
堅		kiŋ55
涓		kiŋ55
鵑		kiŋ55
縴		hiŋ55
牽		hiŋ55
妍		jiŋ22
研		jiŋ22
眩		hiŋ22
縣		jiŋ22
縣	習讀音	jiŋ25
絃		hiŋ22
懸		hiŋ22
賢		hiŋ22
弦		hiŋ22
玄		hiŋ22
燕	燕子	jiŋ33
燕	燕國	jiŋ55
淵		jiŋ55
咽	咽喉	jiŋ55
咽	狼吞虎嚥	jiŋ33
咽	哽咽	jik3
煙	文讀	jiŋ55
煙	（罕見）白讀	ʔiŋ55
邊		piŋ55
蝙		piŋ55
編		pʰiŋ55
編		piŋ55
胼		pʰɪŋ22
眠		miŋ22
典		tiŋ25
腆		tʰiŋ25
靦	靦顏事仇	miŋ13
繭		kaŋ25
犬		hiŋ25
顯		him25
顯		hiŋ25
宴		jiŋ33
匾	文讀	piŋ25
匾	白讀	piɛŋ25
辮		piŋ55
唸	呻吟	nim22
奠		tiŋ22
電		tiŋ22
殿		tiŋ22
甸		tiŋ22
澱		tiŋ22
練		liŋ22
鍊		liŋ22
薦		ʦiŋ33
倩		siŋ22
倩		sim22
薦		ʦiŋ33
見	看見	kiŋ33
見	發見	jiŋ22
硯		jiŋ22
