汉字	注释	音标
多		to1a
拖		dʰo1b
驮		dʰo2
舵		dʰo6
大		dʰai6
哪		la3
锣		lo2
左		tso3
哥		ko1a
个	~人	ko5a
个	一~	ko5a
个	我~	ko0
鹅		ŋo2
饿		ŋo6
河		ɡʰo2
贺		ɡʰo6
茄		dʑʰia2
波		po1a
婆		bʰo2
磨	~刀	mo2
磨	石~	mo6
剁		to5a
惰		dʰo6
糯		lo6
螺		lo2
坐		dzʰo6
座		dzʰo6
锉		dzʰo5b
蓑		so1a
果		kuo3
过		kuo5a
课		ɡʰuo5b
火		fo3
货		fo5a
禾		vo2
祸		fo6
和	~气	fo2
瘸		/
靴		fia1a
疤		pa1
怕		bʰa5b
霸		pa5a
爬		bʰa2
麻		ma2
马		ma3
骂		ma6
拿		la1
茶		dzʰa2
叉		dzʰa1b
查		dzʰa2
家		ka1a
假	真~	ka3
假	放~	ka3
嫁		ka5a
牙		ŋa2
虾	鱼~	ɡʰa1a
下	底~	ɡʰa6
下	~来	ɡʰa6
下	~面	ɡʰa6
亚		ŋa5a
爸		pa3
姐		tɕia3
借		tɕia5a
写		ɕia3
泻		ɕia5a
邪		ɕia2
斜		ɕia2
谢	姓~	ɕia6
谢	凋~	dʑʰia6
爹		tiɛ1a
遮		tʂa1a
蔗		tʂa5a
车		dʐʰa1b
扯		dʐʰa3
蛇		ʂa2
射		ʂa6
舍		ʂa3
社		ʂa6
惹		la3
爷		ia2
也		ia3
野		ia3
夜		ia6
瓜		kua1a
垮		ɡʰua3
瓦		ŋa3
花		fa1a
化		fa5a
补		pu3
簿		bʰu6
部		bʰu6
步		bʰu6
模	~子	mo2
墓		mu6
肚	腹	dʰu6
肚	鱼~	tu3
土		dʰu3
兔		dʰu5b
度		dʰu6
炉		lu2
卤		lu3
橹		lu3
路		lu6
露		lu6
租		tsɿ1a
做		tsɿ5a
粗		dzʰɿ1a
醋		dzʰɿ5b
错		dzʰo5b
鼓		ku3
苦	辛~	ɡʰu3
苦	~味	ɡʰu3
裤		ɡʰu5b
吴		u2
五		ŋ̍3
午		u3
胡		fu2
户		fu6
乌		u1a
女		ȵi3
吕		li3
蛆		dʑʰi1b
徐		dʑʰi2
绪		ɕi6
猪		tʂu1a
除		dʐʰu2
苎		dʐʰu6
锄		dzʰɿ2
助		dzʰɿ6
梳		sɿ1a
煮		tʂu3
书		ʂu1a
鼠		ʂu3
薯		ʂu2
车	~马炮	kui1a
锯		kɛ5a
渠	他	ɡʰɛ2
去		dʑʰiɛ5b
鱼		ȵiɛ2
语		ȵi3
虚		ɕi1a
许		ɕi3
余		vi2
夫		fu1a
预		vi6
斧		fu3
符		fu2
甫		fu3
扶		fu2
雾		u6
娶		dʑʰi3
须		ɕi1a
厨		dʐʰu2
柱		dʐʰu6
住		dʐʰu6
朱		tʂu1a
主		tʂu3
输		ʂu1a
树		ʂu6
乳		lu3
句		kui5a
区		ɡʰui1b
雨		vi3
芋		vi6
戴		tai5a
台		dʰai2
待		dʰai6
袋		dʰai6
来		lai2
栽		tsai1a
财		dzʰai2
在		dzʰai6
该		kai1a
改		kai3
开		ɡʰai1b
海		ɡʰai3
哀		ŋai1a
爱		ŋai5a
贝		piʔ7a
带		tai5a
太		dʰai5b
蔡		dzʰai5b
盖		kai5a
害		ɡʰai6
拜		pai5a
排		bʰai2
埋		mai2
阶		kai1a
揩		ɡʰai1b
楷		ɡʰai3
界		kai5a
挨		ŋai1a
派		bʰai5b
稗		bʰa6
买		mai3
卖		mai6
奶	祖母	lai3
奶	牛~	lai3
柴		dzʰai2
佳		kai1a
街		kai1a
解		kai3
鞋		ɡʰai2
蟹		ɡʰai3
矮		ŋai3
败		bʰai6
寨		dzʰai6
毙		bʰi6
厉		li6
例		li6
制		tʂɿ5a
世		ʂʅ5a
低		ti1a
梯		dʰi1b
体		dʰi3
替		dʰi5b
弟		dʰi6
第		dʰi6
泥		ȵi2
犁		li2
齐		dʑʰi2
西		ɕi1a
洗		ɕi3
细		ɕi5a
鸡		tɕi1a
溪		dʑʰi1b
杯		pi1a
背	~脊	pi5a
背	~书	bʰi6
赔		bʰi2
倍		bʰi6
梅		mi2
每		mi3
妹		mi6
堆		ti1a
队		ti5a
推		dʰi1b
退		dʰi5b
腿		tʰi3
罪		dʑʰi6
碎		ɕi5a
块		ɡʰuai5b
灰		fi1a
回		fi2
汇		fi6
最		tɕi5a
外	~面	ŋai6
外	~公	ŋai6
会	开~	fi6
会	不~	vi6
乖		kuai1a
怪		kuai5a
淮		fai2
坏		fai6
蛙		va2
拐		kuai3
挂		kua5a
画		fa6
快		ɡʰuai5b
话	~语	fa6
话	说	va6
岁		ɕi5a
税		fi5a
锐		li6
卫		vi6
肺		fi5b
吠		fi6
奎		ɡʰui2
桂		kui5a
惠		fi6
碑		pi1a
披		bʰi1b
皮		bʰi2
被	~子	bʰi6
被	~迫	bʰi6
篱		li2
知		tsɿ1a
知		/
智		tsɿ5a
支		tʂʅ1a
纸		tʂʅ3
舐		dʐʰɛ3
是		ʂʅ6
儿		lɛ2
寄		tɕi5a
义		ȵi6
蚁		ȵiɛ3
戏		ɕi5a
易	容~	i6
易	姓	iʔ7a
悲		pi1a
备		bʰi6
美		mi3
地		dʰi6
梨		li2
利		li6
自	~私	dzʰɿ6
自	~家	dzʰɿ6
私		sɿ1a
死		sɿ3
四		sɿ5a
屎		ʂʅ3
二		lɛ6
饥		tɕi1a
器		dʑʰi5b
李		li3
里	~程	li3
里	~面	li3
鲤		li3
理		li3
字		dzʰɿ6
事		sɿ6
齿		dʐʰʅ3
时		ʂʅ2
耳		lɛ3
而		lɛ2
基		tɕi1a
己		tɕi3
记		tɕi5a
欺		dʑʰi1b
起		dʑʰi3
起		/
旗		dʑʰi2
疑		ȵi2
机		tɕi1a
几		tɕi3
气	~体	dʑʰi5b
气	出~	dʑʰi5b
衣		i1a
毅		ȵi6
汽		dʑʰi5b
随		ɕi2
吹		dʐʰi1b
规		kui1a
亏		ɡʰui1b
毁		fi3
睡		ɕi6
伪		vi3
泪		li6
醉		tɕi5a
锤		dʐʰi2
衰		sai1a
帅		sai5a
水		fi3
龟		kui1a
轨		kui3
季		tɕi5a
维		vi2
柜		ɡʰui6
位		vi6
飞		fi1a
匪		fi3
费		fi5b
肥		fi2
尾		mi3
味		vi6
归		kui1a
鬼		kui3
贵		kui5a
魏		vi6
挥		fi1a
毛		mau2
道		dʰau6
脑		lau3
恼		lau3
牢		lau2
老		lau3
糟		tsau1a
操		dzʰau1b
曹		dzʰau2
熬		ŋau2
造		dzʰau6
傲		ŋau6
靠		ɡʰau5b
浩		ɡʰau6
包		pau1a
饱		pau3
豹		pau5a
猫		miɛu1a
卯		mau3
闹		lau6
抓		tʂa1a
罩		tsau5a
交		kau1a
敲		ɡʰau1b
绞		kau3
教		kau5a
咬		ŋau3
袄		ŋau3
椒		tɕiɛu1a
小		ɕiɛu3
朝	今~	tʂɛu1a
超		dʐʰɛu1b
潮		dʐʰɛu2
烧		ʂɛu1a
照		tʂɛu5a
绍		ʂɛu6
桥		dʑʰiɛu2
轿		dʑʰiɛu6
鸟	文	ȵiɛu3
鸟	白	tiɛu3
刁		tiɛu1a
缴		tɕiɛu3
叫		tɕiɛu5a
亩		mɛu3
某		mɛu3
偷		dʰɛu1b
头		dʰɛu2
豆		dʰɛu6
透		dʰɛu5b
楼		lɛu2
狗		kɛu3
口	文	ɡʰɛu3
口	白	hɛu3
藕		ŋɛu3
偶		ŋɛu3
猴		ɡʰɛu3
厚		ɡʰɛu6
后		ɡʰɛu6
候		ɡʰɛu6
浮		fɛu2
妇		fu6
流		liu2
刘		liu2
柳		liu3
酒		tɕiu3
秋		dʑʰiu1b
修		ɕiu1a
袖		dʑʰiu6
昼		tʂəu5a
抽		dʐʰəu1a
绉		tsəu5a
愁		dzʰəu1b
搜		səu1a
周		tʂəu1a
臭		dʐʰəu5b
收		ʂəu1a
手		ʂəu3
受		ʂəu6
寿		ʂəu6
鸠		tɕiu1a
丘		dʑʰiu1b
求		dʑʰiu2
休		ɕiu1a
舅		dʑʰiu6
旧		dʑʰiu6
牛		ȵiu2
有		iu3
友		iu3
右		iu6
丢		tiu1
纠		tɕiu1a
幼		iu5a
担		tan1a
贪		dʰɔn1b
探		dʰan5b
南		lɔn2
答		taʔ7a
踏		dʰaʔ7b
纳		laʔ7a
参		dzʰɔn1b
惨		dzʰan3
蚕		dzʰɔn2
杂		dzʰaʔ8
感		kɔn3
鸽		kɔʔ7a
含		ɡʰɔn2
合	~作	ɡʰɔʔ8
暗		ŋɔn5a
胆		tan3
塔		dʰaʔ7b
淡		dʰan6
篮		lan2
腊		laʔ7a
蜡		laʔ7a
甘		kɔn1a
敢		kɔn3
磕	~头	ɡʰɔʔ7b
喊		ɡʰan3
站	车~	tsan5a
站	立	tsan5a
赚		dzʰan6
插		dzʰaʔ7b
杉		saʔ7a
咸		ɡʰan2
减		kan3
狭		ɡʰaʔ8
衫		san1a
舰		tɕiɛn5a
鉴		kan5a
甲		kaʔ7a
鸭		ŋaʔ7a
粘		tsɛn1a
聂		ȵiɛʔ7a
蹑		ȵiɛʔ7a
镰		liɛn2
尖		tɕiɛn1a
接		tɕiɛʔ7a
签		dʑʰiɛn1b
占		tʂɛn5a
染		ȵiɛn3
捡		tɕiɛn3
钳		dʑʰiɛn2
验		ȵiɛn6
险		ɕiɛn3
盐		iɛn2
叶		iɛʔ8
欠		dʑʰiɛn5b
严		ŋan2
业		ȵiɛʔ7a
点		tiɛn3
店		tiɛn5a
跌		tiɛʔ7a
添		dʰiɛn1b
帖		dʰiɛʔ7b
甜		dʰiɛn2
拈		ȵiɛn1a
念		ȵiɛn6
兼		tɕiɛn1a
谦		dʑʰiɛn1b
嫌		ɕiɛn2
协		ɕiɛʔ8
凡		fan2
犯		fan6
泛		fan5b
法		faʔ7a
品		bʰin3
禀		pin3
林		lin2
笠		liʔ7a
粒		dʰiʔ8
侵		dʑʰin1b
浸		tɕin1a
集		dʑʰiʔ8
心		ɕin1a
寻		dʑʰin2
习		ɕiʔ8
沉		dʐʰen2
参	人~	sen1a
针		tʂen1a
汁		tʂʅ7a
深		ʂen1a
湿		ʂʅ7a
十		ʂʅ8
入		lɛʔ7a
任	责~	len6
金		tɕin1a
琴		dʑʰin2
急		tɕiʔ7a
及	~格	dʑʰiʔ8
单		tan1a
摊		dʰan1b
弹	~琴	dʰan2
难	~易	lan2
兰		lan2
懒		lan3
捺		laʔ7a
烂		lan6
辣		laʔ8
瘌		laʔ7a
餐		dzʰan1b
擦		dzʰaʔ7b
肝		kɔn1a
干	~部	kɔn1a
割		kɔʔ7a
看	~见	ɡʰɔn5b
岸		ŋɔn6
寒		ɡʰɔn2
汉		ɡʰɔn5a
汗		ɡʰɔn6
旱		ɡʰɔn6
安		ŋɔn1a
案		ŋɔn5a
扮		bʰan5a
八		paʔ7a
办	~法	bʰan6
办	~公室	bʰan6
拔		bʰaʔ8
产		dzʰan3
察		dzʰaʔ7b
山		san1a
杀		saʔ7a
间	中~	kan1a
拣		kan3
眼		ŋan3
闲		ɡʰan2
苋		ɡʰan6
班		pan1a
板		pan3
慢		man6
铡		tsaʔ7a
奸		kan1a
颜		ŋan2
雁		ŋan6
瞎		ɡʰaʔ7a
鞭		piɛn1a
偏		bʰiɛn1b
便	~宜	bʰiɛn2
棉		miɛn2
面	~上	miɛn6
灭		miɛʔ7a
别		bʰiɛʔ8
连		liɛn2
裂		liɛʔ7a
煎		tɕiɛn1a
剪		tɕiɛn3
箭		tɕiɛn5a
迁		dʑʰiɛn1b
浅		dʑʰiɛn3
溅		tsan5a
贱		dʑʰiɛn6
仙		ɕiɛn1a
癣		ɕiɛn3
线		ɕiɛn5a
薛		ɕiɛʔ7a
展		tʂɛn3
