序號	詞目	詞性	詞目索引	音讀	方言點	釋義	例句	相似詞	相反詞	對應音檔名稱
1	胞衣		詞目分類索引/人體器官 詞目分類索引/疾病醫療 聲母索引/05 詔安/b/au/陰平(1/ˇ/11)	bau11 rhi11		胎盤，包裹胎兒的一層薄膜。	例：狗么一供出來，狗嫲會攔緊拁胞衣㐁淨俐。(小狗一生出來，母狗會趕緊把牠的胎盤舔乾淨。)	衣　紫河車		
2	包山塞海		詞目分類索引/慣用語 聲母索引/05 詔安/b/au/陰平(1/ˇ/11)	bau11 san11 ced24 hoi31		形容數量非常多。	例：廟在做大戲，滿哪位攏係包山塞海个人，鬧熱滾滾。(廟裡演戲酬神，到處人山人海，非常熱鬧。)			
3	崩山			ben11 san11		山崩。	落雨了後，遐裡真輒崩山，愛細義。 下雨過後，那邊經常山崩，要小心。			
4	陂塘		詞目分類索引/天文地理 聲母索引/05 詔安/b/i/陰平(1/ˇ/11)	bi11 tong53		池塘。人工修築，用以灌溉的蓄水池。	例：屋脣个陂塘底有真多魚，會用食，嘛會用䀴靚。(屋旁的池塘裡有很多魚，有得吃，也可供觀賞。)	魚塘		
5	祕結		詞目分類索引/疾病醫療 聲母索引/05 詔安/b/i/上聲(2/^/31)	bi31 gied24		便祕。糞便停留在大腸的時間過久，導致乾硬糞便堆積，造成大便不順暢。	例：較少食青菜个人較會祕結。(少吃青菜的人比較容易便祕。)	屙丁屎		
6	拚掃		詞目分類索引/表情動作 聲母索引/05 詔安/ng/ia/上聲(2/^/31)	biang31 soo31		打掃、掃除。	例：伯㜷真勤，逐日攏拁屋前屋背拚掃到淨淨俐俐。(伯母很勤勞，天天都把屋前屋後打掃得乾乾淨淨。)			
7	變面		詞目分類索引/表情動作 詞目分類索引/思維心態 詞目分類索引/人際互動 聲母索引/05 詔安/n/ie/上聲(2/^/31)	bien31 mien31		翻臉。對人的態度突然變壞。	例：佢真難款待，停動著即變面。(他很難伺候，動不動就翻臉。)			
8	發夢		詞目分類索引/疾病醫療 聲母索引/05 詔安/d/u/陰入(4/ˊ/24)	bud24 mong55		1.做夢。為睡眠時腦細胞活動所產生的一種幻象。　2.比喻空想、幻想。	例：𠊎昨暗真好睡，無發夢。(我昨晚很好睡，沒做夢。) 例：毋去食頭路即想討趁大錢，正經係發夢！(不去工作就想著要發財，真是空想！)	2.戇想		
9	補冬		詞目分類索引/疾病醫療 詞目分類索引/宗教民俗 聲母索引/05 詔安/b/u/上聲(2/^/31)	bu31 dung11		立冬進補。於立冬當日進食補品，藉此增強體力、抵禦寒氣。	例：立冬到位啊，來去拆補藥燖雞肉補冬。(立冬到了，去買中藥燉雞肉補冬。)			
10	補鑊鳥		詞目分類索引/動物 聲母索引/05 詔安/b/u/上聲(2/^/31)	bu31 bboo55 deeu31		白腹秧雞。秧雞科鳥類，中小體型，尾短。頭、背部及翅膀為黑色，臉、胸、腹部為白色。常隱身於稻田或近水草叢中，清晨及黃昏可聞其鳴叫聲。客家人因其鳴聲近似「補鑊」而稱之。	例：討暗落一澇雨了後，補鑊鳥啾無歇。(傍晚下一陣雨過後，白腹秧雞叫不停。)			
11	布篷		詞目分類索引/衣著裝扮 聲母索引/05 詔安/b/u/上聲(2/^/31)	bu31 pung53		用布製成的篷子，泛指大帳篷。	莊下人辦喜事，大部分會搭布篷請人客。 鄉下人辦喜事時，大部分會搭布篷請客。	篷		
12	不褡不膝		詞目分類索引/慣用語 詞目分類索引/人物品評 詞目分類索引/事物情狀	bud24 dab24 bud24 cid24		不三不四、不成體統。形容人或事情不像樣、不切實際。	例：遐個人講事不褡不膝，真得人慼。(那個人說話不三不四，很討人厭。)	無正經		
13	腹內		詞目分類索引/人體器官 詞目分類索引/疾病醫療 詞目分類索引/飲食	bu24 nui55		內臟。人或動物體腔內的胃、肝等各種器官。	外國人較無愛食豬腹內，和𫣆人無共。 外國人比較不愛吃豬內臟，跟我們不一樣。	下水		
14	本莊		詞目分類索引/空間方位 聲母索引/05 詔安/n/u/上聲(2/^/31)	bun31 zong11		本地。自己所屬的村落、居地範圍。	例：這條小路愛本莊人正知。(這條小路要本地人才知道。)	本鄉　本地　在地　在莊	外鄉　外地　外莊	
15	畚斗		詞目分類索引/器物用品 聲母索引/05 詔安/n/u/上聲(2/^/31)	bun31 deu31		用來盛裝垃圾的箕形器具。	例：去提畚斗拁這兜垃圾抔出去。(去拿畚斗把這些垃圾裝出去倒掉。)	畚箕		
16	畚箕		詞目分類索引/器物用品 聲母索引/05 詔安/n/u/上聲(2/^/31)	bun31 gi11		用來裝垃圾、泥土的竹製器具。	例：這堆泥沙擔歸十畚箕啊，到今猶清毋會淨。(這堆泥沙挑走了將近十畚箕的量，到現在還清不完。)			
17	茶罐		詞目分類索引/飲食 聲母索引/05 詔安/c/a/陽平(5/ˋ/53)	ca53 guan31		茶壺。用以燒開水或泡茶的器具。	例：茶罐底有菊花茶，較緊去渟一杯來啉。(茶壺裡有菊花茶，快去倒一杯來喝。)	茶壺　茶擐		
