来源	《安徽巢湖方言音韵研究》，“胖丁”整理修改		
方言点	安徽省巢湖市槐林镇		
方言归属	江淮官话洪巢片巢湖小片		
说明	音系排列，先以韵母为序，在同韵的字里按声母的顺序排列，声母相同的按声调排列。		
符号说明	“□”表示写不出来的字		
调值	[1]阴平42 [2]阳平22 [3]上声224 [5]去声554 [7]阴入5 [8]阳入2		
#ɿ			
ts	[1]爹滋资姿低鸡稽讥肌基机几{茶～}[3]几己纪挤紫姊子籽底抵仔{～鸡}[5]际剂计继技妓寄祭自字屉第地济记忌既季系{～鞋带}		
tsʰ	[1]溪妻欺期睇{看：～不见}[2]题提蹄齐脐奇骑歧祁其棋旗瓷糍慈磁辞祠词[3]体启起岂此[5]去替剃砌契器弃气汽嚏{打嚏喷[mə]：打喷嚏}刺赐次伺{～候}		
s	[1]嬉希稀西奚谢{谢集}斯撕嘶些{好～子：多少}私师狮蛳{螺～}司丝思厕-{茅～}[3]写洗喜死使史驶[5]细系戏四肆似巳寺饲士仕柿事恃侍		
z	[1]医衣依倚蝇{苍蝇}[2]宜仪移谊疑姨{阿～}[3]椅已以[5]艺义议易意异毅忆亿 [0]宜{便～}		
p	[1]屄[3]彼鄙比擗{用手折断}[5]秘		
pʰ	[1]批胚坯纰砒[2]皮疲脾啤痹琵[3]痞[5]庇屁毙譬		
m	[1]眯咪[2]迷谜泥弥猕[3]米[5]泥{～墙}		
n	[2]犁黎倪尼梨厘霓[3]礼李里理拟鲤里你[5]厉励荔离例腻利吏		
#ʅ			
tʂ	[1]支枝肢桅知之芝蔗{甘蔗}[3]旨指纸只止址[5]翅制智致至痔治志痣置{～家具}		
tʂʰ	[1]痴跐{下雨，路上～得很}[2]池驰匙{汤～}迟持[3]齿耻[5]滞{～住着：很黏的样子}[0]匙{钥～}		
ʂ	[1]施尸[3]始屎[5]世势誓逝是氏示视嗜市试式{方～}[0]式{样～}		
ʐ	[1]□{～到哪去着}		
#i			
tɕ	[3]姐[5]借		
tɕʰ	[3]且		
ɕ	[1]些[2]斜邪[3]写[5]卸谢[0]婿{女～}		
t	[1]爹		
∅	[3]野[5]夜		
#ʋ			
p	[3]补捕[5]布埠{蚌～}部步簿		
pʰ	[1]铺潽[2]菩葡蒲[3]脯谱普蹼甫[5]铺埠		
f	[1]夫敷麸[2]俘符扶浮[3]肤府腑俯斧腐辅阜[5]付傅赴父附富副妇负[0]夫{丈～}袱{包～}傅{师～}		
v	[1]梧乌污巫诬呜[2]吴芜无[3]午武舞侮捂五伍[5]误悟务雾焐恶{可～}		
#ᵚʊβ			
n	[1]噜[2]卢炉颅芦奴庐{～剧}[3]鲁卤虏[5]路露怒		
ts	[1]租[3]祖组阻诅俎[5]助		
tsʰ	[1]粗[2]锄[3]楚础[5]醋		
s	[1]酥苏稣蔬疏[5]数{～学}塑漱诉素嗉{鸡～子}[0]楚{清～}		
t	[1]都[3]肚堵睹赌[5]度渡杜		
tʰ	[2]图徒涂途[3]吐[5]吐兔		
tʂ	[1]猪诸蛛株朱珠[3]煮主嘱[5]柱驻住注蛀铸著		
tʂʰ	[1]□{～进水里}[2]屠除厨殊橱[3]褚处杵暑鼠拄署薯[5]处		
ʂ	[1]书舒输[5]恕竖树墅		
ʐ	[2]如茹儒[3]汝乳		
k	[1]姑孤咕菇辜[3]估牯{～牛：公牛}股鼓古[5]故固雇顾[0]顾{照～}		
kʰ	[1]箍枯骷[2]糊{～得着}[3]苦[5]裤		
x	[1]乎呼烀[2]湖糊狐壶葫弧胡湖[3]虎浒戽{～水：用盆向外临空洒水}[5]户互护瓠		
#ʮ			
n	[2]驴庐{～江}[3]履旅吕铝屡缕侣[5]虑滤		
ts	[1]居车矩拘驹[3]举[5]剧句巨据聚距具俱惧拒		
tsʰ	[1]区取驱蛆躯胥趋[2]渠瞿衢徐[3]取娶[5]趣祛序去=		
s	[1]需须嘘墟虚[3]许数{～数}[5]序絮绪		
z	[1]於淤[2]鱼余于愉榆虞愚娱[3]雨语羽宇[5]誉御玉芋遇豫喻预		
#o			
p	[1]波菠坡玻播[3]跛[5]簸		
pʰ	[1]坡[2]婆[3]颇[5]破		
m	[1]母{舅母}摸□{慢吞吞，磨磨蹭蹭}[2]魔磨膜馍蘑摩[3]姥{巢湖姥山岛，和县姥桥镇}[5]磨墓幕		
t	[1]多[3]躲[5]舵剁跺垛惰		
tʰ	[1]拖[2]驼驮陀[3]妥椭		
