#a
pa[1]巴{尾～}芭疤爸八{～叉，两腿分开}
la[1]拉
pa[3]把{～握}㞎{屎}
tsa[1]渣楂{山～}
pa[5]把{掸子～}霸坝
tsa[2]闸
pa[6]耙{～地}罢
tsa[3]拃{大拇指和中指两端间的距离}掌{一巴～}
pʰa[1]趴
tsa[5]诈榨{～油}炸{～弹}栅{～栏}
pʰa[2]爬耙{钉～}
tsʰa[1]叉杈差{～别}
pʰa[5]怕帕
tsʰa[2]茬查茶
ma[1]妈蟆{虾～}
tsʰa[3]衩{裤～}
ma[2]麻痲
tsʰa[5]岔
ma[3]马码拇{大～指头；二～指头}
tsʰa[6]诧
ma[6]骂
sa[1]沙纱萨仨{～人}
ta[3]打
sa[3]洒傻
ta[6]大{～小}
sa[5]厦{房子里靠后墙的部分，在柁之外}
tʰa[1]他
ka{214}玍{脾气不好}
na[2]拿
xa[1]哈{～腰，打～欠}
na[3]哪{疑问代词}
xa[2]虾{～蟆}

#ia
tɕia[1]家{回～，～具}加痂嘉傢
ɕia[2]瑕遐峡
tɕia[3]假{真～，放～}贾{姓}甲{{剪指～}}
ɕia[5]吓
tɕia[5]架驾价嫁
ɕia[6]下{{～降}}夏厦{{～门}}暇
tɕia[6]稼
ia[1]鸦丫
tɕʰia[1]揢{两手持物}
ia[2]牙芽衙
ɕia[1]虾{鱼～}霞
ia[3]哑亚
nia[2]娘{伯母、叔母}

#ua
nua[1]挼
kʰua[3]垮侉{音不正}
tsua[1]抓
kʰua[5]跨胯
tsua[3]爪
xua[1]花华{中～}哗{～～，水声}
tsʰua[3]□{～底一下子，象声词}
xua[2]铧划{～船}哗{喧～}
sua[3]耍□{～底一下子，象声词}
xua[5]化
kua[1]瓜刮{～脸}
xua[6]华{～山}桦画话
kua[3]寡剐
ua[1]蛙洼娃挖哇窊凹鸹{黑老～}
kua[5]褂挂卦
ua[3]瓦{名词}
kʰua[1]夸
ua[6]瓦{动词}

#ə
puə[1]波菠玻播
sə[1]赊佘
puə[3]跛簸{～一～}
sə[2]蛇
puə[5]簸{～箕}
sə[3]舍{～不得}
pʰuə[1]颇坡安{～城}
sə[5]赦舍{宿～}
pʰuə[2]婆
sə[6]奢社射麝
pʰuə[5]破
kə[1]哥
muə[2]魔磨{动词，磨刀}摩馍摹模膜
kə[5]个{～人}
muə[3]抹{～油}
kʰə[3]可{～以，～点儿了}
muə[6]磨{名词，石磨}寞沫
xə[2]河何荷{～花}饸{～饹}
tsə[1]遮
xə[6]贺
tsə[3]者
ə[2]蛾鹅俄阿{～弥陀佛；～胶}
tsʰə[1]车
ə[6]饿
tsʰə[3]扯

#iɛ
piɛ[3]□{～道，说话抬杠}
tɕʰiɛ[3]且
niɛ[3]哪{～个}
tɕʰiɛ[5]□{圪～：拖延时间}笡{～人，因身体斜躺头部垫高产生的不适}
niɛ[6]那{～些}
ɕiɛ[1]些
liɛ[3]咧{～嘴}
ɕiɛ[2]邪斜谐胁协
liɛ[6]劣{～把}
ɕiɛ[3]写
tɕiɛ[1]皆阶街
ɕiɛ[5]泻卸泄
tɕiɛ[3]姐解{明白：了～}
ɕiɛ[6]谢懈械解{姓}蟹
tɕiɛ[5]借介界芥疥戒
iɛ[2]爷
tɕiɛ[6]藉{～故}褯
iɛ[3]也惹野
tɕʰiɛ[2]茄□{滑稽}
iɛ[6]夜液腋

#uə
tuə[1]多
tsʰuə[3]楚础
tuə[3]朵躲
tsʰuə[5]锉错{～误}
tuə[5]剁
suə[1]梭唆梳疏蔬
tuə[6]舵驮{名词}惰垛{柴～}堕
suə[3]锁琐所数{动词}
tʰuə[2]拖驼驮{动词}
suə[5]数{名词附录}
tʰuə[3]妥椭坦{舒～}
kuə[1]锅戈
tʰuə[5]唾
kuə[3]果裹锞{油～子}
nuə[2]挪
kuə[5]过
