					註釋	字表
				趕		kœn445
				橄		kom445
				擀		kœn445
				干	干擾,干涉	kœn453
				紺		kom423
				幹		kœn423
				榦		kœn423
				肛		kœŋ453
				岡		kœŋ453
				缸		kœŋ453
				罡		kœŋ453
				剛		kœŋ453
				崗		kœŋ453
				釭		kœŋ453
				堽		kœŋ453
				綱		kœŋ453
				鋼		kœŋ423
				鋼	磨刀	kœŋ423
				港		kœŋ445
				杠		kœŋ423
				高		ko453
				羔		ko453
				皐		ko453
				睾		ko453
				膏		ko453
				篙		ko453
				糕		ko453
				搞		kau445
				槁		ko445
				稿		ko445
				縞		ko445
				告		ko423
				誥		ko423
				鋯		ko423
				戈		kwɐ453
				胳		lœk423
				割		kœt423
				歌		kœ453
				擱		kœk423
				鴿		kop45
				鎶		kœ453
				佮	相合,聚合,通力合作	kop45
				挌		kak453
				革		kak453
				格		kak453
				葛		kœt423
				隔		kak453
				嗝		kak453
				閣		kœk423
				膈		kak453
				骼		kak453
				个		ko423
				各		kœk423
				個		ko423
				箇		ko423
				給		tʃʰɐp45
				根		kɐn453
				跟		kɐn453
				庚		kaŋ453
				耕		kaŋ453
				賡		kaŋ453
				羹		kaŋ453
				耿		kwɪŋ445
				耿		kaŋ445
				哽		kɐŋ24
				梗		kɐŋ445
				梗	植物的莖	kwaŋ445
				更	更換，變更，更新	kaŋ453
				更	三更半夜	kaŋ453
				更	更加	kaŋ423
				工		kʊŋ453
				弓		kʊŋ453
				公		kʊŋ453
				功		kʊŋ453
				攻	攻擊	kʊŋ453
				供	提供	kʊŋ453
				供	供奉	kʊŋ423
				恭		kʊŋ453
				蚣		kʊŋ453
				躬		kʊŋ453
				宮		kʊŋ453
				龔		kʊŋ453
				汞		kʊŋ423
				拱	拱手	kʊŋ445
				拱		ŋʊŋ445
				鞏		kʊŋ445
				共		kʊŋ312
				貢		kʊŋ312
				㔶		kʰom445
				㔶		kʰɐm445
				勾		kɐu453
				勾		ŋɐu453
				鉤		ŋɐu453
				溝		kɐu453
				苟		kɐu445
				狗		kɐu445
				枸	枸杞	kɐu445
				垢		kɐu423
				夠		kɐu423
				搆		kɐu423
				構		kɐu423
				購		kɐu423
				估	文讀	ku453
				估	白讀	ku445
				咕		ku453
				孤		ku453
				姑		ku453
				菰		ku453
				菇		ku453
				辜		ku453
				箍		kʰu453
				鴣		ku453
				轂		kʊk453
				古		ku445
				谷		kʊk453
				股		ku445
				骨		kwɐt453
				牯		ku445
				鼓		ku445
				穀		kʊk453
				糓		kʊk453
				䀇		ku445
				盬		ku445
				蠱		ku445
				固		ku423
				故		ku423
				雇		ku423
				僱		ku423
				錮		ku423
				顧		ku423
				瓜		kwa453
				刮		kwat423
				剮		kwa445
				寡		kwa445
				卦		kwa423
				掛		kwa423
				褂		kwa423
				乖		kwai453
				拐		kwai445
				枴		kwai445
				怪		kwai423
				官		kun453
				冠	衣冠	kun453
				冠	冠軍	kun423
				棺		kun453
				瘝		kwan453
				關		kwan453
				鰥	鰥寡	kwan453
				觀	觀看	kun453
				觀	寺觀	kun423
				莞	東莞	kun445
				管		kun445
				館		kun445
				貫		kun423
				慣		kwan423
				灌		kun423
				瓘		kun423
				罐		kun423
				鸛		kun423
				光		kwɐŋ453
				咣		kwɐŋ453
				洸		kwɐŋ453
				桄		kwɐŋ453
				胱		kwɐŋ453
				廣	廣闊,推廣,大庭廣眾	kwɐŋ445
				獷		kʰwɐŋ423
				逛		kwɐŋ423
				圭		kwɐi453
				皈		kwɐi453
				珪		kwɐi453
				規		kʰwɐi453
				硅		kwɐi453
				瑰		kwɐi423
				閨		kwɐi453
				龜		kwɐi453
				歸		kwɐi453
				宄		kwɐi445
				軌		kwɐi445
				鬼		kwɐi445
				癸		kwɐi231
				詭		kwɐi445
				攰		kui312
				桂		kwɐi423
				貴		kwɐi423
				跪		kwɐi312
				劊		kʰui445
				櫃		kwɐi312
				袞		kwɐn445
				滾		kwɐn445
				棍		kwɐn423
				郭		kwɐk453
				鍋		kwɐ453
				國		kwɐk453
				果		kwɐ445
				菓		kwɐ445
				裹		kwɐ445
				餜		kwɐ445
				過		kwɐ423
				過		kwɐ423
				蛤		kop45
				咳		kʰɐt453
				孩		ʔœ24
				還	還原	wan231
				還	還有	wan231
				海		hœ445
				亥		ʔœ24
				害		ʔœ312
				酣		han453
				邯		ʔœn231
				含		hom231
				函		ʔam231
				函		ʔam231
				涵		ʔam231
				寒		ʔœn231
				韓		ʔœn231
				罕		hœn445
				喊		ham423
				汗		ʔœn312
				旱		ʔœn24
				捍		ʔœn24
				悍		ʔœn24
				焊		ʔœn312
				漢		hœn423
				撼		hom423
				撼	又讀	ʔom312
				翰		ʔœn231
				憾		hom423
				憾	又讀	ʔom312
				瀚		ʔœn312
				夯	打夯	hɐŋ453
				杭		ʔœŋ231
				航		ʔœŋ231
				蒿		ko453
				毫		ʔo231
				豪		ʔo231
				壕		ʔo231
				嚎		ʔo231
				濠		ʔo231
				蠔		ʔo231
				好		ho445
				好		ho423
				昊		ʔo312
				耗		ho423
				浩		ʔo312
				皓		ʔo312
				號		ʔo231
				號		ʔo312
				顥		ʔo312
				灝		ʔo312
				抲		kʰa453
				呵		hœ453
				喝		hœt423
				禾		wɐ231
				禾		wɐ231
				合		ʔop312
				何		ʔœ231
				和		wɐ231
				和		wɐ231
				郃		ʔop312
				劾		ʔɐt312
				河		ʔœ231
				荷		ʔœ231
				荷		ʔœ231
				荷		ʔœ312
				核		wɐt312
				核	果子核	wɐt312
				盒		ʔop312
				閡		ʔɐt312
				餲		ŋɐt453
				闔		ʔop312
				覈	審核	ʔɐt312
				賀		ʔœ312
				褐		hœt423
				壑		kʰœk423
				鶴		hœk423
				黑		hɐk453
				痕		ʔɐn231
				很		hɐn445
				狠		hɐn445
				恨		ʔɐn312
				亨		haŋ453
				哼		haŋ453
				恆		ʔɐŋ231
				桁		ʔœŋ231
				橫	橫直	waŋ231
				橫	蠻橫	waŋ231
				衡		ʔɐŋ231
				哄	哄騙	hʊŋ453
				烘		hʊŋ453
				烘		ʔʊŋ312
				轟		kʰwɐŋ453
				弘		ʔʊŋ231
				宏		ʔʊŋ231
				虹		hʊŋ231
				洪		ʔʊŋ231
				紅		ʔʊŋ231
				紅		ʔʊŋ231
				蕻		ʔʊŋ231
				鴻		ʔʊŋ231
				訌		ʔʊŋ231
				鬨		ʔʊŋ231
				侯		ʔɐu231
				喉		ʔɐu231
				猴		ʔɐu231
				睺		hɐu453
				后		hɐu312
				厚		ʔɐu24
				逅		ʔɐu312
				後		ʔɐu24
				候		ʔɐu312
				乎		hu453
				乎		ʔu453
				呼		hu453
				呼		ʔu453
				忽		wɐt453
				惚		wɐt453
				狐		ʔu231
				弧		ʔu231
				胡		ʔu231
				壺		ʔu231
				葫	葫蘆	ʔu231
				猢		ʔu231
				湖		ʔu231
				瑚		ʔu231
				煳		ʔu231
				蝴		ʔu231
				衚		ʔu231
				糊		ʔu231
				醐		ʔu231
				鬍		ʔu231
				鶘		ʔu231
				虎		hu445
				許		hy445
				滸		hu445
				互		ʔu312
				戶		ʔu24
				戽		hu423
				瓠	瓠子	ʔu231
				滬		ʔu312
				護		ʔu312
				花		wa453
				華	中華	wa231
				華	華山	wa231
				猾		wat312
				滑		wat312
				鏵		wa231
				化		wa423
				划	划船	wat312
				畫	名詞	wa312
				畫	動詞	ŋwak312
				話		wa312
				樺		wa231
				劃		wak312
				劃		ŋʷa312
				徊		ʔui231
				淮		wai231
				槐		wai231
				懷		wai231
				壞		wai312
				歡		hun453
				寰		wan231
				環		wan231
				鬟		wan231
				緩		ʔun24
				幻		wan312
				奐		ʔun312
				宦		wan312
				患		wan312
				換		ʔun312
				喚		ʔun312
				渙		ʔun312
				豢		wan231
				煥		ʔun312
				瘓		ʔun312
				鯇		wan24
				荒		wɐŋ453
				慌		wɐŋ453
				皇		wɐŋ231
				凰		wɐŋ231
				隍		wɐŋ231
				黃		wɐŋ231
				遑		wɐŋ231
				徨		wɐŋ231
				惶		wɐŋ231
				煌		wɐŋ231
				璜		wɐŋ231
				蝗		wɐŋ231
				磺		wɐŋ231
				蟥		wɐŋ231
				簧		wɐŋ231
				恍		wɐŋ445
				晃		wɐŋ445
				幌		wɐŋ445
				謊		wɐŋ445
				灰		hui453
				恢		hui453
				揮		wɐi453
				暉		wɐi453
				詼		hui453
				煇		wɐi453
				輝		wɐi453
				麾		wɐi453
				徽		hui453
				回		ʔui231
				茴		ʔui231
				迴		ʔui231
				洄		ʔui231
				蛔		ʔui231
				悔		hui445
				毀		wɐi445
				燬		wɐi445
				譭		wɐi445
				晦	晦氣,隱晦	hui445
				惠		wɐi312
				惠	專用於人名	jui312
				匯		ʔui312
				賄		hui445
				會	會計	ʔui312
				會	會議	ʔui312
				會	懂得	ʔui24
				彙		ʔui312
				誨	教誨	hui445
				慧		wɐi312
				蕙		wɐi312
				薈		ʔui312
				諱		wɐi24
				檜		kʰui423
				燴		ʔui312
				繪	繪圖,彩繪	ʔui312
				昏		wɐn453
				婚		wɐn453
				葷		wɐn453
				葷		wɐn231
				渾	渾濁	wɐn231
				魂		ʔɐn231
				餛		wɐn231
				混		kwɐn24
				混		wɐn312
				豁	豁達,豁然開朗	hut45
				活		ʔut312
				火		wɐ445
				伙		wɐ445
				夥		wɐ445
				或	未然之詞疑詞也	wɐk312
				貨		wɐ423
				惑	迷惑疑惑	wɐk312
				禍	常讀	wɐ24
				禍	文讀	wɐ312
				霍		kʰœk423
				獲		wak312
				獲		312
				藿		kʰœk423
				鑊	鍋	wɐk312
				鑊		wɐk312
				圾		fap423
				刏		kai423
				肌		ki453
				飢		ki453
				屐		kʰɐk453
				姬		ki453
				基		ki453
				喞		tɪk453
				箕		ki453
				嘰		ki453
				稽		kʰɐi453
				緝	緝鞋口	tʰɐp45
				璣		ki453
				機		ki453
				積		tɪk453
				激		kɪk453
				激		kɪk453
				擊		kɪk453
				磯		ki453
				雞		kɐi453
				譏		ki453
				饑		ki453
				鷄		kɐi453
				羈		ki453
				覊		ki453
				及		tʃɐp312
				吉		tʃɐt453
				汲		kʰɐp45
				即		tɪk453
				笈		kʰɐp45
				卽		tɪk453
				急		tʃɐp45
				級		kʰɐp45
				疾		fɐt312
				極		kɪk312
				棘		kɪk453
				集		fɐp312
				蝍		tɐt453
				嫉		fɐt312
				瘠		tɪk453
				輯		tʰɐp45
				藉		tiɐ423
				藉		fɪk312
				籍		fɪk312
				几	茶几	ki453
				己		ki445
				脊		tɪk453
				幾	幾個	ki445
				幾	幾乎	ki453
				擠		tɐi453
				伎		ki312
				技		ki312
				忌		ki312
				妓		ki312
				季		kwɐi423
				計	計數，計劃	kʌi423
				計	計謀	kʌi312
				既		ki423
				紀		ki445
				記		ki423
				偈		kʌi312
				旣		ki423
				徛	站立	ki24
				祭		tʌi423
				寄		ki423
				寂		fɪk312
				跡		tɪk453
				際		tʌi423
				暨		ki423
				稷		tɪk453
				髻		kʌi423
				冀		ki423
				穄		tʌi423
				劑		tɐi453
				覬		ki423
				濟		tʌi423
				績		tɪk453
				蹟		tɪk453
				鯽		tɐk453
				鯽		tɪk453
				繫	聯繫	ʔʌi312
				繫	繫帶	kʌi312
				繫	繫帶	kʌi423
				繼		kʌi423
				驥		ki423
				加		ka453
				佳		kai453
				迦		ka453
				珈		ka453
				枷		ka453
				痂		ka453
				家		ka453
				袈		ka453
				葭		ka453
				傢		ka453
				裌		kap312
				嘉		ka453
				夾		kap312
				莢？		hap423
				甲		kap423
				胛	肩胛	kap423
				假		ka445
				假		ka445
				賈	商賈	ku445
				賈	賈姓	ka445
				鉀		kap423
				架		ka423
				嫁		ka423
				稼		ka423
				價		ka423
				駕		ka423
				駱		lœk423
				尖		tim453
				奸		kan453
				肩		kin453
				姦		kan453
				兼		kʰim453
				菅		kan453
				堅		kin453
				間	空間，房間	kan453
				間	間接，間隔	kan423
				煎		tin453
				監	監督，監獄	kam453
				監	太監，	kam423
				箋		tin453
				緘		kam453
				艱		kan453
				殲		tʰim453
				鑯		tim453
				柬		kan445
				梘		kam445
				趼		ȵin231
				剪		tin445
				揀		kan445
				減		kam445
				筧	引水的長竹管	kan445
				碱		kan445
				戩		tin445
				儉		kim24
				翦		tin445
				撿		kim445
				檢		kim445
				繭		kan445
				簡		kan445
				鹹		ʔam231
				件		kin24
				見		kin423
				建		kin312
				健		kin312
				腱		kin312
				漸		fim24
				賤		fin312
				踐		fin24
				箭		tin423
				劍		kim423
				澗		kan423
				薦		tin423
				鍵		kin312
				餞		tin423
				諫		kan423
				濺		fin312
				艦		lam312
				鑒		kam423
				鑑		kam423
				江		kœŋ453
				姜	姓	kiɐŋ453
				豇		kœŋ453
				將	將來	tiɐŋ453
				將	將領	tiɐŋ423
				僵		kʰiɐŋ453
				漿		tiɐŋ453
				薑	生薑	kiɐŋ453
				殭		kiɐŋ453
				殭		kʰiɐŋ453
				礓		kiɐŋ453
				礓		kʰiɐŋ453
				疆		kʰiɐŋ453
				繮		kʰiɐŋ453
				繮		kʰiɐŋ453
				蔣		tiɐŋ445
				奬		tiɐŋ445
				槳		tiɐŋ445
				獎		tiɐŋ445
				講		kœŋ445
				匠		fiɐŋ24
				降	下降；投降、降伏又讀	kœŋ423
				降	投降、降伏	ʔœŋ231
				絳		kœŋ423
				犟		kœŋ445
				糨	稠,糊狀物	tiɐŋ453
				醬		tiɐŋ423
				交		kau453
				郊		kau453
				姣		ʔau231
				椒		tiu453
				蛟		kau453
				焦		tiu453
				跤		kau453
				蕉		tiu453
				膠		kau453
				澆		kiu453
				嬌		kiu453
				礁		tiu453
				鮫		kau453
				驕		kiu453
				角		kœk423
				佼		kau445
				狡		kau445
				皎		kau445
				絞		kau445
				腳		kiɐk453
				剿		tiu445
				僥		hiu445
				僥		hiu453
				鉸	鉸剪，門鉸	kau423
				鉸		kau445
				餃		kau445
				矯		kiu445
				繳		kiu445
				攪		kau445
				叫		kiu423
				教		kau423
				教		kau423
				窖		kau423
				較		kau445
				酵		hau453
				噍		fiu312
				藠		kiu231
				轎		kiu312
				醮	醮壇,打醮,再醮	tiu423
				皆		kai453
				接		tip45
				階		kai453
				揭		kʰit453
				街		kai453
				稭	農作物脫粒後剩下的莖稈	kai453
				劫		kip45
				杰		kit312
				桀		kit312
				捷		fit312
				婕		fit312
				傑		kit312
				結		kit453
				睫		fit312
				節		tit453
				截		fit312
				竭	竭力	kit312
				竭	稠	tʃɐt312
				潔		kit453
				姐		tiɐ445
				解	分開	kai445
				解	發送	kai423
				介		kai423
				戒		kai423
				芥		kai423
				屆		kai423
				界		kai423
				疥		kai423
				蚧		kai423
				借		tiɐ423
				悈		kai423
				誡		kai423
				褯		fɪk312
				巾		tʃɐn453
				斤		tʃɐn453
				今		tʃɐm453
				金		tʃɐm453
				津		tɐn453
				矜	矜持,矜貴,矜憐	kɪŋ453
				筋		tʃɐn453
				襟		tʃʰɐm453
				堇		tʃɐn445
				僅		tʃɐn312
				僅		tʃɐn445
				緊		tʃɐn445
				瑾		tʃɐn445
				槿		tʃɐn445
				儘		fɐn24
				錦		tʃɐm445
				謹		tʃɐn445
				近		tʃɐn24
				妗		tʃɐm312
				勁		kɪŋ423
				勁	勁敵	kɪŋ312
				晉		tɐn423
				浸		tɐm423
				進		tɐn423
				搢		tɐn423
				禁		tʃʰɐm453
				禁		tʃɐm423
				禁		tʃʰɐm453
				瑨		tɐn423
				盡		fɐn24
				縉		tɐn423
				燼		fɐn24
				京		kɪŋ453
				荊		kɪŋ453
				莖		kɪŋ423
				涇		kɪŋ453
				晶		tɪŋ453
				睛		tɪŋ453
				經		kɪŋ453
				經	經緯	kɪŋ453
				兢		kɪŋ453
				精		tɪŋ453
				鯨		kɪŋ453
				驚		kɪŋ453
				井		tɪŋ445
				阱		tɪŋ445
				景		kɪŋ445
				璄？		ʔɪŋ445
				頸		kɪŋ445
				警		kɪŋ445
				逕	〔～口〕兩山之間的通道	kaŋ423
				徑		kɪŋ423
				竟		kɪŋ312
				淨		fɪŋ312
				敬		kɪŋ423
				靖		fɪŋ24
				境		kɪŋ445
				靜		fɪŋ24
				鏡		kɪŋ423
				競		kɪŋ312
				究		tʃɐu423
				糾		kau423
				糾		kau445
				赳		ɗɐu445
				揫		tʰiu453
				鳩		kɐu453
				鬮		kɐu453
				九		tʃɐu445
				久		tʃɐu445
				玖		tʃɐu445
				灸		tʃɐu423
				韭		tʃɐu445
				酒		tɐu445
				咎		tʃɐu423
				疚		tʃɐu423
				柩	靈柩	tʃɐu423
				救		tʃɐu423
				䊆		kɐu312
				就		fɐu312
				就	又音就是	tɐu312
				舅		tʃɐu24
				舊		tʃɐu312
				拘		kʰy453
				居		ky453
				掬		kʊk453
				駒		ky453
				鞠		kʊk453
				局		kʊk312
				桔		tʃɐt453
				菊		kʊk453
				焗		kʊk312
				跼		kʊk312
				橘		kwɐt453
				矩		ky445
				舉		ky445
				巨		ky24
				句		ky423
				拒		ky24
				具		ky312
				俱		ky312
				距		ky24
				聚		fy24
				劇	劇烈	kɪk312
				劇	劇情	kɪk312
				據		ky423
				鋸		ky423
				颶		ky312
				懼		ky312
				捐		kyn453
				涓		kyn453
				娟		kyn453
				鵑		kyn453
				卷		kyn445
				捲		kyn445
				錈		ȵyun445
				倦		kyn423
				眷		kyn423
				睠		kyn423
				絹		kyn423
				抉		kʰyt453
				決		kʰyt453
				倔		kwɐt312
				掘		kwɐt312
				掘		kwɐt312
				崛		kwɐt312
				訣		kʰyt453
				絕		fut312
				蕨		kyt453
				獗		kyt453
				爵		tiɐk453
				譎	〔詭～〕滑頭	kwɐt453
				嚼		tiɐk453
				覺	睡覺	kau423
				覺	知覺	kœk423
				钁		kʰwɐk453
				均		kwɐn453
				君		kwɐn453
				軍		kwɐn453
				菌		kwɐn24
				鈞		kwɐn453
				俊		tɐn423
				郡		kwɐn312
				峻		tɐn423
				浚		tɐn423
				畯		tɐn423
				竣		tɐn423
				儁		tɐn423
				駿		tɐn423
				卡		kʰa453
				揩		hai453
				開		hœ453
				凱		hœ445
				慨		kʰœ423
				楷		kai453
				愷		hœ445
				鎧		hœ445
				愾		kʰœ423
				刊		hœn445
				勘	勘誤	hom423
				堪		hom453
				龕		hom453
				冚	全，整	hom231
				坎	坎坷,心坎	hom445
				侃		hœn445
				檻		kam24
				看	看守	hœn453
				看	看見	hœn423
				康		hœŋ453
				漮	乾爽，缺油	hœŋ445
				慷		hœŋ453
				糠		hœŋ453
				扛		kʰœŋ453
				亢		kʰœŋ423
				抗		kʰœŋ423
				炕	焙，烘	hœŋ423
				炕	文讀	kʰœŋ423
				考		hau445
				攷		hau445
				拷		hau453
				烤		hau453
				犒	犒勞	kʰau423
				銬		kʰau423
				靠		hau423
				靠	又讀	kʰau423
				柯		ʔœ453
				科		wɐ453
				棵		pʰœ453
				磕		hop45
				蝌		wɐ453
				樖		pʰœ453
				可	可汗	hœ445
				坷		hœ445
				渴		hœt423
				克		kʰɐk453
				刻	時刻	kʰɐk453
				刻	用刀刻	kʰɐk453
				剋		kʰɐk453
				恪		kʰœk423
				客		hak423
				課		wɐ423
				肯		hɐŋ445
				啃		hɐŋ445
				墾		hɐn445
				懇		hɐn445
				劥		kʰɐŋ423
				坑		haŋ453
				空	空虛	hʊŋ453
				空	空閑	hʊŋ453
				崆		hʊŋ453
				箜		hʊŋ453
				孔		hʊŋ445
				恐		hʊŋ445
				控		hʊŋ423
				摳		kʰɐu453
				口		hɐu445
				叩		kʰɐu423
				扣		kʰɐu423
				釦		kʰɐu423
				寇		kʰɐu423
				蔻		kʰɐu423
				枯		kʰu453
				哭		hʊk453
				窟		wɐt453
				苦		hu445
				庫		hu423
				焅		kʊk312
				酷	極,甚,程度深 熟,虐,慘,痛恨	kʊk312
				褲		hu423
				夸		kʰwa453
				誇		kʰwa453
				跨		kʰwa453
				快		wai423
				塊		wai423
				筷		wai423
				寬		hun453
				款		hun445
				匡		kʰœŋ453
				筐		kʰœŋ453
				狂		kwɐŋ231
				況		kʰwɐŋ423
				眶		kʰœŋ453
				鄺		kʰwɐŋ423
				曠		kʰwɐŋ423
				礦		kʰwɐŋ423
				盔		kʰui453
				窺		kʰwɐi453
				虧		kʰwɐi453
				奎		kwɐi231
				逵		kwɐi231
				葵		kwɐi231
				魁		kʰui453
				傀		kwɐi445
				愧		kʰwɐi423
				潰		kʰui423
				饋		kʰui423
				坤		kʰwɐn453
				昆		kʰwɐn453
				崐		kʰwɐn453
				崑		kʰwɐn453
				堃		kʰwɐn453
				捆		kʰwɐn445
				綑		kʰwɐn445
				困		kʰwɐn423
				睏		hɐn423
				括		kwat423
				廓		kwɐk453
				擴		kʰwɐŋ423
				闊		hut453
				垃	垃圾	lap312
				拉		lai453
				拉	扒拉菜叶	lai423
				邋		lat312
				辣		lat312
				臘		lap312
				蠟		lap312
				鑞	錫镴	lap312
				來		lœ231
				萊		lœ231
				崍		lœ231
				徠		lœ231
				淶		lœ231
				賴		lai312
				癩		lai312
				籟		lai312
				婪		lam231
				嵐		lam231
				藍		lam231
				闌		lan231
				襤		lam231
				攔		lan231
				蘭		lan231
				籃		lam231
				瀾		lan231
				欄		lan231
				斕		lan231
				躝		lan453
				讕	抵賴,誣陷	lan231
				鑭	金光貌,金屬元素La	lan231
				罱	用容器裝水	nam24
				懶		lan24
				覽		lam445
				攬		lam445
				攬		lɐm24
				欖		lam445
				纜		lam312
				濫		lam312
				爛		lan312
				糷	飯爛相粘著,糷飯	lan312
				郎		lœŋ231
				狼		lœŋ231
				琅		lœŋ24
				廊		lœŋ231
				榔		lœŋ231
				螂		lœŋ231
				閬		lœŋ423
				朗		lœŋ24
				浪		lœŋ312
				撈		lau453
				牢		lo231
				勞		lo231
				嘮		lo231
				癆		lo231
				老		lo24
				佬		lo445
				姥		lo24
				烙		lœk423
				酪		lœk423
				澇		lo312
				叻		liɐk453
				了	了結	liu24
				勒		lɐk312
				雷		lui231
				擂		lui231
				擂		lui453
				鐳		lui231
				磊		lui24
				蕾		lui231
				儡		lui24
				壘		lui24
				肋		lɐk312
				累	累積	lui24
				累	連累	lui24
				累	勞累	lui312
				累	勞累，又	lui24
				淚		lui312
				酹		lai312
				類		lui312
				棱		lɪŋ231
				楞		lɐŋ231
				冷		laŋ24
				愣		lɐŋ453
				愣		laŋ312
				厘		li231
				梨		li231
				喱		li453
				棃		li231
				犂		lɐi231
				剺		li453
				蜊		li312
				漓		li231
				璃	琉璃	li231
				璃	玻璃	li453
				貍	山貓	li231
				黎		lɐi231
				罹		li231
				釐		li231
				藜		lɐi231
				離	離開	li231
				灕		li231
				籬		li231
				李		li24
				里		li24
				俚		li24
				娌		li24
				理		li24
				裏		ly24
				鋰		li24
				澧		li24
				禮		lʌi24
				鯉		li24
				醴		lʌi24
				力		lɪk312
				立		lɐp312
				吏		li312
				利		li312
				例		lʌi312
				戾		lʌi312
				荔		lʌi312
				俐		li312
				莉		li312
				栗		lɐt312
				笠		lɐp312
				笠		lɐp45
				脷		li312
				粒		nɐp45
				痢		li312
				蒞		li312
				慄		lɐt312
				厲		lʌi312
				勵		lʌi312
				歷		lɪk312
				曆		lɪk312
				隸		tʌi312
				壢		lɪk453
				麗		lʌi312
				礪		lʌi312
				瀝		lɪk312
				瀝		lɪk453
				櫪		lɪk312
				礫		lɪk453
				儷		lʌi312
				靂		lɪk453
				瓈		li453
				連		lin231
				蓮		lin231
				廉		lim231
				漣		lin231
				憐		lin231
				聯		lun231
				簾		lim231
				鐮		lim231
				鰱		lin231
				槤		lin231
				斂		lim24
				臉		lim24
				楝		lin312
				煉		lin312
				練		lin312
				殮		lim312
				鏈		lin312
				戀		lun423
				良		liɐŋ231
				涼		liɐŋ231
				梁		liɐŋ231
				粱		liɐŋ231
				糧		liɐŋ231
				冫		ɓɪŋ453
				兩	斤兩	liɐŋ445
				兩	兩個	liɐŋ24
				倆		liɐŋ24
				亮		liɐŋ423
				量		liɐŋ231
				量	數量	liɐŋ312
				晾		lœŋ312
				靚		liɐŋ423
				輛		liɐŋ445
				諒		liɐŋ312
				撩		liu453
				聊		liu231
				僚		liu231
				寥		liu231
				遼		liu231
				嘹		liu231
				潦		liu445
				寮		liu231
				暸		liu24
				燎		liu231
				燎	火燎	liu231
				燎		liu231
				療		liu231
				繚		liu231
				蓼		liu24
				料		liu312
				廖		liu312
				瞭		liu231
				瞭		liu24
				列		lit312
				劣		lut453
				冽		lit312
				迾		lat312
				洌		lit312
				烈		lit312
				裂		lit312
				擸	包攬，擼起袖子，擄掠	lap423
				獵		lip312
				林		lɐm231
				淋		lɐm231
				琳		lɐm231
				鄰		lɐn231
				粼		lɐn231
				㷠		lɐn231
				嶙		lɐn231
				璘		lɐn231
				霖		lɐm231
				燐		lɐn231
				臨		lɐm231
				磷		lɐn231
				鱗		lɐn231
				麟		lɐn231
				凜		lɐm24
				檁		lɐm24
				吝		lɐn423
				伶		lɪŋ231
				苓		lɪŋ231
				囹		lɪŋ231
				泠		lɪŋ231
				玲		lɪŋ231
				玲		lɪŋ231
				瓴		lɪŋ231
				凌		lɪŋ231
				陵		lɪŋ231
				聆		lɪŋ231
				菱		lɪŋ231
				蛉		lɪŋ231
				翎		lɪŋ231
				羚		lɪŋ231
				羚		lɪŋ231
				淩		lɪŋ231
				軨		lɪŋ231
				零		lɪŋ231
				鈴		lɪŋ231
				鈴		lɪŋ231
				綾		lɪŋ231
				鯪		lɪŋ231
				齡		lɪŋ231
				靈		lɪŋ231
				領		lɪŋ24
				領		lɪŋ24
				領	量詞，一件	lɪŋ445
				嶺		lɪŋ24
				嶺		lɪŋ24
				另		lɪŋ312
				令		lɪŋ312
				呤		lɪŋ231
				炩		lɪŋ312
				溜	往下滑	lɐu453
				留		lɐu231
				流		lɐu231
				琉		lɐu231
				硫	石硫黃藥名	lɐu231
				榴		lɐu231
				劉		lɐu231
				瘤		lɐu231
				餾		lɐu231
				瀏		lɐu231
				鎏		lɐu231
				騮		lɐu453
				柳		lɐu24
				六		lʊk312
				隆		lʊŋ231
				龍		lʊŋ231
				窿	穹隆天勢俗加穴	lʊŋ453
				嚨		lʊŋ453
				瀧		lʊŋ231
				瓏		lʊŋ231
				櫳		lʊŋ231
				曨		lʊŋ231
				朧		lʊŋ231
				矓		lʊŋ231
				籠	鳥籠	lʊŋ231
				籠	籠罩；木箱	lʊŋ24
				聾		lʊŋ231
				隴		lʊŋ24
				攏	收攏	lʊŋ24
				壟		lʊŋ24
				竉		lʊŋ453
				婁		lɐu231
				樓		lɐu231
				螻		lɐu231
				摟	摟取	lɐu453
				摟		lɐu445
				陋		lɐu312
				漏		lɐu312
				盧		lu231
				蘆		lu231
				廬		lu231
				瀘		lu231
				臚		lu231
				爐		lu231
				轤		lu231
				顱		lu231
				鸕		lu231
				鱸		lu231
				鹵		lu24
				虜		lu24
				滷		lu24
				魯		lu24
				擄		lu24
				櫓	来自《苍梧本地话音系》	nu24
				陸		lʊk312
				鹿		lʊk312
				祿		lʊk312
				碌		lʊk453
				賂		lʊk312
				睩		lʊk453
				路		lu312
				摝		lʊk453
				廘		lʊk312
				漉		lʊk453
				熝		lʊk312
				戮		lʊk312
				錄		lʊk312
				潞		lu312
				璐		lu312
				騄		lʊk312
				轆		lʊk453
				麓		lʊk312
				露		lu312
				鷺		lu312
				巒		lun231
				孿		lun231
				灓	將溢貌	lɐn24
				攣		lun445
				圞		lun453
				鑾		lun231
				鸞		lun231
				卵		lun24
				亂		lun312
				掄		lɐn231
				掄	尋找	lɐn453
				侖		lɐn231
				倫		lɐn231
				崘		lɐn231
				圇		lɐn231
				淪		lɐn231
				綸		lɐn453
				輪		lɐn231
				論	言有理	lɐn312
				論	說也議也	lɐn231
				論		lɐn423
				腡		lœ231
				螺		lœ231
				羅		lœ231
				騾		lœ231
				蘿		lœ231
				邏		lœ231
				籮		lœ453
