					註釋	字表
				氷		ɓɪŋ453
				冰		ɓɪŋ453
				兵		ɓɪŋ453
				丙		ɓɪŋ445
				秉		ɓɪŋ445
				柄		ɓɪŋ423
				柄		ɓɪŋ445
				炳		ɓɪŋ445
				稟		ɓɐn445
				餅		ɓɪŋ445
				餠		ɓɪŋ445
				併	合併	ɓɪŋ24
				並		pɪŋ24
				病		pɪŋ312
				摒		ɓɪŋ423
				摒		ɓɪŋ445
				波		ɓœ453
				玻		ɓœ453
				剝		mœk423
				菠		ɓœ453
				缽		ɓut453
				鉢		ɓut453
				播		ɓœ423
				撥		ɓut453
				餑		put312
				伯		ɓak453
				伯	阿～，～父	ɓa423
				帛		pœk312
				勃		put312
				舶		pœk312
				博		ɓœk453
				渤		put312
				搏		ɓœk453
				鉑		pak312
				駁		ɓœk453
				箔		pœk312
				膊		ɓœk453
				礴		pœk312
				跛		ɓœ445
				跛		ɓɐi453
				簸	簸箕	ɓœ423
				簸	簸蕩,簸穀	ɓœ453
				檗	黃檗	ɓak453
				蘗	黃檗	ɓak453
				擘		mak453
				擘		mak423
				卜		ɓʊk453
				蔔	蘿蔔	pɐk312
				捕	捕捉,逮捕	pʰu453
				捕	又读	pʰu445
				補		ɓu445
				不		ɓɐt453
				布		ɓu423
				步		pu312
				佈		ɓu423
				怖		ɓu423
				部		pu312
				埠		pɐu312
				埠	来自《苍梧本地话音系》	pʰɐu312
				簿		pu24
				攃		tʃʰat423
				擦		tʃʰat423
				猜		tʃʰai453
				才		fœ231
				材		fœ231
				財		fœ231
				裁		fœ231
				纔		fœ231
				采		tʰœ445
				採		tʰœ445
				彩		tʰœ445
				睬		tʰœ445
				踩		ȵai445
				菜		tʰœ423
				蔡		tʰœ423
				參	參宿,人參	ʃɐm453
				參	參加	tʰam453
				參	參差	tʰɐm453
				餐		tʰan453
				殘		fan231
				慚		fam231
				蠶		fam231
				慘		tʰam445
				璨		tʃʰan423
				燦		tʃʰan423
				倉		tʰœŋ453
				蒼		tʰœŋ453
				藏	隱藏	fœŋ231
				藏	又讀	fiɐŋ231
				藏	西藏	fœŋ312
				操		tʰo453
				糙		tʰo423
				曹		fo231
				嘈		fo231
				漕		fo231
				槽		fo231
				艹		tʰo445
				艸		tʰo445
				草		tʰo445
				騲		tʰo445
				冊		tʃʰak453
				側		tʃɐk453
				策		tʃʰak453
				廁		tʰi423
				測		tʃʰɐk453
				惻		tʃʰɐk453
				岑		ʃɐm231
				曾	姓氏	tɐŋ453
				曾	曾經	fɐŋ231
				層		fɐŋ231
				蹭		tʰɐŋ423
				叉		tʃʰa453
				杈		tʃʰa453
				插		tʃʰap423
				茬		ʃa231
				茶		ʃa231
				查		ʃa231
				查	姓氏,又讀	tʃa453
				搽		ʃa231
				察		tʃʰat423
				衩		tʃʰa423
				汊		tʃʰa423
				奼		tʃʰa423
				岔		tʃʰa423
				差	差別	tʃʰa453
				差	出差	tʃʰai453
				差	參差	tʃʰi453
				詫		tʃʰa423
				拆		tʃʰak453
				釵		tʃʰai453
				柴		ʃai231
				豺		ʃai231
				攙		tʰam453
				孱		ʃan231
				潺		ʃan231
				嬋		ʃim231
				禪		ʃim231
				蟬		ʃim231
				纏		ʃin231
				讒		fam231
				饞		fam231
				產		ʃan445
				產		tʃʰan445
				鏟		tʃʰan445
				闡		ʃim231
				剗		tʃʰan445
				懺		tʃʰam423
				顫		tʃin445
				昌		tʃʰiɐŋ453
				菖	～蒲	tʃʰiɐŋ453
				猖		tʃʰiɐŋ453
				娼		tʃʰiɐŋ453
				鯧		tʃʰiɐŋ453
				長	長短	ʃiɐŋ231
				長	生長	tʃiɐŋ445
				萇		ʃiɐŋ231
				常		ʃiɐŋ231
				場		ʃiɐŋ231
				腸		ʃiɐŋ231
				嘗	嘗試	ʃiɐŋ231
				嫦		ʃiɐŋ231
				償	補償	ʃiɐŋ231
				昶		tʃʰiɐŋ445
				敞		tʃʰiɐŋ445
				廠		tʃʰiɐŋ445
				倡		tʃʰiɐŋ453
				唱		tʃʰiɐŋ423
				悵		tʃʰiɐŋ423
				暢		tʃʰiɐŋ445
				抄		tʃʰau453
				抄		tʃʰau423
				𠰉	打噴嚏	tʃʰiu453
				超		tʃʰiu453
				𤙴		tʃʰau453
				鈔		tʃʰau453
				焯		tʃʰœk423
				晁		ʃiu231
				鼂		ʃiu231
				巢		ʃau231
				朝		ʃiu231
				朝		tʃiu453
				嘲		tʃau453
				潮		ʃiu231
				吵		tʃʰau423
				吵	衹吵鬧一詞	tʃʰau445
				炒		tʃʰau445
				車		ky453
				車		tʃʰiɐ453
				扯		tʃʰiɐ445
				坼		tʃʰak423
				㿭	皴,爆㿭	tʃʰak423
				掣		tʃʰit453
				掣		tʃɐi423
				撤		tʃʰit453
				徹		tʃʰit453
				澈		tʃʰit453
				臣		ʃɐn231
				辰		ʃɐn231
				沉		ʃɐm231
				忱		ʃɐm231
				宸		ʃɐn231
				陳		ʃɐn231
				晨		ʃɐn231
				塵		ʃɐn231
				諶		ʃɐm312
				趁		tʃʰɐn423
				襯		tʃʰɐn423
				稱	稱呼	tʃʰɪŋ453
				稱	相稱	tʃʰɪŋ423
				撐	豎舉長桿	tʃʰaŋ453
				撐	支撐，支持	tʃʰaŋ423
				橕		tʃʰaŋ453
				橕		tʃʰaŋ423
				成		ʃɪŋ231
				丞		ʃɪŋ231
				呈		ʃɪŋ231
				郕		ʃɪŋ231
				承		ʃɪŋ231
				城		ʃɪŋ231
				埕		ʃɪŋ231
				晟		ʃɪŋ231
				乘		ʃɪŋ231
				乘		ʃɪŋ312
				堘		ʃɪŋ231
				程		ʃɪŋ231
				塍		ʃɪŋ231
				誠		ʃɪŋ231
				澄	澄清,澄澈	ʃɪŋ231
				橙		ʃaŋ445
				懲		ʃɪŋ231
				逞		tʃʰɪŋ445
				騁		tʃʰɪŋ445
				秤		tʃʰɪŋ423
				牚		tʃʰaŋ423
				牚		ȵaŋ423
				蚩		tʃʰi453
				眵		tʃʰi453
				喫		hɪk453
				嗤		tʃʰi453
				痴		tʃʰi453
				媸		tʃʰi453
				癡		tʃʰi453
				黐		tʃʰi453
				池		ʃi231
				弛		ʃi231
				持		ʃi231
				馳		ʃi231
				遲		ʃi231
				尺		tʃʰɪk453
				呎		tʃʰɪk453
				侈		tʃʰi445
				恥		tʃʰi445
				豉		ʃi312
				齒		tʃʰi445
				彳		tʃʰɪk453
				叱		tʃʰɪk453
				斥		tʃʰɪk453
				赤		tʃʰɪk453
				翅		tʃʰi445
				敕		tʃʰɪk453
				熾		tʃɪk453
						tʃi423
				冲		tʃʰʊŋ453
				充		tʃʰʊŋ453
				沖		tʃʰʊŋ453
				忡		tʃʊŋ453
				翀		tʃʊŋ423
				舂		tʃʊŋ453
				衝		tʃʰʊŋ453
				衝		tʃʰʊŋ453
				崇		ʃʊŋ231
				蟲		ʃʊŋ231
				寵		tʃʰʊŋ445
				銃		tʃʰʊŋ423
				抽		tʃʰɐu453
				搊		tʃʰɐu453
				仇		ʃɐu231
				仇		ʃɐu231
				惆		ʃɐu231
				酬		ʃɐu231
				稠		ʃɐu231
				愁		ʃɐu231
				綢		ʃɐu231
				儔		ʃɐu231
				疇		ʃɐu231
				籌		ʃɐu231
				躊		ʃɐu231
				讎		ʃɐu231
				丑		tʃʰɐu445
				瞅		tʰɐu453
				醜		tʃʰɐu445
				臭		tʃʰɐu423
				出		tʃʰɐt453
				初		tʃʰœ453
				除		ʃy231
				滁		ʃy231
				鋤		ʃœ231
				廚		ʃy231
				躇		ʃy231
				雛		tʃʰœ453
				櫥		ʃy231
				躕		ʃy231
				杵		tʃʰyu445
				楚		tʃʰœ445
				儲		fy445
				礎		tʃʰœ445
				畜		tʃʰʊk453
				處		tʃʰy445
				處		tʃʰy423
				搐		tʃʰʊk453
				憷		tʃʰœ445
				觸		tʃʊk453
				觸		ɗʊk453
				揣		tʃʰui445
				搋	搋麵粉	ȵai453
				啜		tut453
				川		tʃʰyn453
				穿		tʃʰyn453
				舡		ʃyn231
				船		ʃyn231
				傳		ʃyn231
				傳		ʃyn312
				喘		tʃʰyn445
				串		tʃʰyn423
				窗		tʃʰiɐŋ453
				瘡		tʃʰœŋ453
				床		ʃœŋ231
				牀		ʃœŋ231
				闖		tʃʰœŋ445
				創		tʃʰœŋ423
				吹		tʃʰui453
				炊		tʃʰui453
				垂		ʃui231
				陲		ʃui231
				捶		ʃui231
				搥		ʃui231
				槌		ʃui231
				錘		ʃui231
				鎚		ʃui231
				春		tʃʰɐn453
				椿		tʃʰɐn453
				蝽		tʃʰɐn453
				唇		ʃɐn231
				純		ʃɐn231
				脣		ʃɐn231
				淳		ʃɐn231
				蒓		ʃɐn231
				醇		ʃɐn231
				鶉		tʃʰɐn453
				蠢		tʃʰɐn445
				戳		tʃʰœk423
				婥		tʃʰœk423
				茨		fi231
				祠		fi231
				瓷		fi231
				詞		fi231
				慈		fi231
				磁		fi231
				雌		tʰi453
				雌		fi231
				餈		fi231
				糍		fi231
				辭		fi231
				鶿		fi231
				此		tʰi445
				次		tʰi423
				伺		fi24
				刺		tʰi423
				賜		tʰi423
				螆		ti453
				匆		tʰʊŋ453
				囪		tʰʊŋ453
				怱		tʰʊŋ453
				蔥		tʰʊŋ453
				聰		tʰʊŋ453
				從	從容	fʊŋ231
				從	從前，跟從	fʊŋ231
				從	隨從	fʊŋ231
				叢		fʊŋ231
				湊		tʰɐu423
				湊		tɐu423
				粗	麤也略也徂古切又于胡切五	tʰu453
				麤		tʰu453
				促		tʰʊk453
				猝		tʰʊk453
				醋		tʰu423
				簇		tʰʊk453
				蹙		tʰʊk453
				蹴		tʰʊk453
				躥		tʃʰyn423
				篡	篡奪	ʃan423
				竄		tʃʰyn423
				崔		tʰui453
				催		tʰui453
				摧		tʰui453
				脆		tʰui423
				萃		tʰui423
				悴	憔悴	tʰui423
				椊		tɐt453
				粹	純粹,精粹	fui423
				翠		tʰui423
				村		tʰun453
				存		fun231
				忖		tʰun445
				寸		tʰun423
				吋		tʰun423
				搓		tʰœ453
				磋		tʰœ453
				撮		tut453
				蹉		tʰœ453
				剉		tʰœ423
				挫		tʰœ423
				措		tʰu423
				銼		tʰœ423
				錯		tʰœk423
				耷		ɗɐp45
				搭		ɗap423
				嗒		tap312
				沓		tap312
				達		tat312
				答		ɗap423
				鞑		tat312
				打		ta445
				大		tai312
				呆		ŋœ445
				獃		ŋœ445
				歹		ɗai445
				逮		ɗai423
				傣		tʰai423
				代		tœ312
				岱		tœ312
				殆		tœ24
				待		tœ24
				怠		tœ24
				帶		ɗai423
				袋		tœ312
				貸		tʰai423
				瑇		tœ312
				戴		ɗai423
				黛		tœ312
				丹		ɗan453
				眈		ɗam453
				耽	耽誤	ɗam453
				單	單人	ɗan453
				單	姓	ʃim231
				簞		ɗan453
				撣		ɗan445
				擔		ɗam453
				擔		ɗam423
				膽		ɗam445
				旦		ɗan423
				但		tan312
				疍		tan312
				啖		tam312
				淡		tam24
				蛋		tan312
				氮		tam312
				誕		tan423
				窞		tɐm24
				噉		kom445
				噉		kʷɐm453
				彈	子彈	tan231
				彈	彈琴	tan312
				當	當時	ɗœŋ453
				當	當作	ɗœŋ423
				襠		nœŋ312
				鐺	擬聲詞,金屬撞擊的聲音	tʃʰaŋ453
				擋		ɗœŋ445
				黨		ɗœŋ445
				氹		tɐm24
				凼		tɐm24
				宕		tœŋ312
				蕩		tœŋ312
				盪		tœŋ312
				盪		lœŋ445
				刀		ɗo453
				叨		ɗo453
				島		ɗo445
				搗		ɗo445
				導		to24
				擣		ɗo445
				禱		to24
				到	到達	ɗo423
				倒		ɗo445
				倒		ɗo445
				悼		to24
				道		to312
				盜		to312
				稻		to312
				得		ɗɐk453
				德		ɗɐk453
				地		ti312
				的		ɗɪk453
				登		ɗɐŋ453
				燈		ɗɐŋ453
				等		ɗɐŋ445
				凳		ɗɐŋ423
				鄧	姓氏	tɐŋ312
				瞪		tɐŋ453
				瞪		ɗɐŋ453
				羝		ɗɐi453
				滴		tɐi231
				滴		ɗɪk453
				狄		tɪk312
				迪		tɪk312
				荻		tɪk312
				笛		tɪk312
				滌		tɪk312
				嫡		ɗɪk453
				翟		tɪk312
				翟	姓氏	tʃak312
				敵		tɪk312
				糴		tɪk312
				邸		ɗʌi445
				抵		ɗʌi445
				底		ɗʌi445
				詆		ɗʌi445
				弟		tʌi24
				帝		ɗʌi423
				娣		tɐi24
				第		tʌi312
				蒂		ɗʌi423
				棣		tʌi312
				睇		tʰʌi445
				遞		tʌi312
				締		ɗʌi423
				諦		ɗʌi423
				嗲		tiɐ445
				掂		ɗim423
				顛		ɗin453
				顚		ɗin453
				巓		ɗin453
				癲		ɗin453
				典		ɗin445
				碘		ɗin445
				踮		ɗim423
				點		ɗim445
				佃	佃戶	tin231
				甸	沉甸甸	ɗin423
				甸		tin312
				店		ɗim423
				玷		ɗim423
				扂		tim312
				淀		tɪŋ312
				奠		tin312
				電		tin312
				鈿		tin231
				殿	宮殿，殿後	tin312
				殿	殿後	ɗin423
				墊	墊底	tim312
				靛		tin312
				澱		tɪŋ312
				刁		ɗiu453
				叼		ɗiu445
				凋		ɗiu453
				彫		ɗiu453
				琱		ɗiu453
				貂		ɗiu453
				碉		ɗiu453
				雕		ɗiu453
				鵰		ɗiu453
				鯛		ɗiu453
				扚		ɗɪk453
				屌		ɗiu445
				屌		ɗiu24
				弔		ɗiu423
				吊		ɗiu423
				掉		tiu312
				釣		ɗiu423
				調	音調	tiu312
				調	調動	tiu312
				調		tiu231
				爹		tiɐ453
				跌		ɗit453
				跌	來自《蒼梧本地話音系》	tit453
				跌		ɗit453
				牒		tip312
				碟		tip312
				蝶		tip312
				諜		tip312
				疊		tip312
				丁		ɗɪŋ453
				仃		ɗɪŋ453
				叮		ɗɪŋ453
				盯		ɗɪŋ453
				疔		ɗɪŋ453
				酊		ɗɪŋ453
				酊		ɗɪŋ445
				釘	鐵釘	ɗɪŋ453
				釘	釘住	ɗɪŋ453
				靪	補鞋底	ɗɪŋ453
				頂		ɗɪŋ445
				鼎		ɗɪŋ445
				定		tɪŋ312
				訂	訂約,預訂	ɗɪŋ423
				椗		tɪŋ312
				鋌		tɪŋ24
				錠		tɪŋ312
				丟		ɗiu453
				冬		ɗʊŋ453
				東		ɗʊŋ453
				氡		ɗʊŋ453
				鼕		ɗʊŋ453
				董		ɗʊŋ445
				懂		ɗʊŋ445
				垌		tʊŋ312
				㢥		tʊŋ312
				峒		tʊŋ312
				峒		tʊŋ231
				洞		tʊŋ312
				凍		ɗʊŋ423
				動		tʊŋ24
				棟		ɗʊŋ423
				都		ɗu453
				兜	炒菜時一動作	ɗɐu453
				兜		ɗɐu453
				㨮		ɗɐu453
				蔸		ɗɐu453
				篼		ɗɐu453
				抖		ɗɐu445
				陡		ɗɐu445
				蚪		ɗɐu445
				斗		ɗɐu445
				豆		tɐu312
				荳		tɐu312
				逗	逗號，逗留	tɐu312
				逗		ɗɐu423
				鬥		ɗɐu423
				痘		tɐu312
				竇		tɐu312
				鬭		ɗɐu423
				㞘		ɗʊk453
				督		ɗʊk453
				嘟		ɗu453
				毒		tʊk312
				𧰵		ɗʊk453
				獨		tʊk312
				匵		tʊk312
				瀆		tʊk312
				櫝		tʊk312
				犢		tʊk312
				牘		tʊk312
				髑		tʊk312
				讀		tʊk312
				黷		tʊk312
				堵		ɗu445
				睹		ɗu445
				賭		ɗu445
				篤		tʊk312
				杜		tu312
				肚		ɗu445
				肚		tu24
				妒	妒忌	ɗu423
				度	度量,度外	tu312
				度	量度,度長絜大	tœk312
				渡		tu312
				鍍		tu312
				端		ɗun453
				短		ɗun445
				段		tun312
				椴		tun312
				煅		tun312
				緞		tun312
				鍛		tun312
				斷		tun24
				斷	決斷	ɗun423
				堆		ɗui453
				㨃		ɗyu445
				兌		tui312
				隊		tui312
				碓		ɗui423
				對		ɗui423
				惇		ɗɐn453
				敦	敦厚	ɗɐn453
				墩		ɗɐn453
				噸		ɗɐn453
				燉		tɐn312
				礅		ɗɐn453
				蹲		ɗun453
				囤	穀囤	ɗɐn445
				囤		tɐn231
				砘		tɐn24
				砘		tɐn312
				遁		tɐn24
				遁		tɐn312
				鈍		tɐn231
				頓		tɐn312
				多		ɗœ453
				咄		ɗut453
				奪		tut312
				踱		tœk312
				鐸		tœk312
				朵		ɗœ445
				朶		ɗœ445
				躲		ɗœ445
				躱		ɗœ445
				剁		ɗœk423
				刴		ɗœk423
				舵		tœ24
				惰		tœ24
				惰	又	tœ312
				墮		tœ312
				妸		ʔœ453
				屙		ʔœ453
				俄		ŋœ231
				峨		ŋœ231
				娥		ŋœ231
				訛		ŋœ231
				蛾		ŋœ231
				鵝		ŋœ231
				鵞		ŋœ231
				額		ŋak312
				鄂		ŋœk312
				惡	善惡	ʔœk423
				惡		ʔu423
				惡		ʔu312
				萼		ŋœk312
				軶		ʔak423
				鈪		ʔak453
				𧦠		ŋɐk453
				餓		ŋœ312
				噩		ŋœk312
				餩		ŋɐk453
				諤		ŋœk312
				顎		ŋœk312
				鶚		ŋœk312
				鰐		ŋœk312
				讍		ŋœk312
				齶		ŋœk312
				恩		jɐn453
				而		ȵi231
				兒		ȵi453
				耳		ȵi24
				洱		ȵi24
				爾		ȵi24
				餌		ȵi24
				二		ȵi312
				貳	“二”的大寫.	ȵi312
				發		wat423
				廢		wi423
				乏		pat312
				伐		pat312
				筏		pat312
				罰		pat312
				法		wat423
				砝		wat423
				琺		wat423
				髮		wat423
				帆	帆船,帆布	fan231
				番	幾番	wan453
				蕃		wan453
				幡		wan453
				藩		fan231
				藩		wan453
				翻		wan453
				翻		wan453
				凡		fan231
				煩		fan231
				樊		fan231
				繁		fan231
				礬		fan231
				反		wan445
				返		wan445
				犯		fan24
				犯	又讀	pam24
				犯	又讀	fam24
				汎		wan423
				范	草也.又姓	fan312
				梵		fan312
				販		wan423
				飯		pan312
				範	法也,式也,模也.又姓	fan24
				方		wɐŋ453
				坊		wɐŋ453
				芳		wɐŋ453
				防		pœŋ231
				妨		pœŋ231
				肪		wɐŋ453
				房	房屋	pɐŋ231
				仿	仿效	wɐŋ445
				仿	相仿	wɐŋ445
				倣		wɐŋ445
				紡		wɐŋ445
				訪		wɐŋ445
				髣		wɐŋ445
				放		wɐŋ423
						kʰʷɐŋ423
				放	放置	hʊŋ423
				妃		wi453
				非		wi453
