音标	调类	字汇							
ua	2	娃袜							
ua	3	瓦							
sua	2	刷							
sua	3	耍厦							
tsua	1	抓							
tsua	2	啄							
tsua	3	爪							
zua	2	挼							
kua	1	瓜							
kua	2	刮							
kua	3	寡剐							
kua	5	挂卦							
kʰua	1	夸							
kʰua	3	垮							
kʰua	5	褂（口语）							
xua	1	花							
xua	2	华滑猾划（∽船）							
xua	5	话画化划（计∽）							
o	1	窝莴挝（老∽）							
o	2	鹅沃							
o	5	饿卧							
ŋo	2	恶							
ŋo	3	我							
ko	1	哥歌锅							
ko	2	角（三∽）割各阁葛鸽							
ko	3	果裹							
ko	5	个过							
kʰo	1	科							
kʰo	2	渴壳磕瞌							
kʰo	3	可颗棵							
kʰo	5	课搁							
xo	1	喝							
xo	2	河何和合活荷盒鹤							
xo	3	火伙							
xo	5	货贺荷（～兰）祸							
to	1	多朵（耳∽）							
to	2	夺							
to	3	朵躲							
to	5	剁垛							
tʰo	1	拖							
tʰo	2	陀坨驼驮脱托							
tʰo	3	妥椭□（∽舌条，伸）							
no	1	啰							
no	2	罗萝烙络乐落							
no	3	裸							
no	5	糯							
po	1	波玻菠							
po	2	博薄拨泼（活∽）钵剥							
po	5	播							
pʰo	1	坡							
pʰo	2	婆泼（∽妇）							
pʰo	5	破							
mo	1	摸摩模（∽拟，∽仿）							
mo	2	磨莫末沫茉模							
mo	3	抹							
mo	5	磨							
tso	2	昨卓桌							
tso	3	左							
tso	5	坐座住（在xx∽，白）							
tsʰo	1	蹉搓							
tsʰo	2	撮促							
tsʰo	5	错							
so	1	梭趖（滑，∽下来）							
so	2	说索缩硕							
so	3	锁所							
zo	2	若弱							
io	2	药约乐（音∽）岳钥							
tɕio	2	脚角（一∽线）觉（感∽）							
tɕʰio	2	雀鹊确却							
ɕio	2	学							
nio	2	虐略							
pə	2	不							
fə	2	服							
mə	2	木							
tsə	2	直							
ie	2	一叶越（∽来∽）益							
ie	3	也							
tɕie	2	接节结洁揭急集圾级激吸							
tɕʰie	2	切七							
ɕie	2	歇媳习息吸							
nie	2	力捏孽							
pie	2	别壁必鼻滗（∽米汤）							
pʰie	2	撇							
mie	2	觅							
tie	2	滴							
tʰie	2	铁贴踢							
ye	2	月越育浴							
tɕye	2	决绝蕨噘（表骂人之语）							
tɕʰye	2	缺							
ɕye	2	血削雪							
pæ	2	白百伯北							
pʰæ	2	拍							
mæ	2	麦默墨脉							
tæ	2	得德							
tʰæ	2	特							
næ	2	勒							
kæ	2	格隔革疙							
kʰæ	2	刻咳客克							
xæ	2	黑核赫吓							
ŋæ	2	额							
tsæ	2	责折摘贼							
tsʰæ	2	厕测拆策择泽							
sæ	2	舌色设塞涩折（∽本）虱							
zæ	2	热							
kuæ	2	国							
kʰuæ	2	扩							
xuæ	2	或惑							
ɚ	2	儿而							
ɚ	3	耳尔							
ɚ	5	二							
pai	1	跛							
pai	3	摆							
pai	5	败							
pʰai	2	牌排							
pʰai	3	㧳（张开距离，脚∽开）							
pʰai	5	派							
mai	2	埋							
mai	3	买							
mai	5	卖							
tai	1	呆							
tai	3	逮歹							
tai	5	代带戴待贷袋							
tʰai	1	胎							
tʰai	2	台抬							
tʰai	5	太态泰							
nai	1	奶（吃∽）							
nai	2	来							
