tsɿ⁴⁴资姿咨兹滋之芝痴
tsɿ²²瓷慈鹚磁秩雌词祠饲辞
tsɿ³⁵子仔紫梓
tsɿ⁵¹稚志
tsɿ²¹字牸自
tsʰɿ³⁵此
tsʰɿ⁵¹次赐
sɿ⁴⁴私诗狮司斯撕师蛳厮
sɿ²¹士仕事寺侍伺巳祀嗣
tɕi⁴⁴支枝肢栀知知{~识}
tɕi²²持池驰
tɕi³⁵纸止址趾旨指脂{~肪}剂之矢岂滞只{只要}挤{拥~}
tɕi⁵¹痣痔际技治济智置祭剂滞岩制致製
tɕʰi³⁵齿始耻
tɕʰi⁵¹翅
ȵi²²日{今~}
ȵi³⁵耳忍语蚁而尔饵
ȵi²¹二义贰要{重~}日{日子}议{会~}
ɕi⁴⁴尸希稀施牺熙
ɕi²²时匙
ɕi³⁵屎驶嬉
ɕi²⁴试式示誓逝市似□{孖~指：六指儿}
ɕi⁵¹系
ɕi²¹拾视适十豉什{~锦}
ki⁴⁴机饥讥肌基箕几{茶~；~多}攲
ki²²奇骑其棋期旗祈岐麒乞
ki³⁵杞己佢徛{站}
ki²⁴纪记寄季继忌既计髻
kʰi⁴⁴欺
kʰi³⁵启
kʰi²⁴弃气汽器戏企契
hi⁴⁴昔溪
hi³⁵喜起许
hi²¹还{副词}
i⁴⁴医衣依
i²²宜谊疑愚移姨遗矣
i³⁵椅已以拟
i⁵¹艺译亿忆意异毅抑翼肄
i²¹易{难~}
pu⁴⁴煲晡昨{~日：昨天}
pu²²菩葡蔔
pu³⁵保堡宝斧辅补
pu²⁴薄簿□{泡沫}
pu⁵¹报暴瀑曝佈布播欛{锄头~}
pu²¹步埠部圃
pʰu⁴⁴仆扑雹甫铺{~开}樖{棵}卜{~卦}
pʰu³⁵捕脯浦蒲谱朴普
pʰu⁵¹铺{店~}
mu²²毛矛茅
mu²⁴母拇没{~有}冇{又}
mu²¹貌墓幕募慕目莫穆牧雾{露}暮磨{石~}
fu⁴⁴肤夫乎呼俘敷薅
fu²²符扶芙抚
fu³⁵好{~坏}傅俯釜腑讣咐驸赴缚府
fu⁵¹富
fu²¹学副符妇号父互负付腐赋附护好{爱~}
tu⁴⁴嘟督
lu²¹咯{了，表已然}
su⁵¹竖
ku⁴⁴高篙蒿羔竿尴
ku²²咕
ku²⁴秆
ku⁵¹告
u⁴⁴诬
u³⁵污
u²⁴舞武鹉戊无侮
u⁵¹误{~事}
u²¹物雾{大~}务悟巫恶{可~}误{错~}
ly²⁴旅吕屡
ly⁵¹蠹{蚊虫叮咬}
ly²¹律
tɕy⁴⁴朱株珠诛蛛硃殊州洲
tɕy²²除
tɕy⁵¹聚
tɕy²¹注
tɕʰy³⁵丑取娶醜朽处{~理；~分}
tɕʰy⁵¹臭处趣兽
ny²⁴女语
ɕy⁴⁴收
ɕy³⁵手首守
ɕy²⁴寿受
ɕy⁵¹序叙绪絮
ɕy²¹熟售授
ky⁴⁴居拘鞠车{~马炮}
ky²²求球蛷泅
ky³⁵九久疚举矩韭
ky²⁴舅
ky⁵¹巨句拒距据剧锯具惧俱救
ky²¹旧究
kʰy⁴⁴区驱趋
hy⁴⁴虚墟
hy³⁵许
y⁴⁴忧
y²²榆逾油由邮于淤余虞娱如尤犹游悠儒鱿与柔
y²⁴雨愉役羽友宇乳酉郁浴愈
y²¹玉欲狱逸裕右誉预御寓遇喻{比~}育域又嶽
pa³⁵把饱
pa⁵¹拜豹罢霸坝壩爆鲍□{~眼：睁开眼}
pa²¹败{~名声}稗刨{~木；~花}
pʰa⁵¹怕炮帕蟾脬{嗉}泡{水~}
ma³⁵□{(肩)挎}
ma²⁴马码蚂
ma²¹麦袜卖脉迈
fa⁵¹化画劃
fa²¹罚
va²¹话划
ta²¹大递
tʰa⁵¹太泰态
na⁵¹捺
na²¹纳哪
la⁴⁴啦{名词词尾，相当于“子”}啦{蓓~：棉花}啦{pa³²~tsi⁴⁴：小孩}
la²⁴攋{~屎：遗屎}
