字	IPA	调值	注释
旬	ɕin	31	
尋	ɕin	31	
迅	ɕin	24	
削	ɕio	31	
學	ɕio	31	
兄	ɕioŋ	55	
胸	ɕioŋ	55	
雄	ɕioŋ	31	
熊	ɕioŋ	31	
厄	e	31	
而	ə	31	
兒	ə	31	
耳	ə	42	
爾	ə	42	
二	ə	24	
貳	ə	24	
恩	ən	55	
硬	ən	24	
歐	əu	55	
藕	əu	42	
伐	fa	31	
法	fa	31	
髮	fa	31	
翻	fã	55	
凡	fã	31	
犯	fã	24	
販	fã	24	
飯	fã	24	
範	fã	24	
方	faŋ	55	
芳	faŋ	55	
防	faŋ	31	
房	faŋ	31	
放	faŋ	24	
廢	fe	24	
非	fe	55	
飛	fe	55	
肥	fe	31	
肺	fe	24	
費	fe	24	
分	fən	55	
焚	fən	31	
粉	fən	42	
否	fəu	42	
浮	fəu	31	
封	foŋ	55	
風	foŋ	55	
馮	foŋ	31	
奉	foŋ	24	
鳥	fv̩	55	
吾	fv̩	31	
無	fv̩	31	
握	fv̩	31	
物	fv̩	31	
屋	fv̩	31	
武	fv̩	42	
午	fv̩	42	
五	fv̩	42	
務	fv̩	24	
戊	fv̩	24	
一	i	31	
意	i	24	
義	i	24	
憶	i	24	
藝	i	24	
玉	i	24	
遇	i	24	
揖	i	31	
夷	i	31	
移	i	31	
亦	i	31	
邑	i	31	
役	i	31	
疫	i	31	
逸	i	31	
魚	i	31	
愚	i	31	
餘	i	31	
以	i	42	
矣	i	42	
椅	i	42	
羽	i	42	
雨	i	42	
與	i	42	
衣	i	55	
醫	i	55	
遺	i	31	
譯	i	31	
緝	i	31	
鴉	ia	55	
鴨	ia	31	
牙	ia	31	
涯	ia	31	
羊	iaŋ	31	
陽	iaŋ	31	
樣	iaŋ	24	
堯	iau	31	
摇	iau	31	
咬	iau	42	
舀	iau	42	
要	iau	24	
妖	iau	55	
孽	ie	31	肉~
延	ie	31	
眼	ie	42	
噎	ie	31	
也	ie	42	
野	ie	42	
夜	ie	24	
葉	ie	31	
業	ie	31	
曰	ie	55	
月	ie	31	
越	ie	31	
閲	ie	31	
謁	ie	31	
鉛	iẽ	31	
丸	iẽ	31	
嫌	iẽ	31	
煙	iẽ	55	
醃	iẽ	55	
言	iẽ	31	
沿	iẽ	31	
研	iẽ	31	
嚴	iẽ	31	
演	iẽ	42	
晏	iẽ	24	
硯	iẽ	24	
厭	iẽ	24	
驗	iẽ	24	
冤	iẽ	55	
淵	iẽ	55	
元	iẽ	31	
園	iẽ	31	
圓	iẽ	31	
緣	iẽ	31	
遠	iẽ	42	
怨	iẽ	24	
院	iẽ	24	
由	iəu	31	
猶	iəu	31	
友	iəu	42	
有	iəu	42	
又	iəu	24	
右	iəu	24	
幼	iəu	24	
郁	iəu	24	
育	iəu	31	
域	iəu	31	
欲	iəu	31	
獄	iəu	31	
鬱	iəu	31	
因	in	55	
音	in	55	
寅	in	31	
銀	in	31	
尹	in	42	
引	in	42	
隱	in	42	
印	in	24	
英	in	55	
鶯	in	55	
盈	in	31	
螢	in	31	
營	in	31	
應	in	24	
云	in	31	
雲	in	31	
允	in	42	
孕	in	24	
運	in	24	
藥	io	31	
約	io	31	
岳	io	31	
榮	ioŋ	31	
融	ioŋ	31	
永	ioŋ	42	
用	ioŋ	24	
敢	kã	42	
感	kã	42	
干	kã	55	
幹	kã	24	
杠	kã	24	
閂	kã	24	
該	kæ	55	
改	kæ	42	
蓋	kæ	24	
皆	kæ	55	
解	kæ	42	
介	kæ	24	
戒	kæ	24	
械	kæ	24	
剛	kaŋ	55	
高	kau	55	
稿	kau	42	
告	kau	24	
攪	kau	42	
革	ke	31	
給	ke	42	
根	kən	55	
跟	kən	55	
庚	kən	55	
耕	kən	55	
更	kən	24	
狗	kəu	42	
够	kəu	24	
開	kʰæ	55	
慨	kʰæ	24	
楷	kʰæ	42	
愾	kʰæ	24	
抗	kʰaŋ	24	
考	kʰau	42	
靠	kʰau	24	
敲	kʰau	55	
刻	kʰe	31	
客	kʰe	31	
肯	kʰən	42	
懇	kʰən	42	
坑	kʰən	55	
口	kʰəu	42	
可	kʰo	42	
課	kʰo	24	
闊	kʰo	31	
殼	kʰo	31	
空	kʰoŋ	55	
恐	kʰoŋ	42	
匡	kʰoŋ	55	
狂	kʰoŋ	31	
况	kʰoŋ	24	
曠	kʰoŋ	24	
哭	kʰu	31	
苦	kʰu	42	
酷	kʰu	31	
寬	kʰua	55	
快	kʰuæ	24	
塊	kʰuæ	42	
虧	kʰuei	55	
葵	kʰuei	31	
坤	kʰuĩ	55	
哥	ko	55	
割	ko	31	
歌	ko	55	
鴿	ko	31	
各	ko	31	
個	ko	24	
郭	ko	31	
鍋	ko	55	
果	ko	42	
過	ko	24	
角	ko	31	
弓	koŋ	55	
公	koŋ	55	
供	koŋ	55	
宫	koŋ	55	
恭	koŋ	55	
共	koŋ	24	
光	koŋ	55	
孤	ku	55	
姑	ku	55	
古	ku	42	
骨	ku	31	
故	ku	24	
瓜	kua	55	
刮	kua	31	
掛	kua	24	
官	kua	55	
關	kua	55	
鰥	kua	55	
觀	kua	55	
管	kua	42	
貫	kua	24	
慣	kua	24	
怪	kuæ	24	
歸	kuei	55	
桂	kuei	24	
貴	kuei	24	
跪	kuei	24	
櫃	kuei	24	
國	kuei	31	
滚	kuĩ	42	
棍	kuĩ	24	
拉	la	55	
辣	la	31	
臘	la	31	
藍	lã	31	
來	læ	31	
賴	læ	24	
郎	laŋ	31	
朗	laŋ	42	
牢	lau	31	
老	lau	42	
勒	le	31	
冷	lən	42	
漏	ləu	24	
屢	ləu	42	
縷	ləu	42	
離	li	31	
李	li	42	
里	li	42	
裏	li	42	
力	li	31	
立	li	31	
利	li	24	
栗	li	31	
歷	li	31	
麗	li	24	
履	li	42	
律	li	31	
隸	li	24	
良	liaŋ	31	
兩	liaŋ	42	
亮	liaŋ	24	
了	liau	42	
聊	liau	31	
燎	liau	31	
列	lie	31	
劣	lie	31	
連	liẽ	31	
廉	liẽ	31	
聯	liẽ	31	
戀	liẽ	24	
流	liəu	31	
林	lin	31	
鄰	lin	31	
陵	lin	31	
零	lin	31	
靈	lin	31	
令	lin	24	
略	lio	31	
羅	lo	31	
騾	lo	31	
洛	lo	31	
隆	loŋ	31	
龍	loŋ	31	
籠	loŋ	31	
六	lu	31	
盧	lu	31	
陸	lu	31	
鹿	lu	31	
路	lu	24	
驢	lu	31	
緑	lu	31	
亂	luã	24	
彙	luei	24	
雷	luei	31	
累	luei	24	
類	luei	24	
吕	luei	42	
倫	luĩ	31	
論	luĩ	24	
媽	ma	55	
麻	ma	31	
馬	ma	42	
慢	mã	24	
買	mæ	42	
賣	mæ	24	
貓	mau	55	
茅	mau	31	
冒	mau	24	
帽	mau	24	
貌	mau	24	
麥	me	31	
梅	me	31	
妹	me	24	
門	mən	31	
們	mən	31	
謀	məu	31	
某	məu	42	
米	mi	42	
泌	mi	31	
秘	mi	31	
密	mi	31	
繆	miau	24	
滅	mie	31	
面	miẽ	24	
萌	min	31	
盟	min	31	
敏	min	42	
名	min	31	
明	min	31	
命	min	24	
閔	min	42	
末	mo	31	
莫	mo	31	
暮	mo	24	
孟	moŋ	24	
没	mu	31	
母	mu	42	
畝	mu	42	
木	mu	31	
目	mu	31	
拿	na	31	
哪	na	42	
那	na	24	
納	na	31	
南	nã	31	
難	nã	31	
乃	næ	42	
奶	næ	42	
囊	naŋ	31	
腦	nau	42	
鬧	nau	42	
能	nən	31	
尼	ni	31	
泥	ni	31	
你	ni	42	
逆	ni	31	
匿	ni	31	
溺	ni	31	
女	ni	42	
宜	ni	31	他們
疑	ni	31	
娘	niaŋ	31	
仰	niaŋ	42	
鳥	niau	42	
捏	nie	31	
臬	nie	31	
聶	nie	31	
鑷	nie	31	
年	niẽ	31	
念	niẽ	24	
牛	niəu	31	
紐	niəu	42	
寧	nin	31	
虐	nio	31	
□	niʔ	24	
農	noŋ	31	
奴	nu	31	
怒	nu	24	
暖	nuã	42	
内	nuei	24	
嫩	nuĩ	24	
鵝	o	31	
惡	o	31	
餓	o	24	
窩	o	55	
我	o	42	
沃	o	31	
卧	o	24	
汪	oŋ	55	
王	oŋ	31	
翁	oŋ	55	
八	pa	31	
巴	pa	55	
拔	pa	31	
把	pa	42	
罷	pa	24	
板	pã	42	
半	pã	24	
伴	pã	24	
辦	pã	24	
拜	pæ	24	
敗	pæ	24	
邦	paŋ	55	
幫	paŋ	55	
包	pau	55	
飽	pau	42	
暴	pau	24	
瀑	pau	24	
白	pe	31	
百	pe	31	
卑	pe	55	
悲	pe	55	
碑	pe	55	
北	pe	31	
貝	pe	24	
倍	pe	24	
備	pe	24	
臂	pe	24	
本	pən	42	
爬	pʰa	31	
怕	pʰa	24	
盤	pʰã	31	
判	pʰã	24	
盼	pʰã	24	
叛	pʰã	24	
派	pʰæ	24	
旁	pʰaŋ	31	
袍	pʰau	31	
跑	pʰau	42	
礮	pʰau	24	~地
拍	pʰe	31	
培	pʰe	31	
佩	pʰe	24	
配	pʰe	24	
丕	pʰe	42	
泊	pʰe	31	
迫	pʰe	31	
鄙	pʰi	42	
披	pʰi	55	
匹	pʰi	55	
僻	pʰi	31	
闢	pʰi	31	
飄	pʰiau	55	
撇	pʰie	31	
遍	pʰiẽ	24	
片	pʰiẽ	24	
拼	pʰin	55	
貧	pʰin	31	
品	pʰin	42	
平	pʰin	31	
瓶	pʰin	31	
坡	pʰo	55	
婆	pʰo	31	
剖	pʰo	42	
朋	pʰoŋ	31	
彭	pʰoŋ	31	
棚	pʰoŋ	31	
蓬	pʰoŋ	31	
勃	pʰu	31	
卜	pʰu	31	
撲	pʰu	31	
鋪	pʰu	24	
僕	pʰu	31	
普	pʰu	42	
譜	pʰu	42	讀~
曝	pʰu	31	
逼	pi	31	
鼻	pi	31	
比	pi	42	
彼	pi	42	
筆	pi	31	
必	pi	31	
閉	pi	24	
敝	pi	24	
碧	pi	31	
壁	pi	31	
别	pie	31	
邊	piẽ	55	
貶	piẽ	42	
遍	piẽ	24	
辨	piẽ	24	
變	piẽ	24	
冰	pin	55	
兵	pin	55	
禀	pin	42	
病	pin	24	
稟	pin	42	
薄	po	31	
波	po	55	
玻	po	55	
剥	po	31	
菠	po	55	
崩	poŋ	55	
補	pu	42	
不	pu	31	
步	pu	24	
佈	pu	24	
部	pu	24	
撒	sa	42	
沙	sa	55	
殺	sa	31	
三	sã	55	
散	sã	24	
山	sã	55	
删	sã	55	
衫	sã	55	
閃	sã	42	
扇	sã	24	
陝	sã	42	
蟬	saŋ	31	
桑	saŋ	55	
商	saŋ	55	
上	saŋ	24	
裳	saŋ	55	
掃	sau	42	
燒	sau	55	
少	sau	42	
紹	sau	24	
色	se	31	
瑟	se	31	
澀	se	31	
舌	se	31	
蛇	se	31	
社	se	24	
射	se	24	
涉	se	31	
設	se	31	
辰	sən	31	
晨	sən	31	
森	sən	55	
申	sən	55	
身	sən	55	
深	sən	55	
神	sən	31	
審	sən	42	
甚	sən	24	
生	sən	55	
聲	sən	55	
盛	sən	24	
剩	sən	24	
收	səu	55	
手	səu	42	
首	səu	42	
壽	səu	24	
瘦	səu	24	
獸	səu	24	
説	so	31	
縮	so	31	
所	so	42	
雙	soŋ	55	
松	soŋ	55	
嵩	soŋ	55	
鬆	soŋ	55	
宋	soŋ	24	
送	soŋ	24	
誦	soŋ	24	
伺	sɿ	24	
賜	sɿ	24	
失	sɿ	31	
施	sɿ	55	
師	sɿ	55	
獅	sɿ	55	
詩	sɿ	55	
十	sɿ	31	
石	sɿ	31	
食	sɿ	31	
時	sɿ	31	
蝕	sɿ	31	
實	sɿ	31	
識	sɿ	31	
矢	sɿ	42	
使	sɿ	42	
始	sɿ	42	
士	sɿ	24	
示	sɿ	24	
世	sɿ	24	
市	sɿ	24	
式	sɿ	24	
似	sɿ	24	
事	sɿ	24	
侍	sɿ	24	
是	sɿ	24	
視	sɿ	24	
飾	sɿ	24	
試	sɿ	24	
思	sɿ	55	
斯	sɿ	55	
死	sɿ	42	
四	sɿ	24	
寺	sɿ	24	
殊	su	55	
書	su	55	
熟	su	31	
贖	su	31	
屬	su	31	
術	su	31	
數	su	24	
樹	su	24	
蘇	su	55	
俗	su	31	
素	su	24	
速	su	31	
肅	su	31	
刷	sua	31	
酸	suã	55	
算	suã	24	
拴	suã	55	
衰	suæ	55	
帥	suæ	24	
瑞	suei	24	
誰	suei	31	
水	suei	42	
税	suei	24	
睡	suei	24	
隨	suei	31	
遂	suei	24	
歲	suei	24	
純	suĩ	31	
繩	suĩ	31	
順	suĩ	24	
孫	suĩ	55	
筍	suĩ	42	
搭	ta	31	
達	ta	31	
答	ta	31	
打	ta	42	
大	ta	24	
單	tã	55	
膽	tã	42	
代	tæ	24	
待	tæ	24	
帶	tæ	24	
當	taŋ	55	
黨	taŋ	42	
刀	tau	55	
到	tau	24	
倒	tau	42	
盗	tau	24	
道	tau	24	
稻	tau	24	
七	tɕʰi	31	
妻	tɕʰi	55	
戚	tɕʰi	31	
棲	tɕʰi	55	
其	tɕʰi	31	
奇	tɕʰi	31	
齊	tɕʰi	31	
旗	tɕʰi	31	
乞	tɕʰi	31	
起	tɕʰi	42	
泣	tɕʰi	31	
氣	tɕʰi	24	
器	tɕʰi	24	
去	tɕʰi	24	
趣	tɕʰi	24	
迄	tɕʰi	31	
恰	tɕʰia	31	
腔	tɕʰiaŋ	55	
祥	tɕʰiaŋ	31	
詳	tɕʰiaŋ	31	
敲	tɕʰiau	55	
橋	tɕʰiau	31	
茄	tɕʰie	31	
切	tɕʰie	31	
缺	tɕʰie	31	
千	tɕʰiẽ	55	
謙	tɕʰiẽ	55	
前	tɕʰiẽ	31	
鉗	tɕʰiẽ	31	
錢	tɕʰiẽ	31	
全	tɕʰiẽ	31	
權	tɕʰiẽ	31	
犬	tɕʰiẽ	42	
先	tɕʰiẽ	55	
掘	tɕʰiəu	31	
丘	tɕʰiəu	55	
秋	tɕʰiəu	55	
囚	tɕʰiəu	31	
求	tɕʰiəu	31	
曲	tɕʰiəu	31	
屈	tɕʰiəu	31	
掘	tɕʰiəu	31	
秦	tɕʰin	31	
清	tɕʰin	55	
傾	tɕʰin	42	
輕	tɕʰin	55	
頃	tɕʰin	42	
瓊	tɕʰin	31	
欽	tɕʰin	55	
群	tɕʰin	31	
怯	tɕʰio	31	
却	tɕʰio	31	
雀	tɕʰio	31	
確	tɕʰio	31	
窮	tɕʰioŋ	31	
緝	tɕi	31	
技	tɕi	24	
忌	tɕi	24	
妓	tɕi	24	
季	tɕi	24	
計	tɕi	24	
祭	tɕi	24	
寄	tɕi	24	
句	tɕi	24	
聚	tɕi	24	
娶	tɕi	24	
激	tɕi	31	
及	tɕi	31	
吉	tɕi	31	
即	tɕi	31	指~
急	tɕi	31	
極	tɕi	31	
集	tɕi	31	
橘	tɕi	31	
己	tɕi	42	
幾	tɕi	42	
舉	tɕi	42	
鷄	tɕi	55	
拘	tɕi	55	
局	tɕi	55	
巨	tɕi	24	
佳	tɕia	55	
家	tɕia	55	
夾	tɕia	31	
甲	tɕia	55	
甲	tɕia	31	
假	tɕia	24	
假	tɕia	42	
架	tɕia	24	
嗟	tɕia	55	
挾	tɕia	31	
江	tɕiaŋ	55	
姜	tɕiaŋ	55	
將	tɕiaŋ	55	
講	tɕiaŋ	42	
驕	tɕiau	55	
叫	tɕiau	24	
轎	tɕiau	24	
接	tɕie	31	
傑	tɕie	31	
結	tɕie	31	
節	tɕie	31	
竭	tɕie	31	
姐	tɕie	42	
絶	tɕie	31	
堅	tɕiẽ	55	
間	tɕiẽ	55	
監	tɕiẽ	55	
减	tɕiẽ	42	
剪	tɕiẽ	42	
檢	tɕiẽ	42	
繭	tɕiẽ	42	
件	tɕiẽ	24	
見	tɕiẽ	24	
健	tɕiẽ	24	
漸	tɕiẽ	24	
捲	tɕiẽ	42	
倦	tɕiẽ	24	
糾	tɕiəu	55	
九	tɕiəu	42	
酒	tɕiəu	42	
救	tɕiəu	24	
就	tɕiəu	24	
舅	tɕiəu	24	
舊	tɕiəu	24	
鞠	tɕiəu	31	
局	tɕiəu	31	
菊	tɕiəu	31	
橘	tɕiəu	31	
巾	tɕin	55	
斤	tɕin	55	
今	tɕin	55	
金	tɕin	55	
津	tɕin	55	
緊	tɕin	42	
近	tɕin	24	
晋	tɕin	24	
進	tɕin	24	
京	tɕin	55	
荆	tɕin	55	
經	tɕin	55	
静	tɕin	24	
均	tɕin	55	
君	tɕin	55	
俊	tɕin	24	
侵	tɕin	55	
脚	tɕio	31	
爵	tɕio	31	
嚼	tɕio	31	
覺	tɕio	31	
得	te	31	
德	te	31	
等	tən	42	
凳	tən	24	
鄧	tən	24	
豆	təu	24	
斗	təu	42	
他	tʰa	55	
塔	tʰa	31	
踏	tʰa	31	
談	tʰã	31	
歎	tʰã	24	
譚	tʰã	31	
太	tʰæ	24	
泰	tʰæ	24	
唐	tʰaŋ	31	
堂	tʰaŋ	31	
桃	tʰau	31	
忒	tʰe	31	
特	tʰe	31	
偷	tʰəu	55	
頭	tʰəu	31	
堤	tʰi	31	
梯	tʰi	55	
踢	tʰi	31	
提	tʰi	31	
題	tʰi	31	
體	tʰi	42	
替	tʰi	24	
調	tʰiau	31	
條	tʰiau	31	
帖	tʰie	31	
鐵	tʰie	31	
天	tʰiẽ	55	
田	tʰiẽ	31	
甜	tʰiẽ	31	
聽	tʰin	55	
託	tʰo	31	
脱	tʰo	31	
妥	tʰo	42	
通	tʰoŋ	55	
同	tʰoŋ	31	
桶	tʰoŋ	42	
統	tʰoŋ	42	
秃	tʰu	31	
突	tʰu	31	
圖	tʰu	31	
土	tʰu	42	
團	tʰuã	31	
退	tʰuei	24	
吞	tʰuĩ	55	
地	ti	24	
的	ti	55	
低	ti	55	
笛	ti	31	
底	ti	42	
弟	ti	24	
帝	ti	24	
第	ti	24	
爹	tia	55	
弔	tiau	24	
釣	tiau	24	
調	tiau	24	
跌	tie	31	
典	tiẽ	42	
點	tiẽ	42	
店	tiẽ	24	
丢	tiəu	55	
丟	tiəu	55	
丁	tin	55	
頂	tin	42	
定	tin	24	
多	to	55	
奪	to	31	
朵	to	42	
舵	to	24	
冬	toŋ	55	
東	toŋ	55	
洞	toŋ	24	
動	toŋ	24	
軋	tsa	31	
雜	tsa	31	
劄	tsa	31	
閘	tsa	31	
鍘	tsa	31	
炸	tsa	31	
炸	tsa	24	
暫	tsã	24	
沾	tsã	55	
展	tsã	42	
斬	tsã	42	
站	tsã	24	
棧	tsã	24	
再	tsæ	24	
在	tsæ	24	
齋	tsæ	55	
債	tsæ	24	
寨	tsæ	24	
長	tsaŋ	42	
張	tsaŋ	55	
丈	tsaŋ	24	
帳	tsaŋ	24	
朝	tsau	55	
糟	tsau	55	
早	tsau	42	
招	tsau	55	
昭	tsau	55	
罩	tsau	24	
則	tse	31	
責	tse	31	
賊	tse	31	
摘	tse	31	
窄	tse	31	
曾	tsən	55	
僧	tsən	55	
增	tsən	55	
真	tsən	55	
偵	tsən	55	
臻	tsən	55	
陣	tsən	24	
争	tsən	55	
征	tsən	55	
正	tsən	24	
政	tsən	24	
鄭	tsən	24	
徵	tsən	55	
周	tsəu	55	
走	tsəu	42	
奏	tsəu	24	
插	tsʰa	31	
茶	tsʰa	31	
查	tsʰa	31	
察	tsʰa	31	
剎	tsʰa	31	
餐	tsʰã	55	
蠶	tsʰã	31	
慘	tsʰã	42	
産	tsʰã	42	
鏟	tsʰã	42	
才	tsʰæ	31	
菜	tsʰæ	24	
蔡	tsʰæ	24	
柴	tsʰæ	31	
倉	tsʰaŋ	55	
昌	tsʰaŋ	55	
長	tsʰaŋ	31	
常	tsʰaŋ	31	
唱	tsʰaŋ	24	
糙	tsʰau	24	
曹	tsʰau	31	
草	tsʰau	42	
超	tsʰau	55	
巢	tsʰau	31	
潮	tsʰau	31	
炒	tsʰau	42	
造	tsʰau	24	
側	tsʰe	31	
策	tsʰe	31	
測	tsʰe	31	
拆	tsʰe	31	
車	tsʰe	55	
徹	tsʰe	31	
澈	tsʰe	31	
擇	tsʰe	31	
宅	tsʰe	31	
轍	tsʰe	31	
輒	tsʰe	31	
臣	tsʰən	31	
沉	tsʰən	31	
陳	tsʰən	31	
趁	tsʰən	24	
撑	tsʰən	55	
成	tsʰən	31	
承	tsʰən	31	
城	tsʰən	31	
乘	tsʰən	31	
誠	tsʰən	31	
橙	tsʰən	31	
愁	tsʰəu	31	
綢	tsʰəu	31	
丑	tsʰəu	42	
醜	tsʰəu	42	
雠	tsʰəu	31	
戳	tsʰo	31	
充	tsʰoŋ	55	
崇	tsʰoŋ	31	
蟲	tsʰoŋ	31	
寵	tsʰoŋ	42	
窗	tsʰoŋ	55	
牀	tsʰoŋ	31	
從	tsʰoŋ	31	
吃	tsʰɿ	31	
遲	tsʰɿ	31	
尺	tsʰɿ	31	
耻	tsʰɿ	42	
齒	tsʰɿ	42	
赤	tsʰɿ	31	
翅	tsʰɿ	24	
詞	tsʰɿ	31	
雌	tsʰɿ	55	
辭	tsʰɿ	31	
秩	tsʰɿ	24	
出	tsʰu	31	
初	tsʰu	55	
除	tsʰu	31	
鋤	tsʰu	31	
楚	tsʰu	42	
處	tsʰu	24	
粗	tsʰu	55	
促	tsʰu	31	
醋	tsʰu	24	
暑	tsʰu	42	
黍	tsʰu	42	
鼠	tsʰu	42	
族	tsʰu	31	
船	tsʰuã	31	
揣	tsʰuæ	42	
吹	tsʰuei	55	
垂	tsʰuei	31	
脆	tsʰuei	24	
悴	tsʰuei	24	
粹	tsʰuei	24	
翠	tsʰuei	24	
春	tsʰuĩ	55	
椿	tsʰuĩ	55	
存	tsʰuĩ	31	
著	tso	31	
拙	tso	31	
捉	tso	31	
桌	tso	31	
酌	tso	31	
昨	tso	31	
左	tso	42	
作	tso	31	
坐	tso	24	
做	tso	24	
中	tsoŋ	55	
鐘	tsoŋ	55	
重	tsoŋ	24	
莊	tsoŋ	55	
樁	tsoŋ	55	
狀	tsoŋ	24	
撞	tsoŋ	24	
宗	tsoŋ	55	
總	tsoŋ	42	
之	tsɿ	55	
支	tsɿ	55	
知	tsɿ	55	
隻	tsɿ	55	
直	tsɿ	31	
侄	tsɿ	31	
值	tsɿ	31	
執	tsɿ	31	
植	tsɿ	31	
殖	tsɿ	31	
職	tsɿ	31	
只	tsɿ	42	
紙	tsɿ	42	
治	tsɿ	24	
質	tsɿ	31	
擲	tsɿ	31	
資	tsɿ	55	
子	tsɿ	42	
自	tsɿ	24	
字	tsɿ	24	
觸	tsu	31	
豬	tsu	55	
諸	tsu	55	
竹	tsu	31	
燭	tsu	31	
主	tsu	42	
助	tsu	24	
住	tsu	24	
注	tsu	24	
柱	tsu	24	
租	tsu	42	
租	tsu	55	
足	tsu	31	
卒	tsu	31	
抓	tsua	55	
專	tsuã	55	
篆	tsuã	24	
追	tsuei	55	
綴	tsuei	31	
嘴	tsuei	42	
最	tsuei	24	
罪	tsuei	24	
醉	tsuei	24	
輟	tsuei	31	
尊	tsuĩ	55	
遵	tsuĩ	55	
都	tu	55	
讀	tu	31	
賭	tu	42	
篤	tu	31	
杜	tu	24	
肚	tu	42	
肚	tu	24	
端	tuã	55	
斷	tuã	24	
兑	tuei	24	
對	tuei	24	
頓	tuĩ	24	
挖	ua	55	
蛙	ua	55	
娃	ua	31	
瓦	ua	42	
桓	uã	31	
彎	uã	55	
丸	uã	31	
完	uã	31	
皖	uã	42	
碗	uã	42	
院	uã	24	
歪	uæ	55	
外	uæ	24	
危	uei	31	
威	uei	55	
桅	uei	31	
圍	uei	31	
爲	uei	31	
委	uei	42	
位	uei	24	
畏	uei	24	
衛	uei	24	
温	uĩ	55	
夫	v̩	55	
呼	v̩	55	
乎	v̩	55	
福	v̩	31	
拂	v̩	31	
胡	v̩	31	
符	v̩	31	
狐	v̩	31	
忽	v̩	31	
服	v̩	31	
虎	v̩	42	
甫	v̩	42	
腐	v̩	42	
府	v̩	42	
扶	v̩	42	
戶	v̩	24	
父	v̩	24	
富	v̩	24	
附	v̩	24	
婦	v̩	24	
負	v̩	24	
襪	va	31	
晚	vã	42	
萬	vã	24	
枉	vaŋ	42	
往	vaŋ	42	
忘	vaŋ	31	
旺	vaŋ	24	
微	ve	31	
惟	ve	31	
維	ve	31	
尾	ve	42	
味	ve	24	
文	vən	31	
蚊	vən	31	
聞	vən	31	
問	vən	24	
酣	xã	55	
含	xã	31	
寒	xã	31	
汗	xã	24	
旱	xã	24	
漢	xã	24	
孩	xæ	31	
還	xæ	31	
海	xæ	42	
亥	xæ	24	
害	xæ	24	
偕	xæ	31	
鞋	xæ	31	
諧	xæ	31	
巷	xaŋ	24	
項	xaŋ	24	
行	xaŋ	31	
毫	xau	31	
好	xau	42	
核	xe	31	
赫	xe	31	
黑	xe	31	
很	xən	42	
恨	xən	24	
亨	xən	55	
恒	xən	31	
侯	xəu	31	
厚	xəu	24	
後	xəu	24	
候	xəu	24	
喝	xo	55	
合	xo	31	
何	xo	31	
和	xo	31	
河	xo	31	
鶴	xo	31	
斛	xo	31	
活	xo	31	
禍	xo	24	
