字	下寺	江口	金仙	公兴	武连			
巴	pʰa1	pʰa1	pʰᴀ1	pʰᴀ1	pʰɑ1			
笔	pie7	pie7	pi7	pi7	pie2			
坡	pʰɔ1	pʰɔ1	pʰu1	pʰu1	pʰo1			
拍	pʰei7	pʰei7	pʰei7	pʰei7	pʰei2			
皮	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2			
步	pʰu5	pʰu5	pʰu5	pʰu5	pʰu5			
别	pie7	pie7	pi7	pi7	pie2			
埋	mai2	mai2	mai2	mai2	mai2			
麦	ma7	ma7	mɛ7	mɛ7	me2			
夫	fu1	fu1	fu1	fu1	fu1			
法	fa7	fa7	fᴀ7	fᴀ7	fɑ2			
蜂	foŋ1	foŋ1	foŋ1	foŋ1	foŋ1			
彿	fo7	fo7	fo7	fo7	fu2			
帆	fan1	fan1	fɑŋ1	fɑŋ1	fan1			
罚	fa7	fa7	fᴀ7	fᴀ7	fɑ2			
文	uən2	uən2	uən2	uən2	uən2			
物	u7	u7	u7	u7	u2			
低	ti1	ti1	ti1	ti1	ti1			
得	te7	te7	tɛ7	tɛ7	te2			
胎	tʰai1	tʰai1	tʰai1	tʰai1	tʰai1			
塔	tʰa7	tʰa7	tʰᴀ7	tʰᴀ7	tʰɑ2			
堂	tʰɑŋ2	tʰɑŋ2	tʰɑŋ2	tʰɑŋ2	tʰɑŋ2			
夺	tʰo7	tʰo7	tʰo7	tʰo7	tʰo2			
泥	ȵi2	ȵi2	ȵi2	ȵi2	ȵi2			
捏	ȵia7	ȵia7	ȵiᴀ7	ȵiᴀ7	ȵie2			
拿	la2	la2	lᴀ2	lᴀ2	nɑ2			
聂	ȵie7	ȵie7	ȵiᴀ7	ȵiᴀ7	ȵie2			
梨	li2	li2	li2	li2	li2			
辣	la7	la7	lᴀ7	lᴀ7	lɑ2			
走	ʦa3	ʦa3	ʦᴀ3	ʦᴀ3	ʦəu3			
接	ʦia7	ʦia7	ʦi7	ʦi7	ʦie2			
妻	ʨʰi1	ʨʰi1	ʨʰi1	ʨʰi1	ʨʰi1			
七	ʦʰie7	ʦʰie7	ʦʰi7	ʦʰi7	ʦʰie2			
从	ʦʰoŋ2	ʦʰoŋ2	ʦʰoŋ2	ʦʰoŋ2	ʦʰoŋ2			
昨	ʦo7	ʦo7	ʦo7	ʦo7	ʦo2			
西	si1	si1	si1	si1	si1			
索	so7	so7	so7	so7	so2			
徐	ɕy2	ɕy2	ɕy2	ɕy2	ɕy2			
俗	su7	su7	su7	su7	su2			
蜘	tʂʅ1	tʂʅ1	tʂʅ1	tʂʅ1	tʂɿ1			
摘	tʂa7	tʂa7	tʂᴀ7	tʂᴀ7	tʂei2			
痴	tʂʰʅ1	tʂʰʅ1	tʂʰʅ1	tʂʰʅ1	tʂʰɿ1			
戳	tʂʰo7	tʂʰo7	tʂʰo7	tʂʰo7	tʂʰo2			
池	tʂʰʅ2	tʂʰʅ2	tʂʰʅ2	tʂʰʅ2	tʂʰɿ2			
逐	tʂu7	tʂu7	tʂu7	tʂu7	tʂu2			
榨	tʂa5	tʂa5	tʂᴀ5	tʂᴀ5	tʂɑ5			
扎	tʂa7	tʂa7	tʂᴀ7	tʂᴀ7	tʂɑ2			
铲	tʂʰuan3	tʂʰuan3	tʂʰuæn3	tʂʰuæn3	tʂʰuan3			
察	tʂʰa7	tʂʰa7	tʂʰᴀ7	tʂʰᴀ7	tʂʰɑ2			
查	tʂʰa7	tʂʰa7	tʂʰᴀ7	tʂʰᴀ7	tʂʰɑ2			
镯	tʂo7	tʂo7	tʂo7	tʂo7	tʂo2			
生	sən1	sən1	sen1	sen1	sən2			
刷	ʂua7	ʂua7	ʂuᴀ7	ʂuᴀ7	ʂuɑ2			
朱	tʂu1	tʂu1	tʂu1	tʂu1	tʂu1			
烛	tʂu7	tʂu7	tʂu7	tʂu7	tʂu2			
炊	ʦʰuei1	ʦʰuei1	ʦʰuei1	ʦʰuei1	ʦʰuei1			
出	tʂʰo7	tʂʰo7	tʂʰo7	tʂʰo7	tʂʰu2			
