	單字	ipa_調類	ipa_調值	注释
20	阿	ʔuɔ1	ʔuɔ⁴⁵	阿諛奉承
60	阿	ʔa3	ʔa³³	阿伯
64	啊	ʔa1	ʔa⁴⁵	
57	哎	ʔai1	ʔai⁴⁵	
17	哀	ʔuɔi1	ʔuɔi⁴⁵	
18	埃	ʔuɔi1	ʔuɔi⁴⁵	
58	挨	ʔai1	ʔai⁴⁵	又读ʔɐi⁴⁵
59	唉	ʔai1	ʔai⁴⁵	
4849	欸			
5177	欸			
2301	捱	ŋai4	ŋai³¹	
275	皚	ʔuɔi2	ʔuɔi³²³	
2286	癌	ŋam4	ŋam³¹	
56	矮	ʔɐi2	ʔɐi³²³	
13	藹	ʔuɔi2	ʔuɔi³²³	
4850	靄			
4776	艾	ʔai3	ʔai³³	白读ŋoi⁵²
又读ŋai⁵²
54	隘	ʔɐi3	ʔɐi³³	
12	愛	ʔuɔi3	ʔuɔi³³	
4851	璦			
14	曖	ʔuɔi2	ʔuɔi³²³	
2246	礙	ŋuɔi6	ŋuɔi⁵²	
7	安	ʔuɔn1	ʔuɔn⁴⁵	
273	氨	uɔn1	uɔn⁴⁵	
46	庵	ʔɐm1	ʔɐm⁴⁵	
8	鞍	ʔuɔn1	ʔuɔn⁴⁵	
47	諳	ʔɐm1	ʔɐm⁴⁵	
48	鵪	ʔɐm1	ʔɐm⁴⁵	
4035	俺	jim3	jim³³	
2237	岸	ŋuɔn6	ŋuɔn⁵²	
5	按	ʔuɔn3	ʔuɔn³³	
9	胺	ʔuɔn1	ʔuɔn⁴⁵	
6	案	ʔuɔn3	ʔuɔn³³	
44	暗	ʔɐm3	ʔɐm³³	
45	黯	ʔɐm3	ʔɐm³³	
4	骯	ʔuɔŋ1	ʔuɔŋ⁴⁵	
2236	昂	ŋuɔŋ4	ŋuɔŋ³¹	
3	盎	ʔuɔŋ3	ʔuɔŋ³³	
2472	凹	nɐp7	nɐp⁴⁵	
4852	爊			
2261	敖	ŋou4	ŋou³¹	
2262	遨	ŋou4	ŋou³¹	
2263	熬	ŋou4	ŋou³¹	白读ŋou⁵²
2264	螯	ŋou4	ŋou³¹	
2265	翱	ŋou4	ŋou³¹	
23	襖	ʔou3	ʔou³³	
28	坳	ʔau3	ʔau³³	
30	拗	ʔau2	ʔau³²³	动词
2260	傲	ŋou6	ŋou⁵²	
24	奧	ʔou3	ʔou³³	
25	澳	ʔou3	ʔou³³	
26	懊	ʔou3	ʔou³³	
2164	八	pat8	pat³	
2228	巴	pa1	pa⁴⁵	
2102	扒	pʰa4	pʰa³¹	扒飯
5178	扒			扒皮
2229	叭	pa1	pa⁴⁵	
2230	芭	pa1	pa⁴⁵	
2231	疤	pa1	pa⁴⁵	
2165	捌	pat8	pat³	
2232	笆	pa1	pa⁴⁵	
2233	粑	pa1	pa⁴⁵	
2161	拔	pat9	pat⁵²	
2162	跋	pat9	pat⁵²	
2227	把	pa2	pa³²³	
2223	靶	pa3	pa³³	
2234	爸	pa1	pa⁴⁵	
2103	耙	pʰa4	pʰa³¹	
2224	垻	pa3	pa³³	
2222	罷	pa6	pa⁵²	
2225	霸	pa3	pa³³	
2226	壩	pa3	pa³³	
4853	欛			
2101	吧	pʰa6	pʰa⁵²	語助詞
2235	吧	pa1	pa⁴⁵	酒吧
2199	白	pɐk9	pɐk⁵²	
2204	百	pɐk7	pɐk⁴⁵	
2200	佰	pɐk9	pɐk⁵²	
2205	柏	pɐk7	pɐk⁴⁵	
2218	擺	pai2	pai³²³	
5179	襬			
2216	拜	pai3	pai³³	
2213	敗	pai6	pai⁵²	
4854	稗			
2193	扳	pan1	pan⁴⁵	
2194	扳	pan1	pan⁴⁵	扳手
2195	班	pan1	pan⁴⁵	
1865	般	pun1	pun⁴⁵	一般
1867	般	pun1	pun⁴⁵	般若
4833	般			般樂
2196	斑	pan1	pan⁴⁵	
1866	搬	pun1	pun⁴⁵	
2197	頒	pan1	pan⁴⁵	
5180	阪			
4855	坂			
2182	板	pan2	pan³²³	
2183	版	pan2	pan³²³	
4856	舨			
5181	粄			
2184	闆	pan2	pan³²³	
1863	半	pun3	pun³³	
2175	扮	pan6	pan⁵²	
1857	伴	pun6	pun⁵²	
1858	拌	pun6	pun⁵²	
1859	絆	pun6	pun⁵²	
2176	辦	pan6	pan⁵²	
2177	瓣	pan6	pan⁵²	
1891	邦	puɔŋ1	puɔŋ⁴⁵	
4857	浜			
1892	幫	puɔŋ1	puɔŋ⁴⁵	
1889	綁	puɔŋ2	puɔŋ³²³	
1890	榜	puɔŋ2	puɔŋ³²³	
1886	膀	puɔŋ4	puɔŋ³¹	膀胱
1987	膀	pʰuɔŋ2	pʰuɔŋ³²³	肩膀
1979	蚌	pʰuɔŋ5	pʰuɔŋ³¹²	
2071	棒	pʰɐŋ5	pʰɐŋ³¹²	
1884	傍	puɔŋ6	puɔŋ⁵²	依山傍水
1980	傍	pʰuɔŋ4	pʰuɔŋ³¹	傍晚
1887	磅	puɔŋ4	puɔŋ³¹	磅礴
1978	磅	pʰuɔŋ6	pʰuɔŋ⁵²	重量單位
1888	謗	puɔŋ3	puɔŋ³³	
1885	鎊	puɔŋ6	puɔŋ⁵²	
2155	包	pau1	pau⁴⁵	
2156	苞	pau1	pau⁴⁵	
2157	孢	pau1	pau⁴⁵	
2158	胞	pau1	pau⁴⁵	
1926	煲	pou1	pou⁴⁵	
2154	褒	pɐu1	pɐu⁴⁵	
2159	雹	pau1	pau⁴⁵	
1893	薄	puɔk9	puɔk⁵²	
1919	保	pou2	pou³²³	
1920	葆	pou2	pou³²³	
1921	堡	pou2	pou³²³	
2153	飽	pau2	pau³²³	
1922	褓	pou2	pou³²³	
4858	鴇			
1923	寶	pou2	pou³²³	
1996	抱	pʰou5	pʰou³¹²	
2151	豹	pau3	pau³³	
4859	菢			
1915	報	pou3	pou³³	
5182	鉋			
1914	暴	pou6	pou⁵²	凶暴
4822	暴			一暴十寒
2160	鮑	pau1	pau⁴⁵	鮑魚
4791	鮑			鮑魚之肆
2152	爆	pau3	pau³³	
2147	陂	pei1	pei⁴⁵	
1882	杯	pui1	pui⁴⁵	
2148	卑	pei1	pei⁴⁵	
1883	盃	pui1	pui⁴⁵	
2149	悲	pei1	pei⁴⁵	
2150	碑	pei1	pei⁴⁵	
2206	北	pɐk7	pɐk⁴⁵	
1876	貝	pui3	pui³³	
1877	背	pui3	pui³³	背書
1878	背	pui3	pui³³	背後
1966	倍	pʰui5	pʰui³¹²	
1879	狽	pui3	pui³³	
5183	悖			
2047	被	pʰei6	pʰei⁵²	被動
2134	被	pei5	pei³¹²	棉被
2131	備	pei6	pei⁵²	
1874	焙	pui6	pui⁵²	又读pui³¹
1967	蓓	pʰui5	pʰui³¹²	
1880	輩	pui3	pui³³	
1881	鋇	pui3	pui³³	
2098	憊	pʰai3	pʰai³³	
4860	唄			
2185	奔	pɐn1	pɐn⁴⁵	
5184	逩			
5185	錛			
1864	本	pun2	pun³²³	
5186	畚			
2174	笨	pɐn6	pɐn⁵²	
2170	崩	pɐŋ1	pɐŋ⁴⁵	
2171	繃	pɐŋ1	pɐŋ⁴⁵	繃帶
5187	繃			繃著臉
2198	泵	pɐm1	pɐm⁴⁵	
2115	迸	peŋ3	peŋ³³	
2172	蹦	pɐŋ1	pɐŋ⁴⁵	
2126	逼	pek7	pek⁴⁵	
2132	鼻	pei6	pei⁵²	
2052	匕	pʰei3	pʰei³³	
2142	比	pei2	pei³²³	比鄰
2143	比	pei2	pei³²³	比較
2144	妣	pei2	pei³²³	
2055	彼	pʰei2	pʰei³²³	
4861	秕			
2145	俾	pei2	pei³²³	
2166	筆	pɐt7	pɐt⁴⁵	
2056	鄙	pʰei2	pʰei³²³	
1941	必	pit8	pit³	
2135	庇	pei3	pei³³	
2146	畀	pei2	pei³²³	
2208	陛	pɐi6	pɐi⁵²	
2167	畢	pɐt7	pɐt⁴⁵	
2214	閉	pɐi3	pɐi³³	
2209	敝	pɐi6	pɐi⁵²	
5188	婢			
4862	愎			
4863	弼			
4864	蓖			
2168	嗶	pɐt7	pɐt⁴⁵	
2136	痹	pei3	pei³³	
2137	痺	pei3	pei³³	
5189	裨			
2127	碧	pek7	pek⁴⁵	
2215	蔽	pɐi3	pɐi³³	
4865	箅			
2210	弊	pɐi6	pɐi⁵²	
2211	幣	pɐi6	pɐi⁵²	
4866	篦			
2128	壁	pek7	pek⁴⁵	
2133	避	pei6	pei⁵²	
2048	髀	pʰei4	pʰei³¹	
2212	斃	pɐi6	pɐi⁵²	
2138	臂	pei3	pei³³	
2129	璧	pek7	pek⁴⁵	
2021	蝙	pʰin1	pʰin⁴⁵	
2022	編	pʰin1	pʰin⁴⁵	
1955	鞭	piɛn1	piɛn⁴⁵	又读bin⁴⁵
1951	邊	pin1	pin⁴⁵	白读piɛn⁴⁵
