#漢字	音標	解釋
#簡稱	/	尤溪話
#全稱	/	尤溪城關話
#版本	/	2022-5-29
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	阴平33 阳平12 上声55 阴去51 阳去42 入声24
#說明	/	參考資料：《尤溪方言志》，錄入人：阿纓
册	tsʰa7	
策	tsʰa7	
漆	tsʰa7	
沙	sa1	
纱	sa1	
什	sa1	
拾	sa1	
痧	sa1	
傻	sa1	
煠	sa1	清水煮
撒	sa1	文读
洒	sa3	
耍	sa3	
撒	sa7	
杀	sa7	
虱	sa7	
蜂	sa7	
塞	sa7	
色	sa7	
锡	sa7	
茄	ka1	雪～
家	ka1	
嘉	ka1	
胶	ka1	
铰	ka1	白读
嘎	ka2	
假	ka3	真～
铰	ka3	白读
教	ka5	白读
假	ka5	～日
咬	ka6	
蛤	ka7	
鸽	ka7	
夹	ka7	
甲	ka7	
各	ka7	
胳	ka7	
格	ka7	
革	ka7	
隔	ka7	
骹（	kʰa1	
脚）	kʰa1	
巧	kʰa3	白读
敲	kʰa5	白读
刻	kʰa7	
克	kʰa7	
客	kʰa7	～气
咳	kʰa7	文读
级	kʰa7	白读
芽	ŋa2	
牙	ŋa2	
衙	ŋa2	
涯	ŋa2	
雅	ŋa3	
讶	ŋa5	
合	xa1	
或	xa1	
閤	xa1	
辖	xa1	
虾	xa2	
霞	xa2	
遐	xa2	
孝	xa5	白读
下	xa6	文读
夏	xa6	
厦	xa6	
暇	xa6	又读
河	xa6	白读
喝	xa7	
黑	xa7	
吓	xa7	
阿	a1	
鸦	a1	
丫	a1	
盒	a1	
匣	a1	
哑	a3	
拗	a3	白读
厦	a6	～门
下	a6	白读，上～
押	a7	
鸭	a7	
压	a7	
碑	pe1	又读
卑	pe1	
悲	pe1	
拔	pe1	白读
陂	pe1	水～
脾	pe2	
枇	pe2	
彼	pe3	
比	pe3	
毙	pe5	
闭	pe5	
痹	pe5	
泌	pe5	
蔽	pe6	
弊	pe6	
币	pe6	
散	pe6	
婢	pe6	
被	pe6	
避	pe6	文读
备	pe6	文读
鳖	pe7	
批	pʰe1	
披	pʰe1	文读
疲	pʰe2	
鄙	pʰe3	
痞	pʰe3	
鼻	pʰe5	
譬	pʰe5	
鼻	pʰe6	嗅
篾	me1	
迷	me2	
眉	me2	
唯	me2	
微	me2	
米	me3	
美	me3	
媚	me6	
寐	me6	
味	me6	趣～
谜	me6	
知	te1	
迟	te2	
池	te2	
驰	te2	
戴	te5	白读
帝	te5	
智	te5	
致	te5	
蒂	te5	白读
置	te5	
滴	te5	
弟	te6	
递	te6	
地	te6	
痔	te6	
治	te6	
撕	tʰe1	
苔	tʰe2	白读
啼	tʰe2	白读
持	tʰe2	白读
体	tʰe3	
铁	tʰe7	
剃	tʰe7	
尼	ne1	文读
你	ne3	白读
二	ne5	
贰	ne5	
来	le2	白读
篱	le2	
璃	le2	
梨	le2	
厘	le2	
离	le2	
礼	le3	
李	le3	
里	le3	
理	le3	
鲤	le3	
利	le5	文读
隶	le6	
离	le6	
利	le6	白读，刀～
痢	le6	
吏	le6	
姊	tse3	
祭	tse5	
字	tse6	
刺	tsʰe5	白读
些	se1	
丝	se1	
糍	se2	
死	se3	
四	se5	白读
寺	se6	
玻	po1	
袭	po1	
簸	po1	文读
拨	po1	文读
暴	po6	
