#漢字	音標	解釋
#簡稱	/	尤溪話
#全稱	/	尤溪城關話
#版本	/	2022-5-29
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	阴平33 阳平12 上声55 阴去51 阳去42 入声24
#說明	/	參考資料：《尤溪方言志》，錄入人：阿纓
纣	tiu6	
抽	tʰiu1	
绸	tʰiu2	
稠	tʰiu2	
筹	tʰiu2	
丑	tʰiu3	
柱	tʰiu6	白读
纽	niu3	
扭	niu3	文读
扭	niu5	白读，用指甲掐
溜	liu1	
留	liu2	
榴	liu2	
流	liu2	文读
刘	liu2	文读
柳	liu3	
□	liu5	快速
周	tsiu1	
舟	tsiu1	
州	tsiu1	
洲	tsiu1	
珠	tsiu1	白读，目～
酒	tsiu3	
蛀	tsiu5	
就	tsiu6	
秋	tsʰiu1	
锻	tsʰiu1	
鳅	tsʰiu1	
须	tsʰiu1	
酬	tsʰiu1	
仇	tsʰiu1	
售	tsʰiu1	
帚	tsʰiu3	
手	tsʰiu3	
树	tsʰiu5	白读
□	tsʰiu6	
集	tsʰiu6	
中	tsʰiu6	
修	siu1	
差	siu1	
泅	siu2	
囚	siu2	
秀	siu5	
绣	siu5	
宿	siu5	星～
绣	siu5	
兽	siu5	
袖	siu5	
跔	kiu1	收缩
求	kiu2	
球	kiu2	
九	kiu3	文读
久	kiu3	
韭	kiu3	
纠	kiu3	
灸	kiu5	
救	kiu5	
究	kiu5	
柩	kiu5	
丘	kʰiu1	
□	kʰiu3	揪
休	xiu1	
收	ɕiu1	
守	ɕiu3	
首	ɕiu3	
受	ɕiu6	
寿	ɕiu6	
优	iu1	
幽	iu1	
忧	iu1	
柔	iu2	
尤	iu2	
邮	iu2	
由	iu2	
油	iu2	
游	iu2	
有	iu3	
友	iu3	
酉	iu3	
莠	iu3	
诱	iu3	
又	iu6	
右	iu6	
柚	iu6	
釉	iu6	
鹞	iu6	
标	piau1	文读
彪	piau1	文读
裱	piau3	
婊	piau3	
飘	pʰiau1	
嫖	pʰiau2	
猫	miau2	文读
描	miau2	
苗	miau2	
渺	miau3	
秒	miau3	
杪	miau3	
藐	miau3	
妙	miau6	
庙	miau6	文读
刁	tiau1	
雕	tiau1	
貂	tiau1	
朝	tiau2	～代
潮	tiau2	
调	tiau2	～整
召	tiau5	
兆	tiau6	
调	tiau6	音～
超	tʰiau1	
挑	tʰiau1	
跳	tʰiau5	
跷	niau2	
鸟	niau3	
聊	liau2	
辽	liau2	
撩	liau2	
燎	liau2	
疗	liau2	
了	liau3	
燎	liau3	又读
燎	liau6	火～
料	liau6	文读
樵	tsiau1	文读
招	tsiau1	
昭	tsiau1	
焦	tsiau1	
蕉	tsiau1	
爪	tsiau1	鸡～
照	tsiau5	文读
诏	tsiau5	
俏	tsʰiau5	
消	siau1	
霄	siau1	
销	siau1	
小	siau3	文读
笑	siau5	文读
肖	siau5	
骄	kiau1	
娇	kiau1	文读
乔	kiau1	
荞	kiau1	文读
桥	kiau2	文读
搅	kiau3	文读，～拌
狡	kiau3	～诈
绞	kiau3	文读
敲	kʰiau1	文读
巧	kʰiau3	文读
窍	kʰiau5	
尧	ŋiau2	
饶	ŋiau2	
晓	xiau3	文读
嚣	ɕiau1	
淆	ɕiau1	
少	ɕiau3	多～
少	ɕiau5	～爷
绍	ɕiau6	
邵	ɕiau6	
枵	iau1	
妖	iau1	要～
求	iau1	
天	iau1	
谣	iau2	
遥	iau2	
扰	iau3	
要	iau5	
耀	iau6	
抓	tsua1	
爪	tsua3	又读
耍	sua3	
洒	sua3	
扫	sua3	又读
瓜	kua1	
呱	kua1	
寡	kua3	
挂	kua5	
褂	kua5	
括	kua7	文读
刮	kua7	
垮	kʰua1	
跨	kʰua1	
夸	kʰua1	
挎	kʰua1	
跨	kʰua5	
阔	kʰua7	
我	ŋua3	白读
花	xua1	
华	xua2	
化	xua5	
蛙	ua1	
活	ua1	
挖	ua1	
划	ua2	
剜	ua5	
画	ua6	
话	ua6	
瓦	ua6	
划	ua6	又读
杯	pue1	文读
飞	pue1	
培	pue2	白读
陪	pue2	
赔	pue2	
摆	pue2	白读
褙	pue5	
贝	pue5	
辈	pue5	又读
靟	pue6	
背	pue6	
倍	pue6	
焙	pue6	
发	pue7	
胚	pʰue1	
皮	pʰue2	
配	pʰue5	
被	pʰue6	棉～
物	mue1	
梅	mue2	
枚	mue2	
媒	mue2	
霉	mue2	
煤	mue2	
尾	mue3	
每	mue3	
妹	mue5	
昧	mue6	
未	mue6	白读
规	kue1	
归	kue1	
龟	kue1	
诡	kue3	
轨	kue3	
鬼	kue3	
桂	kue5	
季	kue5	
贵	kue5	
柜	kue6	
跪	kue6	
溃	kue6	
刮	kue7	
盔	kʰue1	
魁	kʰue1	
傀	kʰue3	
快	kʰue5	白读
愧	kʰue5	
小	kʰue5	
溃	kʰue5	又读
月	ŋue1	
危	ŋue2	
巍	ŋue2	
魏	ŋue5	
伪	ŋue5	
灰	xue1	文读
恢	xue1	
非	xue1	
飞	xue1	白读
挥	xue1	
辉	xue1	
徽	xue1	
回	xue2	
火	xue3	
伙	xue3	
毁	xue3	
匪	xue3	
纬	xue5	
悔	xue5	
废	xue5	
肺	xue5	
岁	xue5	白读
费	xue5	
烩	xue6	
汇	xue6	
会	xue6	
慧	xue6	
惠	xue6	
血	xue7	
威	ue1	
桅	ue2	
为	ue2	
违	ue2	
围	ue2	
委	ue3	
伟	ue3	
纬	ue3	又读
苇	ue3	
畏	ue5	
慰	ue5	
为	ue6	用～
味	ue6	文读
未	ue6	文读
胃	ue6	
位	ue6	
卫	ue6	
薄	puo1	文读
勃	puo1	
脖	puo1	
卜	puo1	萝～
拨	puo7	文读
不	puo7	
搏	puo7	
下	puo7	
剥	puo7	文读
驳	puo7	
北	puo7	
腹	puo7	
博	puo7	
雹	pʰuo1	
瀑	pʰuo1	
朴	pʰuo7	
扑	pʰuo7	
仆	pʰuo7	
没	muo1	
墨	muo1	
木	muo1	
沫	muo1	
目	muo1	
牧	muo1	
漠	muo1	
慕	muo7	
膜	muo7	文读
夺	tuo1	
独	tuo1	
毒	tuo1	
轴	tuo1	
逐	tuo1	
督	tuo7	
竹	tuo7	
筑	tuo7	
读	tʰuo1	
凸	tʰuo1	
突	tʰuo1	
托	tʰuo7	
秃	tʰuo7	
脱	tʰuo7	
肉	nuo1	文读
诺	nuo1	
□	nuo7	扭伤
骆	luo1	
洛	luo1	
络	luo1	
落	luo7	
乐	luo7	
录	luo7	
禄	luo7	
绿	luo7	
六	luo7	
陆	luo7	
鹿	luo7	
浊	tsuo1	
族	tsuo1	
蜀	tsuo1	
卒	tsuo7	
作	tsuo7	
祝	tsuo7	
昨	tsuo7	
粥	tsuo7	
足	tsuo7	
烛	tsuo7	
嘱	tsuo7	
凿	tsʰuo1	
出	tsʰuo7	
促	tsʰuo7	
戳	tsʰuo7	
术	suo1	
述	suo1	
俗	suo1	
续	suo1	
属	suo1	
戌	suo7	
索	suo7	文读
束	suo7	
速	suo7	
肃	suo7	
宿	suo7	
缩	suo7	
敖	suo7	
淑	suo7	
刷	suo7	
滑	kuo1	
掘	kuo1	
骨	kuo7	
觉	kuo7	
角	kuo7	
国	kuo7	
各	kuo7	
谷	kuo7	
菊	kuo7	
廓	kuo7	
乞	kʰuo7	
屈	kʰuo7	
确	kʰuo7	
哭	kʰuo7	
曲	kʰuo7	
窟	kʰuo7	
扩	kʰuo7	
壳	kʰuo7	
玉	ŋuo1	
狱	ŋuo1	
岳	ŋuo1	
乐	ŋuo1	
迄	ŋuo7	
复	xuo1	
乏	xuo1	
活	xuo1	文读
猾	xuo1	
佛	xuo1	
鹤	xuo1	
学	xuo1	
获	xuo1	
服	xuo1	
伏	xuo1	
核	xuo1	
忽	xuo7	
拂	xuo7	
佛	xuo7	
福	xuo7	
蝠	xuo7	
复	xuo7	
法	xuo7	
发	xuo7	文读
物	uo1	文读
勿	uo1	
袜	uo1	
恶	uo7	
屋	uo7	
握	uo7	
沃	uo7	
肥	pui2	
沸	pui5	
痱	pui5	
吠	pui6	
屁	pʰui5	
啡	pʰui5	吐掉
猪	tui1	
追	tui1	
除	tui2	
著	tui5	
苎	tui6	
箸	tui6	
在	tui6	白读
槌	tʰui2	
锤	tʰui2	
锄	tʰui2	
唾	tʰui5	～液
队	tʰui7	
坠	tʰui7	
女	nui3	文读
驴	lui2	白读
垒	lui3	
偶	lui3	
蕊	lui3	
旅	lui3	白读
屡	lui3	白读
累	lui3	～计
滤	lui5	
鑢	lui5	
累	lui6	劳～
类	lui6	
泪	lui6	
虑	lui6	
滤	lui6	
水	tsui3	
最	tsui5	
醉	tsui5	
赞	tsui5	
悴	tsui6	
催	tsʰui1	
崔	tsʰui1	
摧	tsʰui1	
取	tsʰui3	白读
娶	tsʰui3	
趣	tsʰui5	
脆	tsʰui5	
碎	tsʰui5	
瘁	tsʰui5	文读
喙	tsʰui5	文读
须	sui1	文读
虽	sui1	
随	sui2	
垂	sui2	
谁	sui2	
睡	sui5	
穗	sui5	
序	sui6	
叙	sui6	
瑞	sui6	
隧	sui6	
几	kui3	
开	kʰui1	
杯	puai1	
培	puai2	文读
辈	puai5	文读
每	muai3	文读
衰	suai1	
摔	suai1	
甩	suai1	
帅	suai5	
率	suai5	统～
乖	kuai1	
拐	kuai3	
怪	kuai5	
块	kʰuai5	
快	kʰuai5	
会	kʰuai5	～计
外	ŋuai6	
怀	xuai2	
槐	xuai2	
淮	xuai2	
回	xuai2	
坏	xuai6	
歪	uai1	
掠	lyo1	
略	lyo1	
绝	tsyo1	
雀	tsʰyo7	
鹊	tsʰyo7	
局	kyo1	
决	kyo7	
诀	kyo7	
剧	kʰyo1	
缺	kʰyo7	
却	kʰyo7	
畜	xyo7	
蓄	xyo7	
旭	xyo7	
说	ɕyo7	
育	yo1	
悦	yo1	
阅	yo1	
越	yo1	
浴	yo1	
欲	yo1	
辱	yo1	
褥	yo1	
约	yo7	
朱	tsyø1	
洙	tsyø1	
蛛	tsyø1	～蜘
珠	tsyø1	
硃	tsyø1	
主	tsyø3	
喙	tsyø3	白读，嘴
晬	tsyø5	周岁
罪	tsyø6	
吹	tsʰyø1	
炊	tsʰyø1	
髓	tsʰyø3	
□	tsʰyø5	砍
撮	tsʰyø7	
尺	tsʰyø7	
粟	tsʰyø7	白读
□	tsʰyø7	喝
药	yø1	
□	yø1	闩
班	paŋ1	
斑	paŋ1	
邦	paŋ1	
扳	paŋ1	
般	paŋ1	文读
版	paŋ3	
板	paŋ3	
扮	paŋ6	
瓣	paŋ6	
办	paŋ6	
潘	pʰaŋ1	文读
判	pʰaŋ6	文读
盼	pʰaŋ6	
蛮	maŋ2	
漫	maŋ2	又读
慢	maŋ6	
漫	maŋ6	
蔓	maŋ6	
耽	taŋ1	
单	taŋ1	文读
担	taŋ1	文读
谈	taŋ2	
弹	taŋ2	～琴
坛	taŋ2	
胆	taŋ3	
诞	taŋ5	
旦	taŋ5	
蛋	taŋ5	完～
但	taŋ5	
淡	taŋ6	
弹	taŋ6	～弓
贪	tʰaŋ1	
摊	tʰaŋ1	
滩	tʰaŋ1	
谭	tʰaŋ2	
潭	tʰaŋ2	
痰	tʰaŋ2	
坦	tʰaŋ3	
毯	tʰaŋ3	
探	tʰaŋ5	
炭	tʰaŋ5	文读
叹	tʰaŋ5	
南	naŋ2	
男	naŋ2	
难	naŋ2	
恋	naŋ2	俗
赧	naŋ3	
难	naŋ6	患～
蓝	laŋ2	
篮	laŋ2	文读
兰	laŋ2	
拦	laŋ2	文读
栏	laŋ2	文读
懒	laŋ3	
览	laŋ3	
缆	laŋ3	
揽	laŋ3	
滥	laŋ6	
烂	laŋ6	文读
簪	tsaŋ1	
脏	tsaŋ1	肮～
惭	tsaŋ2	
蚕	tsaŋ2	又读
斩	tsaŋ3	
盏	tsaŋ3	文读
站	tsaŋ5	
站	tsaŋ6	又读
渐	tsaŋ6	
暂	tsaŋ6	
参	tsʰaŋ1	
搀	tsʰaŋ1	
蚕	tsʰaŋ2	
残	tsʰaŋ2	
惨	tsʰaŋ3	
铲	tsʰaŋ3	文读
忏	tsʰaŋ5	
三	saŋ1	文读
衫	saŋ1	
山	saŋ1	文读
产	saŋ3	
散	saŋ5	文读
汕	saŋ5	～头
疝	saŋ5	
甘	kaŋ1	
柑	kaŋ1	
竿	kaŋ1	文读
艰	kaŋ1	
间	kaŋ1	文读
奸	kaŋ1	
肝	kaŋ1	文读
干	kaŋ1	文读
监	kaŋ1	～牢
含	kaŋ2	白读
衔	kaŋ2	又读
感	kaŋ3	
敢	kaŋ3	文读
简	kaŋ3	
柬	kaŋ3	
拣	kaŋ3	文读
赶	kaŋ3	
干	kaŋ5	
鉴	kaŋ5	
监	kaŋ5	～督
谏	kaŋ5	
间	kaŋ5	～断
堪	kʰaŋ1	
龛	kʰaŋ1	
看	kʰaŋ1	～守
刊	kʰaŋ1	
坎	kʰaŋ3	
砍	kʰaŋ3	
侃	kʰaŋ3	
看	kʰaŋ5	文读
岩	ŋaŋ2	
颜	ŋaŋ2	
眼	ŋaŋ3	
雁	ŋaŋ6	
岸	ŋaŋ6	
蚶	xaŋ1	
酣	xaŋ1	
含	xaŋ2	文读
函	xaŋ2	
衔	xaŋ2	
韩	xaŋ2	
闲	xaŋ2	文读
间	xaŋ2	
喊	xaŋ3	
罕	xaŋ3	
汉	xaŋ5	
限	xaŋ6	
陷	xaŋ6	
汗	xaŋ6	文读
垦	xaŋ6	文读
庵	aŋ1	
安	aŋ1	
肮	aŋ1	
饮	aŋ3	白读，饭汤
暗	aŋ5	
按	aŋ5	
案	aŋ5	文读
馅	aŋ5	
崩	pɤŋ1	
绷	pɤŋ1	
缝	pɤŋ2	白读
本	pɤŋ3	
粪	pɤŋ5	
放	pɤŋ5	白读
笨	pɤŋ6	
蜂	pʰɤŋ1	
奔	pʰɤŋ1	
盆	pʰɤŋ2	
棚	pʰɤŋ2	
蓬	pʰɤŋ2	
篷	pʰɤŋ2	
捧	pʰɤŋ2	白读
捧	pʰɤŋ3	动词、量词
喷	pʰɤŋ5	
缝	pʰɤŋ5	～隙
门	mɤŋ2	文读
蒙	mɤŋ2	
懵	mɤŋ3	
蜢	mɤŋ3	蚊子
梦	mɤŋ5	
网	mɤŋ6	白读
闷	mɤŋ6	
敦	tɤŋ1	
钝	tɤŋ1	
东	tɤŋ1	
冬	tɤŋ1	
中	tɤŋ1	
忠	tɤŋ1	
同	tɤŋ2	
铜	tɤŋ2	
筒	tɤŋ2	
童	tɤŋ2	
瞳	tɤŋ2	
尘	tɤŋ2	文读
盾	tɤŋ3	
董	tɤŋ3	
懂	tɤŋ3	
冻	tɤŋ5	
栋	tɤŋ5	
中	tɤŋ5	～箭
囤	tɤŋ5	～积
动	tɤŋ6	
洞	tɤŋ6	
重	tɤŋ6	轻～
遁	tɤŋ6	
仲	tɤŋ6	
吞	tʰɤŋ1	
通	tʰɤŋ1	
虫	tʰɤŋ2	
重	tʰɤŋ2	～复
桐	tʰɤŋ2	
桶	tʰɤŋ3	
插	tʰɤŋ3	
统	tʰɤŋ3	
痛	tʰɤŋ5	
农	nɤŋ2	
浓	nɤŋ2	
脓	nɤŋ2	
忍	nɤŋ3	白读
软	nɤŋ5	白读
韧	nɤŋ6	白读
嫩	nɤŋ6	
龙	lɤŋ2	
珑	lɤŋ2	
论	lɤŋ2	
轮	lɤŋ2	
笼	lɤŋ2	
聋	lɤŋ2	
隆	lɤŋ2	
拢	lɤŋ3	
陇	lɤŋ3	
稐	lɤŋ3	
崙	lɤŋ5	
论	lɤŋ6	议～
弄	lɤŋ6	
尊	tsɤŋ1	
遵	tsɤŋ1	
棕	tsɤŋ1	
鬃	tsɤŋ1	
终	tsɤŋ1	
盅	tsɤŋ1	
纵	tsɤŋ1	
钟	tsɤŋ1	
宗	tsɤŋ1	
存	tsɤŋ2	
从	tsɤŋ2	
崇	tsɤŋ2	
准	tsɤŋ3	
总	tsɤŋ3	
种	tsɤŋ3	
肿	tsɤŋ3	
俊	tsɤŋ5	
粽	tsɤŋ5	
种	tsɤŋ5	栽～
众	tsɤŋ5	
春	tsʰɤŋ1	
聪	tsʰɤŋ1	
匆	tsʰɤŋ1	
葱	tsʰɤŋ1	
充	tsʰɤŋ1	
冲	tsʰɤŋ1	
从	tsʰɤŋ2	～容
蠢	tsʰɤŋ3	
怂	tsʰɤŋ3	
寸	tsʰɤŋ5	
铳	tsʰɤŋ5	
忖	tsʰɤŋ5	
纵	tsʰɤŋ5	放～
孙	sɤŋ1	
双	sɤŋ1	
新	sɤŋ1	～妇∶媳妇
松	sɤŋ1	宽～
荀	sɤŋ2	
旬	sɤŋ2	
循	sɤŋ2	
巡	sɤŋ2	
纯	sɤŋ2	
醇	sɤŋ2	
唇	sɤŋ2	
丛	sɤŋ2	
损	sɤŋ3	
笋	sɤŋ3	
瞬	sɤŋ5	
送	sɤŋ5	
宋	sɤŋ5	
逊	sɤŋ5	
殉	sɤŋ6	
颂	sɤŋ6	
诵	sɤŋ6	
顺	sɤŋ6	
跟	kɤŋ1	
根	kɤŋ1	
巾	kɤŋ1	
筋	kɤŋ1	
均	kɤŋ1	
君	kɤŋ1	
军	kɤŋ1	
民	kɤŋ1	
工	kɤŋ1	
功	kɤŋ1	
攻	kɤŋ1	
弓	kɤŋ1	
官	kɤŋ1	
恭	kɤŋ1	
供	kɤŋ1	～给
群	kɤŋ2	
裙	kɤŋ2	
穷	kɤŋ2	
拳	kɤŋ2	
滚	kɤŋ3	
港	kɤŋ3	
拱	kɤŋ3	
巩	kɤŋ3	
棍	kɤŋ5	
贡	kɤŋ5	
供	kɤŋ5	～养
近	kɤŋ6	
共	kɤŋ6	
昆	kʰɤŋ1	
空	kʰɤŋ1	
坤	kʰɤŋ1	
勤	kʰɤŋ2	
芹	kʰɤŋ2	
琼	kʰɤŋ2	
垦	kʰɤŋ3	
恳	kʰɤŋ3	
菌	kʰɤŋ3	
孔	kʰɤŋ3	
恐	kʰɤŋ3	
困	kʰɤŋ5	
空	kʰɤŋ5	～缺
控	kʰɤŋ5	
虹	kʰɤŋ6	
银	ŋɤŋ2	
龈	ŋɤŋ2	
昏	xɤŋ1	
婚	xɤŋ1	
分	xɤŋ1	
芬	xɤŋ1	
纷	xɤŋ1	
熏	xɤŋ1	
轰	xɤŋ1	
荤	xɤŋ1	
烘	xɤŋ1	
风	xɤŋ1	
疯	xɤŋ1	
丰	xɤŋ1	
封	xɤŋ1	
锋	xɤŋ1	
蜂	xɤŋ1	
痕	xɤŋ2	
焚	xɤŋ2	
冯	xɤŋ2	
逢	xɤŋ2	
缝	xɤŋ2	文读，裁～
云	xɤŋ2	
宏	xɤŋ2	
洪	xɤŋ2	
坟	xɤŋ2	
魂	xɤŋ2	
横	xɤŋ2	文读
眩	xɤŋ2	晕
粉	xɤŋ3	
奋	xɤŋ3	
愤	xɤŋ3	
忿	xɤŋ3	
混	xɤŋ5	
巷	xɤŋ5	
训	xɤŋ5	
讽	xɤŋ5	
恨	xɤŋ6	
份	xɤŋ6	
风	xɤŋ6	
奉	xɤŋ6	
恩	ɤŋ1	
翁	ɤŋ1	
红	ɤŋ2	白读
浑	ɤŋ2	白读
瓮	ɤŋ5	
蕹	ɤŋ5	～菜
帮	poŋ1	
旁	poŋ2	
滂	poŋ2	
榜	poŋ3	
绑	poŋ3	
傍	poŋ3	
谤	poŋ5	
棒	poŋ6	
磅	poŋ6	
庞	pʰoŋ2	
碰	pʰoŋ5	
蚌	pʰoŋ6	
忙	moŋ7	
芒	moŋ7	文读
茫	moŋ7	
亡	moŋ7	
忘	moŋ7	
盲	moŋ7	文读
莽	moŋ3	
当	toŋ1	
堂	toŋ2	
唐	toŋ2	
塘	toŋ2	
长	toŋ2	～短
党	toŋ3	
挡	toŋ3	
涨	toŋ3	
当	toŋ5	～作
荡	toŋ6	
丈	toŋ6	量词
汤	tʰoŋ1	
糖	tʰoŋ2	
倘	tʰoŋ3	
烫	tʰoŋ5	
囊	noŋ2	
瓢	noŋ2	
酿	noŋ2	
郎	loŋ2	
廊	loŋ2	
狼	loŋ2	
朗	loŋ3	
浪	loŋ6	
臧	tsoŋ1	
装	tsoŋ1	
庄	tsoŋ1	
藏	tsoŋ2	
葬	tsoŋ5	
壮	tsoŋ5	
藏	tsoŋ6	西～
脏	tsoŋ6	内～
状	tsoŋ6	
仓	tsʰoŋ1	
苍	tsʰoŋ1	
疮	tsʰoŋ1	
床	tsʰoŋ2	
创	tsʰoŋ5	
霜	soŋ1	
丧	soŋ1	婚～
桑	soŋ1	
嗓	soŋ3	
爽	soŋ3	
丧	soŋ5	～失
冈	koŋ1	
岗	koŋ1	
刚	koŋ1	
纲	koŋ1	
缸	koŋ1	
光	koŋ1	文读
江	koŋ1	
扛	koŋ1	
肛	koŋ1	
狂	koŋ2	白读，按原文为：又读
广	koŋ3	
讲	koŋ3	
降	koŋ5	
钢	koŋ5	
康	kʰoŋ1	
糠	kʰoŋ1	文读
匡	kʰoŋ1	
筐	kʰoŋ1	
狂	kʰoŋ2	
慷	kʰoŋ3	
矿	kʰoŋ3	又读
抗	kʰoŋ5	
旷	kʰoŋ5	
矿	kʰoŋ5	又读
昂	ŋoŋ2	
戆	ŋoŋ6	傻
荒	xoŋ1	文读
方	xoŋ1	文读
芳	xoŋ1	
坊	xoŋ1	
谎	xoŋ1	
黄	xoŋ2	文读
行	xoŋ2	文读，银～
航	xoŋ2	
防	xoŋ2	
妨	xoŋ2	
杭	xoŋ2	
皇	xoŋ2	
仿	xoŋ3	
纺	xoŋ3	
况	xoŋ3	
访	xoŋ3	
放	xoŋ5	文读
项	xoŋ6	
糠	xŋ1	白读
荒	xŋ1	白读
慌	xŋ1	白读
囥	xŋ5	白读，藏
光	ŋ1	白读
扛	ŋ1	白读
秧	ŋ1	白读
央	ŋ1	白读
讲	ŋ3	白读
囝	ŋ3	白读
梅	ŋ2	白读
唔	ŋ6	不
鞭	pieŋ1	
编	pieŋ1	
边	pieŋ1	文读
贬	pieŋ3	
扁	pieŋ3	文读，～豆
变	pieŋ5	文读
辨	pieŋ6	
辩	pieŋ6	
瓣	pieŋ6	文读
便	pieŋ6	方～
篇	pʰieŋ1	
偏	pʰieŋ1	
编	pʰieŋ1	
骗	pʰieŋ5	
片	pʰieŋ5	
遍	pʰieŋ5	
棉	mieŋ2	文读
绵	mieŋ2	
免	mieŋ3	
勉	mieŋ3	
娩	mieŋ3	
面	mieŋ5	文读
癫	tieŋ1	
颠	tieŋ1	
填	tieŋ2	
传	tieŋ2	
甜	tieŋ2	
缠	tieŋ2	
点	tieŋ3	
典	tieŋ3	
展	tieŋ3	
展	tieŋ5	又读
电	tieŋ5	
奠	tieŋ5	
垫	tieŋ6	
传	tieŋ6	～记
殿	tieŋ6	
佃	tieŋ6	
天	tʰieŋ1	
添	tʰieŋ1	
舔	tʰieŋ2	
黏	nieŋ1	
拈	nieŋ1	
年	nieŋ2	文读
粘	nieŋ2	
碾	nieŋ3	
念	nieŋ6	
连	lieŋ2	
莲	lieŋ2	
怜	lieŋ2	
镰	lieŋ2	
廉	lieŋ2	
帘	lieŋ2	
脸	lieŋ3	
辇	lieŋ3	
□	lieŋ5	用力打
殓	lieŋ6	
练	lieŋ6	
炼	lieŋ6	
尖	tsieŋ1	
专	tsieŋ1	
瞻	tsieŋ1	
沾	tsieŋ1	
前	tsieŋ2	文读
全	tsieŋ2	
泉	tsieŋ2	
潜	tsieŋ2	
剪	tsieŋ3	文读
转	tsieŋ3	文读
践	tsieŋ3	文读，又读
占	tsieŋ5	
战	tsieŋ5	
荐	tsieŋ5	
箭	tsieŋ5	文读
践	tsieŋ6	
渐	tsieŋ6	
签	tsʰieŋ1	
歼	tsʰieŋ1	
千	tsʰieŋ1	
忏	tsʰieŋ1	
纤	tsʰieŋ1	
笺	tsʰieŋ1	
川	tsʰieŋ1	
浅	tsʰieŋ3	文读
践	tsʰieŋ3	
仙	sieŋ1	文读
鲜	sieŋ1	
宣	sieŋ1	
喧	sieŋ1	
先	sieŋ1	文读
旋	sieŋ2	
选	sieŋ3	
鲜	sieŋ3	
线	sieŋ5	
羡	sieŋ6	
兼	kieŋ1	
坚	kieŋ1	
肩	kieŋ1	文读
捐	kieŋ1	
绢	kieŋ1	
权	kieŋ2	
减	kieŋ3	
检	kieŋ3	
茧	kieŋ3	
卷	kieŋ3	
剑	kieŋ5	
建	kieŋ5	
见	kieŋ5	文读
卷	kieŋ5	又读
券	kieŋ5	
俭	kieŋ6	
键	kieŋ6	
健	kieŋ6	
腱	kieŋ6	
谦	kʰieŋ1	
牵	kʰieŋ1	文读
乾	kʰieŋ2	
遣	kʰieŋ3	
谴	kʰieŋ3	
欠	kʰieŋ5	
歉	kʰieŋ5	
劝	kʰieŋ5	
严	ŋieŋ2	文读
言	ŋieŋ2	
元	ŋieŋ2	
源	ŋieŋ2	
原	ŋieŋ2	
研	ŋieŋ3	文读
验	ŋieŋ6	
愿	ŋieŋ6	
掀	xieŋ1	
胸	xieŋ1	
薰	xieŋ1	文读
贤	xieŋ2	
弦	xieŋ2	
玄	xieŋ2	
悬	xieŋ2	文读
熊	xieŋ2	
雄	xieŋ2	
嫌	xieŋ2	文读
险	xieŋ3	
显	xieŋ3	
很	xieŋ3	
狠	xieŋ3	
宪	xieŋ6	
献	xieŋ6	
现	xieŋ6	
闪	ɕieŋ3	
赡	ɕieŋ6	
膳	ɕieŋ6	
善	ɕieŋ6	
擅	ɕieŋ6	
淹	ieŋ2	
阉	ieŋ2	
雍	ieŋ2	
戎	ieŋ2	
融	ieŋ2	
炎	ieŋ2	
燃	ieŋ2	
然	ieŋ2	
延	ieŋ2	
员	ieŋ2	
沿	ieŋ2	
庸	ieŋ2	
容	ieŋ2	
缘	ieŋ2	
援	ieŋ2	
荣	ieŋ2	
绒	ieŋ2	
圆	ieŋ2	
园	ieŋ2	
掩	ieŋ3	
演	ieŋ3	
远	ieŋ3	文读
砚	ieŋ3	白读
勇	ieŋ3	
踊	ieŋ3	
厌	ieŋ5	
燕	ieŋ5	文读
怨	ieŋ5	
宴	ieŋ5	
拥	ieŋ5	
艳	ieŋ6	
焰	ieŋ6	
用	ieŋ6	
彬	piŋ1	
冰	piŋ1	
兵	piŋ1	
平	piŋ2	文读
贫	piŋ2	
瓶	piŋ2	
屏	piŋ2	
朋	piŋ2	
凭	piŋ2	
禀	piŋ3	
炳	piŋ3	
秉	piŋ3	
殡	piŋ6	
并	piŋ6	文读
烹	pʰiŋ1	
拼	pʰiŋ1	
评	pʰiŋ2	
萍	pʰiŋ2	
品	pʰiŋ3	
聘	pʰiŋ5	
抿	miŋ1	
铭	miŋ2	
名	miŋ2	文读
眠	miŋ2	
萌	miŋ2	
明	miŋ2	文读
鸣	miŋ2	
盟	miŋ2	
暝	miŋ2	文读
冥	miŋ2	
悯	miŋ3	
敏	miŋ3	
皿	miŋ3	
面	miŋ5	
命	miŋ6	文读
孟	miŋ6	
甜	tiŋ1	
珍	tiŋ1	
登	tiŋ1	
灯	tiŋ1	
澄	tiŋ1	
丁	tiŋ1	
钉	tiŋ1	
惩	tiŋ1	
沉	tiŋ2	
陈	tiŋ2	
橙	tiŋ2	
廷	tiŋ2	
腾	tiŋ2	
藤	tiŋ2	
鼎	tiŋ3	
顶	tiŋ3	
镇	tiŋ5	
凳	tiŋ5	
邓	tiŋ5	
钉	tiŋ5	动词
订	tiŋ5	
店	tiŋ5	
绽	tiŋ6	
阵	tiŋ6	
定	tiŋ6	文读
添	tʰiŋ1	白读
听	tʰiŋ1	文读
汀	tʰiŋ1	
艇	tʰiŋ3	
挺	tʰiŋ3	
遥	tʰiŋ3	
鼎	tʰiŋ3	又读
趁	tʰiŋ5	
能	niŋ2	
宁	niŋ2	
