#ɿ
ts[3]紫姊子梓[5]翅自字巳
tsʰ[2]雌池瓷慈磁伺祠词赤[3]此[5]刺赐次秩
s[1]私师狮蛳思丝司斯厮撕[3]死[5]四肆祀寺

#ʅ
tʂ[1]知蜘支枝肢栀资姿咨脂滋之芝只{一~}[3]纸只{~有}指旨耻{白}止址趾[5]制智致稚至痔治痣志蛰[7]置峙汁侄质直值织职植殖
tʂʰ[1]痴[2]驰糍迟辞持[3]齿耻{文}[7]尺吃
ʂ[1]施尸诗[2]时[3]屎史使驶始[5]世势誓逝匙是氏豉示视似饲士仕柿事试市侍式饰适释[7]湿十什拾实失室食识石
ʐ[7]日

#i
p[3]彼鄙比[5]蔽敝弊币闭陛被{棉~}被{~迫}避泌庇备篦弼[7]鼻笔必碧璧壁
pʰ[1]屄[2]皮疲脾痹琵枇痞匹[5]屁
m[2]迷谜弥秘眉楣篾蜜[3]米[7]密
t[1]低[3]底抵[5]帝蒂涕弟第递隶地[7]滴笛敌
tʰ[1]梯[2]堤屉题提蹄[3]体[5]替剃剔
tɕ[1]鸡奇饥肌几{茶~}基箕姬机讥饥几{~乎}[2]缉集[3]挤己纪几{~个}[5]祭际济荠剂计继寄技妓记杞忌既季寂
tɕʰ[1]妻凄悽溪欺期瞅{白}[2]齐脐奇骑棋旗其[3]启起岂乞[5]契企器弃气汽[7]急竭疾
ȵ[2]泥犁黎离篱璃荔离尼呢梨厘疑[3]礼你狸李里理里鲤栗[5]例厉励丽莉宜仪谊腻利痢吏
ɕ[1]些西犀兮玺牺熙嘻{文}希稀[2]胁歇蝎[3]洗禧喜嘻{白}蟢[5]细系戏[7]协习袭吸穴悉膝息熄媳昔惜夕席析锡
∅[1]伊医衣依揖[2]移姨遗邑译[3]椅以已[5]俞{白}艺刈蚁义议易意怡异毅忆亿翼益[7]乙一壹逸

#u
p[3]补[5]布怖部步捕卜[7]不
pʰ[1]铺{~开}[2]浦蒲菩脯葡[3]谱普[5]铺{当~}甫
m[3]牡母拇[7]模{~型}模{~范}
f[1]呼乎夫肤敷俘孵麸扶[2]胡湖糊狐壶葫蝴沪沸浮彿佛[3]虎浒府斧抚釜腐辅[5]户互护跗付赋咐赴父附富副负妇[7]芙幅福蝠腹复辐伏服
t[1]多都督[3]堵赌[5]肚妒杜肚度渡镀[7]独读牍犊毒
tʰ[2]途屠徒涂图突凸秃[3]土吐[5]兔
n[2]奴卢炉芦庐[3]努鲁橹虏卤[5]怒路露鹭[7]驴律鹿禄录绿
ts[1]租[3]祖组[5]做
tsʰ[1]粗[2]除[5]醋[7]促
s[1]苏酥[5]素诉塑嗉漱[7]速宿肃{文}
tʂ[1]猪诸诛蛛株朱珠[3]阻煮主[5]著苎助驻柱住注蛀铸[7]竹轴祝烛触
tʂʰ[1]初[2]储锄厨橱[3]楚础处{~理}杵处{~所}拄[7]畜{~牲}
