聲母	韻母	聲調	漢字	註釋
ts	ɿ	[1]	雌	
ts	ɿ	[1]	資	
ts	ɿ	[1]	姿	
ts	ɿ	[1]	諮	
ts	ɿ	[1]	脂	
ts	ɿ	[1]	茲	
ts	ɿ	[1]	滋	
ts	ɿ	[1]	之	
ts	ɿ	[1]	芝	
ts	ɿ	[3]	鼠	
ts	ɿ	[3]	紫	
ts	ɿ	[3]	指	
ts	ɿ	[3]	子	
ts	ɿ	[3]	籽	
ts	ɿ	[3]	梓	
ts	ɿ	[3]	止	
ts	ɿ	[3]	趾	
ts	ɿ	[3]	址	
ts	ɿ	[3]	齒	
ts	ɿ	[9]	胝	硬～:趼子
ts	ɿ	[5]	刺	魚～
ts	ɿ	[13]	支	一～
ts	ɿ	[15]	□	□ɯ⁵⁵～:小孩耍賴,糾纏不休
tsʰ	ɿ	[3]	此	
tsʰ	ɿ	[5]	刺	～刀兒
tsʰ	ɿ	[5]	次	
tsʰ	ɿ	[15]	翅	魚～
s	ɿ	[1]	螄	
s	ɿ	[1]	篩	篩子
s	ɿ	[1]	斯	
s	ɿ	[1]	賜	
s	ɿ	[1]	私	
s	ɿ	[1]	師	
s	ɿ	[1]	獅	
s	ɿ	[1]	屍	
s	ɿ	[1]	司	
s	ɿ	[1]	絲	
s	ɿ	[1]	思	
s	ɿ	[1]	詩	
s	ɿ	[3]	死	
s	ɿ	[3]	使	
s	ɿ	[3]	史	
s	ɿ	[3]	駛	
s	ɿ	[13]	□	□□tʰõ⁵⁵ʃyə⁵⁵～:如果
z	ɿ	[2]	鷀	鷀～
z	ɿ	[2]	鋤	
z	ɿ	[2]	匙	
z	ɿ	[2]	瓷	
z	ɿ	[2]	糍	
z	ɿ	[2]	慈	
z	ɿ	[2]	磁	
z	ɿ	[2]	辭	
z	ɿ	[2]	詞	
z	ɿ	[2]	祠	
z	ɿ	[2]	時	
z	ɿ	[4]	氏	
z	ɿ	[4]	巳	
z	ɿ	[4]	士	
z	ɿ	[4]	仕	
z	ɿ	[4]	市	
z	ɿ	[14]	豉	豆～
z	ɿ	[6]	逝	
z	ɿ	[6]	自	2
z	ɿ	[6]	示	
z	ɿ	[6]	視	
z	ɿ	[6]	嘻	
z	ɿ	[6]	似	
z	ɿ	[6]	祀	
z	ɿ	[6]	字	
z	ɿ	[6]	寺	
z	ɿ	[6]	飼	
z	ɿ	[6]	事	
z	ɿ	[6]	侍	
z	ɿ	[11]	牸	～牛兒:母牛
z	ɿ	[15]	誓	宣～
p	i	[1]	屄	
p	i	[3]	鄙	
p	i	[3]	比	
p	i	[3]	婊	
p	i	[3]	表	～哥兒
p	i	[5]	蔽	
p	i	[5]	閉	
p	i	[5]	臂	
p	i	[5]	秘	
p	i	[5]	泌	
p	i	[5]	庇	
p	i	[7]	鱉	
p	i	[12]	蓖	～麻子
pʰ	i	[1]	批	
pʰ	i	[1]	披	臺門～兒:門樓
pʰ	i	[1]	𠜱	用手或牙齒剝離
pʰ	i	[3]	漂	～白
pʰ	i	[5]	幣	
pʰ	i	[5]	屁	
pʰ	i	[5]	票	
pʰ	i	[13]	匹	一～
pʰ	i	[13]	撇	一～
pʰ	i	[12]	□	～水漂兒:打水漂兒
b	i	[2]	皮	1
b	i	[2]	疲	
b	i	[2]	脾	
b	i	[2]	婢	
b	i	[2]	琵	
b	i	[2]	枇	
b	i	[2]	痹	
b	i	[2]	肥	1
b	i	[2]	□	一～磚:一層磚
b	i	[4]	璧	
b	i	[4]	被	名詞
b	i	[6]	弊	
b	i	[6]	斃	
b	i	[6]	避	
b	i	[11]	□	～～□兒zɑ̃n²⁴:一種形似木耳的野菜
m	i	[2]	迷	
m	i	[2]	謎	
m	i	[2]	眉	
m	i	[2]	楣	
m	i	[4]	米	
m	i	[6]	彌	
m	i	[6]	未	副詞
m	i	[6]	覓	讀字
m	i	[8]	滅	1
m	i	[8]	搣	擰;捻
m	i	[8]	篾	
m	i	[11]	尾	～巴
f	i	[1]	非	
f	i	[1]	飛	
f	i	[1]	妃	
f	i	[1]	□	用油炸
f	i	[3]	匪	
f	i	[3]	榧	
f	i	[5]	廢	
f	i	[5]	肺	
f	i	[5]	費	
f	i	[13]	翡	～翠
v	i	[2]	皮	2
v	i	[2]	維	
v	i	[2]	惟	
v	i	[2]	唯	
v	i	[2]	肥	2
v	i	[2]	微	～型
v	i	[6]	吠	狗叫
v	i	[6]	未	地支之一
v	i	[6]	味	
t	i	[1]	低	
t	i	[3]	底	
t	i	[3]	抵	
t	i	[5]	帝	
tʰ	i	[1]	梯	
tʰ	i	[3]	體	
tʰ	i	[3]	替	
tʰ	i	[3]	剔	
tʰ	i	[5]	涕	
tʰ	i	[5]	剃	
tʰ	i	[5]	屜	
tʰ	i	[0]	嚏	打～:打噴嚏
d	i	[2]	堤	
d	i	[2]	題	
d	i	[2]	提	
d	i	[2]	蹄	
d	i	[2]	啼	
d	i	[2]	隶	
d	i	[4]	弟	
d	i	[6]	第	
d	i	[6]	遞	
d	i	[6]	地	
d	i	[10]	逮	～捕
n	i	[0]	呢	語氣詞
l	i	[2]	腡	
l	i	[2]	驢	
l	i	[2]	梨	
l	i	[2]	犁	
l	i	[2]	黎	
l	i	[2]	離	
l	i	[2]	籬	
l	i	[2]	璃	
l	i	[2]	釐	
l	i	[2]	狸	
l	i	[2]	里	
l	i	[4]	呂	
l	i	[4]	旅	
l	i	[4]	禮	
l	i	[4]	李	
l	i	[4]	理	
l	i	[4]	鯉	
l	i	[4]	裏	
l	i	[4]	吏	
l	i	[4]	剺	用指甲劃
l	i	[6]	慮	
l	i	[6]	濾	
l	i	[6]	厲	～害
l	i	[6]	麗	美～
l	i	[6]	利	
l	i	[6]	痢	
l	i	[6]	淚	
l	i	[10]	履	～行
l	i	[0]	勵	鼓～
l	i	[11]	麗	～水:地名
l	i	[11]	荔	～枝
ts	i	[7]	接	1
s	i	[3]	髓	
s	i	[7]	薛	下～宅:地名
s	i	[7]	雪	
z	i	[8]	折	～本
tʃ	i	[1]	豬	殺～
tʃ	i	[1]	雞	
tʃ	i	[1]	知	
tʃ	i	[1]	支	～持
tʃ	i	[1]	枝	
tʃ	i	[1]	肢	
tʃ	i	[1]	妓	
tʃ	i	[1]	肌	
tʃ	i	[1]	飢	
tʃ	i	[1]	几	茶～
tʃ	i	[1]	幾	～乎
tʃ	i	[1]	基	
tʃ	i	[1]	機	
tʃ	i	[1]	譏	
tʃ	i	[1]	饑	
tʃ	i	[1]	萁	蘆～□pʰo⁴²³:蕨
tʃ	i	[3]	擠	
tʃ	i	[3]	紙	
tʃ	i	[3]	旨	
tʃ	i	[3]	己	
tʃ	i	[3]	幾	～個
tʃ	i	[3]	嘴	
tʃ	i	[3]	蟣	
tʃ	i	[3]	□	麻～:發麻
tʃ	i	[5]	姊	
tʃ	i	[5]	祭	
tʃ	i	[5]	際	
tʃ	i	[5]	穄	
tʃ	i	[5]	制	
tʃ	i	[5]	製	
tʃ	i	[5]	濟	
tʃ	i	[5]	劑	
tʃ	i	[5]	計	
tʃ	i	[5]	繼	
tʃ	i	[5]	髻	
tʃ	i	[5]	智	
tʃ	i	[5]	寄	
tʃ	i	[5]	致	
tʃ	i	[5]	至	
tʃ	i	[5]	冀	
tʃ	i	[5]	置	
tʃ	i	[5]	志	
tʃ	i	[5]	誌	
tʃ	i	[5]	痣	
tʃ	i	[5]	紀	
tʃ	i	[5]	記	
tʃ	i	[5]	醉	
tʃ	i	[5]	季	
tʃ	i	[13]	稽	～查
tʃ	i	[13]	梔	山～花:梔子花
tʃ	i	[13]	既	～然
tʃ	i	[15]	□	□tsin⁵⁵～:漂亮,指女人
tʃʰ	i	[1]	蛆	
tʃʰ	i	[1]	妻	
tʃʰ	i	[1]	棲	兩～
tʃʰ	i	[1]	溪	
tʃʰ	i	[1]	癡	
tʃʰ	i	[1]	欺	
tʃʰ	i	[3]	且	
tʃʰ	i	[3]	啓	
tʃʰ	i	[3]	侈	
tʃʰ	i	[3]	企	
tʃʰ	i	[3]	恥	
tʃʰ	i	[3]	起	
tʃʰ	i	[3]	杞	
tʃʰ	i	[3]	豈	
tʃʰ	i	[3]	□	撕
tʃʰ	i	[5]	砌	
tʃʰ	i	[5]	契	
tʃʰ	i	[5]	器	
tʃʰ	i	[5]	棄	
tʃʰ	i	[5]	氣	
