	注释：-白读，=文读
#a	
p	[1]巴芭疤笆吧爸[3]把{～握}饱靶[5]罢坝豹
pʰ	[1]脬{卵～，阴囊}[5]帕泡-{灯～}
b	[5]龅
m	[2]妈[3]蚂玛嬷{奶奶}妈{奶奶}
t	[1]□{干(形容词)}[3]打[5]罩-
tʰ	[1]他它她[5]□{弄散}
l	[1]垃=拉[2]膋{猪油}朥{猪油}□{～□ia24，大蜘蛛}[5]□{搅拌}□{足够}
ts	[1]渣咤{哪～}[3]早[5]昨炸诈榨[6]乍
tsʰ	[1]差{差劲}[2]茬柴[3]炒
s	[1]沙{～茶，一种酱料}[2]傻
k	[1]咳铰胶家-{～己，自己}□{～□tsua55，蟑螂}[3]绞搅-[5]教窖较校{～对}咬
kʰ	[1]骹{腿/脚}尻[3]卡巧[5]扣去{用于将行体}
h	[1]哈[5]孝={披麻带～}
∅	[1]阿亚丫桠鸦[3]拗[5]詏{争吵，争辩}
#aʔ	
pʰ	[7]拍
t	[7]搭遢{邋～}[8]踏
tʰ	[7]塔[8]迭
l	[8]腊蜡镴猎□{逛}□{秃}
ts	[7]扱{挽起}□{携带}[8]栅闸铡
tsʰ	[7]插
s	[8]煠{煮}
k	[7]甲胛
kʰ	[7]岂□{涂上(肥皂等)}
h	[7]合-{花～，花瓣}[8]合-{称心}
∅	[7]押鸭
#o	
p	[1]波玻菠=坡[2]婆={蛤～，蛤蟆}[3]保堡宝[5]报
pʰ	[1]颇[5]抱
b	[2]无[3]母拇[6]帽磨{名词}
t	[1]刀多[2]逃萄[3]倒{～落去，倒下去}短朵躲[5]倒{～水}块□{在}[6]袋代-{年～}
tʰ	[1]胎[2]桃陀砣鮀□{□tʰik2-5～，游逛}[3]妥椭讨[5]退
l	[2]牢螺罗骡萝锣啰醪{浑浊}榔{槟～}[3]恼-{烦～，担心}裸
ts	[2]槽[3]左佐阻枣[5]坐助做状{～元}
tsʰ	[1]初臊{腥}[2]□{戏弄}[3]草-{～略，粗略}楚础[5]糙挫锉错[6]□{盛，装}
s	[1]唆梭蓑疏蔬[2]挲□{慢，无力}[3]嫂叟所琐锁[5]素-{无}{味落～，寡淡无味}
k	[1]膏篙糕戈哥歌=高-{姓}[2]□{扔}[3]稿[5]告划-{～船}块个=
kʰ	[1]柯苛戈棵炣{～饭，一种焖饭}[3]颗
ɡ	[2]鹅[6]饿
h	[1]呵歊{闷热，热气蒸腾}[2]禾何河荷{荷花}[3]好-{形容词}[5]耗荷{负荷}[6]号贺
∅	[1]窝蜗讴-{吆喝}[2]蚝[3]袄
#oʔ	
p	[7]驳[8]薄泊
pʰ	[7]粕
t	[7]桌卓琢[8]掇{拾取}夺择
tʰ	[7]托[8]驼
l	[8]落-骆骼
ts	[7]座作-{～塍，耕田}[8]絶
tsʰ	[7]撮[8]□{奔突貌}
s	[7]索雪□{渗透刺激}
k	[7]搁阁胳{～骹，腋窝}[8]滒{～～，黏糊貌}
h	[7]□{拍照}[8]鹤荷{薄～}
∅	[7]恶-{困难}呃{嗝}[8]学-{学习；讲述}
#e	
p	[1]扒{(饭菜)}[2]杷爬耙琶[3]把{量词}[5]爸-
pʰ	[5]帕{兜着}
b	[3]马码
t	[2]茶[5]□{控干水分}
l	[2]□{割}
ts	[1]斋[3]姐□{现在}[5]债[6]寨
tsʰ	[1]叉杈岔差{差事}[2]查[3]扯[5]厕
s	[1]纱裟些
k	[1]家加-{多}[3]假{真～}[5]下-{低}架嫁稼价驾
kʰ	[5]□{瘦弱}
ɡ	[2]蜈牙芽蚜衙
h	[2]虾[5]厦夏
∅	[3]哑[5]下-{下面}
#eʔ	
p	[7]百柏伯擘[8]白帛
b	[8]麦
t	[7]□{压；押}
tʰ	[8]宅
l	[8]历□{割}
ts	[7]绩积责职仄
tsʰ	[7]册策
k	[7]格隔
kʰ	[7]客
h	[7]吓赫
∅	[7]厄
#i	
p	[1]碑[2]啤枇琵脾{～胃}[3]比彼秕妣[5]被=闭毙币臂泌秘痹[6]备蔽弊避
pʰ	[1]披[2]疲脾{～气}[3]鄙疕{痂}
b	[3]米[5]□{～～叫，欣喜貌}[6]味未{地支}□{潜水}
t	[1]低的{虚词}[2]池[3]抵底=[5]弟戴-帝知=智致置□{哪}[6]治=地递
tʰ	[1]蜘黐{黏稠}[2]持苔提啼[3]体□{张开}[5]痔剃涕屉替□{撕}
