fa12划{~分}
fa212花{~生}
fa22画{年~}
fa35化{~肥}
fa44华{中~}法{办~}
fa45发{~芽}罚{~款}
fai22坏{~人}
fai44槐{~树}
fan212番{一~}
fan22犯{~法}饭{米~}
fan31反{对}
fan35贩{~子}
fan44凡{~是}烦{心~}魂{~魄}
fi212虚{~汗}盔{头~}恢{~复}灰{~尘}
fi22汇{~总}惠{贤~}
fi31许{姓~}贿{受~}悔{后~}毁{烧}水{修~}匪{土~}
fi35岁{~月}税{交~}隧{~洞}痱{~子}费{~用}
fi44回{~去}废{~物}肺{~部}肥{~猪}
fin212熏{~肉}
fin35训{~练}
fo12惑{迷~}
fo22祸{~害}和{~起来}
fo31火{烧~}
fo35货{提~}
fo45获{收~}
fu212呼{称~}夫{~妻}敷{~药}
fu22户{~口}互{~助组}瓠{~子}父{~母}附{~近}负{~责}
fu31虎{老~}府{政~}抚{~州}腐{豆~}
fu35库{~水}傅{姓~}富{~人}副{一~}
fu44湖{~里}胡{~须}壶{茶~}葫{~芦}扶{~着}
fu45忽{疏~}斛{禾~}福{~气}服{~装}
fɔ45霍{姓~}缚{束~}
fɔn212欢{~喜}
fɔŋ212荒{~度}方{姓~}
fɔŋ214访{上~}
fɔŋ31谎{说~}仿{模~}纺{~线}
fɔŋ35放{~走}
fɔŋ44黄{蛋~}蝗{蚂~}妨{~}房{新~}
fən212婚{结~}分{开}荤{胆~}
fən22混{~日子}份{一~}
fən31粉{丝}
fən35粪{大}
fən44浑{~水}坟{~墓}
fəŋ212轰{~走}风{起~}讽{刺}丰{~收}封{~山}蜂{黄~}
fəŋ22哄{闹~}凤{~皇}缝{门~}
fəŋ44红{~旗}冯{姓~}缝{~衣裳}
fɛ45佛{信~}
fɛi212飞{~机}徽{安~}
fɛi35讳{息~}
fɛu44浮{轻~}
ha212虾{~子}
ha31厦{~屋}下{~车}
ha35吓{~人}
ha45喝{~水}瞎{~子}
hai13亥{~时}害{~人}
hai22蟹{毛~}
hai31海{上~}
hai44孩{~子}鞋{布~}还{~是}
han22限{~定}苋{~菜}
han44含{~着水}咸{~淡}衔{军~}闲{~人}
hau212蒿{茼~}
hau22浩{~大}号{~称}孝{戴~}
hau31好{~坏}好{~哭}
hau44毫{~米}
ho22贺{姓~}
ho44河{~水}和{~气}
ho45鹤{仙~}
hɔ45盒{~子}学{~戏}
hɔn22撼{~动}罕{稀~}旱{~灾}汗{出~}
hɔn31憨{~宝}
hɔn35汉{~族}
hɔn44寒{~了}
hɔŋ22巷{~子}
hɔŋ44行{银~}
hən22恨{仇~}
hən31很{~好}
hən44痕{牙~}
həŋ212亨{~通}烘{~手}
həŋ31哄{~骗}
həŋ44恒{~心}衡{平~}
hɛ13渠{我你~}
hɛ45黑{~白}核{~心}
