id	ini	fn	pt	单字	黃閣大塘	注释	南沙黃閣	
1				多	tɔ55	～少	tɔ55	
2	tʰ	ɔ	55	拖	tʰɔ55	～拉机		
3	kʰ	œy	13	他	tʰa55	其～	tʰa55	1
4	tʰ	ɔ	21	駝	tʰɔ21	骆～		
5	tʰ	ɔ	21	舵	tʰɔ21	～手		
6				大	tai31	～夫，～黄	tai31	1
7	l	ɔ	21	挪	lɔ21	～用公款		
8	l	a	13	哪	la23	～里		
9	l	a	13	哪	la23	～吒		
10	l	a	13	那	la23	～里；姓		
11	l	ɔ	21	羅	lɔ21	姓		
12	l	ɔ	21	鑼	lɔ21	～鼓		
13	l	ɔ	21	箩	lɔ21	～筐		
14	tʃ	ɔ	35	左	tʃɔ25	～右		
15	tʃ	ɔ	35	佐	tʃɔ25	辅～		
16	k	ɔ	55	歌	kɔ55	唱～，～声		
17	k	ɔ	55	哥	kɔ55	大～，学生～	kɔ55	1
18	k	ɔ	13	個	kɔ23	两～，～别		
19	k	ɔ	13	個	kɔ23	我～（我的）		
20	h	ɔ	35	可	hɔ25	～能，许～证		
21		ɔ	21	蛾	ɔ21	飞～扑火		
22		ɔ	21	鵝	ɔ21	天～		
23		ɔ	21	俄	ɔ21	～罗斯		
24		ɔ	13	我	ɔ23	自～[文]		
25		ɔ	13	我	ɔ23	涯，第一人称[白]		
26		ɔ	31	餓	ɔ31	饥～		
27	h	ɔ	21	荷	hɔ21	～花；薄～		
28	h	ɔ	21	荷	hɔ21	挑，～担，～东西[白]		
29	h	ɔ	21	河	hɔ21	黄～	hɔ21	1
30	h	ɔ	21	何	hɔ21	姓；如～		
31	h	ɔ	31	賀	hɔ31	祝～，～礼		
32		ɔ	31	阿	ɔ31	～胶；～弥陀佛		
33		a	31	阿	a31	～爸		
34	k	a	55	茄	ka55	茄子；番～		
35	k	a	55	茄	ka55	雪～		
36	p	ɔ	55	波	pɔ55	风～，～浪	pɔ55	1
37	p	ɔ	55	菠	pɔ55	～菜		
38	p	ɐi	55	跛	pɐi55	～脚（跛足）[训]		
39	tʃʰ	au	55	簸	tʃʰau55	～箕甲（蛇），～谷		
40	pʰ	ɔ	55	簸	pʰɔ55	颠～		
41	pʰ	ɔ	35	頗	pʰɔ25	～有心得，偏～		
42	p	ɔ	55	坡	pɔ55	山～，～度		
43	p	ɔ	55	玻	pɔ55	～璃		
44	pʰ	ɔ	13	破	pʰɔ23	～坏	pʰɔ23	1
45	pʰ	ɔ	21	婆	pʰɔ21	老～	pʰɔ21	1
46	p	ɔk	2	薄	pɔk31	～荷		
47	m	ɔ	55	魔	mɔ55	～术，～鬼		
48	m	ɔ	21	磨	mɔ21	～刀，水～[动]	mɔ21	1
49	m	ɔ	21	磨	mɔ21	～豆浆[动]	mɔ21	1
50	m	ɔ	55	摩	mɔ55	～擦，按～		
51	m	ɔ	21	磨	mɔ21	石～[名]	mɔ21	1
52	t	ɔ	35	朶	tɔ25	一～花，花～		
53	t	ɔ	35	躱	tɔ25	～避，～开		
54	t	ɔk	5	刴	tɔk5	～猪肉，～肉丸[训]		
55	tʰ	ɔ	13	妥	tʰɔ23	～当		
56	tʰ	ɔ	13	椭	tʰɔ23	～圆		
57	tʰ	ɔ	13	唾	tʰɔ23	～弃，～液		
58	t	ɔ	31	惰	tɔ31	～性		
59	l	ɔ	31	糯	lɔ31	～米	lɔ31	1
60	l	ɔ	21	騾	lɔ21	骡		
61	l	ɔ	21	螺	lɔ21	田～		
62	w	ɔ	55	腡	wɔ55	手指纹		
63	l	ɔ	21	囉	lɔ21	喽～，～嗦		
64	l	ɔ	35	裸	lɔ25	～体		
65	tʃʰ	ɔ	13	銼	tʃʰɔ23	～刀		
66	tʃʰ	ɔ	13	坐	tʃʰɔ23	～车，～稳	tʃʰɔ23	1
67	tʃ	ɔ	31	座	tʃɔ31	～位，上～		
68	ʃ	ɔ	55	簑	ʃɔ55	棕～，～衣		
69	ʃ	ɔ	55	梭	ʃɔ55	穿～，～子蟹		
70	ʃ	ɔ	55	唆	ʃɔ55	～使		
71	ʃ	ɔ	35	鎖	ʃɔ25	～匙		
72	ʃ	ɔ	35	瑣	ʃɔ25	～碎，烦～		
73	k	ɔ	55	戈	kɔ55	干～，～壁		
74	k	ɔ	35	果	kɔ25	水～	kɔ35	黄阁
75	k	ɔ	35	裹	kɔ25	包～		
76	k	ɔ	13	過	kɔ23	～去，～头		
77	f	ɔ	55	科	fɔ55	～学，文～		
78	pʰ	ɔ	55	棵	pʰɔ55	一～树		
79	l	ɐʔ	5	顆	lɐʋʔ5	一～珍珠，～粒		
80	f	ɔ	13	課	fɔ23	上～		
81		ɔ	21	訛	ɔ21	～诈，以～传～		
82		ɔ	21	臥	ɔ21	～室，～铺		
83	f	ɔ	35	火	fɔ25	着～，～车		
84	f	ɔ	35	夥	fɔ25	合～，～计		
85	f	ɔ	13	貨	fɔ23	～车，百～		
86		ɔ	31	和	ɔ31	～平，～气[文]		
87		ɔ	21	和	ɔ21	～尚[白]		
88		ɔ	21	禾	ɔ21	割～，～苗	ɔ21	1
89		ɔ	31	禍	ɔ31	大～临头，～害		
90		ɔ	21	和	ɔ21	唱～，～诗		
91	w	ɔ	55	倭	wɔ55	～寇		
92		ɔ	55	窩	ɔ55	～囊废，～藏		
93	p	ɐi	55	瘸	pɐi55	不灵活，～手，～脚		
94	h	œ	55	靴	hœ55	皮～	hœ55	1
