	注释：-白读，=文读
#ɿ	
ts	[1]支枝=肢脂之芝资姿咨兹滋[2]瓷兹磁糍=治=[3]紫旨指止址子只{～有}[4]侄[5]自=字=志痣至翅制置[7]汁织职执质
tsʰ	[1]雌疵痴[3]此齿耻侈[5]刺次醋[7]赤=
s	[1]斯撕=师筛狮=施私尸司=思丝诗[2]辞词祠时鲥[3]死=矢屎始史使=驶[4]市柿寺痔=侍似祀饲嗣示是氏视十什拾食=植=殖实蚀石={～榴}世=誓豉赐士仕事=势逝嗜式拭试[7]失识=室释适饰湿=
#a	
p	[1]背{～人}爸[3]摆[4]拔跋卜{萝～}帛[5]拜败[7]八北掰
pʰ	[5]派[7]迫
b	[4]密-墨脉默[5]迈□{酒～，酒窝}[7]□{躲藏}茉
t	[1]呆[2]台=[4]碟待特直-值怠殆[5]代=贷袋=戴=带=[7]德得
tʰ	[1]胎=苔{舌～}台{风～}[2]抬[5]太态泰[7]帖贴踢
l	[2]来[3]乃奶[4]力-聂肋勒[5]耐奈捺赖癞=[7]□{用手指甲摘；舔}
ts	[1]灾裁[2]才材财裁脐-[3]宰载{三年五～}[4]在截[5]再载{～重}[7]节则
tsʰ	[1]猜[3]采睬彩[4]贼[5]蔡菜[7]漆拆=
s	[1]腮=鳃=[5]赛师婿-[7]锡-塞
h	[2]孩谐[3]海[4]核械骇[5]害懈[7]黑瞎辖={直～市}
ɡ	[2]崖涯
∅	[1]哀埃{贡川音}厄扼轭矮=蔼[4]狭{窄}隘[5]爱
#ã	
p	[1]宾槟彬斌冰=兵[2]贫平=坪=评萍苹屏频凭[3]丙炳柄饼秉禀摒[4]并[5]殡并病=鬓
pʰ	[3]品[5]盼聘娉
m	[1]妈{母亲}[2]民岷眠明盟=名=茗酩鸣[3]敏悯酩[5]命=
t	[1]丁砧[2]庭廷霆呈程{课～}尘-澄沉陈停[3]顶=鼎=[5]镇阵定=订炖{～鸭}
tʰ	[1]汀[3]挺艇[5]趁-听{动～}
n	[2]邻怜=林淋临灵=菱陵凌棱人=凝=宁鳞=迎=翎[3]忍领{～导}耳{～仔}[5]认吝令另
ts	[1]精={味～}晶津[2]情[3]仔[4]静净尽[5]浸晬{几～：几岁}进晋
tsʰ	[1]侵亲青=清=[3]请=寝[5]衬
s	[1]心辛新薪[2]蝇-[3]笋[5]性姓=信={迷～}讯迅囟{～门}
h	[1]痕兴{～旺}[2]眩{头晕}[5]兴{高～}
∅	[1]熏
#aɯ	
p	[1]波坡玻菠跛[2]婆袍[3]保堡褒宝褓[4]薄暴爆泊[5]报□{生～倽：生人}[7]剥={～剖}驳博赙□{蚕仔～：桑椹儿}
pʰ	[1]坡[2]浮-[4]抱[5]破={～坏}[7]朴扑{～肩膀}
b	[2]毛魔磨=摩[5]冒帽磨[7]膜-瘼
t	[1]多刀陶掏{～出来}萄淘驼逃涛驮[3]倒{打～}朵躲岛捣祷[4]道导稻惰铎盗[5]到倒{～水}[7]啄琢
tʰ	[1]滔叨[2]桃[3]讨妥□{摘}椭[4]□{挑选}[7]托
l	[1]烙[2]罗箩=锣劳捞=脶=[3]老栳脑[4]落骆洛络乐={快～}[5]涝糯懦
ts	[1]遭糟=[2]曹槽=褿[3]左早枣蚤[4]浊镯坐座戳昨={～日}[5]做造[7]作卓桌
tsʰ	[1]操臊-{～味}[3]草[5]糙躁□{～人：蒙蔽人}[7]错措挫
s	[1]操=梭蓑-{～衣}搔骚[3]锁唢琐嫂[7]索嗍缩
k	[3]□{𢫦～落：打饱嗝儿}
h	[1]篙[2]何河荷和毫豪[3]好{～坏}伙{结～}[4]合盒祸鹤学=[5]贺好{喜～}皓号货[7]喝
∅	[1]窝[3]袄稿-[4]学-[7]恶握沃=奥澳懊
#am	
t	[1]中{～心}忠衷[2]重{～复}[3]冢[4]仲[5]中{射～}
tʰ	[1]窗[3]宠冢
l	[2]龙隆浓-
ts	[2]从松秦[3]怂[5]纵
s	[1]嵩[5]颂诵讼
k	[1]弓宫躬恭供{喂}[2]穷[3]巩龚[5]共供{～销}
kʰ	[4]虹[3]恐
h	[1]凶胸[2]形型刑宏雄
#aŋ	
p	[2]冯[3]捧畚[5]放-
pʰ	[1]蜂-[2]蓬篷缝-{～补}[5]缝-{一条～}
b	[2]蒙曚[3]蠓{蚊子}[4]梦
t	[1]冬东[2]同筒铜童[3]董懂[4]动重{轻一}[5]冻栋洞
tʰ	[1]通嗵熥[2]虫桐[3]捅桶统[5]痛□{～过去：穿过去}
l	[2]农浓=侬笼砻聋=咙胧拢[3]拢陇垅垄[5]弄脓
ts	[1]宗踪棕鬃综髒[2]丛崇[3]总[5]粽
tsʰ	[1]匆葱囱聪
s	[1]双鬆[2]聋-笼-{箸～：筷子笼}[5]送{～米}
k	[1]公蚣工功攻[3]港赶[5]贡
kʰ	[1]空{～虚}腔[3]孔[5]空{～缺}控
h	[1]风疯枫=丰封蜂=峰锋[2]红虹洪鸿缝={～纫}弘熊-{姓}逢[3]哄讽[4]奉体凤[5]巷缝=
∅	[1]翁[5]毋{～得知}瓮蕹{～菜}
#ɔ	
p	[1]爸巴吧疤芭笆粑[2]爬耙琶杷□{肥～：粪箕子}[3]把[4]白[5]坝霸罢[7]百佰柏{～树}掰
pʰ	[3]怕帕{手～}脬[7]拍{～手}魄
b	[1]□{～寡：抓一把}[2]麻=嘛嫲蟆[3]码马妈{祖母}[4]麦{贡川音}[7]抹
t	[1]爹[3]打[4]踏达鞑[5]大[7]答搭搭笪
tʰ	[1]它[4]沓叠-{～起来}[7]塔塌坍
l	[1]拉啦喇[4]纳腊蜡猎辣[7]捋
ts	[1]渣□{鸡～米}[2]查茶[4]杂[5]榨炸[7]侧扎札
tsʰ	[1]岔叉权差{～错}[5]䖳{水母}[7]插察擦册
s	[1]沙={风～}纱痧砂鲨裟[2]倽{人}[3]洒傻[4]煠{用开水煮，～肉}[7]杀煞=萨
k	[1]家加嘉痂袈佳枷[2]□{毋～：没有}□{～极，：结实}[3]假{真～}贾[4]夹{柴～，城郊音}[5]假{放～}架驾嫁稼价[7]甲胛夹=峡隔膈
kʰ	[1]卡枷{澜～：瀑布}[2]□{抬}□{爬拉～：蜘蛛}[7]咯客咳
ɡ	[2]牙芽蚜玡衙[3]雅[5]讶
h	[2]霞虾暇瑕遐[3]□{东西}□{～只：哪个}[4]哈匣下{～船：放在船上}[5]夏厦下{～愿}[7]洽
∅	[1]阿鸦[3]哑[4]下{上～}[5]亚[7]鸭押压□{再}
#ɔu	
t	[1]都[2]徒涂途图[3]屠赌睹堵贮[4]肚独毒竺犊[5]度渡踱镀杜妒[7]笃豛督啄剁琢
tʰ	[2]涂[3]土[4]读□{飞～：飞蛾}[5]吐兔[7]秃
l	[2]奴炉卢芦={～黍}庐颅[3]鲁橹努虏卤[4]禄鹿簏[5]怒路露鹭璐旯
ts	[1]租[3]祖组阻[4]族[5]助
tsʰ	[1]初粗[3]楚础[7]撮凿{～针}
s	[1]苏酥梳疏蔬[2]芦-{～苇}[3]所[5]露-素嗉诉塑数[7]速束
k	[1]跔{～偻：蹲}佝旮{～旯：角落}
#ɔm	
p	[1]帮坊枫-{～叶}[2]旁[3]榜膀[5]榜谤
pʰ	[1]滂[4]碰
t	[1]当{～时}堂棠螳唐塘肠长-{～短}[3]党谠挡[4]荡当{典～}宕
tʰ	[1]汤窗{天～}[2]糖[3]躺倘[5]捅烫趟{～罢：丢掉}
l	[1]郎狼廊螂囊瓤[3]朗[7]浪㝗=
ts	[1]庄装[2]藏{隐～}[5]葬壮赃状藏{西～}臟
tsʰ	[1]仓苍疮窗[2]床蚕[5]闯创
s	[1]桑丧霜孀[3]爽[5]丧{～失}[7]㝗-{稀疏}
k	[1]冈岗刚纲江扛缸柑光罡[3]敢广讲[5]钢杠
kʰ	[1]康慷糠[2]狂[3]矿[4]□{～眠：打瞌睡}□{～着：遇见}[5]抗炕囥{藏}旷
ɡ	[5]戆{傻}
#o	
p	[1]包胞鲍苞龅[3]饱[5]豹鲍{～鱼}
pʰ	[1]抛[3]跑{～步}[4]雹泡{水～}[5]炮
b	[2]矛茅猫[3]卯-[4]莫[7]募幕寞
t	[2]条[5]吊-
l	[1]□{傻}[2]□{～罢：忘记}寮[4]乐{很～}□{搅～：搅料}[5]闹料{大秤}
ts	[3]找爪笊[5]罩[7]□{不准确}
tsʰ	[1]抄[2]樵{火～：棺材}[3]吵炒[4]昨{～暝}[5]钞
s	[1]梢捎搔[3]稍[5]捎哨
k	[1]交胶铰郊[3]绞狡搞搅[4]咬[5]教酵较校{～对}个{～别}
kʰ	[1]骹{脚}敲-[3]考烤巧[7]磕
ɡ	[3]我={～们}
h	[5]校效孝
∅	[1]坳[2]□{～衣笋：筊白笋}[3]拗{～断}
#õ	
p	[1]邦[2]棚-[5]病
pʰ	[2]庞彭膨[4]甏{小瓮}[5]冇{松}
m	[2]暝庞-{姓}芒氓[5]骂
t	[1]担耽[2]谈[3]胆[4]淡
tʰ	[1]贪[2]痰谭谭[3]毯坦={～白}
n	[1]拿[2]南篮=蓝男婪岚[3]懒=览揽榄缆滥□{～起来：踮脚}
ts	[1]争-筝[2]晴[3]井斩[5]站栈暂
tsʰ	[1]参=生-{夹～}青-[3]惨醒
s	[1]三生-{～妹}牲{头～}衫[2]篮-[3]省{节～}
k	[1]甘泔监{～牢}更{五～}羹尬[3]感减橄[5]监{～视}降舰
kʰ	[1]坑堪龛[3]坎砍□{刚}勘
ŋ	[2]岩癌昂
h	[2]含咸=衔=函降{投～}衒[3]喊[7]馅陷
∅	[1]俺腌[2]楹{～仔}茎{量词，寡～：一杆（秤）}
#ø	
pʰ	[3]否剖
b	[2]谋[3]某亩牡□{～嘴：抿著嘴}[5]贸茂貌
t	[1]兜[2]投[3]斗抖陡[5]豆踮逗斗窦昼
tʰ	[1]偷抽窗{～门，贡川音}[2]头[3]敨{解开}[5]透毒{～死}
l	[1]楼流楼耧瘘偻[3]搂[4]□{垃～}[5]漏陋
ts	[1]糟{酒～}[2]褿{均匀}[3]走灶奏骤
tsʰ	[2]巢=[5]凑
s	[3]扫嗽
k	[1]勾佝沟钩痀阄[2]鹹{上坪、贡川音}猴-[3]苟垢诟[4]厚-[5]告-遘够购构
kʰ	[1]箍{～桶}[3]口[5]扣寇叩
ɡ	[3]偶耦
h	[1]薅[2]侯喉=猴=浮=[3]吼[4]后厚[5]侯[7]熻{～饭}
∅	[1]瓯欧殴沤鸥[2]喉-[3]狗呕
#e	
p	[2]排牌[4]别
pʰ	[1]批[7]撇劈
b	[2]埋[3]买[4]灭篾𣍐[5]卖
t	[1]歹[2]池题蹄[3]底-[4]第-蝶碟谍{贡川音}[7]滴-跌
tʰ	[2]啼[4]叠={重～}[5]剃□{～寡：一边}[7]铁贴帖{贡川音}
l	[2]尼泥犁篱[3]奶{俺～}□{好～：好多}[5]例劣[7]列裂烈
