#参考资料 《宣州片吴语音韵研究》
#调值 [1]阴平11 [2]阳平13 [3]上声214 [5]去声35 [7]阴入5 [8]阳入13

#ɿ
ts [1]资滋辎 [3]紫姊指子滓止 [5]制至置志
tsʰ [1]痴 [3]此耻齿 [5]刺赐次
s [1]撕私师丝诗 [3]死史始 [5]四伺试
hz [2]慈词持时瓷 [3]是祀痔柿市 [5]誓示视字寺事侍自

#i
p [1]蓖 [3]彼比 [5]蔽闭臂秘
pʰ [1]批披丕 [5]譬庇屁
m [2]迷弥眉 [3]米 [5]谜
hv [2]皮枇 [5]币避鼻篦
t [1]低 [3]底 [5]帝
tʰ [3]体 [5]替
l [2]犁篱梨狸 [3]礼李 [5]例丽离利吏
ɾ [2]题 [3]弟 [5]地第
ts [5]治
tɕ [1]鸡知支肌之基机 [3]姐挤纸几纪几 [5]祭济计智寄技冀记既季
tɕʰ [1]妻溪欺 [3]启企起岂 [5]砌契器气
ȵ [2]泥倪尼疑 [3]蚁拟 [5]艺义毅
ɕ [1]些西牺尸嬉熙稀 [3]洗屎喜晓 [5]世细戏
hʑ [2]齐池匙骑祁期祈 [3]荠 [5]剂系忌
kʰ [5]去
Ø [1]伊医衣 [2]移姨饴遗 [3]椅以 [5]易肄意异

#u
p [3]补 [5]布
pʰ [1]铺 [3]普 [5]铺
m [2]模 [3]亩母牡 [5]墓
v [1]乌 [2]吴诬 [3]五 [5]误舞
hv [2]符浮 [3]部妇 [5]步
t [1]都 [3]赌
tʰ [3]土 [5]兔
l [2]奴芦庐 [3]努鲁 [5]糯怒路
ɾ [2]图 [3]肚 [5]度
ts [1]租 [3]祖阻 [5]做
tsʰ [1]粗初 [3]楚 [5]醋
s [1]苏 [3]所 [5]素漱
hz [3]父
k [1]姑 [3]古 [5]固
kʰ [1]枯 [3]苦 [5]库
x [1]呼夫敷 [3]虎斧抚富 [5]戽付赴副
h [2]菩胡 [3]户 [5]护

#y
l [2]驴 [3]吕 [5]滤
tɕ [1]猪居蛛朱拘 [3]举拄主矩 [5]著锯拒驻蛀句具
tɕʰ [1]蛆区 [3]杵鼠 [5]处趣
ȵ [2]蜈鱼 [3]女语
ɕ [1]梳书虚须输 [3]暑数 [5]絮绪恕数输
hʑ [2]徐除锄厨殊 [3]竖柱 [5]助住树
Ø [1]於迂 [2]余于榆 [3]与雨愈 [5]预遇芋裕

#a
p [1]巴 [3]把 [5]霸罢
pʰ [5]怕
m [2]麻 [3]马
v [2]划 [5]画话彀
hv [2]爬 [5]耙稗
t [3]打
tʰ [1]他
l [3]哪
ɾ [5]大
ts [1]渣遮 [5]榨蔗
tsʰ [1]叉车 [5]岔
s [1]沙赊杉 [3]舍洒 [5]舍
hz [2]茶蛇查
k [1]家 [3]假{真假} [5]价
ŋ [1]丫 [2]牙 [3]哑瓦
x [1]虾
h [3]下{底下}
Ø [3]我

#ia
t [1]爹
tɕ [3]者 [5]借
tɕʰ [3]且扯
ȵ [3]惹
ɕ [1]靴 [3]写 [5]泻
hʑ [2]邪 [5]射
Ø [5]夜

#ua
ts [1]抓 [3]爪
k [1]瓜 [3]寡 [5]卦
kʰ [3]侉
x [1]花 [5]化

#o
p [1]波 [3]跛
pʰ [5]破
m [2]磨
t [1]多 [3]朵
tʰ [1]妥
l [2]罗脶
ɾ [2]驼 [5]大
tsʰ [1]搓
s [3]锁
hz [2]槌 [5]坐座
k [1]哥锅 [3]果 [5]个过
kʰ [1]棵 [3]可 [5]课
ŋ [2]鹅讹 [5]饿
x [3]火 [5]货
h [2]河婆和 [3]祸 [5]贺
Ø [1]窝

#e
p [1]杯碑悲 [5]贝辈备
pʰ [1]坯 [5]沛配
m [2]梅霉 [3]每美
v [1]为威 [2]危维微围 [3]委苇尾 [5]卫伪喂为位味魏慰胃
hv [2]回葵 [3]罪 [5]会惠
t [1]堆 [5]对队
tʰ [1]推 [3]腿 [5]退
l [2]雷 [3]累 [5]内累累类
ts [1]锥 [3]嘴 [5]最醉
tsʰ [1]催吹 [5]脆翠
s [1]虽 [3]髓水 [5]碎岁税粹
hz [2]随垂 [5]遂坠

#ɛ
p [3]摆 [5]拜
pʰ [5]派
m [2]埋 [3]买某 [5]卖妹
v [1]歪 [5]坏
hv [2]牌排培槐 [3]倍 [5]败背
t [1]呆 [5]戴带
tʰ [1]胎梯 [5]态太探
n [3]奶
l [2]来 [3]乃 [5]耐赖
ɾ [2]台 [3]待 [5]代
ts [1]栽斋 [3]宰 [5]再债
tsʰ [1]猜钗 [3]彩 [5]菜蔡
s [1]鳃筛摔 [5]晒帅赛
hz [2]才豺柴 [3]在
k [1]该街 [3]改解 [5]概盖戒械
kʰ [1]开揩 [3]凯楷 [5]慨
ŋ [2]捱 [3]矮 [5]碍爱艾外
x [3]海
h [2]鞋还{还有} [3]亥蟹 [5]害

#iɛ
hʑ [2]全
Ø [3]也

#uɛ
k [1]乖闺规龟归 [3]拐诡轨鬼 [5]怪鳜桂柜贵
kʰ [1]魁亏 [3]傀 [5]块会筷跪愧
x [1]灰非妃挥 [3]毁匪 [5]废肺痱费讳

#ɔ
p [1]褒包 [3]保饱鲍 [5]报暴爆
pʰ [1]抛 [5]炮炮
m [2]毛茅矛 [3]卯 [5]冒貌贸
t [1]刀 [3]岛 [5]到
tʰ [1]掏 [3]讨 [5]套
n [5]懊
l [2]劳挠 [3]脑老 [5]涝闹
ɾ [2]桃 [3]稻 [5]盗
ts [1]遭 [3]早找 [5]灶罩笊
tsʰ [1]操抄 [3]草吵 [5]糙
s [1]臊捎 [3]嫂 [5]扫稍
hz [2]曹巢 [3]造
k [1]高教 [3]稿搞 [5]告酵窖觉
kʰ [1]敲 [3]考 [5]靠
ŋ [2]熬 [3]袄咬 [5]傲
x [1]蒿 [3]好 [5]耗
h [2]袍豪跑 [3]浩 [5]号雹

#iɔ
p [1]标彪 [3]表
pʰ [1]飘 [3]漂 [5]票
m [1]猫 [2]苗 [3]秒 [5]庙
hv [2]瓢
t [1]刁 [5]钓掉
tʰ [1]挑 [5]跳
l [2]燎聊 [3]了 [5]疗料廖
ɾ [2]条 [5]调
tɕ [1]交焦朝{明朝}招娇浇 [3]狡矫侥饺 [5]教召照
tɕʰ [1]锹超 [3]巧悄 [5]俏窍
ȵ [3]鸟 [5]绕尿
ɕ [1]消烧箫 [3]小少 [5]孝笑少
hʑ [2]淆潮桥 [3]赵兆绍 [5]校邵轿
Ø [1]腰幺 [2]摇尧 [3]舀 [5]要耀

#əu
t [3]抖 [5]斗
tʰ [5]透
ɾ [2]头 [5]豆
ts [3]走 [5]奏
tsʰ [5]凑
s [1]馊 [5]嗽瘦
hʑ [2]愁仇

#iu
l [2]楼流 [3]篓柳 [5]漏溜
tɕ [1]揪周阄 [3]酒帚九 [5]昼皱咒救
tɕʰ [1]秋抽丘 [3]丑丑 [5]臭
ȵ [2]牛 [3]纽
ɕ [1]修收休 [3]手朽 [5]锈兽
hʑ [2]绸求 [3]受舅 [5]就袖寿旧
k [1]钩 [3]狗 [5]够
kʰ [1]抠 [3]口 [5]扣
ŋ [3]藕呕 [5]偶怄
h [2]猴 [3]厚 [5]候
Ø [1]优幽 [2]邮油 [3]有酉 [5]又釉幼

#ɚ
Ø [2]儿而 [3]耳 [5]二饵

#ɛ̃
p [1]搬 [5]半
pʰ [1]潘
m [2]瞒 [3]满
v [1]豌 [2]完 [3]皖碗 [5]换
hv [2]盘 [3]善伴
t [1]端 [3]短 [5]锻
tʰ [1]贪
l [2]男 [3]暖卵 [5]乱
ɾ [2]潭团 [3]断 [5]段
ts [1]簪毡钻砖 [3]展纂转 [5]占钻转
tsʰ [1]参汆穿 [3]惨喘 [5]窜串
s [1]酸闩 [3]陕 [5]扇算
hz [2]蚕传船
hʑ [3]篆 [5]传
k [1]甘肝 [3]感敢赶 [5]干
kʰ [1]龛刊 [3]坎 [5]勘看
ŋ [1]庵安 [5]暗岸按
x [3]喊 [5]汉
h [2]含寒 [3]旱 [5]汗

#iɛ̃
p [1]鞭边 [3]贬扁 [5]变遍
pʰ [1]偏 [5]骗片
m [2]棉眠 [3]免 [5]面面
hv [2]便 [3]辨 [5]便辫
t [1]掂颠 [3]点典 [5]店
tʰ [1]添天 [3]舔腆
l [2]帘连莲 [3]脸 [5]练
ɾ [2]甜田 [5]簟电
tɕ [1]监尖兼奸煎犍笺肩捐 [3]减检简谏剪茧 [5]剑箭建键健举见
tɕʰ [1]签谦迁千牵 [3]浅遣 [5]劝
ȵ [2]黏严鲇言年研元 [3]染碾撵软 [5]验念砚愿
ɕ [1]仙鲜先宣喧 [3]险癣显选 [5]线献楦
hʑ [2]钳嫌钱乾前贤旋 [3]渐件杏 [5]贱羡县
Ø [1]烟 [2]炎盐延沿 [3]掩演 [5]厌艳燕

#uɛ̃
k [1]官 [3]管 [5]罐
kʰ [1]宽 [3]款
x [1]欢 [5]唤

#an
p [1]班 [3]板 [5]扮
pʰ [1]攀 [5]襻绊判叛
m [2]蛮 [3]晚 [5]慢
v [1]弯 [2]还{还原} [5]饭万
hv [2]凡烦矾 [3]范 [5]办
t [1]耽担单 [3]胆掸 [5]担旦
tʰ [1]坍滩 [3]毯坦 [5]炭
l [2]篮难兰 [3]览懒 [5]滥难烂
ɾ [2]谈坛 [3]淡 [5]蛋
ts [3]斩盏 [5]站站蘸赞
tsʰ [1]搀餐 [3]铲产 [5]灿
s [1]三衫山删 [3]伞 [5]散
hz [2]馋残 [5]暂赚
k [1]尴间 [3]碱
kʰ [1]铅 [3]舰
ŋ [1]淹 [2]颜 [5]眼雁晏
h [2]咸衔闲 [3]限 [5]苋

#uan
k [1]关 [5]惯
x [1]藩翻 [3]反 [5]贩

#yan
tɕ [3]卷 [5]卷
tɕʰ [1]圈 [3]犬
hʑ [2]权
