汉字	注释	左云	右玉	平鲁	河曲	偏关	保德	临县	兴县	神木	府谷	佳县	清水河	和林格尔	托克托	准格尔旗	伊金霍洛旗	东胜	包头
湖		꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu	꜁xu
互		xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄	xu꜄
污		꜀vu	꜀vu	꜀u	꜀u	꜀u	꜀vu	꜀u	꜀u	꜀vu	꜀vu	꜀vu	꜀vu	꜀vu	꜀vu	꜀vu	꜀vu	꜀vu	꜀vu
女		꜂ny	꜂ny	꜀ny	꜀ny	꜂nʮ	꜀ny	꜂zʮ/꜂ny	꜀nu/꜀ny	꜀ny	꜀ȵy	꜂ny	꜂ny	꜂ny	꜂ny	꜂ny	꜂nʯ	꜂nʯ	꜂ȵy
旅		꜂ly	꜂ly	꜀ly	꜀ly	꜂lʯ	꜀ly	꜂luei	꜀ly	꜀luei	꜀ly	꜂ly	꜂ly	꜂ly	꜂ly	꜂ly	꜂lʯ	꜂lʯ	꜂ly
蛆		꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʦʰʮ	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰʯ	꜀ʨʰy
序		ɕy꜄	ɕy꜄	ɕy꜄	ɕy꜄	sʮ꜄	ɕy꜄	ɕy꜄	ɕy꜄	ɕy꜄	ɕy꜄	ɕy꜄	ɕy꜄	ɕy꜄	ɕy꜄	ɕy꜄	ɕʯ꜄	ɕʯ꜄	ɕy꜄
猪		꜀ʦu	꜀tʂu	꜀ʦu	꜀ʦu	꜀tʂu	꜀tʂu	꜀ʦʮ	꜀ʦu	꜀tʂu	꜀tʂu	꜀tʂu	꜀ʦu	꜀ʦu	꜀ʦu	꜀tʂu	꜀tʂu	꜀tʂu	꜀ʦu
锄		꜁ʦʰu	꜁tʂʰu	꜁ʦʰu	꜁ʦʰu	꜁tʂʰu	꜁tʂʰu	꜁ʦʰʮ	꜁ʦʰu	꜁tʂʰuo	꜁tʂʰu	꜁tʂʰu	꜁ʦʰu	꜁ʦʰu	꜁ʦʰu	꜁tʂʰu	꜁tʂʰu	꜁tʂʰu	꜁ʦʰu
助		ʦu꜄	tʂu꜄	ʦu꜄	ʦu꜄	tʂu꜄	tʂu꜄	ʦʮ꜄	ʦu꜄	tʂu꜄	tʂu꜄	tʂu꜄	ʦu꜄	ʦu꜄	ʦu꜄	tʂu꜄	tʂu꜄	tʂu꜄	ʦu꜄
所		꜂suo	꜂su	꜀suə	꜀su	꜂suə	꜀su	꜂sʮə	꜀su	꜀ʂuo	꜀suo	꜂ʂuə	꜂su	꜂su	꜂su	꜂su	꜂suə	꜂suə	꜂su
煮		꜂ʦu	꜂tʂu	꜀ʦu	꜀ʦu	꜂tʂu	꜀tʂu	꜂ʦʮ	꜀ʦu	꜀tʂu	꜀tʂu	꜂tʂu	꜂ʦu	꜂ʦu	꜂ʦu	꜂tʂu	꜂tʂu	꜂tʂu	꜂ʦu
书		꜀su	꜀ʂu	꜀su	꜀su	꜀ʂu	꜀ʂu	꜀sʮ	꜀su	꜀ʂu	꜀ʂu	꜀ʂu	꜀su	꜀su	꜀su	꜀ʂu	꜀ʂu	꜀ʂu	꜀su
暑		꜂su	꜂ʂu	꜀su	꜀su	꜂ʂu	꜀ʂu	꜂sʮ	꜀su	꜀ʂu	꜀ʂu	꜂ʂu	꜂su	꜂su	꜂su	꜂ʂu	꜂ʂu	꜂ʂu	꜂su
如		꜁ʐu	꜁ʐu	꜁zu	꜁zu	꜁ʐu	꜁ʐu	꜁zʮ	꜁zu	꜁ʐu	꜁ʐu	꜁ʐu	꜁zu	꜁zu	꜁zu	꜁ʐu	꜁ʐu	꜁ʐu	꜁zu
举		꜂ʨy	꜂ʨy	꜀ʨy	꜀ʨy	꜂ʦʮ	꜀ʨy	꜂ʨy	꜀ʨy	꜀ʨy	꜀ʨy	꜂ʨy	꜂ʨy	꜂ʨy	꜂ʨy	꜂ʨy	꜂ʨʯ	꜂ʨʯ	꜂ʨy
据		ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʦʮ꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨʯ꜄	ʨʯ꜄	ʨy꜄
去		ʨʰy꜄	ʨʰy꜄	ʨʰi꜄/ʨʰy꜄	kʰəʔ꜆/ʨʰy꜄	kəʔ꜆/kʰəʔ꜆/ʦʰʮ꜄	kʰəʔ꜆/ʨʰy꜄	kʰəʔ꜇/ʨʰy꜄	kʰəʔ꜆/ʨʰy꜄	kʰəʔ꜆/ʨʰy꜄	kʰəʔ꜆/ʨʰy꜄	kʰəʔ꜆/ʨʰy꜄	kəʔ꜆/ʨʰy꜄	kəʔ꜆/ʨʰy꜄	kəʔ꜆/ʨʰy꜄	kʰəʔ꜆/ʨʰy꜄	kʰɤʔ꜆/ʨʰʯ꜄	kʰəʔ꜆/ʨʰʯ꜄	kʰəʔ꜆/ʨʰy꜄
渠		꜁ʨʰy	꜁ʨʰy	꜁ʨʰy	꜁ʨʰy	꜁ʦʰʮ	꜁ʨʰy	꜁ʨʰy	꜁ʨʰy	꜁ʨʰy	꜁ʨʰy	꜁ʨʰy	꜁ʨʰy	꜁ʨʰy	꜁ʨʰy	꜁ʨʰy	꜁ʨʰʯ	꜁ʨʰʯ	꜁ʨʰy
巨		ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʦʮ꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨy꜄	ʨʯ꜄	ʨʯ꜄	ʨy꜄
语		꜂y	꜂y	꜀y	꜀y	꜂ʮ	꜀y	꜂y	꜀y	꜀y	꜀y	꜂y	꜂y	꜂y	꜂y	꜂y	꜂ʯ	꜂ʯ	꜂y
虚		꜀ɕy	꜀ɕy	꜀ɕy	꜀ɕy	꜀sʮ	꜀ɕy	꜀ɕy	꜀ɕy	꜀ɕy	꜀ɕy	꜀ɕy	꜀ɕy	꜀ɕy	꜀ɕy	꜀ɕy	꜀ɕʯ	꜀ɕʯ	꜀ɕy
余		꜁y	꜁y	꜁y	꜁y	꜁ʮ	꜁y	꜁y	꜁y	꜁y	꜁y	꜁y	꜁y	꜁y	꜁y	꜁y	꜁ʯ	꜁ʯ	꜁y
斧		꜂fu	꜂fu	꜀fu	꜀fu	꜂fu	꜀fu	꜂fu	꜀xu	꜀fu	꜀fu	꜂fu	꜂fu	꜂fu	꜂fu	꜂fu	꜂fu	꜂fu	꜂fu
付		fu꜄	fu꜄	fu꜄	fu꜄	fu꜄	fu꜄	fu꜄	xu꜄	fu꜄	fu꜄	fu꜄	fu꜄	fu꜄	fu꜄	fu꜄	fu꜄	fu꜄	fu꜄
腐		꜂fu	꜂fu	꜀fu	꜀fu	꜂fu	꜀fu	꜂fu	꜀xu	꜀fu	꜀fu	꜂fu	꜂fu	꜂fu	꜂fu	꜂fu	꜂fu	꜂fu	꜂fu
舞		꜂u	꜂vu	꜀u	꜀u	꜂u	꜀vu	꜂u	꜀u	꜀vu	꜀vu	꜂u	꜂u	꜂u	꜂u	꜂u	꜂vu	꜂vu	꜂vu
务		u꜄	vu꜄	u꜄	u꜄	u꜄	vu꜄	u꜄	u꜄	vu꜄	vu꜄	u꜄	u꜄	u꜄	u꜄	u꜄	vu꜄	vu꜄	vu꜄
趋		꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʦʰʮ	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰʯ	꜀ʨʰʯ	꜀ʨʰy
娶		꜂ʨʰy	꜂ʨʰy	꜀ʨʰy	꜀ʨʰy	꜂ʦʰʮ	꜀ʨʰy	꜂ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜂ʨʰy	꜂ʨʰy	꜂ʨʰy	꜂ʨʰy	꜂ʨʰy	꜂ʨʰʯ	꜂ʨʰʯ	꜂ʨʰy
驻		ʦu꜄	tʂu꜄	ʦu꜄	ʦu꜄	tʂu꜄	tʂu꜄	ʦʮ꜄	ʦu꜄	tʂu꜄	tʂu꜄	tʂu꜄	ʦu꜄	ʦu꜄	ʦu꜄	tʂu꜄	tʂu꜄	tʂu꜄	ʦu꜄
住		ʦu꜄	tʂu꜄	ʦu꜄	ʦu꜄	tʂu꜄	tʂu꜄	ʦʮ꜄	ʦu꜄	tʂu꜄	tʂu꜄	tʂu꜄	ʦu꜄	ʦu꜄	ʦu꜄	tʂu꜄	tʂu꜄	tʂu꜄	ʦu꜄
数	名词	su꜄	ʂu꜄	su꜄	su꜄	ʂu꜄	ʂu꜄	sʮ꜄	su꜄	ʂuo꜄	ʂu꜄	ʂu꜄	su꜄	su꜄	su꜄	ʂu꜄	ʂu꜄	ʂu꜄	su꜄
主		꜂ʦu	꜂tʂu	꜀ʦu	꜀ʦu	꜂tʂu	꜀tʂu	꜂ʦʮ	꜀ʦu	꜀tʂu	꜀tʂu	꜂tʂu	꜂ʦu	꜂ʦu	꜂ʦu	꜂tʂu	꜂tʂu	꜂tʂu	꜂ʦu
注		ʦu꜄	tʂu꜄	ʦu꜄	ʦu꜄	tʂu꜄	tʂu꜄	ʦʮ꜄	ʦu꜄	tʂu꜄	tʂu꜄	tʂu꜄	ʦu꜄	ʦu꜄	ʦu꜄	tʂu꜄	tʂu꜄	tʂu꜄	ʦu꜄
输		꜀su	꜀ʂu	꜀su	꜀su	꜀ʂu	꜀ʂu	꜀sʮ	꜀su	꜀ʂu	꜀ʂu	꜀ʂu	꜀su	꜀su	꜀su	꜀ʂu	꜀ʂu	꜀ʂu	꜀su
树		su꜄	ʂu꜄	su꜄	su꜄	ʂu꜄	ʂu꜄	sʮ꜄	su꜄	ʂu꜄	ʂu꜄	ʂu꜄	su꜄	su꜄	su꜄	ʂu꜄	ʂu꜄	ʂu꜄	su꜄
驹		꜀ʨy	꜀ʨy	꜀ʨy	꜀ʨy	꜀ʦʮ	꜀ʨy	꜀ʨy	꜀ʨy	꜀ʨy	꜀ʨy	꜀ʨy	꜀ʨy	꜀ʨy	꜀ʨy	꜀ʨy	꜀ʨʯ	꜀ʨʯ	꜀ʨy
驱		꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʦʰʮ	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰy	꜀ʨʰʯ	꜀ʨʰʯ	꜀ʨʰy
遇		y꜄	y꜄	y꜄	y꜄	ʮ꜄	y꜄	y꜄	y꜄	y꜄	y꜄	y꜄	y꜄	y꜄	y꜄	y꜄	ʯ꜄	ʯ꜄	y꜄
宇		꜂y	꜂y	꜀y	꜀y	꜂ʮ	꜀y	꜂y	꜀y	꜀y	꜀y	꜂y	꜂y	꜂y	꜂y	꜂y	꜂ʯ	꜂ʯ	꜂y
裕		yəʔ꜆	yəʔ꜆	y꜄	y꜄	yəʔ꜆	y꜄	yəʔ꜆	y꜄	yəʔ꜆	yəʔ꜆	yəʔ꜆	y꜄	y꜄	yəʔ꜆	yəʔ꜆	ʯ꜄	ʯ꜄	y꜄
胎		꜀tʰɛi	꜀tʰɛe	꜀tʰɛi	꜀tʰɛe	꜀tʰei	꜀tʰai	꜀tʰɛe	꜀tʰei	꜀tʰᴇ	꜀tʰɑe	꜀tʰai	꜀tʰᴇi	꜀tʰɛi	꜁tʰɛi	꜀tʰai	꜁tʰɛi	꜀tʰᴇi	꜀tʰɛi
态		tʰɛi꜄	tʰɛe꜄	tʰɛi꜄	tʰɛe꜄	tʰei꜄	tʰai꜄	tʰɛe꜄	tʰai꜄	tʰᴇ꜄	tʰɑe꜄	tʰai꜄	tʰᴇi꜄	tʰɛi꜄	tʰɛi꜄	tʰai꜄	tʰɛi꜄	tʰᴇi꜄	tʰɛi꜄
待		tɛi꜄	tɛe꜄	tɛi꜄	tɛe꜄	tei꜄	tai꜄	tɛe꜄	tei꜄	tᴇ꜄	tɑe꜄	tai꜄	tᴇi꜄	tɛi꜄	tɛi꜄	tai꜄	tɛi꜄	tᴇi꜄	tɛi꜄
来		꜁lɛi	꜁lɛe	꜁lɛi	꜁lɛe	꜁lei	꜁lai	꜁lɛe	꜁lei	꜁lᴇ	꜁lɑe	꜁lɛi	꜁lᴇi	꜁lɛi	꜁lɛi	꜁lai	꜁lɛi	꜁lᴇi	꜁lɛi
再		ʦɛi꜄	ʦɛe꜄	ʦɛi꜄	ʦɛe꜄	ʦei꜄	ʦai꜄	ʦɛe꜄	ʦei꜄	ʦᴇ꜄	ʦɑe꜄	ʦai꜄	ʦᴇi꜄	ʦɛi꜄	ʦɛi꜄	ʦai꜄	ʦɛi꜄	ʦᴇi꜄	ʦɛi꜄
菜		ʦʰɛi꜄	ʦʰɛe꜄	ʦʰɛi꜄	ʦʰɛe꜄	ʦʰei꜄	ʦʰai꜄	ʦʰɛe꜄	ʦʰei꜄	ʦʰᴇ꜄	ʦʰɑe꜄	ʦʰai꜄	ʦʰᴇi꜄	ʦʰɛi꜄	ʦʰɛi꜄	ʦʰai꜄	ʦʰɛi꜄	ʦʰᴇi꜄	ʦʰɛi꜄
才		꜁ʦʰɛi	꜁ʦʰɛe	꜁ʦʰɛi	꜁ʦʰɛe	꜁ʦʰei	꜁ʦʰai	꜁ʦʰɛe	꜁ʦʰei	꜁ʦʰᴇ	꜁ʦʰɑe	꜁ʦʰai	꜁ʦʰᴇi	꜁ʦʰɛi	꜁ʦʰɛi	꜁ʦʰai	꜁ʦʰɛi	꜁ʦʰᴇi	꜁ʦʰɛi
该		꜀kɛi	꜀kɛe	꜀kɛi	꜀kɛe	꜀ki	꜀kai	꜀kɛe	꜀kei	꜀kᴇ	꜀kɑe	꜀kai	꜀kᴇi	꜀kɛi	꜀kɛi	꜀kai	꜀kɛi	꜀kᴇi	꜀kɛi
改		꜂kɛi	꜂kɛe	꜀kɛi	꜀kɛe	꜂ki	꜀kai	꜂kɛe	꜀kei	꜀kᴇ	꜀kiɑe	꜂kai	꜂kᴇi	꜂kɛi	꜂kɛi	꜂kai	꜂kɛi	꜂kᴇi	꜂kɛi
开		꜀kʰɛi	꜀kʰɛe	꜀kʰɛi	꜀kʰɛe	꜀kʰi	꜀kʰai	꜀kʰɛe	꜀kʰe	꜀kʰᴇ	꜀kʰiɑe	꜀kʰai	꜀kʰᴇi	꜀kʰɛi	꜀kʰɛi	꜀kʰai	꜀kʰɛi	꜀kʰᴇi	꜀kʰɛi
孩		꜁xɛi	꜁xɛe	꜁xɛi	꜁xɛe	꜁xei	꜁xai	꜁xɛe	꜁xei	꜁xᴇ	꜁xɑe	꜁xai	꜁xᴇi	꜁xɛi	꜁xɛi	꜁xai	꜁xɛi	꜁xᴇi	꜁xɛi
爱		nɛi꜄	nɛe꜄/ɛe꜄	nɛi꜄/ɛi꜄	ŋɛe꜄	ŋi꜄	ai꜄	ŋɛe꜄	ŋei꜄	ŋᴇ꜄	ŋiɑe꜄	ŋai꜄	ŋᴇi꜄	ŋɛi꜄	ŋɛi꜄	ŋai꜄	ŋɛi꜄	ŋᴇi꜄	ŋɛi꜄
贝		pɛi꜄	pɛe꜄	pei꜄	pei꜄	pei꜄	pei꜄	pɛe꜄	pei꜄	pei꜄	pei꜄	pɛi꜄	pᴇi꜄	pɛi꜄	pɛi꜄	pei꜄	pɛi꜄	pᴇi꜄	pei꜄
太		tʰɛi꜄	tʰɛe꜄	tʰɛi꜄	tʰɛe꜄	tʰei꜄	tʰai꜄	tʰɛe꜄	tʰai꜄	tʰᴇ꜄	tʰɑe꜄	tʰai꜄	tʰᴇi꜄	tʰɛi꜄	tʰɛi꜄	tʰai꜄	tʰɛi꜄	tʰᴇi꜄	tʰɛi꜄
艾		nɛi꜄	nɛe꜄/ɛe꜄	nɛi꜄/ɛi꜄	ŋɛe꜄	ŋi꜄	ai꜄	ŋɛe꜄	ŋei꜄	ŋᴇ꜄	ŋɑe꜄	ŋai꜄	ŋᴇi꜄	ŋɛi꜄	ŋɛi꜄	ŋai꜄	ŋɛi꜄	ŋᴇi꜄	ŋɛi꜄
害		xɛi꜄	xɛe꜄	xɛi꜄	xɛe꜄	xei꜄	xai꜄	xɛe꜄	xei꜄	xᴇ꜄	xɑe꜄	xai꜄	xᴇi꜄	xɛi꜄	xɛi꜄	xai꜄	xɛi꜄	xᴇi꜄	xɛi꜄
拜		pɛi꜄	pɛe꜄	pɛi꜄	pɛe꜄	pei꜄	pai꜄	pɛe꜄	pai꜄	pᴇ꜄	pɑe꜄	pai꜄	pᴇi꜄	pɛi꜄	pɛi꜄	pai꜄	pɛi꜄	pᴇi꜄	pɛi꜄
排		꜁pʰɛi	꜁pʰɛe	꜁pʰɛi	꜁pʰɛe	꜁pʰei	꜁pʰai	꜁pʰɛe	꜁pʰai	꜁pʰᴇ	꜁pʰɑe	꜁pʰai	꜁pʰᴇi	꜁pʰɛi	꜁pʰɛi	꜁pʰai	꜁pʰɛi	꜁pʰᴇi	꜁pʰɛi
埋		꜁mɛi	꜁mɛe	꜁mɛi	꜁mei	꜁mei	꜁mai	꜁mɛe	꜁mai	꜁mᴇ	꜁mɑe	꜁mai	꜁mᴇi	꜁mɛi	꜁mɛi	꜁mei	꜁mɛi	꜁mᴇi	꜁mɛi
阶		꜀ʨiɛ	꜀ʨiɛ	꜀ʨiᴇ	꜀ʨiɛ	꜀ʨi	꜀ʨiai	꜀ʨie	꜀ʨiai	꜀ʨiɛ	꜀ʨie	꜀ʨiai	꜀ʨiɛ	꜀ʨiɛ	꜀ʨiɛ	꜀ʨie	꜀ʨie	꜀ʨie	꜀ʨie
介		ʨiɛ꜄	ʨiɛ꜄	ʨiᴇ꜄	ʨiɛ꜄	ʨi꜄	ʨiai꜄	ʨie꜄	ʨiai꜄	kᴇ꜄	ʨie꜄	ʨiai꜄	ʨiɛ꜄	ʨiɛ꜄	ʨiɛ꜄	ʨie꜄	ʨie꜄	ʨie꜄	ʨie꜄
摆		꜂pɛi	꜂pɛe	꜀pɛi	꜀pɛe	꜂pei	꜀pai	꜂pɛe	꜀pai	꜀pᴇ	꜀pɑe	꜂pai	꜂pᴇi	꜂pɛi	꜂pɛi	꜂pai	꜂pɛi	꜂pᴇi	꜂pɛi
买		꜂mɛi	꜂mɛe	꜀mɛi	꜀mɛe	꜂mei	꜀mai	꜂mɛe	꜀mai	꜀mᴇ	꜀mɑe	꜂mai	꜂mᴇi	꜂mɛi	꜂mɛi	꜂mai	꜂mɛi	꜂mᴇi	꜂mɛi
卖		mɛi꜄	mɛe꜄	mɛi꜄	mɛe꜄	mei꜄	mai꜄	mɛe꜄	mai꜄	mᴇ꜄	mɑe꜄	mai꜄	mᴇi꜄	mɛi꜄	mɛi꜄	mai꜄	mɛi꜄	mᴇi꜄	mɛi꜄
债		ʦɛi꜄	ʦɛe꜄	ʦɛi꜄	ʦɛe꜄	ʦei꜄	ʦai꜄	ʦɛe꜄	ʦai꜄	ʦᴇ꜄	ʦɑe꜄	ʦai꜄	ʦᴇi꜄	ʦɛi꜄	ʦɛi꜄	ʦai꜄	ʦɛi꜄	ʦᴇi꜄	ʦɛi꜄
柴		꜁ʦʰɛi	꜁ʦʰɛe	꜁ʦʰɛi	꜁ʦʰɛe	꜁ʦʰei	꜁ʦʰai	꜁ʦʰɛe	꜀ʦei/꜁ʦʰai	꜁ʦʰᴇ	꜁ʦʰɑe	꜁ʦʰai	꜁ʦʰᴇi	꜁ʦʰɛi	꜁ʦʰɛi	꜁ʦʰai	꜁ʦʰɛi	꜁ʦʰᴇi	꜁ʦʰɛi
筛		꜀sɛi	꜀sɛe	꜀sɛi	꜀sɛe	꜀sei	꜀sai	꜀sɛe	꜀sai	꜀sᴇ	꜀sɑe	꜀sai	꜀sᴇi	꜀sɛi	꜀sɛi	꜀sai	꜀sɛi	꜀sᴇi	꜀sɛi
街		꜀ʨiɛ	꜀ʨiɛ	꜀ʨiᴇ	꜀ʨiɛ	꜀ʨiᴇ	꜀ʨiai	꜀ʨie	꜀ʨiai	꜀kᴇ	꜀ʨie	꜀ʨiai	꜀ʨiɛ	꜀ʨiɛ	꜀ʨiɛ	꜀ʨie	꜀ʨie	꜀kᴇi/꜀ʨie	꜀ʨie
解	讲解	꜂ʨiɛ	꜂ʨiɛ	꜀ʨiᴇ	꜀ʨiɛ	꜂ʨiᴇ	꜀ʨiai	꜂ʨie	꜀ʨiai	꜀kᴇ/꜀ʨiɛ	꜀ʨie	꜂ʨiai/xai꜄	꜂ʨiɛ	꜂ʨiɛ	꜂ʨiɛ	꜂ʨie	꜂ʨie	꜂ʨie	꜂ʨie
鞋		꜁ɕiɛ	꜁ɕiɛ	꜁ɕiᴇ	꜁xɛe	꜁ɕiᴇ	꜁xai	꜁xɛe/꜁ɕie	꜁xai	꜁xᴇ	꜁xɑe/꜁ɕie	꜁xai	꜁ɕiɛ	꜁ɕiɛ	꜁xɛi/꜁ɕiɛ	꜁xai/꜁ɕie	꜁xɛi	꜁xᴇi	꜁ɕie
矮		꜂ɛi	꜂nɛe/꜂ɛe	꜀nɛi	꜀ŋɛe/꜀ɛe	꜂ŋi	꜀ai	꜂ŋɛe	꜀ai	/	꜀ŋɑe	꜂ŋai	꜂ŋᴇi/꜂ᴇi	꜂ŋɛi	꜂ŋɛi/꜂ɛi	꜂ŋai	꜂ŋɛi	꜂ŋᴇi	꜂ŋɛi/꜂ɛi
败		pɛi꜄	pɛe꜄	pɛi꜄	pɛe꜄	pei꜄	pai꜄	pɛe꜄	pʰai꜄/pai꜄	pʰᴇ꜄	pʰɑe꜄	pʰai꜄	pᴇi꜄	pɛi꜄	pɛi꜄	pai꜄	pɛi꜄	pᴇi꜄	pɛi꜄
迈		mɛi꜄	mɛe꜄	mɛi꜄	mɛe꜄	mei꜄	mai꜄	mɛe꜄	mai꜄	mᴇ꜄	mɑe꜄	mai꜄	mᴇi꜄	mɛi꜄	mɛi꜄	mai꜄	mɛi꜄	mᴇi꜄	mɛi꜄
弊		pi꜄	pi꜄	pi꜄	pi꜄	pɿ꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄
厉		li꜄	li꜄	li꜄	li꜄	lʅ꜄	li꜄	lei꜄	li꜄	li꜄	li꜄	li꜄	li꜄	li꜄	li꜄	li꜄	li꜄	li꜄	li꜄
际		ʨi꜄	ʨi꜄	ʨi꜄	ʨi꜄	ʦɿ꜄	ʨi꜄	ʦei꜄	ʨi꜄	ʨi꜄	ʨi꜄	ʨi꜄	ʨi꜄	ʨi꜄	ʨi꜄	ʨi꜄	ʨi꜄	ʨi꜄	ʨi꜄
制		ʦɿ꜄	tʂʅ꜄	ʦɿ꜄	ʦɿ꜄	tʂʅ꜄	tʂʅ꜄	tʂei꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	ʦɿ꜄
艺		i꜄	i꜄	i꜄	i꜄	ɿ꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄
闭		pi꜄	pi꜄	pi꜄	pi꜄	pɿ꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄	pi꜄
批		꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰɿ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ	꜀pʰ
米		꜂mi	꜂mi	꜀mi	꜀mi	꜂mɿ	꜀mi	꜂mi	꜀mi	꜀mi	꜀mi	꜂mi	꜂mi	꜂mi	꜂mi	꜂mi	꜂mi	꜂mi	꜂mi
帝		ti꜄	ti꜄	ti꜄	ti꜄	ʦɿ꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄
梯		꜀tʰi	꜀tʰi	꜀ʨʰi	꜀tʰi	꜀ʦʰɿ	꜀tʰi	꜀tʰi	꜀tʰi	꜀tʰi	꜀tʰi	꜀tʰi	꜀tʰi	꜀tʰi	꜀tʰi	꜀tʰi	꜀tʰi	꜀tʰi	꜀tʰi
替		tʰi꜄	tʰi꜄	ʨʰi꜄	tʰi꜄	ʦʰɿ꜄	tʰi꜄	tʰi꜄	tʰi꜄	tʰi꜄	tʰi꜄	tʰi꜄	tʰi꜄	tʰi꜄	tʰi꜄	ti꜄	ti꜄	ti꜄	ti꜄
提		꜁tʰi	꜁tʰi	꜁ʨʰi	꜁tʰi	꜁ʦʰɿ	꜁tʰi	꜁tʰi	꜁tʰi	꜁tʰi	꜁tʰi	꜁tʰi	꜁tʰi	꜁tʰi	꜁tʰi	꜁tʰi	꜁tʰi	꜁tʰi	꜁tʰi
递		ti꜄	ti꜄	ti꜄	ti꜄	ʦɿ꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	tʰi꜄	ti꜄	ti꜄	ti꜄	tʰi꜄	tʰi꜄	tʰi꜄	tʰi꜄
泥		꜁ni	꜁ni	꜁ni	꜁ni	꜁nzɿ/꜁ni	꜁ni	꜁ni	꜁ni	꜁ni	꜁ȵi	꜁ni	꜁ni	꜁ni	꜁ni	꜁ni	꜁ni	꜁ni	꜁ȵi
礼		꜂li	꜂li	꜀li	꜀li	꜂lʅ	꜀li	꜂lei	꜀li	꜀li	꜀li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li
洗		꜂ɕi	꜂ɕi	꜀ɕi	꜀ɕi	꜂sɿ	꜀ɕi	꜂sei	꜀ɕi	꜀ɕi	꜀ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi
细		ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄	sɿ꜄	ɕi꜄	sei꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄
婿		ɕyəʔ꜆	ɕyəʔ꜆	ɕy꜄	ɕy꜄	sʮ꜄	ɕi꜄	sei꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕi꜄	ɕy꜄	ɕi꜄	ɕy꜄	ɕi꜄	ɕi꜄	ɕy꜄
