字	IPA	调值
玻	po	55
牙	ia	31
待	tai	24
牛	niəu	31
窄	tse	31
令	lĩ	24
確	tɕʰio	31
棍	kuə̃	24
音	ĩ	55
衰	ʂuai	55
早	tsau	53
申	ʂə̃	55
髮	fa	31
該	kai	55
銀	ĩ	31
遇	i	24
緊	tɕĩ	53
屈	tɕʰiəu	31
百	pe	31
桃	tʰau	31
紙	tʂʅ	53
落	lo	31
義	i	24
毫	xau	31
辰	ʂə̃	31
經	tɕĩ	55
楷	kʰai	53
曹	tsʰau	31
體	tʰi	53
實	ʂʅ	31
四	sɿ	24
昨	tso	31
京	tɕĩ	55
權	tɕʰiẽ	31
妹	mei	24
母	mu	53
祭	tɕi	24
酣	xã	55
邑	i	31
宫	tɕʌŋ	55
朋	pʰʌŋ	31
胸	ɕiʌŋ	55
是	ʂʅ	24
斷	tuã	24
平	pʰĩ	31
美	mei	53
合	xo	31
别	pi	31
必	pi	31
陷	ɕiẽ	24
溪	ɕi	55
稿	kau	53
棧	tʂã	24
常	tʂʰã	31
凳	tə̃	24
丈	tʂã	24
蟬	ʂã	31
萬	vã	24
跪	kuei	24
殊	ʂu	55
紅	ɕʌŋ	31
恰	tɕʰia	31
拼	pʰĩ	55
贖	ʂu	31
郁	iəu	31
刮	kua	31
比	pi	53
此	tsʰɿ	53
黨	tã	53
吞	tʰuə̃	55
剪	tɕiẽ	53
育	iəu	31
熱	ʐe	31
艾	ai	24
休	ɕiəu	55
杜	tu	24
判	pʰã	24
盤	pʰã	31
第	ti	24
霞	ɕia	31
唐	tʰã	31
年	niẽ	31
柱	tʂu	24
革	ke	31
穗	suei	24
樹	ʂu	24
割	ko	31
陸	lu	31
蠶	tsʰã	31
宜	ni	31
乞	tɕʰi	31
温	uə̃	55
能	nə̃	31
代	tai	24
則	tse	31
寺	sɿ	24
霍	xo	31
瓶	pʰĩ	31
今	tɕĩ	55
就	tɕiəu	24
涉	ʂe	31
大	ta	24
埋	mai	31
本	pə̃	53
桂	kuei	24
動	tʌŋ	24
速	su	31
除	tʂʰu	31
晚	vã	53
在	tsai	24
嫌	ɕiẽ	31
知	tʂʅ	55
打	ta	53
千	tɕʰiẽ	55
秃	tʰu	31
不	pu	31
板	pã	53
因	ĩ	55
忍	ʐə̃	53
洞	tʌŋ	24
緝	tɕi	31
法	fa	31
貳	ʐə˞	24
劄	tʂa	31
延	iẽ	31
縛	po	31
錢	tɕʰiẽ	31
買	mai	53
繞	ʐau	53
卜	pʰu	31
翅	tsʰɿ	24
踢	tʰi	31
勳	ɕĩ	55
又	iəu	24
冷	lə̃	53
懸	ɕiẽ	31
似	sɿ	24
餓	o	24
射	ʂe	24
暑	tʂʰu	53
耳	ʐə˞	53
恒	xə̃	31
書	ʂu	55
綴	tʂo	31
悲	pei	55
彼	pi	53
帶	tai	24
鴿	ko	31
籠	lʌŋ	53
櫃	kuei	24
辦	pã	24
忒	tʰe	31
餘	i	31
牀	tʂʰuã	31
蚊	və̃	31
抗	kʰã	24
快	kʰuai	24
債	tʂai	24
計	tɕi	24
减	tɕiẽ	53
觸	tʂu	31
短	tuã	53
至	tʂʅ	24
項	xã	24
鞋	xai	31
皖	uã	53
勃	pʰu	31
域	iəu	31
夜	ie	24
輕	tɕʰĩ	55
怒	nu	24
亮	liã	24
幻	xuã	24
衫	ʂã	55
健	tɕiẽ	24
冰	pĩ	55
詞	tsʰɿ	31
施	ʂʅ	55
脱	tʰo	31
聯	liẽ	31
尊	tsuə̃	55
盟	mĩ	31
酒	tɕiəu	53
豬	tʂu	55
提	tʰi	31
説	ʂo	31
夕	ɕi	31
灰	xuei	55
宅	tse	31
紹	ʂau	24
旱	xã	24
做	tso	24
孩	xai	31
鍘	tʂa	31
像	ɕiã	24
陽	iã	31
斬	tʂã	53
使	ʂʅ	53
暖	nuã	53
院	uã	24
姐	tɕie	53
頃	tɕʰĩ	53
魚	i	31
光	kuã	55
亨	xə̃	55
遠	iẽ	53
燭	tʂu	31
起	tɕʰi	53
試	ʂʅ	24
靴	ɕie	55
捉	tʂo	31
穴	ɕie	31
校	ɕiau	24
陳	tʂʰə̃	31
緑	lu	31
抓	tʂua	55
商	ʂã	55
