字	IPA	调值	注釋
□	ni	55	(我)的
□	ne	35	這
□	nau	42	了
□	nəŋ	35	~個：這麼
□	naŋ	35	~個：那麼
□	naŋ	42	~個：怎麼
□	nau	42	黑~：夜晚
哀	ŋai	55	
矮	ŋai	42	
艾	ŋai	35	
愛	ŋai	35	
安	ŋan	55	
庵	ŋan	55	
岸	ŋan	35	
暗	ŋan	35	
昂	ŋaŋ	42	
襖	ŋau	42	
奥	ŋau	35	
八	pa	31	
巴	pa	55	
拔	pʰa	31	
把	pa	42	
爸	pa	35	
罷	pa	35	
白	pe	31	
百	pe	31	
拜	pai	35	
敗	pai	35	
班	pan	55	
板	pan	42	
半	pan	35	
伴	pan	35	
辦	pan	35	
邦	paŋ	55	
幫	paŋ	55	
包	pau	55	
飽	pau	42	
報	pau	35	
暴	pau	35	
卑	pei	55	
悲	pei	55	
碑	pei	55	
北	pe	31	
貝	pei	35	
背	pei	35	
倍	pei	35	
備	pi	35	
本	pən	42	
崩	pən	55	
逼	pi	31	
比	pi	42	
彼	pi	42	
筆	pi	31	
鄙	pʰi	42	
必	pi	31	
閉	pi	35	
敝	pi	35	
碧	pi	31	
壁	pi	31	
臂	pei	35	
邊	pien	55	
貶	pien	42	
遍	pʰien	35	
辨	pien	35	
變	pien	35	
彪	piau	55	
表	piau	42	
别	pe	31	
别	pie	31	
冰	pin	55	
兵	pin	55	
禀	pin	42	
病	pin	35	
波	po	55	
玻	po	55	
剥	po	31	
菠	po	55	
勃	pʰu	31	
卜	pʰu	31	
補	pu	42	
不	pu	31	
步	pu	35	
佈	pu	35	
部	pu	35	
猜	tsʰai	55	
才	tsʰai	31	
採	tsʰai	42	
菜	tsʰai	35	
蔡	tsʰai	35	
餐	tsʰan	55	
蠶	tsʰan	31	
慘	tsʰan	42	
倉	tsʰaŋ	55	
糙	tsʰau	35	
曹	tsʰau	31	
草	tsʰau	42	
側	tsʰe	31	
策	tsʰe	31	
測	tsʰe	31	
曾	tsən	55	
插	tsʰa	31	
茶	tsʰa	31	
查	tsʰa	31	
察	tsʰa	31	
拆	tsʰe	31	
柴	tsʰai	31	
蟬	san	31	
産	tsʰan	42	
鏟	tsʰuan	42	
昌	tsʰaŋ	55	
長	tsaŋ	42	
長	tsʰaŋ	31	
常	saŋ	31	
唱	tsʰaŋ	35	
超	tsʰau	55	
巢	tsʰau	31	
朝	tsau	55	
潮	tsʰau	31	
炒	tsʰau	42	
車	tsʰe	55	
徹	tsʰe	31	
澈	tsʰe	31	
臣	tsʰən	31	
辰	sən	31	
沉	tsʰən	31	
陳	tsʰən	31	
晨	sən	31	
趁	tsʰən	35	
襯	tsʰən	35	
撑	tsʰən	55	
成	tsʰən	31	
承	tsʰən	31	
乘	sən	31	
誠	tsʰən	31	
橙	tsʰən	31	
吃	tsʰɿ	31	
遲	tsʰɿ	31	
尺	tsʰɿ	31	
耻	tsʰɿ	42	
齒	tsʰɿ	42	
赤	tsʰɿ	31	
翅	tsɿ	35	
充	tsʰoŋ	55	
崇	tsʰoŋ	31	
蟲	tsʰoŋ	31	
寵	tsʰoŋ	35	
愁	tsʰəu	31	
綢	tsʰəu	31	
雠	tsʰəu	31	
丑	tsʰəu	42	
醜	tsʰəu	42	
出	tsʰu	31	
初	tsʰu	55	
除	tsʰu	31	
鋤	tsʰu	31	
楚	tsʰu	42	
畜	ɕiu	31	
處	tsʰu	35	
觸	tsu	31	
揣	tsʰuai	42	
船	tsʰuan	31	
窗	tsʰaŋ	55	
牀	tsʰuaŋ	31	
吹	tsʰuei	55	
垂	tsʰuei	31	
