pi53	碑{又}陂{小水坝}
tsø53	□{抛}□{蜘~：蜘蛛}□{头上受伤起的肿包}
tsø44	阻
tsø213	绝
tsʰø53	初
tsʰø423	啄
sø53	梭唆疏梳蓑鳃
sø231	材财才裁锄
sø44	锁琐所
sø24	坐
sø423	赛漱涮刷□{用细枝条抽打}
sø213	座
kø53	歌哥
kø423	割
kø213	决诀
kʰø53	缺该
kʰø44	可
ŋø231	鹅蛾俄
ŋø213	饿艾
xø53	开靴荷{薄~}
xø44	海
xø423	渴
ø231	河何荷{~花}
ø24	亥
ø423	爱
ø213	害碍而贺
pe53	壁逼憋璧碧煏{火近人}迫
pʰe53	劈辟
me44	咩
te53	积绩脊迹集{又}即疾的
te213	笛哋
tʰe53	踢
ne53	惄{心~~，心里惦记状}
ne213	呢
le53	滴
le24	咧{语气词}
le213	力癘
tse213	值{~钱}
tsʰe53	尺
se53	锡习息识释昔色惜析室些食{粮食}席{主席}畲{菜园}□{轻跳}
se213	直席{入~}食{伙食}
ke213	急极
xe53	吃益
e213	也易
pie53	鳖
pie213	别便{~宜}
pʰie53	撇
mie53	瘪
mie44	□{蚂~，蜻蜓}
mie423	□{偷偷地}
mie213	蔑篾灭
tie53	接节捷
tie423	借
tie213	碟蝶叠谍牒叠
tʰie53	铁切戚截帖贴
tʰie423	笡
nie213	孽聂业
lie53	结{打结}
lie213	裂列{又}烈{又}
tsie53	只炙遮织着{~衣}职者质
tsie423	蔗
tsʰie53	车
tsʰie44	扯
tsʰie423	笡
ȵie53	□{折叠}
ȵie213	热月
sie53	赊□{垫物使物稳定}
sie231	斜蛇邪
sie44	写舍{~得}泻{倒~，又}
sie24	社
sie423	谢赦麝泄泻{又}舍{屋舍}
sie213	射舌设石勺芍蛰蚀摄着{睡着}
ɕie53	歇血协
kie53	结{又}□{涩}脚洁劫击
kie231	茄
ie53	爷穴腌页
ie24	野惹
ie423	夜{一夜}
ie213	叶页夜{吃~，吃晚饭}药越液腋阅粤越悦
uɛ53	蕨□{~人：打人}
pə53	笔北拨钵毕
pə231	婆
pə213	佛拂
pʰə53	批{又}泼
mə53	没殁
mə44	乜{什么}
mə213	密墨默脉物
tə53	椊{堵塞}□{从后面推}
tə213	跌
tʰə53	七漆脱齣{一~戏}
tʰə213	特
nə53	□{身上有汗不舒服的感觉}
nə213	讷{口吃：~子，口吃的人}
lə53	得德□□{亚~：那些}□{甩脱落}
lə213	立肋捋簕勒历笠粟
tsə53	摘拾吉
tsə213	□{趁}侄□{液状物粘稠浊}
tsʰə53	出初
ȵə53	日{一日，又}
ȵə213	入日{日子，又}
sə53	失湿虱熄雪薛塞戌悉□{~mə⁴⁴：什么}
sə213	十贼拾实
kə231	葛
kə44	嗰{表领属，我~：我的}
kə213	□{这，~粒，这粒}
kʰə53	峇{翻盖}
ŋə53	□{无道理乱讲}□{一种难闻的气体}
ŋə231	□{打瞌睡状}
xə53	黑
jə53	一乙
fuə53	阔拂{用力碰}□{屎~：屁股}
fuə44	火伙夥
fuə423	货
kuə53	国骨鸽蛤佮{~伙}□{打，~人}
kuə44	果
kuə423	过
kuə213	掘屈{残缺，~手，又}
kʰuə53	科
kʰuə423	课
ŋuə231	罯{使物体密封不透气而产生变化}
uə53	凹窝爩{烟熏}屈{屈折，又}
uə231	禾狐和
uə44	屙
uə24	祸我
uə213	合盒活核掝{甩，~尾}□{扔物}
pai53	跛
pai231	排牌
pai44	摆
pai423	拜
pai213	败稗
pʰai44	派□{两臂平伸、两手指间的距离}
mai231	埋
mai44	歪
mai24	买
mai213	卖
fai423	块快会{~计}刽
tai213	大□{~：姐姐}
tʰai44	太泰态
nai44	□{踩踏}
nai24	乃奶
lai53	拉
lai44	□{英俊}
lai24	濑{①物体成线状在泻下来(借字)②~火，火蔓延}
lai423	带戴
lai213	癞赖
tsai53	斋
tsai423	债
tsʰai53	猜{又}差{出~}
tsʰai44	踩
sai53	筛□{把木头锯断或锯开}
sai231	豺柴裁
sai24	舐
sai423	晒
sai213	寨
kai53	街阶
kai44	改解
kai423	界届戒芥疥介械
kʰai44	凯楷
kʰai423	概慨溉
ŋai53	哀
ŋai231	挨捱埃崖涯
xai53	谐□{用力搓压}
ai231	鞋
ai44	矮
ai423	隘
kuai53	乖
kuai44	拐□{细仔：小孩}
kuai423	怪
kʰuai423	筷
uai53	坏
pɐi53	□{搂，~着脚}
pɐi24	妣
pɐi423	□{堵塞}
pɐi213	□{败事了，无本事}
pʰɐi53	批□{削}
mɐi53	劘{用手~}
mɐi231	瞇
mɐi24	米
mɐi423	□{男阴}
fɐi53	亏
tɐi231	提堤题啼蹄
tɐi44	仔
tɐi24	弟
tɐi423	祭际挤剂济
tɐi213	第递隶
tʰɐi53	梯妻
tʰɐi44	体睇
tʰɐi423	剃涕替屉
nɐi231	尼泥
nɐi423	□{细小}
nɐi213	抳{把物塞进裂缝中去}
lɐi53	低
lɐi231	犁黎
lɐi44	底抵
lɐi24	礼
lɐi423	帝蒂
lɐi213	例历{日~}
sɐi53	西栖茜{水草}犀荽筛
sɐi231	齐脐
sɐi44	洗使驰□{唆使别人做坏事}
sɐi24	雉柿
sɐi423	细婿世史
sɐi213	□{用力打}□{猛咬}
kɐi53	鸡飞{~机，又}□{身上的污垢}
kɐi423	髻
kʰɐi53	□{kə²¹³~：这么}
ŋɐi53	蚁
xɐi53	□{女阴}
jɐi44	□{朽烂}
ȵuɐi53	□{用指甲掐}□{痴迷}
ȵuɐi44	□{~~：多而小}
kuɐi53	归龟闺规
kuɐi231	奎葵圭
kuɐi44	鬼轨诡
kuɐi423	桂贵癸□{大龙~，一种大碗}
kuɐi213	柜跪
kʰuɐi53	窥盔
uɐi53	威
uɐi231	围危违苇韦微唯维惟危桅为{作~}
uɐi44	委伟萎
uɐi24	伟
uɐi423	胃畏喂
uɐi213	卫位为{~人}魏慰谓伪讳
pui53	杯碑{又}卑悲赔{又}
pui231	培陪赔{又}裴
pui423	倍背辈贝
pui213	背{~书}吠痱□{棉花}
pʰui53	坯胚
pʰui423	配佩辔沛
mui53	妹{又}
mui231	煤媒梅霉媚明{~日，又}枚
mui24	美每
mui213	妹{又}外昧寐
fui53	灰挥辉恢徽妃
fui44	匪悔毁翡晦
fui423	废肺费桧惠慧废
tui53	□{涴~：脏}
tui231	□{笨}
tui44	嘴
tui423	醉
tʰui53	推催崔
tʰui44	腿
tʰui423	退蜕翠褪脆
nui231	□{突出状：头~~}
nui423	□{蔫}
nui213	内
lui53	堆垒□{牛嘴~：防牛吃庄稼，戴在牛嘴的编织物}□{铜~：铜钱}
lui231	雷擂檑
lui44	儡□{转卖，低价进高价出}
lui24	累{连~}
lui423	对队碓兑
tsui53	追锥
tsui423	赘最缀
tsui213	□{用重力压}
tsʰui53	吹炊
ȵui53	□{~~，唤猪声}
ȵui24	蕊
sui53	虽绥衰
sui231	锤槌随垂捶
sui44	水髓
sui24	罪在
sui423	岁碎税瑞碎穗隧帅
sui213	驻睡坠{耳~}
kui213	□{用肘或膝压}
kʰui53	魁
kʰui423	溃
ui53	煨贿
ui231	回茴
ui213	会汇
pɐu231	浮{又}泅□{脖子上因缺碘形成的肉瘤}
mɐu53	踎{蹲}□{因淀粉多而松软}
mɐu231	谋茅
mɐu44	□{朽}
mɐu24	冇亩卯
mɐu213	茂贸某
tɐu231	头投
tɐu44	酒
tɐu213	豆稻就{~是，又}痘
tʰɐu53	偷秋
tʰɐu44	讨□{~气，喘口气}
tʰɐu423	透奏凑
nɐu53	嬲{恼恨，讨厌}
nɐu44	扭纽
lɐu53	捞雕抠篓兜□{掏耳朵}
lɐu231	楼刘流留榴硫骝劳搂馏牢{又}
lɐu44	斗陡
lɐu24	柳
lɐu423	斗逗窦□{逆：鱼~水}
lɐu213	漏笊陋
tsɐu53	州洲周舟
tsɐu231	求球
tsɐu44	九久韭玖
tsɐu24	舅{又}
tsɐu423	救兆咒究宙灸昼
tsɐu213	旧
tsʰɐu53	抽
tsʰɐu44	醜
tsʰɐu423	臭
ȵɐu44	爪{又}
sɐu53	收搜缩修休
sɐu231	愁仇绸稠筹酬
sɐu44	抖手首守
sɐu423	秀瘦嗽绣锈
sɐu213	袖受授寿就{将~，又}
kɐu53	阄膏鸠糕沟勾{又}
kɐu231	勼挖抠□{背~：背驼}
kɐu44	狗笱
kɐu423	够构购
kɐu213	嚿{量词}
ŋɐu53	钩勾{又}
ŋɐu42	牛
ŋɐu44	藕瓯□{①折断②用盐腌}
ŋɐu423	绕
ŋɐu213	熬
xɐu44	口
jɐu53	忧优悠
jɐu231	尤邮由油游肴犹鱿
jɐu24	有友酉
jɐu213	又右幼佑釉柚
ɐu53	欧噢{叫，喊}
ɐu231	吼豪嚎壕侯喉猴姣
ɐu44	□{血凝成的深黑色-}
ɐu24	后厚後
ɐu423	沤
ɐu213	侯
pau53	鲍包苞胞
pau44	饱
pau423	豹暴爆
pau213	卜饱刨龅
pʰau53	鳔抛
pʰau44	跑
pʰau423	炮泡{浸~，又}
mau213	猫冒貌{又}
tsau423	兆罩
tsʰau53	抄钞超□{~人，牛用角抵人}
tsʰau44	炒
ȵau44	爪
kau53	交郊胶
kau44	搞绞铰搅
kau423	觉教
kʰau53	叩敲
kʰau44	考
kʰau423	扣拷烤
xau423	靠较孝校效
ŋau24	咬
sau423	稍
piu53	标表{手~}□{植物生长快}□{飞快地跑}瀌{迸射}
piu231	瓢嫖薸
piu44	表裱婊
piu231	摽{用嘴脚等拱撬动}
pʰiu53	飘瞟
pʰiu423	票漂
miu53	喵
miu231	苗描瞄
miu24	秒妙渺淼杳藐
miu213	庙谬
tiu53	焦蕉椎椒
tiu231	条逃{走}
tiu44	屌丢剿
tiu423	蘸{打~}□{米~糍：无馅的糍粑}□{扔}
tiu213	调掉
tʰiu53	锹挑
tʰiu44	斢{调换}
tʰiu423	跳粜
niu53	□{粘}
niu231	□{细长欲断状}
niu24	鸟
niu423	□{两边大中间小}
niu213	尿
liu53	撩刁
liu231	寮疗燎镣瞭
liu44	缭□{用脚等绊}
liu24	了
liu423	钓吊鹩
liu213	料廖□{丢}
tsiu53	招昭朝{今~}诏
tsiu423	照赵
tsiu213	召
siu53	消宵销屑烧霄硝箫悄稍
siu231	朝{~代}潮睢韶
siu44	少{多~}
siu423	笑瞧绍少{~年}俏绍
siu213	瞧嚼
ɕiu44	晓
kiu53	娇浇骄纠
kiu231	桥侨乔
kiu44	绞缴饺
kiu423	叫
kiu213	藠荞矫轿跷
kʰiu44	巧
kʰiu423	窃翘
kʰiu213	撬
ŋiu231	摇饶
xiu53	嚣
iu53	腰邀要{~求}
iu231	窑谣瑶姚
iu44	妖
iu24	舀
iu423	要{想~}
iu213	鹞耀
pan53	班斑颁
pan231	烦{~恼，又}□{爬行}
pan44	板扳版
pan24	犯
pan423	□{用手掌扑打}
pan213	饭瓣扮办湴
pʰan53	攀翻{又}
pʰan423	盼襻{牛~档，把牛轭固定在牛脖子上的绳子}□{不规则的缠绕}□{蛮~，不讲道理的人}
man53	□{搭}□{挽回}
man231	蛮
man24	□{中午十二点后叫晚}
man213	慢馒漫幔蔓
fan53	翻{又}帆番幡藩返
fan44	反
fan24	范
fan423	患宦贩
fan213	泛幻
tan53	簪
tan231	潭谭谈痰掸坛檀弹{~琴}
tan44	趱{移动位置}□{攒}□{把钱分借别人}
tan24	淡氮
tan213	旦但蛋暂弹{子~}倓{~定：镇定}
tʰan53	贪滩餐痽摊
tʰan44	毯坦
tʰan423	探炭叹
nan231	南男难{~易}蚺□{头~：头歪}
nan213	难{患~}
lan53	丹单耽担{动词}篮叼{训读}
lan231	蓝篮兰拦栏
lan44	胆览揽榄□{瓜~：最尾、最小的}
lan24	懒
lan423	担{名词}
lan213	缆滥烂□{用棍子打}
tsan44	斩盏瞻崭
tsan213	栈站{车~}
tsʰan53	参
tsʰan44	产铲惨灿
tsʰan423	渗
san53	三衫山删珊
san231	蚕残缠蝉惭禅漦
san24	□{打人的动作}□{凿}
san423	伞扇散
san213	錾溅□{~跳：受惊跳动状}
kan53	锏间{中~}
kan44	减橄感敢杆碱秆竿拣笕
kan423	鉴舰间{~断}干{~部}
kʰan44	堪坎砍刊勘
ŋan53	啱
ŋan231	岩颜
ŋan24	眼□{~ti⁴⁴：模子}
ŋan213	雁
xan53	悭{省俭}
xan44	喊
xan423	□{骂}
an231	咸韩闲函衔
an24	限
an423	晏
an213	苋
kuan53	观关冠{~军}
kuan423	惯贯
kʰuan44	款
uan53	湾
uan231	还繁顽烦{麻~，又}环凡完{完成，又}
uan44	腕挽
uan24	弯
uan213	万皖
tsøn213	赚蘸
søn53	闩栓
søn24	宣
køn53	甘肝干{~湿}
køn423	赶
ŋøn44	碾{又}
xøn423	看撼憾
xøn213	□{~热：阵阵发热}
øn53	安鞍庵
øn231	寒
øn24	旱
øn423	汉案按岸
øn213	汗焊翰
pɐn53	分{给与}
pɐn231	坟□{玩脓}
pɐn44	粉{又}
pɐn423	粪
pɐn213	份笨{又}
pʰɐn423	喷
mɐn53	文{~武，又}
mɐn231	文{又}纹闻蚊
mɐn44	抆{猪不认真吃潲的动作}
mɐn423	汶□{掰开}
mɐn213	问
tɐn231	钝□{掩盖}
tɐn44	□{核查}
tɐn423	进浸晋
tɐn213	顿吨盾炖囤{抖动使密实}□{用力跺脚}
tʰɐn53	亲吞吨
tʰɐn44	□{舀}
tʰɐn24	□{打架}
nɐn53	□{非常想得到}
nɐn231	腍{松软，很累}
nɐn44	蚓谂{想}□{引火索}
nɐn423	撢{掏，摸；做事动作慢}
lɐn53	惏{微痒}□{绳子编得很紧密}□{讨厌}
lɐn231	林淋邻鳞轮临磷伦沦
lɐn44	□{躲藏}
lɐn24	□{满}
lɐn423	扽{用力放下}□{食物从胃往上冒}□{碰：~来~去}□{脱~，脱离}
lɐn213	论
tsɐn53	斤金珍真针斟榛臻巾筋砧贞侦
tsɐn231	勤岑琴
tsɐn44	枕紧锦景诊仅谨准□{用温火煮使粘结}
tsɐn24	近
tsɐn423	振震禁襟颤郑圳阵
tsʰɐn53	春椿
tsʰɐn44	蠢
tsʰɐn423	趁
ȵɐn231	人仁
ȵɐn24	忍
ȵɐn423	□{干草，碎禾~：稻草}□{上下摇动}
ȵɐn213	任认
sɐn53	心深身伸申新薪辛
sɐn231	陈尘神沉唇寻循巡尘鹑秦存晨辰娠旬荀层
sɐn44	损笋婶审沈榫
sɐn24	尽□{冲撞，惊吓禽兽}
sɐn423	信肾迅讯呻赠
sɐn213	慎殉顺瞬沉{用外力使沉}
kɐn53	跟根君
kɐn423	□{枕，动词}
ŋɐn231	银
ŋɐn24	□{物体外伸而延盖之物}
xɐn53	□{拿}
xɐn44	很
xɐn423	睏
xɐn213	恨
jɐn53	因阴音
jɐn231	寅匀
jɐn24	引瘾
jɐn423	印任壬
ɐn53	恩鹌
ɐn231	□{痒}
ɐn423	揿
ɐn213	痕
tɐŋ53	罾鲫
tɐŋ231	腾誊藤曾{~有}
tɐŋ423	甑
tɐŋ213	邓□{用物坠使平衡}
nɐŋ53	□{粒，量词}
nɐŋ231	能
nɐŋ44	掕{连接}
nɐŋ423	□{疤痕}□{重提旧事}
lɐŋ53	登灯
lɐŋ231	楞
lɐŋ44	等
lɐŋ423	凳
tsɐŋ53	曾增憎僧
sɐŋ44	省
ɕɐŋ231	乘
kɐŋ423	□{用凉水漫池使降温}□{用肘压物}
kʰɐŋ53	□{~硬：很硬}
kʰɐŋ44	垦恳
kʰɐŋ423	扻{~盖}
ŋɐŋ53	□{用力屙}□{大声说}
fuɐn53	昏婚荤欢{~喜}□{烤}芬纷分{分数}
fuɐn231	焚
fuɐn44	粉{又}
fuɐn423	□{哄}
kuɐn53	军
kuɐn231	群裙
kuɐn44	滚
kuɐn24	菌
kuɐn423	棍
kʰuɐn53	坤昆崑
kʰuɐn44	捆
kʰuɐn423	困
uɐn53	瘟温
uɐn231	云魂馄晕□{~~：转得很密}
uɐn44	稳
uɐn423	蕴□{关、拘禁牛}
uɐn213	运孕润闰韵
pin53	鞭边编{又}
pin44	扁贬匾
pin24	辫辨辩
pin423	殡鬓变遍
pin213	便方{~，又}
pʰin53	编{又}篇偏蝙□{翻：~书}
pʰin423	骗片
min231	棉绵
min44	抿娩悯
min24	勉敏免
min423	□{搬东西}
min213	面闷缅渑闽
tin53	尖颠煎{干煎}
tin231	甜田填佃
tin44	剪
tin423	箭荐煎{用水煎}
tin213	店屯殿奠垫簟
tʰin53	天千迁添笺歼签
tʰin44	浅践
tʰin423	□{挣扎}
nin53	研年{又一年，又}
nin231	严俨年{~月}
nin44	捻捏碾
nin213	念验谚彦
lin53	颠癫
lin231	连联怜廉镰莲陵凌菱
lin44	点典□{干爽}
lin423	楝□{打滚}□{用线缝合}
lin213	练链恋炼檩殓敛
tsin53	毡占{~卦}
tsin44	展卷{~起}
tsin423	战占{~领}
ȵin24	染
sin53	仙先掀鲜{新~}
sin231	前钱
sin44	闪癣险
sin24	善膳
sin423	线扇献羡欠
sin213	贱
ɕin53	牵掀馨
ɕin423	欠
kin53	兼肩坚奸艰
kin231	钳缠琼乾擒□{手~：手镯}□{老~婆：老太婆贬称}
kin44	检茧简
kin24	件俭槛俭
kin423	建见剑键健
kin213	芹
kʰin53	谦
ŋin24	染
xin423	欠
in53	烟阉蔫胭鸳姻
in231	然燃沿盐檐淫延筵嫌铅言贤阎仍沿
in44	□{痂皮}掩隐□{螺呷}
in423	艳厌燕淹宴怨{又}焰砚
in213	现显
puin53	般
puin231	盘盆
puin44	本
puin24	伴拌绊
puin423	半
puin213	笨{又}
pʰuin53	潘
pʰuin423	判叛
muin53	□{装鱼的篓子}
muin231	门瞒
muin24	满
muin423	□{搬~东西}
