pi53	碑{又}陂{小水坝}
naŋ213	□{体上的肉突}
laŋ231	狼廊
laŋ44	挡档朗{~读，又}
laŋ24	冷
laŋ213	□{颈~：贪吃}
tsaŋ53	争蒸睁踭
tsʰaŋ53	铛撑
tsʰaŋ423	撑衬篡蹭
ȵaŋ53	□{毛发凌乱状}
ȵaŋ231	□{肉~：着急}
ȵaŋ24	□{牙~：牙呲裂状}
ȵaŋ423	□{~家：别人}
saŋ53	生牲甥森参笙商
saŋ231	绳□{理睬}
saŋ44	省{~长}
saŋ423	□{~鼻，擤鼻涕}丧□{玩}□{男女发生不正当关系}□{肋~：肋骨}
kaŋ53	更羹耕梗埂庚
kaŋ231	鲠
kaŋ423	耿更□{黑语}
kaŋ213	□{扔掉，丢弃}
kʰaŋ24	抗炕
ŋaŋ423	□{扔}
ŋaŋ213	硬
xaŋ53	项坑瘿{鸟嗉子}
xaŋ44	肯
xaŋ213	幸{又}
aŋ231	衡恒航杭行{走路}□{果实饱满}
aŋ423	□{应答}
piaŋ53	膀帮邦□{赶、撵}
piaŋ231	旁滂傍
piaŋ44	绑榜
piaŋ213	嵭{岭~：山的斜坡}□{遍，一大遍}
pʰiaŋ53	□{宽}□{锄，又动词}
pʰiaŋ44	□{头歪状}
pʰiaŋ24	□{面~~：发怒状}
miaŋ53	网{~蔸}
miaŋ231	忙亡虻芒茫
miaŋ24	网{又}
miaŋ423	□{面~~：非常不高兴状}
miaŋ213	梦忘望妄
tiaŋ53	将浆襁
tiaŋ231	糖塘唐堂螳棠
tiaŋ44	桨奖蒋
tiaŋ24	挡{~住}□{~~光、很亮}
tiaŋ423	葬酱将{大~}
tiaŋ213	荡□{~la²⁴：走失}垱{水田的出水口}
tʰiaŋ53	枪仓苍汤菖
tʰiaŋ44	抢□{水冲走}□{放水在田中跑一趟使湿润}
tʰiaŋ423	趟烫敞创呛倘躺□{往热锅中加水}□{蒸米粉的圆盘，铜盘}
niaŋ53	囊裆娘{夫~：老婆}
niaŋ231	娘瓤
niaŋ213	酿浪
liaŋ53	当{~时}
liaŋ231	良凉量粮梁粱朗{明~，又}
liaŋ44	辆两{几~，又}
liaŋ24	两{~个，又}
liaŋ423	靓哴{用水在容器中摇洗}当{典~}档{大排~}
liaŋ213	亮量{数~}晾谅
tsiaŋ53	张章装桩庄脏{很~，又}妆樟
tsiaŋ44	掌长{生~}
tsiaŋ423	仗涨帐胀壮障瘴帐脏{内~，又}
tsʰiaŋ53	昌疮窗
tsʰiaŋ44	厂
tsʰiaŋ423	唱闯创撞畅倡
ȵiaŋ24	仰
ȵiaŋ423	□{韧}
ȵiaŋ213	釀壤让
siaŋ53	箱厢湘相桑双襄镶伤霜孀
siaŋ231	长肠{又}场祥墙详藏床常尝
siaŋ44	想爽赏偿享饷
siaŋ24	像丈上{动词}
siaŋ423	相{~貌}象橡项
siaŋ213	肠{又}匠尚状壮{~族}上{~面}
ɕiaŋ53	乡香糠
ɕiaŋ44	响□{浅绿色}
ɕiaŋ423	向
kiaŋ53	姜江钢缸纲冈岗疆缰僵羌
kiaŋ231	强
kiaŋ44	讲蔃{植物的根须}
kiaŋ24	犟
kiaŋ423	降杠{抬物}□{老人死后当天不安葬而停柩}
kiaŋ213	□{用棍使物稳住，又量词，一~腊肉}
kʰiaŋ53	扛腔康慷
ŋiaŋ24	仰□{将饭菜加热}
ŋiaŋ423	让
iaŋ53	央秧殃
iaŋ231	羊洋烊阳杨扬蝇疡行□{~眼，眯眼养神状}
iaŋ24	养
iaŋ213	巷样项{~鸡}
kuaŋ53	光
kuaŋ231	狂
kuaŋ44	广茎梗港广
kʰuaŋ53	眶
kʰuaŋ423	矿况旷劥{有本事}
uaŋ53	汪
uaŋ231	横黄皇王簧蟥蝗
uaŋ44	枉
uaŋ24	往
uaŋ213	旺
peŋ53	兵冰浜彬斌宾槟丙{又}
peŋ231	平坪评瓶屏萍凭苹频贫
peŋ44	饼秉禀丙{又}
peŋ423	柄迸□{撇}□{撵赶}□{埋~：丧葬的整个过程}
peŋ213	病
pʰeŋ53	□{竹篾等编成的块状物}
pʰeŋ44	品
pʰeŋ423	拼并聘姘
meŋ53	□{围起，~围裙}
meŋ231	鸣明{又}盟名铭民
meŋ44	□{嗰~：这点}
meŋ423	□{物体的小缺口}□{缺损}
meŋ213	命
feŋ53	兄
feŋ423	□{遍，嗰~：这一遍}
teŋ53	精晴晶□{灵~：人爱管闲事}
teŋ231	停亭庭廷蜓□{个~，这种}
teŋ44	井
ter213	定订澄
tʰeŋ53	清青厅蜻
tʰeŋ44	请
tʰeŋ423	听
neŋ53	叮{~嘱，又}
neŋ231	宁泞凝
neŋ44	顶
neŋ423	拧{拿}□{皮肤上的小肉赘}
neŋ213	□{吾~：面称母亲}
leŋ53	丁疔钉叮{~啄，又}
leŋ231	灵零铃伶翎
leŋ44	鼎领{件，一~衫}
leŋ24	领岭拎
leŋ423	踮钉{~住}订
leŋ213	另令
tseŋ53	正征蒸{又}
tseŋ44	整
tseŋ423	正政症证镇
tsʰeŋ53	称{~呼}
tsʰeŋ44	□{用手托，提}
tsʰeŋ423	称秤
ȵeŋ53	□{头毛~发乱状}
seŋ53	升声星腥
seŋ231	情晴呈程成城乘承丞诚臣
seŋ44	醒升{量词}
seŋ24	静
seŋ423	胜姓性圣盛甚
seŋ213	净剩□{~经：快些}
keŋ53	京惊经鲸擎荆
keŋ231	□{~瘦：很瘦}
keŋ44	颈茎胫肩警
keŋ423	镜劲敬竞竟境径
kʰeŋ53	□{~得来：谈得来}□{自夸}□{象声词，狗叫声}
kʰeŋ44	□{~得，承受得重物}
ŋeŋ423	□{接触(一点点)：~稳坐}
xeŋ53	轻卿兴{又}
xeŋ423	兴{又}庆
xeŋ213	幸{又}□{中意}
eŋ53	英鹰鹦缨樱莺膺
eŋ231	盈赢营形刑型莹荧萤
eŋ44	影映演
eŋ423	应
poŋ53	枫泵
poŋ231	朋棚篷嘭彭逢
poŋ423	放
poŋ213	奉俸凤膨□{量词，串}
pʰoŋ53	塳□{薯类淀粉多}
pʰoŋ44	捧
pʰoŋ423	碰□{浮肿}
moŋ53	锰□{祖父}
moŋ231	蒙朦盟萌
moŋ44	懵
moŋ24	蠓
moŋ213	孟
foŋ53	丰
toŋ53	鬃棕宗□{嗰~：这种}
toŋ231	同铜桐筒童瞳
toŋ44	总
toŋ24	动
toŋ423	粽纵
toŋ213	栋洞垌戙{桩子}□{用手或棍子戳}
tʰoŋ53	通聪葱囱统
tʰoŋ44	桶捅统
tʰoŋ423	痛疼
noŋ53	侬
noŋ231	农脓浓
noŋ44	□{~仔：呆子}
noŋ423	□{~ti⁴⁴：傻子}
noŋ213	□{下坠状}
loŋ53	东冬窿咙
loŋ231	龙聋笼珑隆
loŋ44	懂董陇拢垅
loŋ24	笼{笼箱}
loŋ423	冻
loŋ213	弄
tsoŋ53	中忠钟盅综踪仲种{~类}
tsoŋ231	穷
tsoŋ44	肿种
tsoŋ24	舅{又}
tsoŋ423	众中{射~}种{~树}□{物从高处掉下}
tsoŋ213	共{又}
tsʰoŋ53	冲充舂匆
tsʰoŋ44	冢怂宠
tsʰoŋ423	铳撞揰铳□{烤，~火}
ȵoŋ53	髯{毛松状}□{蹲}
ȵoŋ231	浓
ȵoŋ423	嗅
soŋ53	鬆
soŋ231	丛崇虫松从重{~复}□{丑}
soŋ24	重{轻~}
soŋ423	送宋诵颂
koŋ53	工功攻弓宫恭供公蚣
koŋ44	巩拱躬
koŋ24	□{量词：段}
koŋ423	贡汞□{洞孔：穿~}
koŋ213	共{又}
kʰoŋ44	恐孔
ŋoŋ213	□{晕}
xoŋ53	轰空{~虚}风疯封峰蜂锋
xoŋ231	缝
xoŋ423	烘空{~缺}
oŋ53	翁
oŋ231	红洪鸿虹冯
oŋ44	搑{用力挤压}
oŋ423	瓮
ɕioŋ53	凶胸汹
ioŋ53	壅雍痈
ioŋ231	荣绒融熊雄容溶蓉戎绒庸茸
ioŋ44	勇甬涌拥
ioŋ24	永泳咏
ioŋ213	用
ŋ̍53	唔{叹词，表应答}
ŋ̍231	吾梧蜈
ŋ̍24	五伍午
ŋ̍213	唔{叹词，表应答}
