ε	ɛ
α	ɑ
g	ɡ
х	x
р	p
ο	o
у	y
ј	j
∫	ʃ
ḷ	l
ṃ	m
ṇ	n
ʼ	ʰ
'	ʰ
‘	ʰ
′	ʰ
ʻ	ʰ
:	ː
—	-
－	-
