资tɿ{45}
支tɿ{45}
知ʨi{45}
耳ȵi{14白}／lɛ{53文1}／ɛ{53文2}
爬bɔ{223}
河ɦu{223白}／ɦuɔ{223文}
蛇ʑiɔ{223}
第dai{223白}／di{223文}
地di{14}
架kuɔ{33白}／ka{14文}
姐ʨiɔ{14白}／ʨie{53文}
故ku{14}
花xuɔ{45白}／xua{45文}
过{～江}ku{33}
野iɔ{14}
以i{53}
雨y{14白}／y{53文}
色sɛ{53白}／sɛ{33文}
虚ɕy{45}
靴ɕyɛ{45}
直ʥie{53}
日ȵi{53白}／ʑi{223文}
辣lia{53白}／la{33文}
舌ʑie{53}
合ɦu{53白}／ɦuɔ{223文}
割kua{53}
北ɓɔ{53白}／ɓɛ{33文}
百ɓɔ{53白}／ɓɛ{33文}
急ʨi{53}
接tai{53}
夹{～手，～生饭}ka{53}
铁tʰai{53白}／ʨʰie{33文}
踢ʨʰi{33文}
落lu{53白}／luɔ{33文}
鹿lɤu{53白}／lu{33文}
绿liɤu{53}
木mɤu{53白1}／mu{53白2}／mu{33文}
出ʨʰy{53}
刮kua{53}
各ku{53}
郭kuɔ{53白}／kuɔ{33文}
国kuɛ{33}
活uɛ{53白}／uɛ{33文}
确kʰuɔ{33白}／ʨʰiɔ{33文}
缺ʨʰyɛ{53}
月yɛ{53白}／yɛ{33文}
药ʑy{53白}／iɔ{33文}
盖kue{33白}／kai{14文}
介kai{14}
倍be{14}
妹me{45白}／me{14文}
饱ɓa{14}
保ɓe{14白}／ɓɔu{53文}
桃de{223}
斗{北～星，一～米}ɗɔu{14}
赌ɗɤu{14白}／ɗu{53文}
丑{美～}ʨʰiɤu{14}
母mu{53文}
怪kua{33白}／kuai{14文}
桂kue{14}
贵ʨy{33白}／kue{14文}
帅suai{14}
条ʥie{223白1}／die{223白2}／diɔu{223文}
流liɤu{33}
烧ɕie{45白}／ɕiɔu{45文}
收ɕiɤu{45}
短ɗuɛ{14}
胆ɗuɔ{14白1}／ɗuɛ{14白2}
党ɗaŋ{53}
酸suɛ{45白}／suɛ̃{45文}
三suɔ{45白}／sã{45文}
桑suaŋ{45}
竿{竹～}kue{45}
间{一～房}kɛ{33}
含ɦã{223}
衔{～接，军～}ɦã{223文}
根kaŋ{45白}／ken{45文}
庚ken{45}
减kã{53}
检ʨiɛ̃{53}
紧ʨin{14}
讲kɛ{14白1}／kaŋ{14白2}／ʨiaŋ{53文}
连liɛ̃{33}
林lin{33}
邻lin{33}
灵liɔ{33}
心ɕin{45}
新ɕin{45}
星ɕiɔ{45白}／ɕin{45文}
光kuaŋ{45}
官kuɛ{45白}／kuɛ̃{45文}
关kuɛ{45白}／kuɛ̃{45文}
良liaŋ{33}
廉liɛ̃{33}
魂ɦoŋ{223}
横{～竖}ɦuɔ{223}
红ɦoŋ{223}
温oŋ{45白}／uen{45文}
翁oŋ{33文}
东ɗaŋ{45白}／ɗoŋ{45文}
权ʥyɛ{223白}／ʥyɛ̃{223文}
船ʥyɛ{223白}／ʥyɛ̃{223文}
床zoŋ{223}
圆yɛ̃{33}
云ioŋ{33白}／yn{33文}
群ʑyn{223}
琼ʑyn{223}
穷ʥioŋ{223老}／ʑioŋ{223青}
勋ɕioŋ{45}
胸ɕioŋ{45}
诗sɿ{45}
时zɿ{223}
使sai{14白}／sɿ{53文}
是zɿ{14}
士zɿ{14}
试sɿ{33}
世ɕie{33白}／ɕi{14文}
事zɿ{14}
侍{服～}zɿ{223}
识ɕie{53白}／ɕi{33文}
石ʑiɔ{53白}／ʑi{223文}
食ie{53白}／ɕi{33文}
梯tʰai{45}
题di{223}
体ʨʰi{53}
弟dai{14白}／di{14文}
替tʰai{33白}／ʨʰi{14文}
第dai{223白}／di{223文}
滴dai{53}
笛di{223}
衣i{45}
移i{223}
椅i{14}
以i{53}
意i{33白}／i{14文}
一i{53白}／i{33文}
灯ɗaŋ{45白}／ɗen{45文}
棉mie{33白}／miɛ̃{33文}
等ɗaŋ{14}
