#a
p[1]杷疤芭琶巴粑[2]爸八[3]把㞎{儿语粪便}[5]坝罢霸
pʰ[1]𤆵{软}[2]跋拔爬耙筏-{～子}[3]趴[5]怕帊
m[1]妈[2]麻㩢{～桌子，又꜂mo}麦-{～麩}[3]码蚂马[5]骂
f[2]罚伐发乏法
t[2]搭达沓{一～纸，又꜁tʰa}答[3]打[5]大{又꜂tʰai}
tʰ[1]他[2]踏沓{拖～，又꜁ta}塌塔
n[1]拉[2]拿辣纳捺肋-{～巴骨，又꜁ne}[3]哪[5]那[7]蜡腊{～月}
ts[1]渣奓{嘴张开}[2]咋乍闸扎砸眨煠{油～}铡杂摘-{～桑叶，又꜁tse}[3]鲊[5]榨诈炸{～弹}
tsʰ[1]杈差{～别，又꜀tsʰai}叉[2]查插擦茶察搽[3]诧{口无遮拦}衩{～～裤}[5]岔
s[1]沙纱杉鲨[2]萨{菩～，又꜂sa}煞杀[3]洒傻撒萨{～德、～达姆，又꜁sa}晌-{～午，又꜂ɕiaŋ}[5]啥
k[2]噶{寻求对方肯定的语气}[3]尬{尴～}□{～～：儿语肉}
kʰ[1]㮟{～～角角，又꜀tɕʰia}[3]卡
x[1]哈{笑～～，又꜂xa}𨉣{点头～腰}[2]搳{搔腋下使发痒}[3]哈{～尔滨，又꜀xa}□{傻}[5]下-{等一～，又ɕia꜄}
∅[1]阿{～哥，又꜀o}倭[2]啊

#ia
p[3]瘪{扁}
pʰ[3]□{打耳光声}[5]滴-{又꜁tie}
t[1]扚{提，又꜀tiaŋ}
n[2]□{～脱：蒙混使免遭不好结果}[3]□{舔、巴结、讨好}
tɕ[1]咖枷佳稼加嘉家[2]挟狭-{沟～：沟深且窄或贫瘠，又꜁ɕia}夹甲[3]贾假[5]嫁架价驾
tɕʰ[1]㮟{～～角角，又꜀kʰa}[2]䠍{跨步}洽恰[5]髂{裆部}[7]掐
ɕ[1]虾□{手乱刨}[2]霞狭{又꜁tɕia}匣峡[3]□{水～下来}[5]吓{惊～}夏下{上～，又xa꜄}[7]瞎
ȵ[1]□{撒娇、嗲、粘贴}[5]砑{压}
∅[1]鸦丫[2]涯衙牙芽[3]哑雅[5]压亚[7]押鸭

#ua
ts[1]吒抓[2]啄-{又꜁tso}[5]□{“做啥”的合音}
tsʰ[3]□{使齐整}□{批评人}□{响声}
s[2]刷[3]耍厦
ɹ[2]捼{推揉}
k[1]瓜[2]刮[3]剐寡[5]挂卦
kʰ[1]夸[2]□{刮取}括{又꜁kʰue}[3]垮侉{打牛～～：鬼混}[5]跨
x[1]花划{～柴，又꜁xua、xua꜄}[2]划{～船，又꜀xua、xua꜄}猾滑-{～滩河：地名，又xua꜆}[5]话划{计～，又꜀xua、꜁xua}化画[7]滑{又꜁xua}
∅[1]洼{又ua꜄}挖蛙蜗{～牛，又꜀o}[2]娃[3]瓦搲{舀}[5]洼{～～头：坑头，又꜀ua}[7]袜

#ya
tɕʰ[2]瘸-{手指不能屈伸}

#e
n[2]伯柏陌百白北
pʰ[2]泊拍迫魄
m[2]没{沉～、～有}麦脉墨默
t[2]德得
tʰ[2]特{又꜁tʰie}
n[2]肋{又꜁na}勒劣
ts[1]蔗遮[2]责哲浙则侧摘折{～断，又se꜆}窄贼={又꜁tsuəi}[3]者[5]这
tsʰ[1]车{火～，又꜀tɕy}[2]测泽厕拆择撤宅册彻策[3]扯
s[1]赊奢[2]蛇佘设摄舌啬塞涩瑟[3]舍{～得，又se꜄}[5]社射舍{宿～，又꜂se}赦麝[7]涉折{丢失，又꜁tse}虱色
ɹ[2]热[3]惹
k[1]给{又꜁tɕie}[2]格隔革[5]锯-{又tɕy꜄}
kʰ[2]咳刻客克
x[2]嚇{恐～}核赫骇黑
ŋ[2]扼额

#ie
p[1]憋鳖蓖[2]别[5]毙{枪～}蹦-{又pən꜄}
pʰ[2]辟{开～}僻撇别-{～人：识人}[3]擗{折断}[5]孬{不好，差}
m[1]搣{掰，又꜂mie}[2]灭蔑[3]搣{掰，又꜀mie}
t[1]爹[2]碟谍蝶叠帖{请～，又꜁tʰie}笛滴{又tia꜄}敌
tʰ[2]贴跌帖铁特{又꜁tʰe}踢
n[2]列烈裂猎
tɕ[2]缉绩级给{供～，又꜀ke}桔极杰吉集疾击积及{又꜁tɕi}辑即脊迹籍寂{又꜁tɕi}鲫戟洁接妾揭节结藉截{一～，又꜁tɕʰie}[3]姐[5]借
tɕʰ[2]茄□{～蟆子：青蛙}砌{又tɕʰi꜄}切劫怯截{～止，又꜁tɕie}[3]且[7]捷
ɕ[1]蝎罅{～起：仅留小缝}些{又꜀ɕi}[2]邪斜谐协{又꜁ɕi}穴{又꜁ɕi}楔{～子}[3]写[5]泻泄谢卸[7]歇
ȵ[2]聂镊业孽涅{勃列日～夫}逆
∅[1]椰[2]爷叶页[3]野也[5]液腋夜

#ue
k[2]国
kʰ[2]括{又꜁kʰua}扩阔
x[2]惑或

#ye
tɕ[2]绝诀决撅
tɕʰ[2]缺掘阙
ɕ[1]恤靴[2]削{又꜁ɕio}血雪{又꜁ɕio}薛
∅[1]曰□{迂腐}[2]越阅悦月粤

#o
p[1]波㩧{用手指背敲击}菠玻[2]剥博簿搏拨驳钵薄缚[3]跛簸
pʰ[1]坡[2]婆扑-{又꜁pʰu}勃[5]蔢{～荷}破剖[7]泼
m[1]摸摩{～托}[2]馍蘑磨{～刀，又mo꜄}沫漠末膜茉寞茉[3]抹{涂～}□{吃～和：占便宜}[5]磨{推～，又꜁mo}[7]莫穆{姓}魔
t[1]多[2]剟{刺}□{～～：底部}独-{吃～食，又꜁tu}[3]躲垛[5]惰剁堕舵
tʰ[1]拖[2]沱坨驼托夺铎拓[3]妥椭[5]唾[7]脱
n[1]啰[2]螺脶{手指螺纹}萝骡锣罗洛络骆赂[3]裸[5]懦摞糯诺[7]落绿-{点～豆，又꜁nu}烙{～铁}乐{快～，又꜁io}
ts[2]桌作着{又꜁tsau}卓捉啄{又꜁tsua}琢逐镯昨酌绰竹-{～子、～竿，又꜁tsu}[3]左佐[5]坐座
tsʰ[1]蹉搓[2]浊{水浑～，又꜁tsu}凿龊{～龊}畜-{～牲，又꜁ɕy、꜁tsʰu}族-{～谱，又꜁tsʰu}撮矬{矮～～}戳拙[5]错锉
s[1]唆梭蓑[2]索缩束硕说烁芍勺率{又suai꜄}蟀[3]所锁
ɹ[2]溺若弱
k[1]歌锅戈哥[2]各割葛鸽角-{㮟㮟～～，又꜁tɕio}桷{黄～树}阁佮{～得来：能够相处}郭骨-{～头，又꜁ku}[3]果裹[5]过个
kʰ[1]科[2]渴磕壳瞌瞌哭-{又꜁kʰu}毃{꜁ni～：敲打头}[3]可棵颗[5]课搁
x[1]喝呵蠚[2]何河和禾荷活获鹤鹄{鸿～之志}[3]伙火[5]货贺祸霍[7]合盒藿{～香}忽-{～然，又꜁fu}
ŋ[2]恶{又u꜄}鳄噩[3]我
∅[1]屙窝阿{～弥陀佛，又꜀a}蜗{又꜀ua}[2]沃鹅涹{长期间浸泡而发臭}讹俄蛾握鄂[5]饿卧[7]屋-{～头，又u꜆}

#io
n[2]略虐{又꜁io}
tɕ[2]觉{～得，又tɕiau꜄}爵角{又꜁ko}足-{～球，又꜁tɕy}脚㰵
tɕʰ[2]雀确鹊却[3]□{小觑}
ɕ[2]学削{又꜁ɕye}雪-{落～，又꜁ɕye}
∅[2]浴约疟岳育欲药钥虐{又꜁nio}疫{又y꜄}狱域役{又꜁y}乐{音～，又꜁no}

#ɿ
ts[1]资姿咨知只{一～，又꜂tsɿ}滋兹淄枝栀痴蜘支肢脂之芝[2]质汁织植侄值执殖置直职掷[3]姊只{～有，又꜀tsɿ}滓紫纸子梓止指旨址趾[5]治字自痔痣志制稚蛰{惊～}智致至翅
tsʰ[1]疵摛{伸出手或脚}[2]池雌瓷糍{～粑}磁慈辞词祠侈持驰迟斥赤秩{又tsʰɿ꜄}[3]此耻齿[5]赐滞刺次伺秩{又꜁tsʰɿ}[7]吃尺
s[1]嘶斯厮司丝思诗师撕私狮尸施[2]时匙食石识拾适十失室实释[3]始使死史驶屎[5]蚀柿饲饰试誓示视似仕四肆寺侍恃士事市是逝氏世势式[7]湿
ɹ[2]日

#ə
∅[2]儿而[3]耳饵尔[5]二

#i
p[2]泌滗{过滤}鼻碧必笔逼毕璧壁弼{任～时，又꜁pʰi}[3]比[5]蔽避闭弊币备被
pʰ[1]批{又꜀pʰəi}丕屄[2]枇疲痞脾皮琵匹辟{复～}弼{～马温，又꜁pi}[3]痹彼鄙庇[5]屁
m[1]眯□{小}[2]谜眉媚迷弥秘{又pəi꜄}蜜密觅[3]米[5]沕{～水}
t[1]低[2]的狄[3]抵底[5]隶地递帝第弟
tʰ[1]梯锑[2]涕蹄提堤屉题[3]体[5]剃替
n[1]剺{划开、撕開}[2]泣梨离厘璃犁黎栗笠粒历[3]李礼理里狸鲤[5]痢利例厉荔丽励[7]力立
