id	ini	fn	pt	单字	IPA	注释
1	t	o	31	多	to31	～少
2	tʰ	o	31	拖	tʰo31	～拉机
3	tʰ	a	31	他	tʰa31	其～
4	tʰ	o	21	駝	tʰo21	骆～
5	tʰ	o	21	舵	tʰo21	～手
6	t	ai	43	大	tai43	～夫，～黄
7	l	o	21	挪	lo21	～用公款
8	n	a	43	哪	na43	～里
9	n	a	21	哪	na21	～吒
10	n	a	43	那	na43	～里；姓
11	l	u	21	羅	lu21	姓
12	l	u	21	鑼	lu21	～鼓
13	l	u	21	箩	lu21	～筐
14	ts	io	35	左	tsio35	～右
15	ts	io	35	佐	tsio35	辅～
16	k	o	31	歌	ko31	唱～，～声
17	k	o	31	哥	ko31	大～，学生～
18	k	o	13	個	ko13	两～，～别
19	k	o	13	個	ko13	我～（我的）
20	h	o	35	可	ho35	～能，许～证
21	ŋ	o	21	蛾	ŋo21	飞～扑火
22	ŋ	o	21	鵝	ŋo21	天～
23	ŋ	o	21	俄	ŋo21	～罗斯
24	ŋ	o	13	我	ŋo13	自～[文]
25	ŋ	o	13	我	ŋo13	涯，第一人称[白]
26	ŋ	o	43	餓	ŋo43	饥～
27	h	o	21	荷	ho21	～花；薄～
28	h	o	21	荷	ho21	挑，～担，～东西[白]
29	h	o	21	河	ho21	黄～
30	h	o	21	何	ho21	姓；如～
31	h	o	43	賀	ho43	祝～，～礼
32		o	31	阿	o31	～胶；～弥陀佛
33		a	31	阿	a31	～爸
34	kʰ	iɛ	35	茄	kʰiɛ35	茄子；番～
35	k	a	55	茄	ka55	雪～
36	p	o	31	波	po31	风～，～浪
37	p	o	31	菠	po31	～菜
38	p	ɔi	43	跛	pɔi43	～脚（跛足）[训]
41	pʰ	o	35	頗	pʰo35	～有心得，偏～
42	p	u	31	坡	pu31	山～，～度
43	p	u	55	玻	pu55	～璃
44	pʰ	o	13	破	pʰo13	～坏
45	pʰ	u	21	婆	pʰu21	老～
46	p	ok	043	薄	pok43	～荷
47	m	u	21	魔	mu21	～术，～鬼
48	m	u	21	磨	mu21	～刀，水～[动]
49	m	u	21	磨	mu21	～豆浆[动]
50	m	u	55	摩	mu55	～擦，按～
51	m	u	21	磨	mu21	石～[名]
52	t	iɔŋ	35	朶	tiɔŋ35	一～花，花～
53	t	u	35	躱	tu35	～避，～开
54	t	iak	013	刴	tiak13	～猪肉，～肉丸[训]
55	tʰ	u	35	妥	tʰu35	～当
56	tʰ	u	31	椭	tʰu31	～圆
58	t	u	43	惰	tu43	～性
59	n	u	43	糯	nu43	～米
60	l	ui	21	騾	lui21	
61	l	ie	55	螺	lie55	田～
62	l	ie	55	腡	lie55	手指纹
63	l	u	55	囉	lu55	喽～，～嗦
64	l	u	35	裸	lu35	～体
65	tsʰ	u	13	銼	tsʰu13	～刀
66	ʦʰ	u	13	坐	ʦʰu13	～车，～稳
67	ts	u	55	座	tsu55	～位，上～
69	s	u	31	梭	su31	穿～，～子蟹
70	s	u	31	唆	su31	～使
71	s	u	35	鎖	su35	～匙
72	s	u	35	瑣	su35	～碎，烦～
73	k	u	31	戈	ku31	干～，～壁
74	k	u	35	果	ku35	水～
75	k	u	35	裹	ku35	包～
76	k	u	13	過	ku13	～去，～头
77	f	u	31	科	fu31	～学，文～
78	t	ɐu	31	棵	tɐu31	一～树
79	l	ak	055	粒	lak5	一～珍珠，～粒
80	f	u	13	課	fu13	上～
81	ŋ	o	21	訛	ŋo21	～诈，以～传～
82	ŋ	o	43	臥	ŋo43	～室，～铺
83	f	u	35	火	fu35	着～，～车
84	f	u	35	夥	fu35	合～，～计
85	f	u	13	貨	fu13	～车，百～
86	v	u	21	和	vu21	～平，～气[文]
87	v	u	21	和	vu21	～尚[白]
88	v	u	21	禾	vu21	割～，～苗
89	v	ɔk	043	禍	vɔk43	大～临头，～害
90	v	u	21	和	vu21	唱～，～诗
91	v	ɔi	35	倭	vɔi35	～寇
92	v	u	31	窩	vu31	～囊废，～藏
94	h	ɛ	31	靴	hɛ31	皮～
95	p	a	31	巴	pa31	～掌，～结，～黎
96	p	a	31	芭	pa31	～蕉，～蕾
97	p	a	31	疤	pa31	伤～
98	p	a	35	把	pa35	～握，～脉
99	p	a	13	霸	pa13	恶～，～王
100	p	a	13	壩	pa13	堤，溪～
101	p	a	55	吧	pa55	酒～
102	p	a	13	垻	pa13	平地，湖洋～
103	p	a	31	爸	pa31	爸爸
104	pʰ	a	13	怕	pʰa13	害怕，惊～
105	pʰ	a	13	帕	pʰa13	手～
106	pʰ	a	21	爬	pʰa21	～树
107	pʰ	a	21	琶	pʰa21	琵～
108	pʰ	a	21	杷	pʰa21	枇～
109	pʰ	a	21	耙	pʰa21	犁耙
110	m	a	21	麻	ma21	天～，～烦
111	m	a	21	痲	ma21	出～（得痳疹），～风
113	m	a	55	媽	ma55	妈妈
114	m	a	13	媽	ma13	～祖
115	m	a	13	馬	ma13	骑～，～虎
116	m	a	13	碼	ma13	～头，大～
117	m	a	43	罵	ma43	～人
118	n	a	21	拿	na21	～手，推～
119	tsʰ	a	21	茶	tsʰa21	～叶
120	ts	a	31	楂	tsa31	山～
121	ts	a	31	渣	tsa31	药～
122	ts	a	13	詐	tsa13	～骗
123	ts	a	13	榨	tsa13	～菜，～油
124	ts	a	13	炸	tsa13	～药
125	tsʰ	a	55	叉	tsʰa55	刀～，～腰
126	ŋ	a	55	杈	ŋa55	桠～，树～
127	tsʰ	a	31	差	tsʰa31	～别
128	tsʰ	a	31	岔	tsʰa31	～路，三～路口
129	tsʰ	a	21	查	tsʰa21	调～
130	s	a	55	沙	sa55	泥～，～漠
131	s	a	31	紗	sa31	～布
132	s	a	13	灑	sa13	～水
133	h	a	43	廈	ha43	偏廈（厢房）
134	s	a	31	痧	sa31	发～，刮～
135	k	a	31	家	ka31	老～，～庭
136	s	a	31	砂	sa31	朱～，～纸
137	k	a	31	加	ka31	～工
138	j	en	35	痂	jen35	结～
139	k	a	31	嘉	ka31	～宾
140	k	a	35	假	ka35	真～，～设
141	k	aⁿ	35	賈	kaⁿ35	姓，～宝玉
142	k	a	35	假	ka35	放～，～期
143	k	a	13	架	ka13	书～
144	k	a	13	駕	ka13	～驶证
145	k	a	13	嫁	ka13	～人
146	k	a	31	稼	ka31	庄～，邓～先
147	k	a	13	價	ka13	～钱，～值
149	ŋ	a	21	牙	ŋa21	～齿，刷～
150	ŋ	a	21	芽	ŋa21	豆～
151	ŋ	a	21	衙	ŋa21	～门
152	ŋ	a	13	雅	ŋa13	文～；～典（国名）
153	ŋ	a	13	砑	ŋa13	碾，～平，～碎
154	h	a	55	蝦	ha55	鱼～，～公
155	h	aʔ	013	嚇	haʔ13	～人
156	h	a	21	霞	ha21	晚～
157	h	a	21	瑕	ha21	～疵
159	h	a	43	下	ha43	～背，底～
160	h	a	21	下	ha21	取下，～下来
161	h	a	43	夏	ha43	姓
162	h	a	43	廈	ha43	～门，大～
163	h	a	43	下	ha43	～降，～流
164	h	a	43	夏	ha43	春～秋冬
166	ŋ	a	31	鴉	ŋa31	老～，乌～，～片
167	ŋ	a	31	丫	ŋa31	～鬟，～头
168	ŋ	a	55	椏	ŋa55	～杈
169	ŋ	a	35	啞	ŋa35	哑巴，～佬
170	ŋ	a	21	亞	ŋa21	～洲，～军
171	ts	iɛ	35	姐	tsiɛ35	小～[文]
172	ʦ	iɛ	35	姐	ʦiɛ35	姐姐[白]
173	ts	iɛ	13	借	tsiɛ13	～钱
174	tsʰ	iɛ	35	且	tsʰiɛ35	而～，况～
175	tsʰ	iɛ	13	笡	tsʰiɛ13	斜，～～（歪斜的样子）
176	ts	ak	043	藉	tsak43	～故，～口
177	s	iɛ	31	些	siɛ31	一～
178	s	iɛ	35	寫	siɛ35	～字
179	s	iɛ	13	瀉	siɛ13	腹～，一～千里
180	s	iɛ	13	卸	siɛ13	～货，推～
181	tsʰ	iɛ	21	邪	tsʰiɛ21	～气，～门歪道
182	tsʰ	iɛ	21	斜	tsʰiɛ21	倾～[文]
183	m	iɛ	35	斜	miɛ35	不正[白]
184	ts	iɛ	43	謝	tsiɛ43	多～；姓
185	t	iɛ	55	爹	tiɛ55	～娘
186	ts	iɛ	31	遮	tsiɛ31	遮挡[动]；伞[名]
187	ts	iɛ	35	者	tsiɛ35	记～，作～
188	ts	iɛ	13	蔗	tsiɛ13	甘蔗
189	tsʰ	iɛ	31	車	tsʰiɛ31	火～
190	tsʰ	iɛ	35	扯	tsʰiɛ35	～开，～烂
191	s	iɛ	21	蛇	siɛ21	毒～
192	s	iɛ	43	射	siɛ43	发～，～箭
193	s	iɛ	43	麝	siɛ43	～香
194	tsʰ	iɛ	31	奢	tsʰiɛ31	～侈
195	s	iɛ	31	賒	siɛ31	～帐
196	s	iɛ	35	捨	siɛ35	～唔得（舍不得）
197	s	iɛ	13	赦	siɛ13	～免
198	s	iɛ	13	舍	siɛ13	宿～
199	s	ia	43	社	sia43	～会，公～
200	j	iɛ	13	惹	jiɛ13	～事
201	j	iɛ	21	耶	jiɛ21	～稣
202	j	iɛ	21	爺	jiɛ21	父亲；爷爷[文]
203	j	ia	13	也	jia13	～知
204	j	iɛ	13	野	jiɛ13	～人
205	j	iɛ	43	夜	jiɛ43	日～，～班
206	s	u	21	傻	su21	～瓜，～子
207	k	ua	31	瓜	kua31	西～，～分
208	v	u	31	蝸	vu31	～牛
209	k	ua	35	寡	kua35	～妇，守～
210	k	ua	35	剮	kua35	千刀万～
211	kʰ	ua	31	誇	kʰua31	～大，～张
212	kʰ	ua	43	垮	kʰua43	～台
213	kʰ	ua	31	跨	kʰua31	～栏，～度
214	v	a	31	娃	va31	洋～～
215	ŋ	a	13	瓦	ŋa13	～片
216	f	a	31	花	fa31	开～
217	f	a	13	化	fa13	变～
218	v	a	21	華	va21	中～
219	v	ak	043	劃	vak43	～船
220	v	a	21	華	va21	～山；姓
221	v	a	31	蛙	va31	青～，～泳
222	p	ɐu	35	補	pɐu35	～鞋，～充
223	pʰ	ɐu	35	譜	pʰɐu35	族～，歌～
224	p	ɐu	13	布	pɐu13	红～，～料
225	p	ɐu	13	佈	pɐu13	公～，～置
226	pʰ	ɐu	31	鋪	pʰɐu31	～路，床～
227	pʰ	ɐu	35	普	pʰɐu35	～通，～遍
228	p	ɐu	13	浦	pɐu13	黄～江
229	pʰ	ɐu	13	鋪	pʰɐu13	店～，当～
230	p	ɐu	13	怖	pɐu13	恐～
231	pʰ	ɐu	21	蒲	pʰɐu21	（石）菖～
232	pʰ	ɐu	21	菩	pʰɐu21	～萨
234	p	ɐu	31	部	pɐu31	～队，干～
235	p	ɐu	43	簿	pɐu43	练习～，帐～
236	p	ɐu	31	步	pɐu31	跑～
237	p	ɐu	31	捕	pɐu31	逮～，～快
238	f	ɐu	31	埠	fɐu31	开～
239	f	ɐu	31	埠	fɐu31	庵～，蚌～（地名）
240	m	ɐu	21	模	mɐu21	～型，～范
241	m	ɐu	21	摹	mɐu21	～仿，描～
242	m	ɐu	43	暮	mɐu43	日暮
243	m	ɐu	43	慕	mɐu43	羡～，～名而来
244	m	ɐu	43	墓	mɐu43	坟～，～地
245	m	ɐu	43	募	mɐu43	～捐
246	t	ɐu	31	都	tɐu31	首～，～市
247	t	ɐu	31	都	tɐu31	都是
248	t	ɐu	35	堵	tɐu35	～车，～塞
249	t	ɐu	35	賭	tɐu35	～博
250	tʰ	ɐu	13	肚	tʰɐu13	猪～，鱼～
251	t	ɐu	43	妬	tɐu43	～忌
252	tʰ	ɐu	35	土	tʰɐu35	～地
253	tʰ	ɐu	13	吐	tʰɐu13	～痰；呕～
254	tʰ	ɐu	13	兔	tʰɐu13	野～
255	tʰ	ɐu	21	徒	tʰɐu21	～弟
256	tʰ	ɐu	21	屠	tʰɐu21	～杀
257	tʰ	ɐu	21	途	tʰɐu21	前～
258	tʰ	ɐu	21	塗	tʰɐu21	糊～，～改
259	tʰ	ɐu	21	圖	tʰɐu21	画～，地～
260	t	ɐu	43	杜	tɐu43	姓；杜仲（中药）
261	t	ɐu	35	肚	tɐu35	肚子
262	t	ɐu	43	度	tɐu43	～数，长～
263	t	ɐu	43	渡	tɐu43	偷～，摆～
264	t	ɐu	43	鍍	tɐu43	电～
265	n	ɐu	21	奴	nɐu21	～隶
266	l	ɐu	13	努	lɐu13	～力
267	n	ɐu	43	怒	nɐu43	愤～，～气
268	l	ɐu	21	盧	lɐu21	姓
269	l	ɐu	55	爐	lɐu55	火～
270	l	ɐu	21	蘆	lɐu21	～苇
271	l	ɐu	21	鸕	lɐu21	～鹚（扁嘴善捕鱼的水鸟）
272	l	ɐu	13	魯	lɐu13	～国，～迅
273	l	ɐu	13	虜	lɐu13	俘～
274	l	ɐu	13	滷	lɐu13	盐～，～水
275	l	ɐu	43	路	lɐu43	大～
276	l	ɐu	13	賂	lɐu13	贿～
277	l	ɐu	43	露	lɐu43	～水，白～，打～
278	l	ɐu	43	鷺	lɐu43	白～
279	ts	ɐu	31	租	tsɐu31	～金，出～
280	ts	ɐu	35	祖	tsɐu35	～宗，～国
281	ts	ɐu	35	組	tsɐu35	～织，小～
282	ts	ɐu	13	做	tsɐu13	～好事
283	tsʰ	ɐu	31	粗	tsʰɐu31	～心
284	tsʰ	ɐu	13	醋	tsʰɐu13	陈～
285	tsʰ	ɐu	13	措	tsʰɐu13	～施
286	tsʰ	u	13	錯	tsʰu13	～误
287	s	ɐu	31	蘇	sɐu31	～州；姓
