[1]45 [2]21 [3]42 [5]13
#ɿ
ts [1]之芝支枝肢知脂兹姿资 [2]直值植置质侄执职 [3]止址趾旨指纸只子梓紫 [5]至制智致志治痔字自翅
tsʰ [1]痴跐{擦：～干净} [2]赤吃池迟持秩辞词瓷磁尺齿 [3]耻侈此齿{文，∽轮} [5]刺次赐滯
s [1]尸师狮施诗司私思斯丝撕 [2]失湿十拾石时识实食匙豉室适氏 [3]史使驶始屎死 [5]世势誓逝市示事是视饰士式四试肆似
z [2]日

#i
p [2]鼻笔毕必壁璧 [3]匕比 [5]庇弊币毙闭备被
pʰ [1]屄 [2]皮疲啤脾僻癖匹辟郫 [3]鄙 [5]屁纰
m [1]咪眯 [2]迷谜泌秘密蜜眉 [3]米 [5]沕{潜水：栽∽头儿}
t [1]低爹的{打∽} [2]滴涤敌的{~确}[3]底抵 [5]弟递第帝地隶
tʰ [1]梯锑剔 [2]提题蹄屉惕 [3]体 [5]替剃
n [1]躧{踩：~了一脚} [2]尼泥逆离璃梨黎厘立笠力历沥宜谊 [3]你李里理鲤礼 [5]吏利俐莉痢荔厉丽艺例义议
tɕ [1]基讥饥叽机肌奇{~数}鸡□{逼：～出来} 脐{白，肚∽眼儿} [2]及积急级极吸吉即集籍疾迹绩 [3]己几挤起{白，站∽} [5]季技忌记纪计寄既祭继际剂济
tɕʰ [1]欺妻凄期溪 [2]七柒漆戚其旗棋奇骑齐歧乞脐{文，肚∽} [3]起启岂 [5]企气汽弃器去{白}
ɕ [1]希稀嘻西牺兮犀些禧 [2]悉息熄析昔夕习席袭 [3]洗喜 [5]系戏细
Ø [1]衣依医 [2]一壹揖姨胰移遗怡抑乙译 [3]以已椅 [5]异意易肄亿忆液

#uᶹ
p [2]不 [3]补 [5]布捕怖步部
pʰ [1]铺{∽床}[2]葡蒲仆朴瀑扑菩勃 [3]普谱浦 [5]铺{上~}
m [2]木目睦牧穆牟 [3]母拇姆 [5]□{呆，傻：～得很}
f [1]呼夫肤麸孵敷俘 [2]乎胡湖葫蝴糊狐弧壶扶符浮弗伏袱服幅腹辐复 [3]府俯腐辅抚斧虎浒 [5]付附妇负父副富户护互
t [1]都{成∽}嘟 [2]渎独毒 [3]堵赌睹肚{牛~子} [5]杜肚度渡妒
tʰ [2]秃突途涂屠徒图 [3]土吐 [5]兔□{吝啬：这人~得很}
n [1]噜 [2]奴芦炉卢泸六绿录陆鹿 [3]努鲁虏 [5]怒路赂露
ts [1]朱珠蛛诸猪租 [2]竹烛竺触筑祝 [3]主煮阻祖 [5]住注驻柱蛀助著做
tsʰ [1]初粗□{突然说出一句话，他~了一声}[2]除厨锄畜{~牲} [3]楚础处{~理}[5]处{~长}
s [1]梳蔬抒舒输枢殊书苏酥 [2]术孰塾熟淑叔属蜀 [3]暑署鼠墅数{∽一下} [5]树竖漱恕数素诉塑
z [1]擩{快速塞进某处，～在包里就走}[2]如儒入肉辱 [3]汝乳
k [1]孤姑辜咕跍{蹲下，~着}[2]骨谷 [3]古鼓股 [5]故固雇顾
kʰ [1]枯箍 [2]窟酷跍{蹲下：～在那里}[3]苦 [5]库裤
v [1]乌呜诬污 [2]吴无芜物捂焐{用物覆盖使之热}[3]五伍午武舞 [5]悟误戊务舞

#y
n [3]女旅缕
tɕ [1]居驹拘车{~马}[3]举 [5]巨拒炬距句具俱惧据锯剧
tɕʰ [1]区岖驱躯蛆趋 [3]取 [5]去趣
ɕ [1]虚嘘须需绥虽靴 [2]徐 [3]许栩 [5]序叙□{~毛儿：开玩笑}
Ø [1]迂 [2]于盂余俞愉鱼渔娱愚寓 [3]羽予与屿雨语 [5]誉预喻裕遇御

#a
p [1]巴芭笆疤粑杷琶 [2]爸八 [3]把 [5]坝霸罢
pʰ [1]□{东西煮得熟透：肉很~}□{~耳朵，怕老婆的男人}[2]爬扒趴 [5]怕帕
m [1]妈 [2]麻蟆 [3]马码蚂玛□{~着吃：对人霸道}[5]骂
f [2]发伐阀罚乏法砝
t [2]搭答达 [3]打 [5]大
tʰ [1]他她它 [2]塌踏塔沓
n [1]拉垃 [2]拿辣腊蜡纳 [3]哪 [5]那
ts [1]渣奓{张开：∽嘴}[2]扎炸铡砸杂眨 [3]□{哆嗦}鲊∽肉，粉蒸肉} [5]栅炸{~弹}
tsʰ [1]叉差 [2]茶查察擦插 [3]衩{~~裤儿，小孩儿穿的开档裤} [5]诧岔衩{开∽}□{∽眉~眼，因陌生的人或物的出现，使人不习惯的感觉。}
s [1]沙纱痧砂杉萨 [2]杀刹煞 [3]傻洒撒 [5]啥
k [1]家{~~:指外公外婆} [3]尬
kʰ [1]咖旮□{在两物之间再塞进一物；~个东西进去}[2]掐□{跨过:轻轻一～就过去了}[3]卡 [5]胯{胯下}
ŋ [1]□{压；～到我脚了}
x [1]□{找，～东西}[2]搳{~劲儿，搔庠追乐}[3]傻{呆，傻：~儿、∽子}[5]下{白，一会儿}

#ia
p [3]扁{扁、不圆，∽嘴、一说瘪}瘪{扁、不圆，∽嘴、一说扁}
pʰ [3]□{歪歪扭扭，走路一~一~的}  [5]□{拟声词}
m [2]□{不经意的解看：,~一眼}
t [2]□{垂下，头发∽下来}
n [1]□{撒娇的产音或态度，∽声~气} [2]捩{丢落：东西~了}
tɕ [1]家加枷袈佳 [2]夹甲钾□{吝啬：那人~得}圿{污垢，身上的∽∽多} [3]假贾 [5]价嫁驾架
