"繁體"	"简体"	"拼音"	"音标"	"注释"	"声"	"韵"	"调"
"知"	"知"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"蜘"	"蜘"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"支"	"支"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"枝"	"枝"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"肢"	"肢"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"吱"	"吱"	"zı̈1"	"tsɿ˦˥"	"文读"	"ts"	"ɿ"	"˦˥"
"唧"	"唧"	"zı̈1"	"tsɿ˦˥"	"白读"	"ts"	"ɿ"	"˦˥"
"資"	"资"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"姿"	"姿"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"咨"	"咨"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"滋"	"滋"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"茲"	"茲"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"炙"	"炙"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"輜"	"辎"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"錙"	"锱"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"之"	"之"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"芝"	"芝"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"只"	"只"	"zı̈1"	"tsɿ˦˥"	"量词"	"ts"	"ɿ"	"˦˥"
"撕"	"撕"	"zı̈1"	"tsɿ˦˥"	"白读"	"ts"	"ɿ"	"˦˥"
"脂"	"脂"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"酯"	"酯"	"zı̈1"	"tsɿ˦˥"	""	"ts"	"ɿ"	"˦˥"
"這"	"这"	"zı̈1"	"tsɿ˦˥"	"白读"	"ts"	"ɿ"	"˦˥"
"蟄"	"蛰"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"執"	"执"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"侄"	"侄"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"姪"	"姪"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"質"	"质"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"直"	"直"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"值"	"值"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"殖"	"殖"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"植"	"植"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"置"	"置"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"只"	"只"	"zı̈2"	"tsɿ˨˩"	"~差"	"ts"	"ɿ"	"˨˩"
"織"	"织"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"職"	"职"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"擲"	"掷"	"zı̈2"	"tsɿ˨˩"	""	"ts"	"ɿ"	"˨˩"
"指"	"指"	"zı̈2"	"tsɿ˨˩"	"~头；~甲"	"ts"	"ɿ"	"˨˩"
"滓"	"滓"	"zı̈2"	"tsɿ˨˩"	"白读"	"ts"	"ɿ"	"˨˩"
"紙"	"纸"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"只"	"只"	"zı̈3"	"tsɿ˦˧"	"仅仅"	"ts"	"ɿ"	"˦˧"
"幟"	"帜"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"旨"	"旨"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"指"	"指"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"滓"	"滓"	"zı̈3"	"tsɿ˦˧"	"文读"	"ts"	"ɿ"	"˦˧"
"止"	"止"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"趾"	"趾"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"址"	"址"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"子"	"子"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"仔"	"仔"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"吇"	"吇"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"梓"	"梓"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"紫"	"紫"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"姊"	"姊"	"zı̈3"	"tsɿ˦˧"	""	"ts"	"ɿ"	"˦˧"
"製"	"制"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"智"	"智"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"雉"	"雉"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"稚"	"稚"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"至"	"至"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"致"	"致"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"痔"	"痔"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"治"	"治"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"字"	"字"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"志"	"志"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"痣"	"痣"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"窒"	"窒"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"置"	"置"	"zı̈4"	"tsɿ˨˦"	"~纸篓，垃圾桶"	"ts"	"ɿ"	"˨˦"
"自"	"自"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"翅"	"翅"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"恣"	"恣"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"牸"	"牸"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"巳"	"巳"	"zı̈4"	"tsɿ˨˦"	""	"ts"	"ɿ"	"˨˦"
"差"	"差"	"cı̈1"	"tsʰɿ˦˥"	"参~"	"tsʰ"	"ɿ"	"˦˥"
"齒"	"齿"	"cı̈1"	"tsʰɿ˦˥"	"牙~"	"tsʰ"	"ɿ"	"˦˥"
"癡"	"痴"	"cı̈1"	"tsʰɿ˦˥"	""	"tsʰ"	"ɿ"	"˦˥"
"嗤"	"嗤"	"cı̈1"	"tsʰɿ˦˥"	""	"tsʰ"	"ɿ"	"˦˥"
"摛"	"摛"	"cı̈1"	"tsʰɿ˦˥"	""	"tsʰ"	"ɿ"	"˦˥"
"雌"	"雌"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"疵"	"疵"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"池"	"池"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"馳"	"驰"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"瓷"	"瓷"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"餈"	"餈"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"遲"	"迟"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"持"	"持"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"慈"	"慈"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"磁"	"磁"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"辭"	"辞"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"詞"	"词"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"祠"	"祠"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"秩"	"秩"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"赤"	"赤"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"斥"	"斥"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"尺"	"尺"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"吃"	"吃"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"喫"	"吃"	"cı̈2"	"tsʰɿ˨˩"	""	"tsʰ"	"ɿ"	"˨˩"
"此"	"此"	"cı̈3"	"tsʰɿ˦˧"	""	"tsʰ"	"ɿ"	"˦˧"
"齒"	"齿"	"cı̈3"	"tsʰɿ˦˧"	""	"tsʰ"	"ɿ"	"˦˧"
"恥"	"恥"	"cı̈3"	"tsʰɿ˦˧"	""	"tsʰ"	"ɿ"	"˦˧"
"刺"	"刺"	"cı̈4"	"tsʰɿ˨˦"	""	"tsʰ"	"ɿ"	"˨˦"
"賜"	"赐"	"cı̈4"	"tsʰɿ˨˦"	""	"tsʰ"	"ɿ"	"˨˦"
"侈"	"侈"	"cı̈4"	"tsʰɿ˨˦"	""	"tsʰ"	"ɿ"	"˨˦"
"滯"	"滞"	"cı̈4"	"tsʰɿ˨˦"	""	"tsʰ"	"ɿ"	"˨˦"
"次"	"次"	"cı̈4"	"tsʰɿ˨˦"	""	"tsʰ"	"ɿ"	"˨˦"
"秩"	"秩"	"cı̈4"	"tsʰɿ˨˦"	"~序"	"tsʰ"	"ɿ"	"˨˦"
"伺"	"伺"	"cı̈4"	"tsʰɿ˨˦"	""	"tsʰ"	"ɿ"	"˨˦"
"斯"	"斯"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"撕"	"撕"	"sı̈1"	"sɿ˦˥"	"文读"	"s"	"ɿ"	"˦˥"
"廝"	"厮"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"廁"	"厕"	"sı̈1"	"sɿ˦˥"	"茅~"	"s"	"ɿ"	"˦˥"
"施"	"施"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"尸"	"尸"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"師"	"师"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"獅"	"狮"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"詩"	"诗"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"司"	"司"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"絲"	"丝"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"私"	"私"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"什"	"什"	"sı̈1"	"sɿ˦˥"	"家~"	"s"	"ɿ"	"˦˥"
"是"	"是"	"sı̈1"	"sɿ˦˥"	"这个~不消了咯，相当于“……的话”，表示条件假设"	"s"	"ɿ"	"˦˥"
"思"	"思"	"sı̈1"	"sɿ˦˥"	""	"s"	"ɿ"	"˦˥"
"匙"	"匙"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"豉"	"豉"	"sı̈2"	"sɿ˨˩"	"白读"	"s"	"ɿ"	"˨˩"
"時"	"时"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"濕"	"湿"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"十"	"十"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"什"	"什"	"sı̈2"	"sɿ˨˩"	"文读"	"s"	"ɿ"	"˨˩"
"拾"	"拾"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"實"	"实"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"失"	"失"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"室"	"室"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"食"	"食"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"蝕"	"蚀"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"識"	"识"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"適"	"适"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"釋"	"释"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"石"	"石"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"式"	"式"	"sı̈2"	"sɿ˨˩"	"~子"	"s"	"ɿ"	"˨˩"
"軾"	"轼"	"sı̈2"	"sɿ˨˩"	""	"s"	"ɿ"	"˨˩"
"入"	"入"	"sı̈2"	"sɿ˨˩"	"鬼眉~眼"	"s"	"ɿ"	"˨˩"
"使"	"使"	"sı̈3"	"sɿ˦˧"	""	"s"	"ɿ"	"˦˧"
"史"	"史"	"sı̈3"	"sɿ˦˧"	""	"s"	"ɿ"	"˦˧"
"始"	"始"	"sı̈3"	"sɿ˦˧"	""	"s"	"ɿ"	"˦˧"
"屎"	"屎"	"sı̈3"	"sɿ˦˧"	""	"s"	"ɿ"	"˦˧"
"死"	"死"	"sı̈3"	"sɿ˦˧"	""	"s"	"ɿ"	"˦˧"
"鼠"	"鼠"	"sı̈3"	"sɿ˦˧"	"兔眉~眼"	"s"	"ɿ"	"˦˧"
"世"	"世"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"勢"	"势"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"誓"	"誓"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"逝"	"逝"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"似"	"似"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"姒"	"姒"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"祀"	"祀"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"適"	"适"	"sı̈4"	"sɿ˨˦"	"合~"	"s"	"ɿ"	"˨˦"
"士"	"士"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"仕"	"仕"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"市"	"市"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"柿"	"柿"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"豉"	"豉"	"sı̈4"	"sɿ˨˦"	"文读"	"s"	"ɿ"	"˨˦"
"是"	"是"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"俟"	"俟"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"寺"	"寺"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"侍"	"侍"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"恃"	"恃"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"飼"	"饲"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"祠"	"祠"	"sı̈4"	"sɿ˨˦"	"阳明~"	"s"	"ɿ"	"˨˦"
"飾"	"饰"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
"事"	"事"	"sı̈4"	"sɿ˨˦"	""	"s"	"ɿ"	"˨˦"
