音標	調類	調值	字
ai	6	35	外
ba	2	33	爬
bai	2	33	排牌
bai	5	214	派
bai	6	35	败
bau	5	214	炮
bau	6	35	抱
baʔ	7	55	拍白
bən	2	33	盆
bəŋ	2	33	朋棚蓬
bi	2	33	赔皮
bi	5	214	配屁
bi	6	35	币背被
biaŋ	2	33	平
biaŋ	6	35	病
biau	5	214	票
biaʔ	7	55	劈
biɛn	3	42	片
biɛn	5	214	骗片
biɛn	6	35	便
biɛnʔ	7	55	别
bin	2	33	贫瓶
bin	3	42	品
binʔ	7	55	匹
biŋ	2	33	平
biʔ	7	55	鼻
bo	2	33	婆
bo	5	214	破
boʔ	7	55	雹[～子仂：冰雹]
bon	2	33	盘
bon	5	214	判
bonʔ	7	55	泼
boŋ	5	214	胖
boʔ	7	55	薄
bu	1	212	铺
bu	3	42	谱
bu	6	35	簿步
ɕi	1	212	西希
ɕi	2	33	随
ɕi	3	42	洗喜
ɕi	5	214	岁戏
ɕi	6	35	系
ɕia	3	42	写
ɕia	6	35	夏
ɕiaŋ	1	212	星
ɕiaŋ	5	214	姓
ɕiau	1	212	箫
ɕiau	3	42	小
ɕiau	5	214	孝笑瘦
ɕiau	6	35	校
ɕiaʔ	7	55	惜锡
ɕiɛn	1	212	鲜先
ɕiɛn	2	33	嫌
ɕiɛn	3	42	险显选
ɕiɛn	5	214	线
ɕiɛn	6	35	限现县
ɕiɛnʔ	7	55	协歇雪
ɕin	1	212	心新
ɕin	2	33	行形
ɕin	3	42	笋
ɕin	5	214	兴
ɕiŋ	1	212	兄
ɕiŋ	2	33	熊雄
ɕioŋ	1	212	凶
ɕioŋ	2	33	降
ɕioŋ	3	42	想响
ɕioŋ	5	214	像向
ɕiou	1	212	修休
ɕiouʔ	7	55	宿赎
ɕioʔ	7	55	削
ɕiʔ	7	55	习息惜席锡
dai	1	212	胎
dai	2	33	台[～风]
dai	6	35	大袋
dan	2	33	弹
dan	3	42	毯
dan	5	214	炭
dan	6	35	淡
danʔ	7	55	踏塔达
dau	2	33	桃
dau	3	42	讨
dau	6	35	道
dəŋ	1	212	通
dəŋ	2	33	铜
dəŋ	3	42	桶统
dəŋ	5	214	痛
dəŋ	6	35	动洞
dʮ	1	212	渠区吹
dʮ	2	33	除锤
dʮ	6	35	柱住柜
dʮʔ	7	55	畜
di	1	212	梯
di	2	33	犁雷梨
di	3	42	吕李
di	5	214	剃
di	6	35	袋弟递地类
diaŋ	2	33	零
diaŋ	3	42	领
diaŋ	5	214	听
diaŋ	6	35	定
diau	2	33	条头
diau	6	35	豆
diaʔ	7	55	踢笛
diɛn	1	212	添天[～狗食月：月食；～老：天气；～光：天亮]吞
diɛn	2	33	甜连田莲藤
diɛn	6	35	垫
diɛnʔ	7	55	贴碟列铁特
din	1	212	厅
din	2	33	林邻停龙
din	3	42	领挺
din	6	35	定棱[～角仂：冰凌]
dinʔ	7	55	立力
dioŋ	3	42	两
dioŋ	6	35	亮
diou	2	33	流头[日～：太阳]
diouʔ	7	55	六绿
diʔ	7	55	栗律笛历
do	1	212	拖
don	1	212	贪
don	2	33	潭
don	6	35	断
donʔ	7	55	脱夺
doŋ	1	212	汤
doŋ	2	33	糖
dou	2	33	图
dou	3	42	土
dou	6	35	杜
douʔ	7	55	读毒
doʔ	7	55	托
dza	1	212	车
dza	2	33	茶
dzai	2	33	财柴
dzai	5	214	菜
dzan	3	42	铲产
dzanʔ	7	55	插擦□[～雨：淋雨]
dzaŋ	2	33	程
dzau	1	212	抄
dzau	2	33	朝
dzau	3	42	草
dzau	5	214	糙造
dzaʔ	7	55	拆择尺
dzɛn	1	212	圈
dzɛn	2	33	缠传船权层
dzɛn	5	214	劝
dzɛn	6	35	传
dzən	1	212	村春秤
dzən	2	33	沉陈裙城
dzən	5	214	寸秤
dzɛnʔ	7	55	撤缺
dzənʔ	7	55	出
dzəŋ	1	212	葱充冲
dzəŋ	2	33	虫松
dzəŋ	6	35	重共
dzeʔ	7	55	贼测策
dʑi	1	212	溪
dʑi	2	33	徐骑棋
dʑi	3	42	取
dʑi	5	214	契器气
dʑi	6	35	罪
dʑia	2	33	斜
dʑia	6	35	谢
dʑiaŋ	1	212	清轻青
dʑiaŋ	3	42	晴
dʑiau	2	33	桥愁
dʑiau	3	42	口
dʑiau	5	214	凑
dʑiau	6	35	轿
dʑiaʔ	7	55	吃
dʑie	5	214	去
dʑiɛn	1	212	签牵铅
dʑiɛn	2	33	钳钱前全
dʑiɛn	3	42	浅
dʑiɛn	5	214	欠
dʑiɛn	6	35	件健
dʑiɛnʔ	7	55	杰切绝
dʑin	1	212	亲清轻
dʑin	2	33	寻琴勤
dʑin	5	214	庆
dʑin	6	35	近静
dʑinʔ	7	55	七
dʑiŋ	2	33	穷
dʑioŋ	1	212	筐
dʑioŋ	2	33	匠
dʑioŋ	3	42	抢
dʑioŋ	6	35	像
dʑiou	1	212	袖
dʑiou	2	33	球
dʑiou	6	35	舅旧
dʑiouʔ	7	55	曲局
dʑioʔ	7	55	雀
dʑiʔ	7	55	集及七极
dzo	5	214	错
dzo	6	35	坐
dzon	2	33	蚕
dzon	6	35	赚
dzonʔ	7	55	杂
dzoŋ	1	212	仓疮窗
dzoŋ	2	33	长床
dzoŋ	3	42	厂撞
dzoŋ	5	214	唱
dzou	1	212	抽
dzou	2	33	绸
dzou	5	214	臭
dzou	6	35	袖
dzouʔ	7	55	族
dzoʔ	7	55	镯
dzɿ	1	212	初
dzɿ	2	33	锄池迟祠
dzɿ	5	214	刺
dzɿ	6	35	字寺治
dzɿʔ	7	55	侄直
fa	1	212	花
fa	2	33	华滑
fa	5	214	化
fa	6	35	画话划
fai	2	33	怀
fai	6	35	坏
fan	1	212	翻
fan	3	42	反
fan	6	35	犯饭
fanʔ	7	55	法发罚
fən	1	212	婚分
fən	2	33	魂坟
fən	3	42	粉
fən	5	214	粪
fənʔ	7	55	佛
fəŋ	1	212	风丰封蜂
fəŋ	2	33	红
fəŋ	5	214	放
fəŋ	6	35	凤缝
feʔ	7	55	或
fʮ	1	212	书输
fʮ	3	42	鼠许水
fʮ	6	35	鼠竖树
fʮʔ	7	55	叔熟属
fi	1	212	灰飞
fi	2	33	回肥
fi	5	214	肺费
fi	6	35	会
fiau	2	33	浮
fie	1	212	靴
fo	3	42	火
fo	5	214	货
fo	6	35	祸
fon	1	212	欢
fonʔ	7	55	活
foŋ	1	212	慌方
foŋ	2	33	黄房防
foŋ	3	42	纺
foŋ	5	214	放
foʔ	7	55	霍缚
fu	2	33	壶
fu	3	42	虎府
fu	5	214	付富副
fu	6	35	户父妇
fuʔ	7	55	福服霍[～闪：闪电]
ha	1	212	虾
ha	6	35	下
hai	1	212	开
hai	2	33	鞋还
hai	3	42	海蟹
hai	6	35	害
han	2	33	咸
han	3	42	喊
han	5	214	看
han	6	35	限
hanʔ	7	55	瞎
haŋ	1	212	坑
hau	3	42	好
hau	5	214	靠敲
hau	6	35	号
haʔ	7	55	客
həŋ	1	212	翁
həŋ	3	42	孔
heʔ	7	55	刻黑
hiau	6	35	后厚
hiɛn	3	42	肯
hiɛn	6	35	恨
ho	2	33	河
ho	3	42	可
hon	2	33	含
hon	5	214	汉
hon	6	35	汗[干～]
honʔ	7	55	盒
hoŋ	1	212	糠
hoŋ	6	35	项
hoʔ	7	55	鹤壳学
huai	3	42	块
hui	1	212	亏
hui	3	42	跪
ʮ	2	33	如
i	1	212	衣
i	2	33	移姨
i	5	214	意
ia	2	33	爷
ia	3	42	野
ia	6	35	夜
iaŋ	2	33	赢
iaŋ	3	42	影
iau	1	212	腰
iau	2	33	摇
iau	5	214	要
iɛn	1	212	烟
iɛn	2	33	炎盐颜延言
iɛn	5	214	厌
iɛnʔ	7	55	叶
in	1	212	音
in	3	42	引隐影
in	5	214	印拥
inʔ	7	55	一
iŋ	2	33	蝇荣营容
iŋ	6	35	用
ioŋ	1	212	秧
ioŋ	3	42	两痒
ioŋ	6	35	样
iou	1	212	优
iou	2	33	油
iou	3	42	有
iou	5	214	幼
iou	6	35	右
iouʔ	7	55	育浴
ioʔ	7	55	约药
iʔ	7	55	一益
ka	3	42	假
ka	5	214	嫁
ka	7	55	角[棱～仂：冰凌]
kai	1	212	该街
kai	3	42	解
kai	5	214	改盖戒
kan	1	212	间奸
kan	3	42	减
kanʔ	7	55	夹甲
kau	1	212	高交
kaʔ	7	55	隔
ke	5	214	锯
kəŋ	1	212	公宫恭
keʔ	7	55	格
khəŋ	6	35	共
kiau	1	212	钩
kiau	3	42	狗[天～食月：月食]
kiau	5	214	够
kiɛn	1	212	根更
kiɛn	3	42	梗
ko	5	214	个
kon	1	212	甘肝干[～旱]
kon	3	42	感敢
konʔ	7	55	鸽割
koŋ	1	212	钢
koŋ	3	42	讲
koʔ	7	55	各郭角
ku	3	42	古
kua	1	212	瓜
kua	5	214	挂
kuai	3	42	拐
kuai	5	214	怪
kuan	1	212	关
kuan	5	214	惯
kuanʔ	7	55	刮
kueʔ	7	55	国
kui	1	212	规追龟
kui	3	42	鬼
kui	5	214	桂贵
kun	3	42	滚
kunʔ	7	55	骨
kuo	1	212	歌
kuo	3	42	果
kuo	5	214	过
kuon	1	212	官
kuoŋ	1	212	光[天～：天亮]
kuʔ	7	55	谷
ma	3	42	马[～□/yɛnʔD1/仂：虹]
ma	6	35	骂
mai	2	33	埋
mai	3	42	买
mai	6	35	卖
man	6	35	慢
mau	2	33	毛
mau	6	35	帽
maʔ	7	55	麦
mən	2	33	门
məŋ	3	42	猛
məŋ	6	35	梦
meʔ	7	55	墨
mi	2	33	煤眉
mi	3	42	米
mi	6	35	妹
miaŋ	2	33	明名
miaŋ	6	35	命
miau	1	212	猫
miau	6	35	庙
miɛn	2	33	棉
miɛn	6	35	面面
miɛnʔ	7	55	灭篾
min	2	33	民明
min	6	35	命
minʔ	7	55	密
mo	1	212	摸
mo	2	33	磨
mo	3	42	母
mo	6	35	磨
mon	3	42	满
monʔ	7	55	末
moŋ	2	33	忙
moʔ	7	55	摸木目
na	2	33	爬
nai	2	33	来
nan	2	33	蓝难兰
nan	3	42	懒
nan	6	35	烂
nanʔ	7	55	蜡辣
naŋ	3	42	冷
nau	1	212	偷
nau	3	42	脑老
nau	6	35	闹
nɛn	2	33	能
nən	2	33	轮
nən	6	35	嫩
nɛnʔ	7	55	月[～亮；天狗食～：月食]
nəŋ	1	212	聋
nəŋ	2	33	脓龙
nʮ	2	33	鱼
nʮ	3	42	女
nʮ	6	35	遇
