漢字	聲部	韻部	聲	韻	調類
角	求	東江入	k	øʔ	4
角	柳	春公入	l	uʔ	4
鈍	低聲	春公	t	uŋ	7
琫	波	春公	pʰ	uŋ	2
唪	波	春公	pʰ	uŋ	2
縫	波	春公	pʰ	uŋ	5
菜	出	開哉	tsʰ	ai	3
暴	邊	歌高	p	ɔ	7
樸	波	歌高入	pʰ	ɔk	4
枋	邊	春公	p	uŋ	1
琫	邊	春公	p	uŋ	2
唪	邊	春公	p	uŋ	2
糞	邊	春公	p	uŋ	3
𡊄	邊	春公	p	uŋ	3
畚	邊	春公	p	uŋ	3
不	邊	春公入	p	uʔ	4
卜	邊	春公入	p	uʔ	4
腹	邊	春公入	p	uʔ	4
䟔	邊	春公入	p	uʔ	4
房	邊	春公	p	uŋ	5
縫	邊	春公	p	uŋ	5
鈍	邊	春公	p	uŋ	7
僕	邊	春公入	p	uʔ	8
瀑	邊	春公入	p	uʔ	8
樸	邊	春公入	p	uʔ	8
觳	邊	春公入	p	uʔ	8
匐	邊	春公入	p	uʔ	8
枋	非風	光	h	uoŋ	1
房	非風	光	h	uoŋ	5
蔔	邊	春公入	p	uʔ	8
𪇰	邊	春公入	p	uʔ	8
縫	非風	春公	h	uŋ	1
𨄑	邊	春公入	p	uʔ	8
菜	邊	春公入	p	uʔ	8
䗱	邊	春公入	p	uʔ	8
暴	邊	春公入	p	uʔ	8
濮	邊	春公入	p	uʔ	8
糞	非風	春公	h	uŋ	3
卜	邊	釭綱入	p	ouʔ	4
樸	波	釭綱入	pʰ	ouʔ	4
暴	波	過朱入	pʰ	uok	8
裷	求	春公	k	uŋ	2
𢟦	求	春公	k	uŋ	2
貢	求	春公	k	uŋ	3
棍	求	春公	k	uŋ	3
愩	求	春公	k	uŋ	3
㔶	求	春公	k	uŋ	3
贛	求	春公	k	uŋ	3
羾	求	春公	k	uŋ	3
灨	求	春公	k	uŋ	3
谷	求	春公入	k	uʔ	4
榖	求	春公入	k	uʔ	4
酷	求	春公入	k	uʔ	4
梏	求	春公入	k	uʔ	4
鵠	求	春公入	k	uʔ	4
嚳	求	春公入	k	uʔ	4
趉	求	春公入	k	uʔ	4
轂	求	春公入	k	uʔ	4
唂	求	春公入	k	uʔ	4
悎	求	春公入	k	uʔ	4
焅	求	春公入	k	uʔ	4
牿	求	春公入	k	uʔ	4
䶜	求	春公入	k	uʔ	4
告	求	春公入	k	uʔ	4
蠖	求	春公入	k	uʔ	4
群	求	春公	k	uŋ	5
羣	求	春公	k	uŋ	5
裙	求	春公	k	uŋ	5
褌	求	春公	k	uŋ	5
拳	求	春公	k	uŋ	5
𤺽	求	春公	k	uŋ	5
𨞗	求	春公	k	uŋ	5
郡	求	春公	k	uŋ	7
珺	求	春公	k	uŋ	7
𩂿	求	春公	k	uŋ	7
鵘	求	春公	k	uŋ	7
𨛦	求	春公	k	uŋ	7
掘	求	春公入	k	uʔ	8
倔	求	春公入	k	uʔ	8
淈	求	春公入	k	uʔ	8
𣨢	求	春公入	k	uʔ	8
䞷	求	春公入	k	uʔ	8
𣮈	求	春公入	k	uʔ	8
㔶	求	山干	k	aŋ	2
贛	求	山干	k	aŋ	3
告	求	歌高	k	ɔ	3
悎	非風	歌高	h	ɔ	7
拳	求	光	k	uoŋ	5
公	求	春公	k	uŋ	1
蚣	求	春公	k	uŋ	1
功	求	春公	k	uŋ	1
工	求	春公	k	uŋ	1
攻	求	春公	k	uŋ	1
淈	氣悉	釭綱入	kʰ	ouʔ	4
嚳	氣悉	釭綱入	kʰ	ouʔ	4
君	求	春公	k	uŋ	1
軍	求	春公	k	uŋ	1
𨑪	求	春公	k	uŋ	1
鍕	求	春公	k	uŋ	1
䲲	求	春公	k	uŋ	1
桾	求	春公	k	uŋ	1
衮	求	春公	k	uŋ	2
滚	求	春公	k	uŋ	2
𣽙	求	春公	k	uŋ	2
工	求	東江	k	øŋ	1
蚣	求	東江	k	øŋ	1
㨰	求	春公	k	uŋ	2
䜇	求	春公	k	uŋ	2
鯀	求	春公	k	uŋ	2
輥	求	春公	k	uŋ	2
𩌌	求	春公	k	uŋ	2
緄	求	春公	k	uŋ	2
鮌	求	春公	k	uŋ	2
蓘	求	春公	k	uŋ	2
空	氣悉	春公	kʰ	uŋ	1
崆	氣悉	春公	kʰ	uŋ	1
箜	氣悉	春公	kʰ	uŋ	1
倥	氣悉	春公	kʰ	uŋ	1
涳	氣悉	春公	kʰ	uŋ	1
㲁	氣悉	春公	kʰ	uŋ	1
鵼	氣悉	春公	kʰ	uŋ	1
悾	氣悉	春公	kʰ	uŋ	1
𪔣	氣悉	春公	kʰ	uŋ	1
孔	氣悉	春公	kʰ	uŋ	2
閫	氣悉	春公	kʰ	uŋ	2
梱	氣悉	春公	kʰ	uŋ	2
壼	氣悉	春公	kʰ	uŋ	2
綑	氣悉	春公	kʰ	uŋ	2
悃	氣悉	春公	kʰ	uŋ	2
稇	氣悉	春公	kʰ	uŋ	2
齫	氣悉	春公	kʰ	uŋ	2
麕	氣悉	春公	kʰ	uŋ	2
麏	氣悉	春公	kʰ	uŋ	2
捆	氣悉	春公	kʰ	uŋ	2
控	氣悉	春公	kʰ	uŋ	3
鞚	氣悉	春公	kʰ	uŋ	3
空	氣悉	春公	kʰ	uŋ	3
屈	氣悉	春公入	kʰ	uʔ	4
𠜾	氣悉	春公入	kʰ	uʔ	4
尻	氣悉	春公入	kʰ	uʔ	4
詘	氣悉	春公入	kʰ	uʔ	4
哭	氣悉	春公入	kʰ	uʔ	4
䓛	氣悉	春公入	kʰ	uʔ	4
𧿺	氣悉	春公入	kʰ	uʔ	4
絀	氣悉	春公入	kʰ	uʔ	4
𧌑	氣悉	春公入	kʰ	uʔ	4
𨧱	氣悉	春公入	kʰ	uʔ	4
𩣹	氣悉	春公入	kʰ	uʔ	4
䧊	氣悉	春公入	kʰ	uʔ	4
㑁	氣悉	春公入	kʰ	uʔ	8
𥏘	氣悉	春公入	kʰ	uʔ	8
𡲬	氣悉	春公入	kʰ	uʔ	8
尻	氣悉	歌高	kʰ	ɔ	1
麕	氣悉	銀恭	kʰ	yŋ	5
悃	氣悉	釭綱	kʰ	ouŋ	3
空	氣悉	東江	kʰ	øŋ	1
東	低聲	春公	t	uŋ	1
敦	低聲	春公	t	uŋ	1
諄	低聲	春公	t	uŋ	1
弴	低聲	春公	t	uŋ	1
惇	低聲	春公	t	uŋ	1
屯	低聲	春公	t	uŋ	1
迍	低聲	春公	t	uŋ	1
𩂓	低聲	春公	t	uŋ	1
涷	低聲	春公	t	uŋ	1
窀	低聲	春公	t	uŋ	1
𢛔	低聲	春公	t	uŋ	1
蝀	低聲	春公	t	uŋ	1
董	低聲	春公	t	uŋ	2
懂	低聲	春公	t	uŋ	2
𦡂	低聲	春公	t	uŋ	2
𧽿	低聲	春公	t	uŋ	2
𧄓	低聲	春公	t	uŋ	2
蕫	低聲	春公	t	uŋ	2
凍	低聲	春公	t	uŋ	3
棟	低聲	春公	t	uŋ	3
頓	低聲	春公	t	uŋ	3
囤	低聲	春公	t	uŋ	3
蝀	低聲	春公	t	uŋ	3
𧡍	低聲	春公	t	uŋ	3
篤	低聲	春公入	t	uʔ	4
炢	低聲	春公入	t	uʔ	4
督	低聲	春公入	t	uʔ	4
裻	低聲	春公入	t	uʔ	4
笜	低聲	春公入	t	uʔ	4
同	低聲	春公	t	uŋ	5
仝	低聲	春公	t	uŋ	5
桐	低聲	春公	t	uŋ	5
童	低聲	春公	t	uŋ	5
僮	低聲	春公	t	uŋ	5
瞳	低聲	春公	t	uŋ	5
彤	低聲	春公	t	uŋ	5
鼕	低聲	春公	t	uŋ	5
罿	低聲	春公	t	uŋ	5
穜	低聲	春公	t	uŋ	5
曈	低聲	春公	t	uŋ	5
朣	低聲	春公	t	uŋ	5
峒	低聲	春公	t	uŋ	5
絧	低聲	春公	t	uŋ	5
橦	低聲	春公	t	uŋ	5
𦨴	低聲	春公	t	uŋ	5
筒	低聲	春公	t	uŋ	5
詷	低聲	春公	t	uŋ	5
筩	低聲	春公	t	uŋ	5
潼	低聲	春公	t	uŋ	5
㤏	低聲	春公	t	uŋ	5
𢥞	低聲	春公	t	uŋ	5
浵	低聲	春公	t	uŋ	5
𦏆	低聲	春公	t	uŋ	5
𦍻	低聲	春公	t	uŋ	5
㢥	低聲	春公	t	uŋ	5
氃	低聲	春公	t	uŋ	5
挏	低聲	春公	t	uŋ	5
酮	低聲	春公	t	uŋ	5
衕	低聲	春公	t	uŋ	5
幢	低聲	春公	t	uŋ	5
鮦	低聲	春公	t	uŋ	5
𦒍	低聲	春公	t	uŋ	5
䴀	低聲	春公	t	uŋ	5
㸗	低聲	春公	t	uŋ	5
䮵	低聲	春公	t	uŋ	5
恫	低聲	春公	t	uŋ	5
動	低聲	春公	t	uŋ	7
慟	低聲	春公	t	uŋ	7
洞	低聲	春公	t	uŋ	7
沌	低聲	春公	t	uŋ	7
飩	低聲	春公	t	uŋ	7
恫	低聲	春公	t	uŋ	7
炯	低聲	春公	t	uŋ	7
霘	低聲	春公	t	uŋ	7
迵	低聲	春公	t	uŋ	7
㗢	低聲	春公	t	uŋ	7
𪔦	低聲	春公	t	uŋ	7
衕	低聲	春公	t	uŋ	7
獨	低聲	春公入	t	uʔ	8
犢	低聲	春公入	t	uʔ	8
𤛯	低聲	春公入	t	uʔ	8
韣	低聲	春公入	t	uʔ	8
牘	低聲	春公入	t	uʔ	8
匵	低聲	春公入	t	uʔ	8
瀆	低聲	春公入	t	uʔ	8
凟	低聲	春公入	t	uʔ	8
毒	低聲	春公入	t	uʔ	8
纛	低聲	春公入	t	uʔ	8
皾	低聲	春公入	t	uʔ	8
殰	低聲	春公入	t	uʔ	8
𪍹	低聲	春公入	t	uʔ	8
𩞾	低聲	春公入	t	uʔ	8
䮷	低聲	春公入	t	uʔ	8
髑	低聲	春公入	t	uʔ	8
嬻	低聲	春公入	t	uʔ	8
𣰬	低聲	春公入	t	uʔ	8
𢷺	低聲	春公入	t	uʔ	8
櫝	低聲	春公入	t	uʔ	8
恫	他皆	春公	tʰ	uŋ	3
𩞾	時授	賓京入	s	iʔ	4
炯	求	燈庚	k	eiŋ	2
罿	出	銀恭	tsʰ	yŋ	1
屯	低聲	釭綱	t	ouŋ	5
幢	出	釭綱	tsʰ	ouŋ	5
東	低聲	東江	t	øŋ	1
㤏	低聲	東江	t	øŋ	1
𩂓	低聲	東江	t	øŋ	1
凍	低聲	東江	t	øŋ	3
棟	低聲	東江	t	øŋ	3
蝀	低聲	東江	t	øŋ	3
筒	低聲	東江	t	øŋ	5
筩	低聲	東江	t	øŋ	5
同	低聲	東江	t	øŋ	5
洞	低聲	東江	t	øŋ	7
毒	低聲	東江入	t	øʔ	8
桐	他皆	東江	tʰ	øŋ	5
覆	波	溝勾	pʰ	eu	3
覆	非風	溝勾	h	eu	3
蜂	波	春公	pʰ	uŋ	1
𧒒	波	春公	pʰ	uŋ	1
蠭	波	春公	pʰ	uŋ	1
歕	波	春公	pʰ	uŋ	1
捧	波	春公	pʰ	uŋ	2
捊	波	春公	pʰ	uŋ	2
紡	波	春公	pʰ	uŋ	2
𣨞	波	春公	pʰ	uŋ	2
𩗴	波	春公	pʰ	uŋ	2
玤	波	春公	pʰ	uŋ	2
噴	波	春公	pʰ	uŋ	3
䭰	波	春公	pʰ	uŋ	3
埲	波	春公	pʰ	uŋ	3
𢅯	波	春公	pʰ	uŋ	3
蹼	波	春公	pʰ	uŋ	3
𧼱	波	春公入	pʰ	uʔ	4
覆	波	春公入	pʰ	uʔ	4
蓬	波	春公	pʰ	uŋ	5
帆	波	春公	pʰ	uŋ	5
篷	波	春公	pʰ	uŋ	5
鬔	波	春公	pʰ	uŋ	5
髼	波	春公	pʰ	uŋ	5
𩐛	波	春公	pʰ	uŋ	5
韸	波	春公	pʰ	uŋ	5
韼	波	春公	pʰ	uŋ	5
䡫	波	春公	pʰ	uŋ	5
㦀	波	春公	pʰ	uŋ	5
熢	波	春公	pʰ	uŋ	5
紡	非風	光	h	uoŋ	2
捧	非風	春公	h	uŋ	2
𢅯	非風	春公	h	uŋ	3
覆	非風	春公入	h	uʔ	4
痛	他皆	聲正	tʰ	iaŋ	3
讀	低聲	溝勾	t	eu	7
通	他皆	春公	tʰ	uŋ	1
𪔜	他皆	春公	tʰ	uŋ	1
蓪	他皆	春公	tʰ	uŋ	1
熥	他皆	春公	tʰ	uŋ	1
統	他皆	春公	tʰ	uŋ	2
冢	他皆	春公	tʰ	uŋ	2
塚	他皆	春公	tʰ	uŋ	2
痛	他皆	春公	tʰ	uŋ	3
黜	他皆	春公入	tʰ	uʔ	4
怵	他皆	春公入	tʰ	uʔ	4
㤕	他皆	春公入	tʰ	uʔ	4
柮	他皆	春公入	tʰ	uʔ	4
𩢎	他皆	春公入	tʰ	uʔ	4
