漢字	聲部	韻部	聲	韻	調類
椷	非風	山干	h	aŋ	5
𥆡	非風	山干	h	aŋ	5
𩦊	非風	山干	h	aŋ	5
憪	非風	山干	h	aŋ	5
䘶	非風	山干	h	aŋ	5
鋡	非風	山干	h	aŋ	5
顄	非風	山干	h	aŋ	5
䤴	非風	山干	h	aŋ	5
鰔	非風	山干	h	aŋ	5
𪂶	非風	山干	h	aŋ	5
諴	非風	山干	h	aŋ	5
𪔩	非風	山干	h	aŋ	5
翰	非風	山干	h	aŋ	5
涵	非風	山干	h	aŋ	5
翰	非風	山干	h	aŋ	7
瀚	非風	山干	h	aŋ	7
憾	非風	山干	h	aŋ	7
陷	非風	山干	h	aŋ	7
𩈅	非風	山干	h	aŋ	7
𩖺	非風	山干	h	aŋ	7
𩭥	非風	山干	h	aŋ	7
雗	非風	山干	h	aŋ	7
骭	非風	山干	h	aŋ	7
䶟	非風	山干	h	aŋ	7
𩹼	非風	山干	h	aŋ	7
𨢈	非風	山干	h	aŋ	7
𩞿	非風	山干	h	aŋ	7
撼	非風	山干	h	aŋ	7
闔	非風	山干入	h	aʔ	8
盍	非風	山干入	h	aʔ	8
曷	非風	山干入	h	aʔ	8
𧛾	非風	山干入	h	aʔ	8
詥	非風	山干入	h	aʔ	8
𧪞	非風	山干入	h	aʔ	8
鶡	非風	山干入	h	aʔ	8
褐	非風	山干入	h	aʔ	8
嗑	非風	山干入	h	aʔ	8
轄	非風	山干入	h	aʔ	8
祫	非風	山干入	h	aʔ	8
熆	非風	山干入	h	aʔ	8
耠	非風	山干入	h	aʔ	8
𣩄	非風	山干入	h	aʔ	8
䢔	非風	山干入	h	aʔ	8
䫘	非風	山干入	h	aʔ	8
𩩲	非風	山干入	h	aʔ	8
鰪	非風	山干入	h	aʔ	8
𪘁	非風	山干入	h	aʔ	8
鶷	非風	山干入	h	aʔ	8
𢾩	非風	山干入	h	aʔ	8
喝	鶯亦	開哉		ai	2
嗄	非風	嘉佳	h	a	7
莖	求	燈庚	k	eiŋ	1
閑	鶯亦	燈庚		eiŋ	5
閒	鶯亦	燈庚		eiŋ	5
嗑	氣悉	釭綱入	kʰ	ouʔ	8
䉪	柳	開哉	l	ai	2
猍	柳	開哉	l	ai	2
籟	柳	開哉	l	ai	3
瀨	柳	開哉	l	ai	3
䂾	柳	開哉	l	ai	3
來	柳	開哉	l	ai	5
来	柳	開哉	l	ai	5
箂	柳	開哉	l	ai	5
𢯦	柳	開哉	l	ai	5
猍	柳	開哉	l	ai	5
𤲓	柳	開哉	l	ai	5
䅘	柳	開哉	l	ai	5
𦓹	柳	開哉	l	ai	5
𧼛	柳	開哉	l	ai	5
鶆	柳	開哉	l	ai	5
庲	柳	開哉	l	ai	5
徠	柳	開哉	l	ai	5
𪑚	柳	開哉	l	ai	5
鯠	柳	開哉	l	ai	5
唻	柳	開哉	l	ai	5
賴	柳	開哉	l	ai	7
藾	柳	開哉	l	ai	7
癩	柳	開哉	l	ai	7
㾢	柳	開哉	l	ai	7
𢯦	柳	開哉	l	ai	7
賚	柳	開哉	l	ai	7
𧶛	柳	開哉	l	ai	7
誺	柳	開哉	l	ai	7
𪀜	柳	開哉	l	ai	7
㸊	柳	開哉	l	ai	7
鯠	柳	開哉	l	ai	7
𠘝	柳	開哉	l	ai	7
婡	柳	開哉	l	ai	7
襰	柳	開哉	l	ai	7
睞	柳	開哉	l	ai	7
䚅	柳	開哉	l	ai	7
跛	波	奇迦	pʰ	ia	2
憊	波	歪乖	pʰ	uai	3
湃	波	歪乖	pʰ	uai	3
擺	邊	開哉	p	ai	2
襬	邊	開哉	p	ai	2
𢅩	邊	開哉	p	ai	2
跛	邊	開哉	p	ai	2
拜	邊	開哉	p	ai	3
𭡍	邊	開哉	p	ai	3
湃	邊	開哉	p	ai	3
扒	邊	開哉	p	ai	3
𦳞	邊	開哉	p	ai	3
粺	邊	開哉	p	ai	3
誹	邊	開哉	p	ai	5
徘	邊	開哉	p	ai	5
敗	邊	開哉	p	ai	7
憊	邊	開哉	p	ai	7
稗	邊	開哉	p	ai	7
粺	邊	開哉	p	ai	7
𪐄	邊	開哉	p	ai	7
扒	邊	嘉佳	p	a	5
跛	波	歌高	pʰ	ɔ	2
扒	邊	燈庚入	p	eiʔ	8
誹	波	之箕	pʰ	i	2
稗	波	西街	pʰ	ɛ	3
皆	求	開哉	k	ai	1
偕	求	開哉	k	ai	1
階	求	開哉	k	ai	1
堦	求	開哉	k	ai	1
陔	求	開哉	k	ai	1
楷	求	開哉	k	ai	1
荄	求	開哉	k	ai	1
喈	求	開哉	k	ai	1
該	求	開哉	k	ai	1
峐	求	開哉	k	ai	1
𦝨	求	開哉	k	ai	1
垓	求	開哉	k	ai	1
改	求	開哉	k	ai	2
忋	求	開哉	k	ai	2
解	求	開哉	k	ai	2
澥	求	開哉	k	ai	2
𥎎	求	開哉	k	ai	2
頦	求	開哉	k	ai	2
戒	求	開哉	k	ai	3
誡	求	開哉	k	ai	3
㑘	求	開哉	k	ai	3
价	求	開哉	k	ai	3
介	求	開哉	k	ai	3
玠	求	開哉	k	ai	3
炌	求	開哉	k	ai	3
蚧	求	開哉	k	ai	3
芥	求	開哉	k	ai	3
疥	求	開哉	k	ai	3
盖	求	開哉	k	ai	3
蓋	求	開哉	k	ai	3
𩕭	求	開哉	k	ai	3
届	求	開哉	k	ai	3
杚	求	開哉	k	ai	3
概	求	開哉	k	ai	3
丐	求	開哉	k	ai	3
魪	求	開哉	k	ai	3
悈	求	開哉	k	ai	3
楷	氣悉	開哉	kʰ	ai	2
頦	非風	開哉	h	ai	5
荄	非風	開哉	h	ai	5
解	非風	開哉	h	ai	7
解	求	西街	k	ɛ	2
解	求	西街	k	ɛ	3
開	氣悉	開哉	kʰ	ai	1
揩	氣悉	開哉	kʰ	ai	1
凱	氣悉	開哉	kʰ	ai	2
塏	氣悉	開哉	kʰ	ai	2
愷	氣悉	開哉	kʰ	ai	2
鎧	氣悉	開哉	kʰ	ai	2
覬	氣悉	開哉	kʰ	ai	2
駭	氣悉	開哉	kʰ	ai	2
闓	氣悉	開哉	kʰ	ai	2
鍇	氣悉	開哉	kʰ	ai	2
㮣	氣悉	開哉	kʰ	ai	3
暨	氣悉	開哉	kʰ	ai	3
泿	氣悉	開哉	kʰ	ai	3
嘅	氣悉	開哉	kʰ	ai	3
溉	氣悉	開哉	kʰ	ai	3
慨	氣悉	開哉	kʰ	ai	3
洎	氣悉	開哉	kʰ	ai	3
蔇	氣悉	開哉	kʰ	ai	3
𠌰	氣悉	開哉	kʰ	ai	3
愾	氣悉	開哉	kʰ	ai	3
開	氣悉	輝龜	kʰ	ui	1
泿	語鳥	銀恭	ŋ	yŋ	5
愾	氣悉	之箕	kʰ	i	3
大	低聲	歪乖	t	uai	7
獃	低聲	開哉	t	ai	1
佁	低聲	開哉	t	ai	1
𤶗	低聲	開哉	t	ai	1
褦	低聲	開哉	t	ai	1
歹	低聲	開哉	t	ai	2
汰	低聲	開哉	t	ai	2
埭	低聲	開哉	t	ai	2
滓	低聲	開哉	t	ai	2
戴	低聲	開哉	t	ai	3
帶	低聲	開哉	t	ai	3
碓	低聲	開哉	t	ai	3
㿃	低聲	開哉	t	ai	3
襶	低聲	開哉	t	ai	3
蹛	低聲	開哉	t	ai	3
㯂	低聲	開哉	t	ai	3
䑓	低聲	開哉	t	ai	5
臺	低聲	開哉	t	ai	5
炲	低聲	開哉	t	ai	5
䘅	低聲	開哉	t	ai	5
籉	低聲	開哉	t	ai	5
薹	低聲	開哉	t	ai	5
𪒴	低聲	開哉	t	ai	5
懛	低聲	開哉	t	ai	5
旲	低聲	開哉	t	ai	5
擡	低聲	開哉	t	ai	5
大	低聲	開哉	t	ai	7
代	低聲	開哉	t	ai	7
玳	低聲	開哉	t	ai	7
岱	低聲	開哉	t	ai	7
貸	低聲	開哉	t	ai	7
黛	低聲	開哉	t	ai	7
堶	低聲	開哉	t	ai	7
帒	低聲	開哉	t	ai	7
袋	低聲	開哉	t	ai	7
逮	低聲	開哉	t	ai	7
迨	低聲	開哉	t	ai	7
怠	低聲	開哉	t	ai	7
殆	低聲	開哉	t	ai	7
待	低聲	開哉	t	ai	7
曃	低聲	開哉	t	ai	7
𪐝	低聲	開哉	t	ai	7
䈚	低聲	開哉	t	ai	7
擡	他皆	開哉	tʰ	ai	1
汰	他皆	開哉	tʰ	ai	3
𪐝	他皆	開哉	tʰ	ai	3
滓	曾之	開哉	ts	ai	2
褦	日女	開哉	n	ai	7
碓	低聲	輝龜	t	ui	3
台	他皆	開哉	tʰ	ai	1
抬	他皆	開哉	tʰ	ai	1
梯	他皆	開哉	tʰ	ai	1
篩	他皆	開哉	tʰ	ai	1
簛	他皆	開哉	tʰ	ai	1
胎	他皆	開哉	tʰ	ai	1
孡	他皆	開哉	tʰ	ai	1
苔	他皆	開哉	tʰ	ai	1
邰	他皆	開哉	tʰ	ai	1
駘	他皆	開哉	tʰ	ai	1
𪖦	他皆	開哉	tʰ	ai	1
鮐	他皆	開哉	tʰ	ai	1
𧉟	他皆	開哉	tʰ	ai	1
跆	他皆	開哉	tʰ	ai	1
㘆	他皆	開哉	tʰ	ai	2
檯	他皆	開哉	tʰ	ai	2
泰	他皆	開哉	tʰ	ai	3
態	他皆	開哉	tʰ	ai	3
太	他皆	開哉	tʰ	ai	3
㥭	他皆	開哉	tʰ	ai	3
篩	時授	開哉	s	ai	1
苔	他皆	之箕	tʰ	i	5
鮐	他皆	之箕	tʰ	i	5
瘵	曾之	雞圭	ts	ie	3
紙	曾之	桸𤬣	ts	ya	2
帋	曾之	桸𤬣	ts	ya	2
哉	曾之	開哉	ts	ai	1
烖	曾之	開哉	ts	ai	1
災	曾之	開哉	ts	ai	1
灾	曾之	開哉	ts	ai	1
齋	曾之	開哉	ts	ai	1
栽	曾之	開哉	ts	ai	1
渽	曾之	開哉	ts	ai	1
賳	曾之	開哉	ts	ai	1
睵	曾之	開哉	ts	ai	1
宰	曾之	開哉	ts	ai	2
載	曾之	開哉	ts	ai	2
紙	曾之	開哉	ts	ai	2
帋	曾之	開哉	ts	ai	2
縡	曾之	開哉	ts	ai	2
䔂	曾之	開哉	ts	ai	2
𤌊	曾之	開哉	ts	ai	2
再	曾之	開哉	ts	ai	3
再	曾之	開哉	ts	ai	3
載	曾之	開哉	ts	ai	3
儎	曾之	開哉	ts	ai	3
債	曾之	開哉	ts	ai	3
瘵	曾之	開哉	ts	ai	3
𧯥	曾之	開哉	ts	ai	3
䵧	曾之	開哉	ts	ai	3
才	曾之	開哉	ts	ai	5
材	曾之	開哉	ts	ai	5
財	曾之	開哉	ts	ai	5
𧵤	曾之	開哉	ts	ai	5
豺	曾之	開哉	ts	ai	5
纔	曾之	開哉	ts	ai	5
𦬁	曾之	開哉	ts	ai	5
在	曾之	開哉	ts	ai	7
豸	曾之	開哉	ts	ai	7
廌	曾之	開哉	ts	ai	7
寨	曾之	開哉	ts	ai	7
𥍪	曾之	開哉	ts	ai	7
纔	出	開哉	tsʰ	ai	5
豺	出	開哉	tsʰ	ai	5
齋	曾之	西街	ts	ɛ	1
乃	日女	開哉	n	ai	2
迺	日女	開哉	n	ai	2
耐	日女	開哉	n	ai	7
鼐	日女	開哉	n	ai	7
奈	日女	開哉	n	ai	7
柰	日女	開哉	n	ai	7
㮈	日女	開哉	n	ai	7
㲡	日女	開哉	n	ai	7
𣉘	日女	開哉	n	ai	7
賽	時授	催	s	oi	3
獅	時授	開哉	s	ai	1
腮	時授	開哉	s	ai	1
顋	時授	開哉	s	ai	1
釃	時授	開哉	s	ai	1
嘶	時授	開哉	s	ai	1
鯊	時授	開哉	s	ai	1
沙	時授	開哉	s	ai	1
䰄	時授	開哉	s	ai	1
毸	時授	開哉	s	ai	1
屎	時授	開哉	s	ai	2
𡱢	時授	開哉	s	ai	2
使	時授	開哉	s	ai	2
塞	時授	開哉	s	ai	3
賽	時授	開哉	s	ai	3
簺	時授	開哉	s	ai	3
𧜁	時授	開哉	s	ai	3
使	時授	開哉	s	ai	3
晒	時授	開哉	s	ai	3
曬	時授	開哉	s	ai	3
𣻑	時授	開哉	s	ai	3
臍	時授	開哉	s	ai	5
沙	時授	嘉佳	s	a	1
鯊	時授	嘉佳	s	a	1
嘶	時授	須車	s	y	1
使	時授	須車	s	y	2
使	時授	須車	s	y	3
塞	時授	燈庚入	s	eiʔ	4
臍	曾之	西街	ts	ɛ	5
哀	鶯亦	開哉		ai	1
埃	鶯亦	開哉		ai	1
㶼	鶯亦	開哉		ai	1
唉	鶯亦	開哉		ai	1
款	鶯亦	開哉		ai	1
靄	鶯亦	開哉		ai	2
藹	鶯亦	開哉		ai	2
餲	鶯亦	開哉		ai	2
倚	鶯亦	開哉		ai	2
𥪍	鶯亦	開哉		ai	2
愛	鶯亦	開哉		ai	3
嬡	鶯亦	開哉		ai	3
璦	鶯亦	開哉		ai	3
薆	鶯亦	開哉		ai	3
隘	鶯亦	開哉		ai	3
曖	鶯亦	開哉		ai	3
靉	鶯亦	開哉		ai	3
𡺬	鶯亦	開哉		ai	3
𪕭	鶯亦	開哉		ai	3
𨶂	鶯亦	開哉		ai	3
款	鶯亦	開哉		ai	5
款	氣悉	歡官	kʰ	uaŋ	2
倚	鶯亦	之箕		i	2
𥪍	鶯亦	過朱		uo	2
隘	鶯亦	西街		ɛ	3
埋	蒙美	開哉	m	ai	5
霾	蒙美	開哉	m	ai	5
㦟	蒙美	開哉	m	ai	5
邁	蒙美	開哉	m	ai	7
䜕	蒙美	開哉	m	ai	7
勱	蒙美	開哉	m	ai	7
霾	柳	之箕	l	i	5
勱	柳	西街	l	ɛ	7
刈	語鳥	雞圭	ŋ	ie	7
嵦	語鳥	開哉	ŋ	ai	1
㱯	語鳥	開哉	ŋ	ai	1
騃	語鳥	開哉	ŋ	ai	2
𧡋	語鳥	開哉	ŋ	ai	2
艾	語鳥	開哉	ŋ	ai	3
乂	語鳥	開哉	ŋ	ai	3
㣻	語鳥	開哉	ŋ	ai	3
刈	語鳥	開哉	ŋ	ai	3
𣨵	語鳥	開哉	ŋ	ai	3
𧰿	語鳥	開哉	ŋ	ai	3
餀	語鳥	開哉	ŋ	ai	3
呆	語鳥	開哉	ŋ	ai	5
崖	語鳥	開哉	ŋ	ai	5
涯	語鳥	開哉	ŋ	ai	5
厓	語鳥	開哉	ŋ	ai	5
睚	語鳥	開哉	ŋ	ai	5
礙	語鳥	開哉	ŋ	ai	7
碍	語鳥	開哉	ŋ	ai	7
儗	語鳥	開哉	ŋ	ai	7
𢣕	語鳥	開哉	ŋ	ai	7
瘥	曾之	奇迦	ts	ia	1
猜	出	開哉	tsʰ	ai	1
釵	出	開哉	tsʰ	ai	1
差	出	開哉	tsʰ	ai	1
䂘	出	開哉	tsʰ	ai	1
靫	出	開哉	tsʰ	ai	1
𩑐	出	開哉	tsʰ	ai	1
𧢷	出	開哉	tsʰ	ai	1
芆	出	開哉	tsʰ	ai	1
采	出	開哉	tsʰ	ai	2
彩	出	開哉	tsʰ	ai	2
埰	出	開哉	tsʰ	ai	2
採	出	開哉	tsʰ	ai	2
踩	出	開哉	tsʰ	ai	2
寀	出	開哉	tsʰ	ai	2
㥒	出	開哉	tsʰ	ai	2
綵	出	開哉	tsʰ	ai	2
䣋	出	開哉	tsʰ	ai	2
𤷕	出	開哉	tsʰ	ai	2
蔡	出	開哉	tsʰ	ai	3
𤁱	出	開哉	tsʰ	ai	3
瘥	出	開哉	tsʰ	ai	3
蠆	出	開哉	tsʰ	ai	3
𪇭	出	開哉	tsʰ	ai	3
𩧇	出	開哉	tsʰ	ai	5
差	出	嘉佳	tsʰ	a	1
瘥	出	嘉佳	tsʰ	a	1
瘥	出	歌高	tsʰ	ɔ	1
釵	他皆	西街	tʰ	ɛ	1
差	出	西街	tsʰ	ɛ	1
咍	非風	開哉	h	ai	1
𣢇	非風	開哉	h	ai	1
海	非風	開哉	h	ai	2
𥁐	非風	開哉	h	ai	2
𣖻	非風	開哉	h	ai	2
烸	非風	開哉	h	ai	2
醢	非風	開哉	h	ai	2
𠿇	非風	開哉	h	ai	3
嗐	非風	開哉	h	ai	3
㖑	非風	開哉	h	ai	3
孩	非風	開哉	h	ai	5
郂	非風	開哉	h	ai	5
胲	非風	開哉	h	ai	5
骸	非風	開哉	h	ai	5
邂	非風	開哉	h	ai	5
諧	非風	開哉	h	ai	5
痎	非風	開哉	h	ai	5
咳	非風	開哉	h	ai	5
𧳧	非風	開哉	h	ai	5
𧽊	非風	開哉	h	ai	5
𩰶	非風	開哉	h	ai	5
亥	非風	開哉	h	ai	7
𨀖	非風	開哉	h	ai	7
械	非風	開哉	h	ai	7
懈	非風	開哉	h	ai	7
獬	非風	開哉	h	ai	7
𩐉	非風	開哉	h	ai	7
𡟲	非風	開哉	h	ai	7
害	非風	開哉	h	ai	7
薤	非風	開哉	h	ai	7
𧂊	非風	開哉	h	ai	7
瀣	非風	開哉	h	ai	7
㖑	非風	開哉	h	ai	7
齘	非風	開哉	h	ai	7
骸	非風	開哉	h	ai	7
𨒨	非風	開哉	h	ai	7
𦐤	非風	開哉	h	ai	7
㤥	非風	開哉	h	ai	7
𢞐	非風	開哉	h	ai	7
咳	氣悉	燈庚	kʰ	eiŋ	7
喇	柳	嘉佳	l	a	2
𩘊	柳	嘉佳	l	a	2
䱫	柳	嘉佳	l	a	2
剌	柳	嘉佳	l	a	2
俚	柳	嘉佳	l	a	5
俚	柳	之箕	l	i	2
撦	出	雞圭	tsʰ	ie	2
撦	出	奇迦	tsʰ	ia	2
巴	邊	嘉佳	p	a	1
芭	邊	嘉佳	p	a	1
笆	邊	嘉佳	p	a	1
葩	邊	嘉佳	p	a	1
𤆵	邊	嘉佳	p	a	1
疤	邊	嘉佳	p	a	1
夿	邊	嘉佳	p	a	1
𢻷	邊	嘉佳	p	a	1
鈀	邊	嘉佳	p	a	1
𤜱	邊	嘉佳	p	a	1
𩈆	邊	嘉佳	p	a	1
把	邊	嘉佳	p	a	2
弝	邊	嘉佳	p	a	2
霸	邊	嘉佳	p	a	3
伯	邊	嘉佳	p	a	3
壩	邊	嘉佳	p	a	3
垻	邊	嘉佳	p	a	3
𢺞	邊	嘉佳	p	a	3
灞	邊	嘉佳	p	a	3
欛	邊	嘉佳	p	a	3
叭	邊	嘉佳	p	a	3
靶	邊	嘉佳	p	a	3
百	邊	嘉佳入	p	ak	4
伯	邊	嘉佳入	p	ak	4
蘗	邊	嘉佳入	p	ak	4
柏	邊	嘉佳入	p	ak	4
𢹐	邊	嘉佳入	p	ak	4
撦	邊	嘉佳入	p	ak	4
琶	邊	嘉佳	p	a	5
把	邊	嘉佳	p	a	5
耙	邊	嘉佳	p	a	5
爬	邊	嘉佳	p	a	5
𣚒	邊	嘉佳	p	a	5
筢	邊	嘉佳	p	a	5
罷	邊	嘉佳	p	a	7
𠐌	邊	嘉佳	p	a	7
䥯	邊	嘉佳	p	a	7
䎱	邊	嘉佳	p	a	7
矲	邊	嘉佳	p	a	7
䆉	邊	嘉佳	p	a	7
𩹏	邊	嘉佳	p	a	7
白	邊	嘉佳入	p	ak	8
垻	邊	杯盃	p	uoi	3
百	邊	燈庚入	p	eiʔ	4
伯	邊	燈庚入	p	eiʔ	4
白	邊	燈庚入	p	eiʔ	8
𢹐	波	燈庚入	pʰ	eiʔ	4
耞	求	聲正	k	iaŋ	2
跏	求	奇迦	k	ia	1
膠	求	溝勾	k	eu	1
嘉	求	嘉佳	k	a	1
佳	求	嘉佳	k	a	1
加	求	嘉佳	k	a	1
葭	求	嘉佳	k	a	1
家	求	嘉佳	k	a	1
膠	求	嘉佳	k	a	1
耞	求	嘉佳	k	a	1
貑	求	嘉佳	k	a	1
豭	求	嘉佳	k	a	1
跏	求	嘉佳	k	a	1
假	求	嘉佳	k	a	2
嘏	求	嘉佳	k	a	2
賈	求	嘉佳	k	a	2
斝	求	嘉佳	k	a	2
婽	求	嘉佳	k	a	2
徦	求	嘉佳	k	a	2
𪆲	求	嘉佳	k	a	2
價	求	嘉佳	k	a	3
檟	求	嘉佳	k	a	3
假	求	嘉佳	k	a	3
斝	求	嘉佳	k	a	3
駕	求	嘉佳	k	a	3
架	求	嘉佳	k	a	3
嫁	求	嘉佳	k	a	3
稼	求	嘉佳	k	a	3
鉸	求	嘉佳	k	a	3
格	求	嘉佳入	k	ak	4
骼	求	嘉佳入	k	ak	4
隔	求	嘉佳入	k	ak	4
咋	求	嘉佳	k	a	7
咬	求	嘉佳	k	a	7
賈	求	孤姑	k	u	2
隔	求	燈庚入	k	eiʔ	4
格	求	燈庚入	k	eiʔ	4
假	求	燈庚入	k	eiʔ	4
膠	求	郊交	k	au	1
咬	語鳥	郊交	ŋ	au	2
跤	氣悉	嘉佳	kʰ	a	1
㬵	氣悉	嘉佳	kʰ	a	1
㪣	氣悉	嘉佳	kʰ	a	3
客	氣悉	嘉佳入	kʰ	ak	4
客	氣悉	燈庚入	kʰ	eiʔ	4
礁	低聲	嘉佳	t	a	1
打	低聲	嘉佳	t	a	2
鮓	低聲	嘉佳	t	a	2
䠤	低聲	嘉佳	t	a	2
窄	低聲	嘉佳	t	a	3
⿰木篧	低聲	嘉佳	t	a	3
醡	低聲	嘉佳	t	a	3
㡸	低聲	嘉佳	t	a	3
簀	低聲	嘉佳入	t	ak	4
𤖓	低聲	嘉佳入	t	ak	4
茶	低聲	嘉佳	t	a	5
𨃓	低聲	嘉佳	t	a	5
跢	低聲	嘉佳	t	a	7
窄	曾之	嘉佳入	ts	ak	4
窄	曾之	燈庚入	ts	eiʔ	4
簀	曾之	燈庚入	ts	eiʔ	4
脬	波	嘉佳	pʰ	a	1
𥩙	波	嘉佳	pʰ	a	2
怕	波	嘉佳	pʰ	a	3
帕	波	嘉佳	pʰ	a	3
帊	波	嘉佳	pʰ	a	3
𢗌	波	嘉佳	pʰ	a	3
拍	波	嘉佳入	pʰ	ak	4
撲	波	嘉佳入	pʰ	ak	4
攴	波	嘉佳入	pʰ	ak	4
拍	波	燈庚入	pʰ	eiʔ	4
撲	波	釭綱入	pʰ	ouʔ	4
攴	波	釭綱入	pʰ	ouʔ	4
脬	波	郊交	pʰ	au	1
他	他皆	嘉佳	tʰ	a	1
佗	他皆	嘉佳	tʰ	a	1
蚱	他皆	嘉佳	tʰ	a	3
宅	他皆	嘉佳入	tʰ	ak	8
侘	他皆	嘉佳入	tʰ	ak	8
佗	出	嘉佳	tsʰ	a	3
佗	低聲	歌高	t	ɔ	5
他	低聲	歌高	t	ɔ	5
宅	低聲	燈庚入	t	eiʔ	8
宅	他皆	燈庚入	tʰ	eiʔ	8
查	曾之	嘉佳	ts	a	1
渣	曾之	嘉佳	ts	a	1
楂	曾之	嘉佳	ts	a	1
皶	曾之	嘉佳	ts	a	1
𥹁	曾之	嘉佳	ts	a	1
咱	曾之	嘉佳	ts	a	1
䶥	曾之	嘉佳	ts	a	1
奓	曾之	嘉佳	ts	a	1
𠭯	曾之	嘉佳	ts	a	1
早	曾之	嘉佳	ts	a	2
蚤	曾之	嘉佳	ts	a	2
𭥳	曾之	嘉佳	ts	a	2
詐	曾之	嘉佳	ts	a	3
𧧻	曾之	嘉佳	ts	a	3
姹	曾之	嘉佳	ts	a	3
迮	曾之	嘉佳	ts	a	3
䄍	曾之	嘉佳	ts	a	3
蜡	曾之	嘉佳	ts	a	3
乍	曾之	嘉佳	ts	a	3
砟	曾之	嘉佳	ts	a	3
痄	曾之	嘉佳	ts	a	3
績	曾之	嘉佳入	ts	ak	4
仄	曾之	嘉佳入	ts	ak	4
昃	曾之	嘉佳入	ts	ak	4
𩂖	曾之	嘉佳入	ts	ak	4
䶥	曾之	嘉佳	ts	a	5
𪘿	曾之	嘉佳	ts	a	5
乍	曾之	嘉佳	ts	a	7
䄍	曾之	嘉佳	ts	a	7
皶	時授	嘉佳	s	a	1
績	曾之	賓京入	ts	iʔ	4
䄍	曾之	賓京入	ts	iʔ	4
早	曾之	歌高	ts	ɔ	2
蚤	曾之	歌高	ts	ɔ	2
昃	曾之	燈庚入	ts	eiʔ	4
仄	曾之	燈庚入	ts	eiʔ	4
迮	曾之	燈庚入	ts	eiʔ	4
拿	日女	嘉佳	n	a	2
拏	日女	嘉佳	n	a	2
那	日女	嘉佳	n	a	2
𤘅	日女	嘉佳入	n	ak	8
那	日女	歌高	n	ɔ	5
砂	時授	嘉佳	s	a	1
裟	時授	嘉佳	s	a	1
紗	時授	嘉佳	s	a	1
㸺	時授	嘉佳	s	a	1
㠺	時授	嘉佳	s	a	1
魦	時授	嘉佳	s	a	1
𤵌	時授	嘉佳	s	a	1
𪌮	時授	嘉佳	s	a	1
𩊮	時授	嘉佳	s	a	1
髿	時授	嘉佳	s	a	1
桬	時授	嘉佳	s	a	1
𧋊	時授	嘉佳	s	a	1
𠚺	時授	嘉佳	s	a	3
𦼩	時授	嘉佳	s	a	5
呀	鶯亦	奇迦		ia	1
丫	鶯亦	嘉佳		a	1
阿	鶯亦	嘉佳		a	1
呀	鶯亦	嘉佳		a	1
谺	鶯亦	嘉佳		a	1
瘂	鶯亦	嘉佳		a	2
㰳	鶯亦	嘉佳		a	2
拗	鶯亦	嘉佳		a	2
㝞	鶯亦	嘉佳		a	2
𢛟	鶯亦	嘉佳		a	2
亞	鶯亦	嘉佳		a	2
亞	鶯亦	嘉佳		a	3
婭	鶯亦	嘉佳		a	3
下	鶯亦	嘉佳		a	7
婗	鶯亦	嘉佳		a	7
下	非風	嘉佳	h	a	7
阿	鶯亦	歌高		ɔ	1
拗	鶯亦	郊交		au	3
蔴	蒙美	歪乖	m	uai	5
麻	蒙美	歪乖	m	uai	5
嬷	蒙美	嘉佳	m	a	1
媽	蒙美	嘉佳	m	a	2
馬	蒙美	嘉佳	m	a	2
蕒	蒙美	嘉佳	m	a	2
瑪	蒙美	嘉佳	m	a	2
鰢	蒙美	嘉佳	m	a	2
駡	蒙美	嘉佳	m	a	3
𧪨	蒙美	嘉佳	m	a	3
䧞	蒙美	嘉佳	m	a	3
𢉿	蒙美	嘉佳	m	a	3
𥉊	蒙美	嘉佳	m	a	3
蔴	蒙美	嘉佳	m	a	5
麻	蒙美	嘉佳	m	a	5
痳	蒙美	嘉佳	m	a	5
蟇	蒙美	嘉佳	m	a	5
蟆	蒙美	嘉佳	m	a	5
猫	蒙美	嘉佳	m	a	5
貓	蒙美	嘉佳	m	a	5
𥉵	蒙美	嘉佳	m	a	5
𥀏	蒙美	嘉佳	m	a	5
脉	蒙美	嘉佳入	m	ak	8
脈	蒙美	嘉佳入	m	ak	8
霡	蒙美	嘉佳入	m	ak	8
麥	蒙美	嘉佳入	m	ak	8
痳	柳	賓京	l	iŋ	5
脈	蒙美	燈庚入	m	eiʔ	8
脉	蒙美	燈庚入	m	eiʔ	8
麥	蒙美	燈庚入	m	eiʔ	8
貓	蒙美	燒嬌	m	ieu	5
蕒	蒙美	西街	m	ɛ	2
雅	語鳥	嘉佳	ŋ	a	2
蕥	語鳥	嘉佳	ŋ	a	2
㿿	語鳥	嘉佳	ŋ	a	2
牙	語鳥	嘉佳	ŋ	a	5
芽	語鳥	嘉佳	ŋ	a	5
衙	語鳥	嘉佳	ŋ	a	5
齖	語鳥	嘉佳	ŋ	a	5
疨	語鳥	嘉佳	ŋ	a	5
笌	語鳥	嘉佳	ŋ	a	5
𩨠	語鳥	嘉佳	ŋ	a	5
迓	語鳥	嘉佳	ŋ	a	7
御	語鳥	嘉佳	ŋ	a	7
訝	語鳥	嘉佳	ŋ	a	7
砑	語鳥	嘉佳	ŋ	a	7
釾	語鳥	嘉佳	ŋ	a	7
杌	語鳥	嘉佳入	ŋ	ak	8
御	語鳥	須車	ŋ	y	7
杌	鶯亦	光入		uoʔ	8
叉	出	嘉佳	tsʰ	a	1
