汉字	注释	音标
欺		tɕʰi1
起		tɕʰi3
旗		tɕʰi2
记		tɕi5
疑		ȵi2
喜		ɕi3
医		i1
意		i5
以		i3
机		tɕi1
几	~个	tɕi3
气		tɕʰi5
衣		i1
随		sei2
吹		tɕʰy1
规		kuei1
亏		kʰuei1
跪		kʰuei3
毁		xuei3
委		uei3
类		lei6
泪		li6
醉		tsei5=/tɕi5-
追		tsei1
锤		tɕʰy2
帅		sai5
水		suei3=/ɕy3-
龟		kuei1
季		tɕi5
葵		kʰuei2
柜		kʰuei6
位		uei6
飞		fei1
匪		fei3
费		fei5
肥		fei2
尾		uei3=/mi3
味		uei6
归		kuei1
鬼		kuei3
贵		kuei5
魏		uei6
威		uei1
围		uei2
伟		uei3
胃		uei6
宝		pau3
报		pau5
袍		pʰau2
抱		pʰau6
暴		pʰau6
毛		mau2
帽		mau6
刀		tau1
到		tau5
讨		tʰau3
套		tʰau5
桃		tʰau2
道		tʰau6
稻		tʰau6
脑		nau3
牢		lau2
捞		lau1
老		lau3
糟		tsau1
早		tsau3
造		tsʰau6
操	体~	tsʰau1
草		tsʰau3
曹		tsʰau2
造		tsʰau6
臊		sau1
扫	~地	sau5
嫂		sau3
扫	~帚	sau5
高		kau1
稿		kau3
告		kau5
考		kʰau3
靠		kʰau5
熬		ŋau2
傲		ŋau6
好	~坏	xau3
号	~数	xau6
袄		ŋau3
包		pau1
饱		pau3
豹		pau5
炮		pʰau5
跑		pʰau3
猫		mau1
闹		mau6
罩		tsau5
抄		tsʰau1
炒		tsʰau3
巢		tsʰau2
交		tɕiau1
搅		kau3
搞		kau3
教	~育	tɕiau5=/kau5-
咬		ŋau3
孝		ɕiau5
效		ɕiau6
标		piau1
表		piau3
飘		pʰiau1
瓢		pʰiau2
苗		miau2
秒		miau3
庙		miau6
妙		miau6
椒		tɕiau1
消		ɕiau1
小		ɕiau3
笑		ɕiau5
朝	今~	tsau1
超		tsʰau1
潮		tsʰau2
赵		tsʰau6
招		tsau1
照		tsau5
烧		sau1
少	多~	sau3
绍		sau6
饶		nau2
骄		tɕiau1
桥		tɕʰiau2
轿		tɕʰiau6
腰		iau1
要	需~	iau5
摇		iau2
窑		iau2
舀		iau3
耀		iau6
鸟		niau3
钓		tiau5
挑		tʰiau1
跳		tʰiau5
条		tʰiau2
调	音~	tʰiau6
尿		niau6
了		liau3
料		liau6
萧		ɕiau1
缴		tɕiau3
叫		tɕiau5
晓		ɕiau3
亩		məu3
母		mu3=/mo3-
兜		təu1
斗	一~	təu3
斗	~争	təu5
偷		tʰəu1
透		tʰəu5
头		tʰəu2
豆		tʰəu6
楼		ləu2
篓		ləu3
漏		ləu6
走		tsəu3
沟		kəu1
阄		kəu1
狗		kəu3
够		kəu5
口		kʰəu3
扣		kʰəu5
藕		ŋəu3
喉		xəu2
猴		xəu2
后	前~	xəu6
厚		xəu6
呕		ŋəu3
沤		ŋəu5
富		fu5
浮		fəu2
妇		fu6
谋		mau2
矛		mau2=/miau2-
纽		niəu3
流		liəu2
刘		liəu2
留		liəu2
柳		liəu3
酒		tɕiəu3
秋		tɕʰiəu1
就		tɕʰiəu6
修		ɕiəu1
绣		ɕiəu5
袖		tɕʰiəu6
昼		tsəu5
抽		tsʰəu1
绸		tsʰəu2
绉		tsəu5
愁		tsʰəu2
搜		səu1
瘦		səu5
周		tsəu1
州		tsəu1
帚		tsəu3
咒		tsəu5
臭		tsʰəu5
收		səu1
手		səu3
守		səu3
仇		tsʰəu2
受		səu6
寿		səu6
九		tɕiəu3
久		tɕiəu3
救		tɕiəu5
丘		tɕʰiəu1
球		tɕʰiəu2
舅		tɕʰiəu6
旧		tɕʰiəu6
牛		niəu2
休		ɕiəu1
忧		iəu1
有		iəu3
右		iəu6
油		iəu2
彪		piau1
纠		tɕiəu1
幼		iəu5
答		tɑ7
搭		tɑ7
贪		tʰon1
探		tʰon5
踏		tʰɑ7
潭		tʰon2
南		non2
男		non2
纳		nɑ7
参	~加	tsʰon1
蚕		tsʰon2
杂		tsɑ7
感		kon3
鸽		ko7
含		xon2
合		xo7
暗		ŋon5
担	~任	tan1
胆		tan3
担	挑~	tan1
塌		tʰɑ7
塔		tʰɑ7
痰		tʰan2
淡		tʰan6
篮		lan2
腊		lɑ7
蜡		lɑ7
甘		kon1
柑		kon1
敢		kon3
喊		xan3
站	车~	tsan5
赚		tɕʰyan6
斩		tsan3
插		tsʰɑ7
杉		sɑ1
减		tɕiɛn3=/kan3-
咸		xan2
狭		/
衫		san1
甲		tɕiɑ1
衔		ɕiɛn2=/xan2-
舰		tɕiɛn5
鸭		ŋɑ7
压		ŋɑ7
贬		piɛn3
粘	~性	niɛn2
镰		liɛn2
猎		liɛ7
尖		tɕiɛn1
接		tɕiɛ7
签		tɕʰiɛn1
占	~领	tsan5
折	~叠	tsɛ7
闪		san3
染		niɛn3
检		tɕiɛn3
钳		tɕʰiɛn2
验		niɛn6
险		ɕiɛn3
厌		iɛn5
盐		iɛn2
檐		iɛn2
叶		iɛ7
剑		tɕiɛn5
欠		tɕʰiɛn5
严		niɛn2
业		niɛ7
点		tiɛn3
店		tiɛn5
跌		tiɛ7
添		tʰiɛn1
贴		tʰiɛ7
甜		tʰiɛn2
叠		tʰiɛ6
拈		niɛn1
念		niɛn6
兼		tɕiɛn1
谦		tɕʰiɛn1
嫌		ɕiɛn2
协		ɕiɛ6
凡		fan2
犯		fan6
乏		fɑ7
法		fɑ7
泛		fan5
品		pʰin3
林		lin2
笠		li7
粒		li7
浸		tɕin5
集		tɕʰi6
心		ɕin1
寻		tɕʰin2
习		ɕi6
沉		tsʰən2
参	人~	sən1
森		sən1
针		tsən1
汁		tsɿ7
深		sən1
沈		sən3
湿		sɿ7
十		sɿ6
任	责~	nən6
入		ʅ7
金		tɕin1
锦		tɕin3
禁	~止	tɕin5
急		tɕi7
级		tɕi7
琴		tɕʰin2
及		tɕi7
吸		ɕi7
阴		in1
单		tan1
摊		tʰan1
炭		tʰan5
弹	~琴	tʰan2
蛋		tʰan6
达		tʰɑ6
难	~易	nan2
兰		lan2
懒		lan3
烂		lan6
辣		lɑ7
赞		tsan5
餐		tsʰan1
擦		tsʰɑ7
残		tsʰan2
伞		san3
散	分~	san5
肝		kon1
杆		kan3
干	~活	kan5
割		ko7
看	~见	kʰon5
岸		ŋon6
汉		xon5
寒		xon2
旱		xon6
汗		xon6
安		ŋon1
案		ŋon5
扮		pan5
八		pɑ7
办		pʰan6
拔		pʰɑ7
抹		mɑ7
盏		tsan3
铲		tsʰan3
察		tsʰɑ7
山		san1
产		tsʰan3
杀		sɑ7
间	中~	tɕiɛn1=/kan1-
拣		tɕiɛn3=/kan3-
眼		ŋan3
闲		ɕiɛn2=/xan2-
限		ɕiɛn6=/xan6-
苋		xan6
班		pan1
板		pan3
蛮	野~	man2
慢		man6
奸		kan1
颜		iɛn2
瞎		xɑ7
晏	晚也	ŋan5
鞭		piɛn1
变		piɛn5
偏		pʰiɛn1
骗		pʰiɛn5
辩		pʰiɛn6
别		pʰiɛ6
棉		miɛn2
免		miɛn3
面	~上	miɛn6
灭		miɛ7
连		liɛn2
裂		liɛ7
煎		tɕiɛn1
剪		tɕiɛn3
箭		tɕiɛn5
迁		tɕʰiɛn1
浅		tɕʰiɛn3
钱		tɕʰiɛn2
贱		tɕʰiɛn6
仙		ɕiɛn1
癣		ɕiɛn3
线		ɕiɛn5
薛		ɕiɛ7
展		tsan3
缠		tsʰan6
战		tsan5
折	~断	tsɛ7
舌		sɛ6
扇	~子	san5
设		sɛ7
善		san6
折	~本	sɛ6
然		nan2
热		nɛ7
件		tɕʰiɛn6
杰		tɕʰiɛ6
孽		ȵiɛ7
延		iɛn2
演		iɛn3
建		tɕiɛn5
健		tɕʰiɛn6
言		niɛn2
掀		ɕiɛn1
献		ɕiɛ5
歇		ɕiɛ7
边		piɛn1
扁		piɛn3
遍		pʰiɛn5
片		pʰiɛn5
撇		pʰiɛ7=/pʰiɛ-3
辫		pʰiɛn6
面	~条	miɛn6
篾		miɛ7
颠		tiɛn1
天		tʰiɛn1
铁		tʰiɛ7
田		tʰiɛn2
填		tʰiɛn2
电		tiɛn5
垫		tʰiɛn6
年		niɛn2
捏		niɛ7
莲		liɛn2
炼		liɛn6
节		tɕiɛ7
千		tɕʰiɛn1
切		tɕʰiɛ7
前		tɕʰiɛn2
先		ɕiɛn1
肩		tɕiɛn1
见		tɕiɛn5
结		tɕiɛ7
牵		tɕʰiɛn1
现		ɕiɛn6
烟		iɛn1
燕		iɛn5
搬		pon1
半		pon5
潘		pʰon1
判		pʰon5
泼		pʰo7
盘		pʰon2
伴		pʰon6
叛		pʰon5
满		mon3
末		mo7
