字	片	区	小片	方言点	声母	韵母	调值	调类	备注
一	闽中区			明溪(城关话)	0	i	5	入声	
丁	闽中区			明溪(城关话)	t	aiŋ	33	阴平	
七	闽中区			明溪(城关话)	tsʰ	i	31/5	上声/入声	文读，白读。
三	闽中区			明溪(城关话)	s	aŋ	33	阴平	
上	闽中区			明溪(城关话)	s	oŋ	54	阳去	在上。
下	闽中区			明溪(城关话)	x	o	31/54	上声/阳去	下去，下面。
丐	闽中区			明溪(城关话)	k	a	24	阴去	
丑	闽中区			明溪(城关话)	tʰ/tsʰ	iu	31	上声	
且	闽中区			明溪(城关话)	tsʰ	ia	31	上声	
世	闽中区			明溪(城关话)	ʃ	ɿ	24	阴去	
丗	闽中区			明溪(城关话)	ʃ	ɿ	24	阴去	
丙	闽中区			明溪(城关话)	p	ɛŋ	31	上声	
业	闽中区			明溪(城关话)	ŋ	e	54	阳去	
东	闽中区			明溪(城关话)	t	ɤŋ	21	阳平	
丝	闽中区			明溪(城关话)	s	ɿ	33	阴平	
丞	闽中区			明溪(城关话)	s	ɛŋ	21	阳平	
两	闽中区			明溪(城关话)	l	aŋ/ioŋ	21/31	阳平/上声	
严	闽中区			明溪(城关话)	0	ieŋ	21	阳平	
丧	闽中区			明溪(城关话)	s	oŋ	24	阴去	丧失。
中	闽中区			明溪(城关话)	ts	ɤŋ	33	阴平	
丰	闽中区			明溪(城关话)	f	ɤŋ	33	阴平	
临	闽中区			明溪(城关话)	l	ɛŋ	21	阳平	
丸	闽中区			明溪(城关话)	0	ieŋ	21	阳平	
主	闽中区			明溪(城关话)	ts	y	31	上声	
丼	闽中区			明溪(城关话)	ts	iaŋ/ɛŋ	31	上声	文读，白读。
丽	闽中区			明溪(城关话)	l	i	54	阳去	
举	闽中区			明溪(城关话)	k	y	31	上声	
乃	闽中区			明溪(城关话)	l	a	31		
久	闽中区			明溪(城关话)	k	iu	31	上声	
义	闽中区			明溪(城关话)	ŋ	i	54	阳去	
之	闽中区			明溪(城关话)	tʃ	ɿ	33	阴平	
乌	闽中区			明溪(城关话)	0	u	33	阴平	
乍	闽中区			明溪(城关话)	ts	o	24	阴去	
乏	闽中区			明溪(城关话)	f	o	54	阳去	
乐	闽中区			明溪(城关话)	ŋ	ɤ	54	阳去	音乐。
乔	闽中区			明溪(城关话)	kʰ	iau	21	阳平	
乗	闽中区			明溪(城关话)	s	ɛŋ	21	阳平	
乘	闽中区			明溪(城关话)	s	ɛŋ	21	阳平	
乙	闽中区			明溪(城关话)	0	i	5	入声	
九	闽中区			明溪(城关话)	k	iu	31	上声	
乞	闽中区			明溪(城关话)	kʰ	i	5	入声	
也	闽中区			明溪(城关话)	0	ia	31	上声	
习	闽中区			明溪(城关话)	s	i	54	阳去	
乡	闽中区			明溪(城关话)	s	oŋ	33	阴平	
书	闽中区			明溪(城关话)	s	y	33	阴平	
买	闽中区			明溪(城关话)	m	a	31	上声	
乱	闽中区			明溪(城关话)	l				
乳	闽中区			明溪(城关话)	0	y	31	上声	
乾	闽中区			明溪(城关话)	kʰ	ieŋ	21	阳平	
亂	闽中区			明溪(城关话)	l				
了	闽中区			明溪(城关话)	l	au/iau	21/31	上声	
事	闽中区			明溪(城关话)	s	ɿ	54	阳去	
二	闽中区			明溪(城关话)	ŋ	i	54	阳去	
于	闽中区			明溪(城关话)	0	y	33	阴平	
亏	闽中区			明溪(城关话)	kʰ	ue	33	阴平	
云	闽中区			明溪(城关话)	v	ɛŋ	21	阳平	
五	闽中区			明溪(城关话)	ŋ	u	31	上声	
井	闽中区			明溪(城关话)	ts	iaŋ/ɛŋ	31	上声	文读，白读。
亚	闽中区			明溪(城关话)	0	o	24	阴去	
亞	闽中区			明溪(城关话)	0	o	24	阴去	
亡	闽中区			明溪(城关话)	v	oŋ	21	阳平	
交	闽中区			明溪(城关话)	k	au	33	阴平	
亥	闽中区			明溪(城关话)	f	ue	54	阳去	
产	闽中区			明溪(城关话)	s	aŋ	31	上声	
亨	闽中区			明溪(城关话)	pʰ	aiŋ	33	阴平	
享	闽中区			明溪(城关话)	s	oŋ	31	上声	
京	闽中区			明溪(城关话)	k	ɛŋ	33	阴平	
亭	闽中区			明溪(城关话)	tʰ	aiŋ/ɛŋ	31/21	上声/阳平	
亮	闽中区			明溪(城关话)	l	ioŋ	54	阳去	
亿	闽中区			明溪(城关话)	0	i	24	阴去	
仁	闽中区			明溪(城关话)	ŋ	ɛŋ	21	阳平	
仅	闽中区			明溪(城关话)	k	ɛŋ	31	上声	
今	闽中区			明溪(城关话)	k	ɛŋ	33	阴平	
介	闽中区			明溪(城关话)	k	a	24	阴去	
仓	闽中区			明溪(城关话)	tsʰ	oŋ	33	阴平	
仗	闽中区			明溪(城关话)	tsʰ	oŋ	54	阳去	
仙	闽中区			明溪(城关话)	s	ieŋ	33	阴平	
代	闽中区			明溪(城关话)	tʰ	a	54	阳去	
令	闽中区			明溪(城关话)	l	ɛŋ	54	阳去	
以	闽中区			明溪(城关话)	0	i	31	上声	
仰	闽中区			明溪(城关话)	0	ioŋ	31	上声	
件	闽中区			明溪(城关话)	kʰ	ieŋ	54	阳去	
任	闽中区			明溪(城关话)	0	ɛŋ	54	阳去	
仿	闽中区			明溪(城关话)	f	oŋ	31	上声	
企	闽中区			明溪(城关话)	kʰ				
伍	闽中区			明溪(城关话)	ŋ	u	31	上声	
伏	闽中区			明溪(城关话)	pʰ	u	54	阳去	躲。
伐	闽中区			明溪(城关话)	f	o	54	阳去	
休	闽中区			明溪(城关话)	x	iu	33	阴平	
会	闽中区			明溪(城关话)	f	ue	54	阳去	
伞	闽中区			明溪(城关话)	s	uõ	31	上声	
伟	闽中区			明溪(城关话)	v	i	31	上声	
传	闽中区			明溪(城关话)	tsʰ	ieŋ	54	阳去	自传。
伤	闽中区			明溪(城关话)	s	oŋ	33	阴平	
伦	闽中区			明溪(城关话)	l	ɛŋ	21	阳平	
伯	闽中区			明溪(城关话)	p	o/e	31/5	上声/入声	文读，白读。
估	闽中区			明溪(城关话)	k	u	31	上声	
伱	闽中区			明溪(城关话)	l/ŋ	e/i	31	上声	
伴	闽中区			明溪(城关话)	pʰ	uõ	24/54	阴去/阳去	伴工：换工，单字读。
伸	闽中区			明溪(城关话)	s	ɛŋ	33	阴平	
似	闽中区			明溪(城关话)	s	ɿ	54	阳去	
低	闽中区			明溪(城关话)	t	i	33	阴平	
住	闽中区			明溪(城关话)	tʰ/tsʰ	y	24/54	阴去/阳去	文读，白读。
佐	闽中区			明溪(城关话)	ts	ɤ	31	上声	
佗	闽中区			明溪(城关话)	tʰ	ɤ	21	阳平	
佛	闽中区			明溪(城关话)	f	u	54	阳去	
你	闽中区			明溪(城关话)	l/ŋ	e/i	31	上声	
佩	闽中区			明溪(城关话)	pʰ	ue	24	阴去	
佳	闽中区			明溪(城关话)	k	o	33	阴平	
使	闽中区			明溪(城关话)	s	e/ɿ	31	上声	文读，用。
侃	闽中区			明溪(城关话)	kʰ	aŋ	31	上声	
來	闽中区			明溪(城关话)	l	i/a	21	阳平	文读，白读。
侈	闽中区			明溪(城关话)	tʃʰ	ɿ	31	上声	
例	闽中区			明溪(城关话)	l	e/i	54	阳去	
供	闽中区			明溪(城关话)	k	iɤŋ	24	阴去	供品。
依	闽中区			明溪(城关话)	0	i	33	阴平	
