例字	蓉城（客）	蓉城（土）	老洲
菠	po31	po31	po31
跛	po223b	po213	po313
播	po31	po31	po31
坡	po31	po31	po31
破	pʰo33	pʰo33	pʰo44
婆	pʰo223a	pʰo223	pʰo323
摹	mɘɯᵘ223a	mo223	mo323
魔	mo223a	mo223	mo323
磨	mo33	mo33	mo44
朶	to223b	to213	to313
妥	tʰo223b	tʰo213	tʰo313
唾	tʰoʔ5	tʰoʔ5	tʰoʔ5
墮	to33	to33	to44
惰	to33	to33	to44
糯	lo33	lo33	lo44
螺	lo223a	lo31	lo323
裸	lo223b	lo213	lo313
銼	tsʰo33	tsʰo33	tsʰo44
坐	tso33	tso33	tso44
蓑	so31	so31	so31
鎖	so223b	so213	so313
鍋	ko31	ko31	ko31
果	ko223b	ko213	ko313
餜	kʰo31	kʰo31	kʰo31
過	ko33	ko33	ko44
窠	kʰo31	kʰo31	kʰo31
顆	kʰo31	kʰo31	kʰo31
課	kʰo33	kʰo33	kʰo44
訛	ŋo223a	o223	ŋoʔ5
臥	uo33	ŋo33	uo31
伙	xo223b	xo213	xo313
火	xo223b	xo213	xo313
貨	xo33	xo33	xo44
和	xo223a	xo223	xo323
禾	xo223a	xo223	xo323
禍	xo33	xo33	xo44
窩	uo31	ᵘo31	uo31
涴	uo33	uoʔ5	uoʔ5
瘸	tɕʰyei223a	tɕyəʔ5	tʰyeʔ5
靴	ɕyei31	ʃye31	ɕye31
迦	tɕia31	tɕia31	tɕia31
茄	tɕʰie223a	tɕʰyei223	tɕʰie323
多	to31	to31	to31
他	tʰa31	tʰa31	tʰa31
拖	tʰo31	tʰo31	tʰo31
駝	tʰo223a	tʰo223	tʰo323
舵	to33	to33	to44
大	ta33	ta33	ta44
挪	lo223a	lo223	lo323
哪	la223b	la213	la313
那	lei33	laʔ5	la44
囉	lo31	lo31	lo31
籮	lo223a	lo213	lo323
左	tso223b	tso213	tso313
搓	tsʰo31	tsʰo31	tsʰo31
哥	ko31	ko31	ko31
個	ko33	ko33	ko44
可	kʰo223b	kʰo213	kʰo313
鵝	ŋo223a	ŋo31	ŋo323
我	ŋo223b	ŋo213	ŋo313
餓	ŋo33	ŋo33	ŋo44
河	xo223a	xo223	xo323
苛	kʰo31	kʰo31	kʰo31
賀	xo33	xo33	xo44
阿	a31	a31	ʔaʔ5
侉	kʰua223b	kʰua213	kʰua313
傻	sa223b	sa213	sa313
瓜	kua31	kua31	kua31
寡	kua223b	kua213	kua313
誇	kʰua31	kʰua31	kʰua31
瓦	ua223b	ua213	ua313
花	xua31	xua31	xua31
化	xua33	xua33	xua44
華	xua223a	xua223	xua323
蛙	ua31	ua31	ua31
攨	ua33	ua33	ua44
芭	pa31	pa31	pa31
把	pa223b	pa213	pa313
欛	pa33	pa33	pa44
爸	pa31	pa31	pa31
怕	pʰa33	pʰa33	pʰa44
杷	pa31	pa31	pʰa323
爬	pʰa223a	pʰa223	pʰa323
耙	pa33	pa33	pʰa323
麻	ma223a	ma223	ma323
馬	ma223b	ma213	ma313
罵	ma33	ma33	ma44
拿	la223a	la223	la323
茶	tsʰa223a	tsʰa223	tsʰa323
渣	tsa33	tsa31	tsa31
榨	tsa33	tsa33	tsa44
叉	tsʰa31	tsʰa31	tsʰa31
岔	tsʰa33	tsʰa33	tsʰa44
查	tsʰa223a	tsʰa223	tsʰa44
楂	tsa31	tsa31	tsa31
沙	sa31	sa31	sa31
灑	sa223b	sa213	sa313
廈	ɕia33	ɕia33	ɕia44
加	tɕia31	tɕia31	tɕia31
假	tɕia223b	tɕia213	tɕia313
價	tɕia33	tɕia33	tɕia44
牙	ia223a	ia223	ia323
雅	ia223b	ia213	ia313
砑	ŋa33	ia33	ŋa44
訝	ia33	ia33	ia44
蝦	ɕia31	ɕia31	ɕia31
霞	ɕia223a	ɕia223	ɕia323
夏	ɕia33	ɕia33	ɕia44
丫	ia31	ia31	ia31
丫	ŋa31	ŋa31	ŋa31
鴉	ia31	ia31	ia31
鴉	ua31	ua31	ua31
啞	ia223b	ia213	ŋa313
亞	ia33	ia33	ia44
姐	tɕie223b	tɕiɪ213	tɕie313
借	tɕie33	tɕi33	tɕie44
且	tɕʰieʔ5	tɕʰiɪ213	tɕʰie313
笡	tsɛ33	tsɛ33	tsɛ44
藉	tɕiɛ33	tɕi33	tɕie44
寫	ɕie223b	ɕi213	ɕie313
斜	ɕie223a	ɕi223	ɕie323
斜	ɕia223a	ɕia223	ɕia323
謝	ɕie33	ɕi33	ɕie44
爹	tie31	ti31	tie31
㸙	ta31	ta31	ta31
遮	tsei31	tsei31	tse31
者	tsei223b	tsei213	tse313
蔗	tseʔ5	tsəʔ5	tseʔ5
車	tsʰe31	tsʰei31	tsʰe31
扯	tsʰei223b	tsʰei213	tsʰe313
蛇	sei223a	sei223	se323
射	sei33	sei33	se44
賒	sei31	sei31	se31
舍	sei223b	sei213	se313
赦	sei33	səʔ5	seʔ5
佘	sei223b	sei213	se323
社	sei33	sei33	se44
惹	ɞ˞223b	ɹei213	ɞ˞313
爺	ie223a	i223	ie323
野	ie223b	i213	ie313
夜	ie33	i33	ie44
補	pu223b	pu213	pu313
譜	pʰu223b	pʰu213	pʰu313
布	pu33	pu33	pu44
普	pʰu223b	pʰu213	pʰu313
怖	pu33	pu33	pu44
菩	pʰu223a	pʰu223	pʰu323
步	pu33	pu33	pu44
摸	mo31	mo31	mo31
模	mo223a	mo223	mo323
媽	ma31	ma31	ma31
墓	mo33	mo33	mo44
都	tu31	tu31	tɐu31
堵	tu223b	tu213	tɐu313
妒	tu33	tu33	tɐu44
土	tʰɘɯᵘ223b	tʰu213	tʰɐu313
兔	tʰu33	tʰu33	tʰɐu44
圖	tʰu223a	tʰu223	tʰɐu323
杜	tu33	tu33	tɐu44
度	tu33	tu33	tɐu44
奴	lu223a	lu223	lɐu323
努	lu223b	lu213	lɐu313
瀘	y33	lu223	lɐu323
盧	lu223a	lu223	lɐu323
滷	lu223b	lu213	lɐu313
虜	lu223b	lu213	lo313
賂	ləʔ5	loʔ5	loʔ5
露	lu33	lu33	lɐu44
租	tsu31	tsu31	tsɐu31
祖	tsu223b	tsu213	tsɐu313
做	tso33	tso33	tso44
粗	tsʰu31	tsʰu31	tsʰɐu31
醋	tsʰu33	tsʰu33	tsʰɐu44
錯	tsʰo33	tsʰo33	tsʰo44
