"来源"	"《安徽安庆方言同音字汇》，“空岛。”整理修改"
"方言点"	"安徽省安庆市大观区西门"
"方言归属"	"江淮官话黄孝片安庆小片"
"说明"	"音系排列，先以韵母为序，在同韵的字里按声母的顺序排列，声母相同的按声调排列。"
"符号说明"	"“*”表示写不出来的字"
"调值"	"①阴平31 ②阳平35 ③上声213 ④去声51 ⑤入声55"
""	"ɿ"
"ts"	"①资姿咨孜龇兹③子仔姊紫籽梓*(量词:一~毛线)④自字柿"
"tsʰ"	"①疵刺(火星喷冒)差(参差不齐)眙(看:过来~~好东西)②寺词祠瓷慈磁糍辞雌饲③此④次刺(~ 刀)赐伺"
"s"	"①私司丝思撕嘶斯厮鸶师狮似厕｛(白)茅~ ｝③死使驶始史④巳四似肆祀事士仕"
""	"ʅ"
"ʈʂ"	"①之芝支枝肢吱只知蜘梔臟(食用油变质)③止址趾芷只旨指(~导)纸④至志痣制致治窒痔智稚置⑤织汁职直植值殖侄质指(~甲)"
"ʈʂʰ"	"①痴 *(~倒:滑倒)嗤②池匙迟治(~鱼)持③齿耻④赤斥翅⑤尺秩"
"ʂ"	"①施尸诗②时③矢屎始④示式市试世誓势视饰轼是适⑤石湿实拾室失食识什(~锦糖果)十释"
"ʐ"	"⑤日"
""	"i"
"p"	"①屄③比彼鄙④蔽弊蓖避敝毙闭⑤笔鼻碧必逼毕壁辟匕滗璧"
"pʰ"	"①批披劈坯②皮疲(~寒:疟疾)脾啤琵枇匹痹③痞疟④屁僻"
"m"	"①眯咪洱②迷谜猕糜靡③米⑤秘觅蜜密咪"
"t"	"①低堤③底抵④地第帝弟娣递蒂屉⑤的(目~) 滴敌笛迪嫡杓(~耳朵)"
"tʰ"	"①梯②提题蹄啼③体④替剃嚏⑤踢缔(系;绑:~ 鞋带。《广韵》特计切:“结也""。)"
"n"	"②泥尼离梨犁黎篱璃厘③你里理李礼鲤④腻例利丽莉厉励⑤力立历吏荔栗粒痢隶砾栎(~树)笠沥率律泪[(白)眼~]榫(让带水的东西滴干。《集韵》劣戌切:“去滓汁日捧。”)"
"tɕ"	"①鸡机肌饥讥叽基箕姬唧③几挤已纪(~律)④记计纪技季寄纪(姓)技际剂寂忌继妓祭系(~鞋带)⑤急既即积级及极汲激吉脊击圾迹绩辑籍集疾鲫缉"
"tɕʰ"	"①妻期欺戚沏凄嘁蹊栖②其齐骑棋奇祁脐旗芪祈麒鳍荠(荸~) ③起岂启企乞取娶④去(白)器气汽契砌弃⑤七漆柒膝吃"
"ɕ"	"①西稀溪嘻熙希牺兮嘶(大声喊叫)皙茜硒嬉③洗喜禧④戏系(联~ )④细絮婿⑤吸席熄锡息惜习昔析晰悉媳犀蜥蟋"
"Ø"	"①医依衣倚蚁咿揖②移姨咦遗疑颐宜③以已椅尾(狗~巴草)④亿艺意义忆疫毅议⑤一壹逸(~当: 要当)译易益(用处:这东西有么~)"
""	"u"
"p"	"①*（用嘴喷出气体或液体)③补捕④布怖步部埠伏(~鸡:孵小鸡)⑤不"
"pʰ"	"①铺(~ 床)扑漕(液体沸腾溢出)* (泡沫)②仆葡菩匍(~哲)③普谱脯蒲蹼⑤瀑匍(~着:趴着)"
"m"	"③母牡亩拇姆⑤暮墓幕沐牧目木睦穆"
"f"	"①夫(~人)肤敷腐(豆~)孵麸②浮扶俘符③府俯斧辅腐(~败)抚腑阜④副负付妇驸傅(姓)⑤福幅辐蝠 复服腹蝮覆芙附伏(~击)"
"k"	"①姑孤辜咕菇估箍牯(公牛)③古 股鼓④故顾固雇古* (用水、茶等漱口;快速大口喝)⑤谷"
"kʰ"	"①枯骷箍(~个桶;打个~) ②葫(~芦)③苦④库裤酷⑤窟(~凼:小水坑)哭"
"x"	"①呼乎忽* (~他一巴掌:扇他一巴掌)②湖胡糊蝴壶弧狐和(~牌)③虎浒戽(~水)* (推搏)④户互护沪瓠⑤核(桃子~儿)"
"Ø"	"①污乌巫诬呜钨* (灭:灯~掉着)幠(被~)②无吴吾芜梧蜈③五午武伍舞捂鹉妩④误雾悟焐(水~子;~手)恶(可~)⑤物屋兀务"
""	"ʯ"
"n"	"②驴③女旅吕铝屡缕抨④虑滤"
"ʈʂ"	"①朱珠猪诸株诛铢蛛侏居拘车(象棋)②煮主拄嘱瞩举矩沮④住注驻祝柱蛀著据句具俱剧拒距巨惧炬锯飓⑤竹筑逐烛築塞满局聚菊桔橘"
"ʈʂʰ"	"①* (把某物用力塞给某人)区趋驱躯岖②厨橱滁殊渠徐除③处( ~理)鼠储趣④处(到~)⑤出触畜屈曲蛐(~~儿)"
"ʂ"	"①书舒输枢淑虚须需嘘墟③属暑署蜀曙薯许④树竖⑤熟术述(反复念叨)叔赎恕庶墅塾"
"Ø"	"①迂淤②鱼渔于余愉盂愚娱③雨语羽宇屿④与玉芋郁欲浴遇愈御预吁寓誉域裕喻谕育"
""	"a"
"p"	"①巴(嘴~)* (粘贴)爸芭疤粑扒(~开)③把靶④壩坝霸罢⑤八拔捌* (傻不懂事:这人真~ ) 稗"
"pʰ"	"①啪趴琶杷②爬扒(~手)耙④怕"
"m"	"①妈蟆②麻③马码玛蚂④骂⑤抹(~灰;~牌)"
"f"	"②乏⑤发法罚伐筏阀砝"
"t"	"①哒③打④大⑤答达搭瘩耷沓* (踏:脚~板凳上哒~倒:跌倒)"
"tʰ"	"①他她它⑤塔踏塌* (错过:班车~掉着;掉:~一层皮)趿(~子:拖鞋)搨(抹:不要把墨水往墙上~ )遢"
"n"	"①拉垃②拿③哪喇④那⑤辣蜡腊邋瘌纳捺(用力按住)"
"ts"	"⑤砸杂咂匝"
"tsʰ"	"⑤擦"
"s"	"②撒(~水)洒④萨(菩~)靸(~鞋:拖鞋)撒(~气)嗄(声音嘶哑)"
"ʈʂ"	"①查(姓)渣喳楂揸(手~着老大地)砟哆(张口)奓(张开:头发~着)③鲊(~肉 )④绽(衣服~着线)炸榨诈栅乍拃⑤扎闸铡轧(~ 钢)札"
"ʈʂʰ"	"①叉杈差碴馇(~猪食)蹅②查茶搽茬察④岔⑤插查察"
"ʂ"	"①沙纱砂痧裟鲨杉挲母牛③傻④厦⑤杀煞"
"k"	"①家(白)嘎④架(白)嫁(白)⑤夹(白)尬"
"kʰ"	"①咖②蛤(~蟆)跨(~门槛)③卡④跨(~裆:裤裆)⑤掐(~菜)"
"ŋ"	"①鸦(白)丫(白)②伢④轧⑤鸭(白)
"
"x"	"①虾(白)哈③下(身份地位或等级低，品质差)④下(白)⑤瞎"
"Ø"	"①啊阿(~姨)"
""	"ia"
"p"	"①*(拟声词)"
"pʰ"	"①*(一个巴:打~一耳光)"
"t"	"③嗲"
"tɕ"	"①家(文)加稼佳③假贾④架(文)嫁(文)价⑤夹(文)甲"
"ɕ"	"①虾(文)吓②霞 ④下(文)夏厦(~门)⑤辖峡侠狭"
"Ø"	"丫(文)鸦(文)②牙芽④哑⑤压押轧(~棉花)"
""	"ua"
"ʈʂ"	"①抓③爪"
"ʂ"	"③耍⑤刷"
"k"	"①瓜呱③寡④挂褂卦⑤刮括呱"
"kʰ"	"①夸③垮侉剐(铲:把锅~~)挎(划刮;挂:手~了个口子;围巾~树上着)④胯跨(~栏)"
"x"	"①花 *(讨好.哄)②华划(~船) ④话画划计(~化)⑤滑猾"
"Ø"	"①蛙哇剜洼蛙蜗②娃③瓦搲(~米)④搲(拿;取:太高,一不到凹洼)⑤挖袜"
""	"ie"
"p"	"⑤别憋鳖瘪"
"pʰ"	"③瞥⑤撇潎"
"m"	"⑤灭蔑篾"
"t"	"①爹⑤跌(~ 价)叠碟谍蝶喋"
"tʰ"	"⑤铁贴帖"
"n"	"③捩(用力拧扭:~毛巾)咧 *(歪:~嘴)⑤列裂猎烈劣捏(手~子:手帕;~着)聂孽镍蹑镊"
"tɕ"	"①嗟(叹词)③姐④借⑤接节截结洁杰捷揭劫绝"
"tɕʰ"	"②茄③且④切笡(歪斜:桌子有点~)⑤切怯窃妾"
"ɕ"	"①些蝎②斜邪③写④谢卸泄⑤歇屑雪血薛"
"Ø"	"①椰②爷③也野④夜⑤叶页腋噎"
""	"o"
"p"	"①波菠玻卜(萝~ )③跛簸(把沙子~ 掉)④簸(戳~) ⑤薄拨驳博脖勃铂泊搏膊"
"pʰ"	"①坡②婆③剖④破⑤泼迫"
"m"	"①摸(动词;慢,拖拖拉拉)②磨魔膜摩摹模蘑馍谋③母亩拇姆牡 ④磨( ~子口转动:把头~过来)⑤末莫墓"
"f"	"②佛"
"t"	"①多哆③躲④剁跺惰堕舵按拸垛⑤涿(量词:一~水)沰(淋:~雨)裰(缝纫)夺"
"tʰ"	"①拖②驮驼鸵陀③妥椭⑤脱托拓"
"n"	"①哕捋②罗锣骡箩螺萝逻脶(手指纹)③捋⑤乐落(~ 雨)烙洛骆搦(用盐短时腌制蔬菜:~菜)"
"ts"	"③左佐④做坐座⑤作撮(一 ~毛)昨嘬 *"
"tsʰ"	"①撮(~合)搓②痤④错措锉⑤矬(矮~~)"
"s"	"①梭睃(眼珠灵活转动;斜视)③所锁琐⑤索缩唆嗍"
"ʈʂ"	"①啄⑤着(燃烧起来)桌捉镯拙"
"ʈʂʰ"	"③*(挑拨;怂恿)⑤戳绰"
"ʂ"	"⑤硕说(文)烁朔砾"
"ʐ"	"⑤弱"
"k"	"①锅歌哥过③果裹④过个各⑤鸽割搁阁葛郭角"
"kʰ"	"①科棵颗窠③可④课⑤渴壳磕瞌扩廓搉"
"ŋ"	"①阿(~胶)②鹅蛾俄③我④饿⑤恶"
"x"	"①呵②和(~气)河荷禾④货获祸(惹~)贺⑤合盒喝祸(~害)"
"Ø"	"①阿(~弥陀佛)哦(叹词)"
""	"io"
"n"	"⑤箬虐疟略掠(稍微剪短一点儿:把头毛~掉一点)"
"tɕ"	"⑤脚嚼觉(知~)"
"tɕʰ"	"⑤却雀确(的~)"
"ɕ"	"⑤学削"
"Ø"	"①约乐(音~)岳钥药"
""	"uo"
"Ø"	"①窝莴屙蜗涡②讹(相差:~不少;怪罪;蔽诈)⑤卧(~ 铺)浣(不干净;弄脏)"
""	"ɚ"
"Ø"	"②而儿③耳④二"
""	"ɛ"
"p"	"①掰③摆④败拜稗"
"pʰ"	"②排牌④派湃"
"m"	"②埋③买④卖迈脉"
"t"	"①待(待着)呆③逮歹④带代戴待袋贷怠黛"
"tʰ"	"①胎②拾(~水;~头;衬托:这衣服~人)台④太态(~度)泰汰"
"n"	"①奶(~~:祖母)②来莱③奶(牛~ )④耐奈赖癞"
"ts"	"①栽灾栽③宰载崽仔(牛~裤) ④在再"
"tsʰ"	"①猜②才材财裁③踩睬采彩④蔡菜"
"s"	"①腮鳃塞③*(揍:把他~-顿)④赛"
"ʈʂ"	"①斋④寨债"
"ʈʂʰ"	"①差(出~)钗②柴豺"
"ʂ"	"①筛④晒"
"k"	"①该街潜(流淌:汗直~地)③改解(白)④盖钙丐芥戒[(白)~烟]概[(文)~念]"
"kʰ"	"①开③楷凯锴④概(白)"
"ŋ"	"①哀挨(~近)唉(~声叹气)②挨( ~打)癌(文)埃③矮④爱碍艾捱(拖延)"
"x"	"①嗨②孩还鞋③海蟹(~子)④害亥(~时)"
"Ø"	"①唉(叹词,表示叹息)④哎(叹词，表示呼唤、应答、同意等)"
""	"iɛ"
