#i
ɓ［53］比毙［44］弊币被屁备篦
pʰ［22］批披飞［31］皮疲枇［44］票
m［31］谜弥［53］迷米
v［31］维惟唯
ɗ［22］低底［53］抵［44］帝弟第递地
ŋ［31］泥尼［53］女［44］腻
l［31］虑犁黎离篱璃梨狸［53］吕铝栗旅礼荔李里裹理鲤［44］丽隶利痢厘
ts［22］诸诛蛛株朱珠珠具惧知蜘支枝肢资屐［31］驻［53］纸指旨子字止［44］祭际制製紫自至痔治
s［22］需书妻西栖犀施姿咨私师狮尸司丝思诗悉膝［31］徐济齐脐池驰瓷迟屍磁辞词祠祀巳寺嗣时鲥恃［53］世势死［44］序取娶树细誓是氏次四肆屎矢示士仕驶齿试湿
j［22］医衣依［31］儒余馀已鱼渔谊移夷姨疑遗［53］以意［44］亿艺蚁义议椅
k［22］居矩鸡饥肌基机讥饥曲局［53］举寄几己纪记忌枸［44］巨拒距锯拘驹计继柜季
x［22］区驱欺［31］奇骑其棋期旗［53］启器弃起杞气汽［44］去
h［22］嘘虚梯牺熙［31］题提蹄啼［53］许体替剃［44］ 系係

#ɛ
ɓ［44］啤
pʰ［44］废
ɗ［22］爹
ts［22］遮［53］者
s［22］车［31］邪斜［53］拾社［44］在且写泻卸谢
j［44］约夜
k［44］叫

#a
ɓ［22］巴芭疤［53］把［44］霸欛壩坝爸
pʰ［22］琶杷杷［31］爬［53怕帕
m［31］麻痲［53］马码
ɗ［44］大
n［31］拿［53那哪
l［44］拉
ts［22］渣［44］诈榨炸
j［44］鸦丫亚哑
s［22］莎沙纱［31］茶搽楂查
ŋ［31］牙芽衙［53雕

#iɔ
ts［31］蔗
k［22］家加痂嘉傢［44］假架驾嫁稼价卦
h［31］霞瑕遐［44］厦{偏厦，前廊后厦}虾下夏

#ɔ
ɓ［44］波菠薄
pʰ［22］坡破［31］婆
m［22］魔摩馍［31］磨［44］摸
v［31］蛙［53］祸
ɗ［44］多朵躲
n［31］挪［44］糯
l［31］罗锣箩落烙骆酪洛络乐
ts［53］左佐［44］坐座做
s［22］奢赊醋措初楚础梳疏蔬［31］蛇［53］错所
k［22］歌哥戈［53］个
ŋ［31］饿鹅［53］我［44］卧
h［22］拖他［31］河何妥和禾［44］舵荷贺

#uɔ
v［22］窝
ts［44］桌
s［22］梭唆［44］蓑锁琐
k［22］科瓜［53］果［44］过
x［22］夸
h［22］花［31］华［53］货火伙靴［44］化话画

#o
m［53］母牡拇
l［53］耳饵

#u
ɓ［53］补布佛［44］簿
pʰ［22］夫肤敷扶芙［53］铺谱普符［44］部步府腑甫斧脯付赋傅父腐釜
m［31］僵默［44］模幕
v［22］乌污［31］吴梧无［53］五伍午舞务雾侮［44］误悟
ɗ［22］都［44］督
n［31］奴怒
l［31］炉儿［53］鲁［44］路露鹭
ts［22］租猪［53］祖组煮拄柱住主注［44］阻助
s［22］粗苏酥须输［31］除薯厨［53］处鼠恕［44］诉数
k［22］姑孤［53］古牯股鼓故固锢雇顾
x［53］苦裤酷
h［22］呼［31］徒屠途涂图胡湖狐壶葫鬍［53］土吐兔虎浒戽互护［44］肚度渡镀哭

#iei
k［44］尬戒街解蟹

#ai
ɓ［53］摆［44］拜罢败［31］闭
pʰ［31］排牌［44］派拍
m［31］埋［53］谜［44］买卖米{长度单位}
ɗ［44］带戴待代袋［31］歹［53］大{大夫}
n［31］奶［53］乃［44］耐奈
l［31］来［44］赖癞
ts［22］灾栽斋［53］宰［44］载再在债窄剂
s［22］猜钗差［31］才材财裁豺柴［53］彩采菜棌［44］赛筛晒拆
j［31］崖捱
k［22］该皆阶界芥乖［53］盖［44］改概溉慨既
ŋ［22］哀［44］艾碍爱外
x［22］开［53］凯
h［22］胎［31］抬孩鞋［53］海亥害［44］态太泰
ʔ［22］埃挨


#uɔi
v［22］歪
ts［22］追锥
s［22］蓑吹炊［31］揣随垂槌锤谁［53］水［44］帅
k［44］怪［31］拐
x［22］槐［31］癸［44］块快
h［31］怀

#ɔi
ɓ［22］杯碑卑脾悲［44］辈背倍费
pʰ［22］胚非妃翡［31］培陪赔肥［44］配坯佩肺吠丕
m［31］梅枚媒煤眉楣霉［53］美［44］每妹昧尾
v［22］魏倭微［31］危为［53］喂伟委［44］卫伪位味违围胃谓猬
ɗ［22］堆［44］对
n［44］内
l［31］雷［44］累类泪
ts［44］罪嘴醉
s［22］催崔翠［53］瑞［44］碎脆岁税睡粹卒
k［22］圭闺［44］桂

#oi
h［22］盔恢灰辉挥徽［31］回茴［44］退腿会绘汇彙
#ui
j［44］锐
k［22］规归［53］诡跪鬼轨［44］贵
x［22］亏窥

#au
ɓ［22］袍包胞［53］保堡报暴菢饱［44］宝抱豹
pʰ［31］跑刨［53］炮泡
m［31］毛茅卯矛［53］冒帽［44］貌
t［31］祷［44］笊
ɗ［22］兜［53］岛到盗［44］刀叨道
n ［31］ 脑 ［53］ 闹 ［44］ 恼
ts［22］遭糟罩昭招
s［22］操抄梢捎超［31］曹槽朝潮［53］草扫嫂炒吵少［44］糙骚臊造
j［22］邀要腰吆［31］摇舀饶［53］绕
k［22］高膏篙羔糕［31］搅［53］告
ŋ［31］熬藕偶袄［44］傲懊{懊恼}
