参考资料	《建水方言志》《云南方言调查报告》
方言点	云南省红河州建水县临安镇
方言归属	西南官话－云南片－滇南小片
调值	①阴平44②阳平53③上声33④去声212
	̈ɿᵊ
tsɿ ᵊ	①知蜘支枝肢栀资姿脂兹滋之芝这②置汁姪侄质直植脊(～背)③紫纸只姊旨指止址子④自致至字痔治志痣炙蔗
tsʰɿ ᵊ	①雌疵痴嗤此②池驰瓷餐迟慈磁辞词祠持吃③此耻齿④刺赐翅次秩（～序)
sɿ ᵊ	①斯撕施私师狮尸司丝思诗匙（钥～）②矢时湿十拾什实失室适！(～合)③死屎使史驶始④是氏四肆示视嗜似祀已伺寺嗣饲士仕柿事市试侍豉（豆～）适（合～）
zᵊ	②日入（白）
	ɨ
pɨ	①屄②鼻别笔鳖毕必笔(～米汤)荸（～荠）③彼比秕（～谷子)④蔽弊币毙蓖闭辟备被
pʰɨ	①批披匹坯（打～子）②皮疲脾譬（～如)琵枇痹撇（一～一捺）辟僻③鄙撇（～开）④屁
mɨ	①咪眯微（白）②迷弥篾眉没（白）祕秘（一书；～鲁）灭密蜜③米④谜
tɨ	①爹低②叠碟蝶敌滴扚（～头发)的（目～）③底抵④弟第帝地
tʰɨ	①梯剔屉（抽～）②堤提题蹄啼帖贴铁场③体④涕剃替递
nɨ	①的（白）②尼泥呢倪宜谊疑聂镊业捏孽③你女④腻恁
lɨ	①哩②犁梨黎离(～别)璃厘驴猎立粒列烈裂劣栗律③旅礼李里理鲤屦④虑滤例厉励丽隶荔离2（一开一寸)利莉吏
tɕɨ	①居车拘驹鸡稽企（～业)饥肌基几机俱这（白）家（白）②接捷劫集辑急及级杰揭节截即鲫结洁吉绝蕨(～菜)决决疾橘积跡绩菊局脊(～梁骨)③姐举矩挤几（～个人)已纪④借巨拒距锯句具祭际挤剂计继技妓寄记忌季系（～鞋带)
tɕʰɨ	①蛆趋区驱妻欺期骏（黑～）②茄渠瞿齐脐骑歧祁其棋妾切缺七漆膝讫气曲麯③起启岂且取娶④弃契砌器气汽趣荠去（文）
ɕɨ	①些靴虚嘘顺需吁（喘～～）西犀溪栖嘻熙希稀携下（地～）②邪斜徐胁协习袭吸薛歇歇楔雪血穴悉恤昔惜席夕息媳熄锡析色（白）荨（～麻）③写小(～儿；～老二)许洗喜④泻卸谢序叙绪絮细系（关～）戏泄
ʑɨ	①耶迂（人很～）伊医衣依曰②鱼渔于余娱於盂俞渝愉移夷姨饴遗叶页揖（作～)悦月越粤乙一逸噎③也野语与雨宇禹羽椅已以里（～头）④夜御誉予遇寓芋喻裕艺义仪蚁议易异毅玉肆冀翼
	ɯ
pɯ	②不③补捕④部簿布布怖步
pʰɯ	①铺（～设)潽（饭～了）②菩认勃渤朴扑仆卜③脯蒲普谱浦④铺
mɯ	②木目牧穆模③母拇④茂贸
fɯ	①夫肤麸敷②符扶孵佛拂福幅蝠复腹服伏茯③府腑俯抚腐辅斧④父付赋傅附妇负富副赴
vɯ	①乌污巫②吴蜈吾悟杌（马～）物屋③五伍午武舞侮鹉④误悟恶（可～）务雾戍
tɯ	①都(～市)②独读督毒③堵赌肚（猪～）④杜肚(～子疼)妒度渡镀
tʰɯ	②徒屠途涂图突秃③土吐（一痰）④吐（呕～)兔
nɯ	①囡②奴驽③努弩④怒
ǀɯ	①撸②卢炉芦鸬庐鹿禄绿录③鲁掳(～松毛)橹虏卤④路露鹭
tsɯ	①租猪朱蛛珠硃中（人～）②卒浊捉（～猫～人）术（白～)竹筑逐轴祝足烛触蜀属嘱局菊③祖组阻煮主帚④助拄注驻住注蛀铸
tsʰɯ	①粗初(～中)②除锄出族曲畜(～牲)③楚礎杵处（相～)暑鼠拄(～拐棍)④醋处（所）
sɯ	①苏稣梳疏蔬书舒输殊②续戍旭术(～手)述速束肃宿叔淑宿（～舍)栗俗赎属戍③数（～一～)署④数(～目)素诉庶恕竖树塑漱
zɯ	①擩②如入狱欲浴域肉郁育疫辱褥③汝乳儒④儒(～家)
kɯ	①姑孤箍(～桶)锅(～巴)②谷骨③古估牯股鼓盤(～子)④顾故固雇
kʰɯ	①枯②酷哭窟③苦④裤库
xɯ	①呼乎②胡湖糊葫狐壶忽核（果子～）③虎浒④户互护沪
	ɐ
pɐ	①拜③摆④拜败稗
pʰɐ	②牌排③口（两臂左右平伸，两手之间的距离）④派
mɐ	②埋③买④卖
tɐ	①呆③逮歹④待代贷袋带戴载(～重量)
tʰɐ	①胎苔②抬台④泰态太
nɐ	①奶（阿～）③奶乃④耐奈
lɐ	②来③咧（龇牙～嘴）④癞赖
tsɐ	①灾栽斋③宰④在再债寨(～子)
tsʰɐ	①猜钗差（出～)②才材财裁柴豺③採采睬④菜蔡
sɐ	①腮鳃筛④赛晒
kɐ	①该阶街③改解（～开)④盖丐介界戒械届
kʰɐ	①开揩(～干净)③楷凯④概
xɐ	①㰩（篾制的扑蜻蜒用的器具）②孩鞋还（～有)③海蟹④亥害解（姓）
ɣɐ	①唉挨哀②岩捱磑崖③矮蔼④爱艾碍隘
	uɐ
kuɐ	①乖③柺拐（说～了)④怪
kʰuɐ	③块蒯④快筷会（～计)刽(～子手)
xuɐ	②怀淮槐④坏
uɐ	①歪③崴④外
tʃuɐ	③拽④跩
t̠ʃʰuɐ	①揣（～进去)③揣（～摸)④口（恶）
ʃuɐ	①衰③甩④帅
	ɑ
pɑ	①包胞③保宝饱堡④报抱菢（鸡打～）铇雹（冰～）豹暴爆
pʰɑ	①泡（松～)抛②刨袍跑④炮泡（～在水里)
mɑ	①猫毛(～驴)②毛矛茅锚③卯铆④冒帽貌
tɑ	①刀叨③祷岛倒（颠～）④道导稻到倒（～水)盗
tʰɑ	①滔掏萄（葡～）②桃逃淘陶涛③讨④套
nɑ	③脑恼④闹
lɑ	①捞②捞（打～)劳唠牢③老④涝落（莲花）
tsɑ	①遭糟朝（今～）昭招②着(～了)③早找枣蚤澡④皂灶赵罩召照兆诏
tsʰɑ	①操抄钞超②曹槽巢朝(～代)潮③草騲（～马）吵炒④造糙燥躁耖（翻整）觘（狗～的，～人）
sɑ	①骚稍烧捎稍②韶③扫(～地)嫂少（多～)④潲绍邵扫(～帚)少(～年)哨
zɑ	②饶③扰绕（围～）④绕
kɑ	①高膏糕羔③搞镐④告
kʰɑ	①敲③考烤④靠
xɑ	①蒿薅②毫豪壕嚎③好（～坏)④耗号好（爱～）
ɣɑ	①熬（药)②熬③襖④傲奥懊
	iɑ
piɑ	①标彪膘③表婊④嫑
pʰiɑ	①飘鳔②瓢嫖③熛（火～头发）④票漂(～衣裳)
miɑ	①喵猫（白）②瞄苗描③秒渺④庙妙
tiɑ	①刁叼貂雕③屌（蛋）④钓吊掉调（～动)
tʰiɑ	①挑②条调（～和）③调（～头）④跳
niɑ	③鸟④尿（文）
liɑ	②聊疗燎③了(～结)④料廖
tɕiɑ	①交郊胶教(～书)焦蕉椒骄娇浇②嚼(～筋：小气)③绞狡饺搅剿缴矫④轿叫教（～育)觉（睡）
tɕʰiɑ	①跷翘②瞧桥乔③巧④俏窍撬
ɕiɑ	①肖消销宵霄硝箫萧嚣③小（大～)晓④笑孝效校（学～，～对）酵
ʑiɑ	①夭妖邀腰要(～求)幺（～二三)吆②肴摇谣窑姚尧③咬舀④要（重～）耀跃
	ɔ
pɔ	①巴疤芭扒（用手～)②八拔爸③把（一～刀）㞎（屎～～）④霸把（刀～)坝耙罢
pʰɔ	①琶杷钯爬趴②爬扒(～手)④怕帕
mɔ	①妈蟆（癞蛤～）②麻抹(～布)③马码④骂
fɔ	②发罚伐法
vɔ	②袜
tɔ	②答搭打（一～）达③打④大
tʰɔ	①耷（垂下：～耳朵）他（文）②踏塔塌
nɔ	②拿纳④捺
ǀɔ	①拉②辣腊蜡瘌
tsɔ	①楂渣奓(～开嘴)碴②杂眨扎铡炸(～油条)闸轧③拃（一～长）鲊(～肉)④诈榨炸（爆～）乍
tsʰɔ	①叉杈差(～别)②茶搽查插察擦③岔(～巴：爱岔嘴的人)嚓④岔
sɔ	①沙纱杉(～树，～木)萨（菩～）山（～药）②杀撒(～尿)③洒厦（偏～）④撒(～谷壳)
kɔ	①伽③朒④尬
kʰɔ	①拤咖③卡
xɔ	①哈呵（打～欠）②蛤（獭～蟆）④下（打一～；那～）
ɔ	①那（白）
	iɔ
tɕiɔ	①家加嘉傢稼佳②夹裌甲挟③假贾④架驾嫁价
tɕʰiɔ	①掐（～脖子）②洽恰掐④跨（白）
ɕiɔ	①蝦②霞狭瞎④夏下
ʑiɔ	①丫鸦桠挜（～饭)②牙芽衙鸭押压③雅哑④亚
	uɔ
kuɔ	①瓜②刮括聒掴③寡剐④掛褂卦
kʰuɔ	①夸③垮胯④跨（文）
xuɔ	①花②华铧划（～船)桦滑猾④化画话划（计～)
uɔ	①蛙挖②娃哇③瓦搲④窪鸹
tʃuɔ	①抓②膼③爪
ʃuɔ	②刷③耍
	o
po	①波玻②缽拨博薄（厚～）剥缚驳③簸④播薄（～荷）
pʰo	①坡②婆泼③颇剖④破
mo	①摸摩(～登)②魔磨(～刀)模（～范)末沫③抹④磨（石～）幕慕墓募
