音標	調類	調值	
po	2	13	婆
pʰo	7	24	潑
to	7	24	奪
tʰo	7	24	脫托
tso	6	21	坐
so	7	24	索
tsʰo	5	45	錯
ʃo	7	24	削學
ko	7	24	鴿割各郭角
kʰo	7	24	渴闊殼
xo	2	13	河
mo	2	13	磨
ŋo	2	13	鵝
lo	2	13	鑼螺
o	7	24	惡握
po	7	24	簿剝
pʰo	5	45	破薄
to	1	33	多
tʰo	1	33	拖
tso	7	24	作著桌鐲
so	3	41	鎖所
ko	1	33	歌
kʰo	3	41	可
xo	6	21	禍
mo	6	21	磨
ŋo	6	21	餓
lo	7	24	落
to	3	41	躲
tso	3	41	左
so	5	45	勺
ko	3	41	果
kʰo	5	45	課
xo	7	24	盒活鶴霍或
mo	7	24	末木目
ko	5	45	個
xo	3	41	火
mo	1	33	摸
xo	5	45	貨
mo	3	41	母
pu	6	21	步
pʰu	1	33	鋪
fu	2	13	壺
ku	7	24	穀
kʰu	7	24	哭
u	2	13	吳
pu	5	45	布
pʰu	3	41	譜
fu	6	21	戶婦縛
ku	1	33	箍
kʰu	3	41	苦
u	7	24	物屋
fu	7	24	佛福服
ku	3	41	古
kʰu	5	45	褲
u	1	33	烏
fu	3	41	虎府
ku	5	45	過
u	3	41	五武
fu	5	45	付父富副
u	5	45	霧
pi	2	13	皮
pʰi	5	45	屁
ti	6	21	弟遞地
tʰi	7	24	踢
tɕi	2	13	徐騎棋
ɕi	7	24	習吸息惜席錫
tɕʰi	7	24	七
mi	7	24	密
ȵi	2	13	泥
li	2	13	犁梨
i	2	13	移姨
pi	6	21	被
ti	7	24	笛
tʰi	1	33	梯
tɕi	7	24	集急及吉極積擊
ɕi	1	33	西溪希
tɕʰi	3	41	取
mi	3	41	米
ȵi	7	24	日
li	7	24	立栗律力曆
i	7	24	一益
pi	7	24	鼻筆匹逼
ti	1	33	低
tʰi	5	45	剃
tɕi	1	33	雞饑
ɕi	3	41	洗喜
tɕʰi	5	45	契戲器氣
ȵi	5	45	義
li	3	41	李
i	1	33	衣
pi	3	41	比
ti	5	45	遞
tɕi	3	41	幾嘴
ɕi	5	45	系
i	5	45	藝意
tɕi	5	45	寄記季
tɕy	2	13	除渠錘
ɕy	2	13	徐
tɕʰy	7	24	出
ȵy	3	41	女
y	2	13	如魚余
tɕy	6	21	柱住櫃
ɕy	6	21	樹
tɕʰy	1	33	區吹
y	6	21	芋
tɕy	7	24	橘菊局
ɕy	1	33	書輸
y	7	24	入
tɕy	1	33	豬
ɕy	3	41	鼠許水
y	3	41	雨
tɕy	3	41	舉主
ɕy	5	45	豎
y	5	45	遇玉
tɕy	5	45	句劇
pai	2	13	排牌
pʰai	5	45	派
fai	2	13	懷
tai	2	13	台
tʰai	1	33	胎
tsai	2	13	財柴
sai	5	45	曬
tsʰai	5	45	菜
ʃai	1	33	靴
kai	1	33	該街
kʰai	1	33	開
xai	2	13	鞋還
mai	2	13	埋
ŋai	2	13	岩
lai	2	13	來
ai	2	13	兒
pai	3	41	擺
fai	6	21	壞
tai	6	21	大
kai	3	41	改解
xai	6	21	害
mai	3	41	買賣
ŋai	3	41	矮
ai	6	21	二
pai	5	45	拜敗
tai	5	45	帶
kai	5	45	蓋戒
xai	3	41	海蟹
ŋai	5	45	愛
ai	3	41	耳
pei	2	13	賠
pʰei	5	45	配
fei	2	13	回肥
tei	5	45	對
tsei	6	21	罪
sei	2	13	隨
mei	2	13	煤眉
lei	2	13	雷
pei	6	21	背被
fei	6	21	會
tsei	7	24	卒
sei	5	45	碎歲
mei	6	21	妹
lei	3	41	呂
pei	1	33	杯碑
fei	1	33	灰飛
tsei	5	45	醉
lei	5	45	類
pei	5	45	貝幣
fei	5	45	肺費
pæ	7	24	北百白
pʰæ	7	24	拍
tæ	7	24	得
tʰæ	7	24	特
tsæ	7	24	側窄
sæ	7	24	舌設虱失塞色
tsʰæ	7	24	撤賊測拆策
kæ	7	24	格隔
kʰæ	7	24	刻客
xæ	7	24	黑
mæ	7	24	墨麥
ŋæ	7	24	額
pɑ	2	13	爬
fɑ	2	13	華
tɑ	7	24	搭達
tʰɑ	7	24	踏塔
tsɑ	2	13	茶
sɑ	7	24	殺刷石
tsʰɑ	7	24	插擦尺
kɑ	7	24	夾
xɑ	6	21	下
mɑ	6	21	罵
ŋɑ	2	13	牙
lɑ	7	24	蠟辣
pɑ	7	24	八撥
fɑ	6	21	花畫話劃
tɑ	3	41	打
tsɑ	7	24	雜閘紮摘
sɑ	1	33	沙
tsʰɑ	1	33	車
kɑ	5	45	嫁
xɑ	7	24	瞎
mɑ	3	41	馬
ŋɑ	7	24	鴨
lɑ	1	33	拉
pɑ	3	41	把
fɑ	7	24	法發罰
tsʰɑ	5	45	擇
xɑ	1	33	蝦
ŋɑ	3	41	啞
fɑ	1	33	花
fɑ	5	45	化
pɑu	2	13	浮
pʰɑu	5	45	炮
tɑu	2	13	桃
tʰɑu	3	41	討
tsɑu	2	13	朝
sɑu	1	33	燒
tsʰɑu	1	33	抄
kɑu	1	33	高
kʰɑu	1	33	敲
xɑu	6	21	號
mɑu	2	13	毛
ŋɑu	2	13	熬
lɑu	6	21	鬧
pɑu	6	21	抱
tɑu	6	21	道
tsɑu	3	41	早找
sɑu	3	41	嫂
tsʰɑu	3	41	草
kʰɑu	5	45	靠
xɑu	3	41	好
mɑu	6	21	帽
lɑu	3	41	腦老
pɑu	1	33	包
tɑu	1	33	刀
tsɑu	5	45	灶罩照
tsʰɑu	5	45	糙造
mɑu	1	33	貓
pɑu	3	41	寶飽
təɯ	2	13	圖
tʰəɯ	3	41	土
tsəɯ	2	13	鋤綢愁
səɯ	6	21	壽
tsʰəɯ	7	24	族畜
ləɯ	2	13	奴
təɯ	7	24	毒
tʰəɯ	5	45	讀
tsəɯ	7	24	竹粥足燭
səɯ	7	24	宿縮叔熟贖屬
tsʰəɯ	1	33	初抽
ləɯ	6	21	路
təɯ	3	41	賭
tsəɯ	1	33	租州
səɯ	3	41	數手
tsʰəɯ	5	45	湊臭
ləɯ	7	24	鹿六綠
təɯ	5	45	杜
tsəɯ	5	45	做
səɯ	5	45	數
tɛ	2	13	頭
tʰɛ	1	33	偷
tsɛ	3	41	走
sɛ	5	45	瘦
kɛ	1	33	鉤
kʰɛ	3	41	口
xɛ	6	21	後厚
ŋɛ	3	41	藕
lɛ	2	13	樓
tɛ	6	21	袋豆
kɛ	3	41	狗
tɛ	3	41	抖
kɛ	5	45	鋸夠
tsɤ	2	13	折
ɤ	2	13	兒
tsɿ	2	13	池遲祠
sɿ	2	13	時
tsʰɿ	7	24	直
tsɿ	6	21	字
sɿ	6	21	柿事市
tsʰɿ	5	45	刺
tsɿ	7	24	汁侄直織
sɿ	7	24	十實食
tsɿ	1	33	知資
sɿ	1	33	師絲
tsɿ	3	41	紫紙指子
sɿ	3	41	死使
tsɿ	5	45	制治
sɿ	5	45	世四寺試式
sa	2	13	蛇
tʃa	2	13	茄
ʃa	2	13	斜
sa	1	33	杉
tʃa	1	33	抓
ʃa	5	45	謝
sa	5	45	射
tɕio	7	24	腳角
tɕʰio	7	24	雀
io	7	24	弱約藥
pʰiu	5	45	票
