	註釋：-白讀，=文讀
#ɒ	
p	[1]巴芭爸包胞般搬班斑頒扳[3]跛擺飽板版[5]簸佩半粹扮[7]鉢撥
pʰ	[1]潘攀翻-{嘔吐}[2]抱刨盤[3]伴[5]派炮泡剖判叛[6]敗辦=版[7]潑
m	[1]媽□{扶、攙}[2]磨{～刀}摩茅矛饅蠻[3]滿-{形容詞}□{奶奶}[6]漫慢=[7]抹襪□{撥}[8]末
f	[1]歡翻=番[2]懷槐淮帆環煩礬[3]反[5]販[6]壊幻患[7]發={～脾氣}[8]乏伐罰□{～ŋ̍7～：會不會}
v	[1]歪彎灣□{tʃʅ3～好：這麽好}[2]還[3]碗晚挽[6]換萬[7]挖{1}[8]滑猾
t	[1]呆丹單□{蚊子等叮人}[2]□{～～：姐姐}[3]鳥打{1，～獵}[5]戴-{姓}帶釣吊旦
tʰ	[1]拖-{～鞋}他灘攤[2]臺彈{～琴；炸～}□{tʃi7～：這兒}[5]態太泰糶炭[6]大待貸代□{有～mɵˑə2：懷孕}[8]達
n	[2]難{形容同}[5]□{～～崽：疿子}[6]耐奈難{患～}[7]哪□{燙}□{～puei7：怎麽}
l	[1]拉[2]□{故意弄做}蘭攔欄□{hɒ2～：胳肢}[3]了-{做=～～：做完了}懶灡{口～水：口水}□{～fv̩2蜞：螞蟥}[6]頼爛僆{雞～：未下蛋的小母雞}□{栓}□{tʃʰʯ6～：玩兒}□{～tsi5：絲瓜}□{別～sɵˑə2：別人}.[7]癩[8]辣□{kʰɒ8～tsi7：腋下}
ts	[1]災齋□{乾，形容詞}[3]宰爪[5]再載債[8]鍘
tsʰ	[1]搓猜差抄[2]才材時裁殘泉-{～水}□{～目：晃眼}[3]彩採炒鏟[5]蔡[6]在寨□{賺}□{濺}[7]插擦察[8]□{黃～：蟑螂}
s	[1]傻篩珊山□{～酒：斟酒}[2]豺饞□{～飯：撈飯}[3]寫散{鬆開}傘産[5]賽帥散{分～}[7]殺
tʃ	[3]者
k	[1]皆階交郊膠教{～轡}狡[3]解={～釋}攪搞□{～久：剛才}[5]個{一～；～人}介界屆戒械教{～育}校{～對}較{比～}□{更加}[6]□{～裏：那兒}
kʰ	[1]揩[3]凱楷[8]□{～lɒ8tsi7：腋下}□{擁擠}
ŋ	[3]我[8]□{～牙根：咬牙}
h	[2]榫孩□{～lɒ2：胳肢}[3]咬[5]解{姓}酵孝[6]效校{學～}□{給}
ʔ	[3]拗[7]挖{2}劃{～船}
#iɒ	
p	[3]丙餅[5]柄□{kv̩5～～：捉迷藏}[7]壁
pʰ	[2]平-坪[6]病[7]劈
m	[2]名[6]命-
t	[2]□{將熱汁倒來倒去以使之涼}[3]嶺[7]□{一種竹器}
l	[2]□{～舌：舌頭}[7]□{快}
ts	[1]精{漂亮}[3]井[7]跡-{腳～：腳印}借
tsʰ	[1]青-{～苔}[2]斜晴[3]請醒[6]謝{姓}□{～日：昨天}[8]蓆-{草席}□{冷～～：靜悄悄}
s	[2]邪[5]瀉姓[7]惜
ɲ	[2]□{濃；醇}[5]䁐{看}眏{看}
ʃ	[1]兄
j	[2]贏營□{～ji1：蟬（大的）}[3]惹也影={電～}[6]□{～ʒʯ2：蟬（小的）}[8]□{揮手的動作}
k	[1]驚[3]頸[5]鏡[7]隔{1，～壁}□{黏}
kʰ	[1]輕[2]□{扛、抬}[6]□{飯lɤ2～：炊帚}□{跨}[8]屐
#uɒ	
t	[1]端[3]短[5]斷{決～}□{臺階}
tʰ	[1]吞[2]團[6]鍛段
n	[3]暖
l	[2]鸞[3]卵[6]亂
ts	[5]鑽{名詞}
tsʰ	[1]餐汆
s	[1]摔酸[5]算蒜
k	[1]瓜={傻～}乖甘干肝乾官觀關□{不鋒利}[3]寡程趕管館[5]怪幹貫灌罐冠{～軍}慣□{～地pɔŋ3：挖地}[7]刮括
kʰ	[1]誇寬[3]款況[5]塊會{～計}快筷[7]跨闊
ŋ	[2]頑[6]外
h	[2]函鼾寒[3]旱□{岸}[5]憾漢[6]汗焊
ʔ	[1]安鞍[5]按
#ai	
p	[1]背{～東西}[5]貝輩拜逼殯[7]不北腹
pʰ	[2]培陪排牌肥-{胖；動物肥}[3]婦-{新1～：兒媳婦}[6]稗[7]覆[8]蔔
m	[2]埋[3]買母-{舅～}[6]賣[7]脈[8]密-{形容詞}墨默木目牧
f	[2]回茴[6]會{開～}匯[7]福[8]佛或獲複服伏復{恢～}
v	[5]畏[8]物
t	[1]都-{～是-}低知-{ŋ̍7～：非常}[3]底抵[5]戴={動詞}[7]得={～到1}□{剁}
tʰ	[2]啼田-{～雞}[3]弟腿[5]替剃[7]踢[8]突特糴獨讀毒=
n	[2]泥[5]□{躡}[6]內[7]□{摘}
l	[2]犁□{～槌：棒槌}[3]儡[6]□{～tʃʅ1：性行為}[7]𠢠{刺，名詞}□{刺，名詞}[8]鹿祿□{抱}
ts	[1]栽[3]崽[7]卒則責□{一～米：一撮米}
tsʰ	[1]□{趕}[6]罪[7]塞側測廁策冊[8]賊澤擇族□{擦}□{溺}
s	[7]澀蝨色速縮
k	[1]街雞[3]解-{～開}[5]芥[7]結-{繫}格革谷
kʰ	[1]溪[7]刻克
h	[2]鞋[3]蟹[7]黑□{～翼：翅膀}[8]□{tsi8～：堵住}
ʔ	[3]矮[7]屋沃
#ʯai	
tʃ	[7]竹築祝粥燭
tʃʰ	[7]畜{～牲}菊觸曲蓄{～牛：養牛}[8]逐軸局□{發抖}
ɳ	[8]肉玉
ʃ	[7]叔淑[8]熟贖屬
ʒ	[7]育[8]浴
#ʋai	
k	[1]龜歸-{去～：回去}[3]傀跪軌鬼[7]骨國□{竈～前：廚房}
kʰ	[1]魁[6]跪橙[7]窟
#au	
p	[1]波菠玻[3]保堡資[5]報[7]博泊剝駁□{把東西連結}
pʰ	[1]頗拋藨{桑～：桑實}[2]婆浮-{動詞}[3]跑[5]破[6]爆[7]迫拍樸[8]薄{～荷；形容詞}雹
m	[1]毛[2]□{～錢：沒有錢}[3]卯[6]磨{～石：石磨}冒帽貌[7]膜[8]莫陌穆
f	[2]和[3]否[5]貨[6]禍
v	[3]□{哭；鳥鳴}
t	[1]多刀叨[3]禱島倒{臥、躺}到{1，得=～}[5]到{2，～處}[8]□{～藥：研藥}
tʰ	[1]拖={～箱：抽屜}滔掏[2]駝桃陶萄[3]妥橢討[5]套導趟[6]道盜[7]託托[8]□{挑選}
n	[2]□{揉}[3]腦[6]糯鬧[8]諾
l	[1]囉□{鍋巴}□{～𢫦：捱打}[2]羅鑼籮蘿螺勞牢□{～歸-：回家}[3]老[8]落駱洛樂{娛～；音～}
