漢字	IPA	IPA调类	注释
火	fo³⁵	fo3	
伙	fo³⁵	fo3	
鈥	fo³⁵	fo3	
夥	fo³⁵	fo3	
貨	fo⁴⁴³	fo5	
課	fo⁴⁴³	fo5	
騍	fo⁴⁴³	fo5	
科	fo⁴⁵	fo1	
稞	fo⁴⁵	fo1	
蝌	fo⁴⁵	fo1	
悔	foi⁴⁴³	foi5	
晦	foi⁴⁴³	foi5	
喙	foi⁴⁴³	foi5	
灰	foi⁴⁵	foi1	
詼	foi⁴⁵	foi1	
恢	foi⁴⁵	foi1	
奎	foi⁴⁵	foi1	
魁	foi⁴⁵	foi1	
幅	fok⁴⁵	fok7a	
輻	fok⁴⁵	fok7a	
福	fok⁴⁵	fok7a	
蝠	fok⁴⁵	fok7a	
複	fok⁴⁵	fok7a	～习
腹	fok⁴⁵	fok7a	
覆	fok⁴⁵	fok7a	
馥	fok⁴⁵	fok7a	
伏	fok⁵²	fok8	埋～
服	fok⁵²	fok8	
茯	fok⁵²	fok8	
袱	fok⁵²	fok8	
復	fok⁵²	fok8	修～
斛	fok⁵²	fok8	
桓	fɵn²¹	fɵn2	
垣	fɵn²¹	fɵn2	多用于人名
款	fɵn³⁵	fɵn3	
歡	fɵn⁴⁵	fɵn1	
獾	fɵn⁴⁵	fɵn1	
寬	fɵn⁴⁵	fɵn1	
髖	fɵn⁴⁵	fɵn1	
馮	foŋ²¹	foŋ2	
逢	foŋ²¹	foŋ2	
縫	foŋ²¹	foŋ2	
俸	foŋ³⁵	foŋ3	
諷	foŋ⁴⁴³	foŋ5	
豐	foŋ⁴⁵	foŋ1	
風	foŋ⁴⁵	foŋ1	
楓	foŋ⁴⁵	foŋ1	
封	foŋ⁴⁵	foŋ1	
瘋	foŋ⁴⁵	foŋ1	
峰	foŋ⁴⁵	foŋ1	
烽	foŋ⁴⁵	foŋ1	
鋒	foŋ⁴⁵	foŋ1	
蜂	foŋ⁴⁵	foŋ1	
鳳	foŋ⁵²	foŋ6	
奉	foŋ⁵²	foŋ6	
闊	fɵt⁴	fɵt7b	
扶	fu²¹	fu2	
芙	fu²¹	fu2	
符	fu²¹	fu2	
婦	fu²¹	fu2	
撫	fu³⁵	fu3	
斧	fu³⁵	fu3	
府	fu³⁵	fu3	
俯	fu³⁵	fu3	
釜	fu³⁵	fu3	
腑	fu³⁵	fu3	
虎	fu³⁵	fu3	
苦	fu³⁵	fu3	
訃	fu⁴⁴³	fu5	
咐	fu⁴⁴³	fu5	
副	fu⁴⁴³	fu5	
賦	fu⁴⁴³	fu5	
富	fu⁴⁴³	fu5	
戽	fu⁴⁴³	fu5	
庫	fu⁴⁴³	fu5	
褲	fu⁴⁴³	fu5	
夫	fu⁴⁵	fu1	
膚	fu⁴⁵	fu1	
麩	fu⁴⁵	fu1	麦～子
孵	fu⁴⁵	fu1	～鸡仔
敷	fu⁴⁵	fu1	
俘	fu⁴⁵	fu1	
蜉	fu⁴⁵	fu1	黑～酒
乎	fu⁴⁵	fu1	
呼	fu⁴⁵	fu1	
枯	fu⁴⁵	fu1	
輔	fu⁵²	fu6	
腐	fu⁵²	fu6	
父	fu⁵²	fu6	
付	fu⁵²	fu6	
負	fu⁵²	fu6	
附	fu⁵²	fu6	
赴	fu⁵²	fu6	
傅	fu⁵²	fu6	
遐	ha²¹	ha2	
瑕	ha²¹	ha2	
暇	ha²¹	ha2	
霞	ha²¹	ha2	
哈	ha⁴⁵	ha1	
蝦	ha⁴⁵	ha1	
廈	ha⁵²	ha6	
下	ha⁵²	ha6	
夏	ha⁵²	ha6	
孩	hai²¹	hai2	
骸	hai²¹	hai2	
駭	hai²¹	hai2	又读，惊～
嚡	hai²¹	hai2	涩；粗糙，不光滑
偕	hai²¹	hai2	
諧	hai²¹	hai2	
鞋	hai²¹	hai2	
邂	hai²¹	hai2	
蟹	hai²¹	hai2	
兮	hɐi²¹	hɐi2	
奚	hɐi²¹	hɐi2	
嚡	hai³⁵	hai3	嚡～声：叹息、叹气
嗨	hai⁴⁵	hai1	
揩	hai⁴⁵	hai1	
解	hai⁵²	hai6	姓
械	hai⁵²	hai6	
廨	hai⁵²	hai6	
懈	hai⁵²	hai6	
瀣	hai⁵²	hai6	
嘿	hɐi⁵²	hɐi6	语气词
系	hɐi⁵²	hɐi6	
赫	hak⁴⁵	hak7a	
黑	hak⁴⁵	hak7a	
克	hak⁴⁵	hak7a	
刻	hak⁴⁵	hak7a	
客	hak⁴⁵	hak7a	
嚇	hak⁴⁵	hak7a	
鹹	ham²¹	ham2	
含	hɐm²¹	hɐm2	
函	hɐm²¹	hɐm2	
涵	hɐm²¹	hɐm2	
銜	hɐm²¹	hɐm2	
砍	hɐm³⁵	hɐm3	
扻	hɐm³⁵	hɐm3	
喊	ham⁴⁴³	ham5	
堪	hɐm⁴⁴³	hɐm5	
坎	hɐm⁴⁴³	hɐm5	地～
嵌	hɐm⁴⁴³	hɐm5	
酣	hɐm⁴⁵	hɐm1	
憨	hɐm⁴⁵	hɐm1	
勘	hɐm⁴⁵	hɐm1	
