漢字	IPA	IPA调类	注释
亦	jɐt⁵²	jɐt8	
役	jɐt⁵²	jɐt8	
譯	jɐt⁵²	jɐt8	
易	jɐt⁵²	jɐt8	
驛	jɐt⁵²	jɐt8	
軼	jɐt⁵²	jɐt8	
弈	jɐt⁵²	jɐt8	
疫	jɐt⁵²	jɐt8	
逸	jɐt⁵²	jɐt8	
翌	jɐt⁵²	jɐt8	
溢	jɐt⁵²	jɐt8	
蜴	jɐt⁵²	jɐt8	
翼	jɐt⁵²	jɐt8	
柔	jɐu²¹	jɐu2	
揉	jɐu²¹	jɐu2	
悠	jɐu²¹	jɐu2	文，～～
尤	jɐu²¹	jɐu2	
由	jɐu²¹	jɐu2	文，理～
郵	jɐu²¹	jɐu2	
猶	jɐu²¹	jɐu2	
油	jɐu²¹	jɐu2	文
遊	jɐu²¹	jɐu2	
酉	jɐu²¹	jɐu2	文
莠	jɐu²¹	jɐu2	文
誘	jɐu²¹	jɐu2	文
由	jɐu³⁵	jɐu3	文，单用
釉	jɐu³⁵	jɐu3	
幼	jɐu⁴⁴³	jɐu5	文
撓	jau⁴⁵	jau1	单用作动词，用手指在皮肤上抓或搔
丘	jɐu⁴⁵	jɐu1	
休	jɐu⁴⁵	jɐu1	文
優	jɐu⁴⁵	jɐu1	文
優	jɐu⁴⁵	jɐu1	动词，～裤：把裤子往上提
憂	jɐu⁴⁵	jɐu1	文
幽	jɐu⁴⁵	jɐu1	
□	jɔk⁴	jɔk7b	神踱～：呆滞的样子
□	jɔŋ³⁵	jɔŋ3	抖
椰	je²¹	je2	
耶	je²¹	je2	
揶	je²¹	je2	
冶	je²¹	je2	
嘢	je²¹	je2	东西；事情
爺	jɛ²¹	jɛ2	
野	jɛ²¹	jɛ2	文，田～
惹	jɛ³⁵	jɛ3	
兒	ji²¹	ji2	
而	ji²¹	ji2	
爾	ji²¹	ji2	
耳	ji²¹	ji2	
擬	ji²¹	ji2	
儀	ji²¹	ji2	
夷	ji²¹	ji2	
迤	ji²¹	ji2	
飴	ji²¹	ji2	
怡	ji²¹	ji2	
宜	ji²¹	ji2	
貽	ji²¹	ji2	
姨	ji²¹	ji2	
胰	ji²¹	ji2	
移	ji²¹	ji2	
痍	ji²¹	ji2	
頤	ji²¹	ji2	
疑	ji²¹	ji2	
彝	ji²¹	ji2	
已	ji²¹	ji2	
以	ji²¹	ji2	
矣	ji²¹	ji2	
議	ji²¹	ji2	
誼	ji²¹	ji2	
咦	ji⁴⁵	ji1	～口：张嘴露出牙齿
二	ji⁵²	ji6	
貳	ji⁵²	ji6	
義	ji⁵²	ji6	
異	ji⁵²	ji6	
易	ji⁵²	ji6	容～
酹	jim²¹	jim2	
染	jim²¹	jim2	～色
嫌	jim²¹	jim2	～疑
嚴	jim²¹	jim2	
鹽	jim²¹	jim2	
閻	jim²¹	jim2	
簷	jim²¹	jim2	
染	jim³⁵	jim3	污～
淹	jim³⁵	jim3	
掩	jim³⁵	jim3	
厴	jim³⁵	jim3	蟹腹的软盖和螺类介壳口的片状盖
嫌	jim⁴⁴³	jim5	～弃
厭	jim⁴⁴³	jim5	
庵	jim⁴⁵	jim1	
閹	jim⁴⁵	jim1	
奄	jim⁴⁵	jim1	
炎	jim⁵²	jim6	
豔	jim⁵²	jim6	
驗	jim⁵²	jim6	
焰	jim⁵²	jim6	
然	jin²¹	jin2	
燃	jin²¹	jin2	
賢	jin²¹	jin2	
弦	jin²¹	jin2	
涎	jin²¹	jin2	
延	jin²¹	jin2	
言	jin²¹	jin2	
妍	jin²¹	jin2	
沿	jin²¹	jin2	
研	jin²¹	jin2	文
蜒	jin²¹	jin2	
彥	jin²¹	jin2	
衍	jin³⁵	jin3	又读
演	jin³⁵	jin3	
宴	jin⁴⁴³	jin5	
堰	jin⁴⁴³	jin5	
燕	jin⁴⁴³	jin5	
胭	jin⁴⁵	jin1	
煙	jin⁴⁵	jin1	
焉	jin⁴⁵	jin1	
湮	jin⁴⁵	jin1	
咽	jin⁴⁵	jin1	
莧	jin⁵²	jin6	
