	注释：-白读；=文读
#i	
p	[1]卑脾{人体器官}悲琵{～琶}枇{～杷}啤[3]彼鄙{～人}比{～较；手指向某处}庇{包～；～佑}妣{考～；如同考～：形容人愁眉苦脸，好像死了父母}[5]箅{鼎～：箅子}痹{手野～：手麻了；麻～}[6]蔽弊币毙婢备鼻{嗅，用鼻子闻}篦{～梳}被={表被动：～告}
pʰ	[1]披{～肩}疲丕{曹～：人名}脾{～气}皮={调～}螕{牛～：一种附在牛身上的软体吸血虫}[3]匪翡{～翠}[5]鼻{～□iu33：鼻子}疕{伤口结的痂。过～：结痂、长痂}
m	[1]迷糜={～烂}弥猕靡{所向披～}眉楣媚维惟遗唯微-{～笑}[3]米{大米。～囝：一种粳米加工的带馅食品}美[5]眯{～□tɛi33：（眼睛）眯起来}[6]谜{□tsuŋ33～：猜谜}味-{有～：有趣}沕{汆烫食物；～潭：潜水。俗字作“汆”}
t	[1]知痴迟[5]智致稚{幼～}置蒂{～～：瓜果与枝茎相连的部分}[6]地{～下；土～}治={整～；～病}痔{疮尾～：痔疮}
tʰ	[1]堤{～坝}提蜘{～蛛}驰雉{～鸟：雄性长尾野鸡}持[6]□{一种用于包粽子的竹叶：粽～}
n	[1]𪏸{粘。蒲蝇～：捕苍蝇工具}□{粘。蒲蝇～：捕苍蝇工具}[5]□{猫～：家猫}[6]腻{细～：客气，或做事认真}二贰𪏸{形容词，黏}□{形容词，黏}
l	[1]来-{与“去”相对}梨狸{狐～}[3]李里{长度单位}理鲤‖□{□la33～：穿山甲}[5]利{～益；～息}[6]厉利{锋利}痢{病赤～：痢疾}吏莉{茉～}
ts	[1]之膣{～䫌：女阴}[3]只{～有；～是；近指代词，着～：在这里}旨指={手～：戒指；～路明灯}子-{棋～；骰～；～弹；～～：颗粒状的种子；量词，指称能用手掐住的一小束东西（如毛线等）}籽{茶～}止址[5]至志痣[6]自-{～家：自己}字{铜钱卜卦掷出正面}
tsʰ	[1]雌{一决～雄}疵{吹毛求～}鳍{鱼～}鳃{鱼～}‖□{□ŋa-31～：知了，蝉}[5]饲-{喂养（人、动物）：～饭；～羊。～牛囝：放牛娃}试[6]市牸{羊～、牛～：未曾产子的母羊、母牛}□{拍哈～：打喷嚏}
