num	單字	字注	IPA	IPA	声	韵	调	调值
1	巴	巴	pa35	pa35	p	a	1	35
2	芭	芭	pa35	pa35	p	a	1	35
3	疤	疤	pa35	pa35	p	a	1	35
4	吧	吧	pa35	pa35	p	a	1	35
5	爸	爸	pa35	pa35	p	a	1	35
6	把	把	pa32	pa32	p	a	3	32
7	霸	霸	pa52	pa52	p	a	4	52
8	壩	壩	pa52	pa52	p	a	4	52
9	垻	垻	pa52	pa52	p	a	4	52
10	罷	罷	pa52	pa52	p	a	4	52
11	趴	趴	pʰa35	pʰa35	pʰ	a	1	35
12	爬	爬	pʰa21	pʰa21	pʰ	a	2	21
13	琶	琶	pʰa21	pʰa21	pʰ	a	2	21
14	杷	杷	pʰa21	pʰa21	pʰ	a	2	21
15	耙	耙	pʰa21	pʰa21	pʰ	a	2	21
16	罢	罢	pʰa32	pʰa32	pʰ	a	3	32
17	怕	怕	pʰa52	pʰa52	pʰ	a	4	52
18	帕	帕	pʰa52	pʰa52	pʰ	a	4	52
19	媽	媽	ma35	ma35	m	a	1	35
20	媽	媽	ma35	ma35	m	a	1	35
21	馬	馬	ma35	ma35	m	a	1	35
22	碼	碼	ma35	ma35	m	a	1	35
23	孖	孖	ma35	ma35	m	a	1	35
24	麻	麻	ma21	ma21	m	a	2	21
25	痲	痲	ma21	ma21	m	a	2	21
26	蟆	蟆	ma21	ma21	m	a	2	21
27	嫲	嫲	ma21	ma21	m	a	2	21
28	花	花	fa35	fa35	f	a	1	35
29	華	華	fa21	fa21	f	a	2	21
30	華	華	fa21	fa21	f	a	2	21
31	畫	畫	fa32	fa32	f	a	3	32
32	化	化	fa52	fa52	f	a	4	52
33	打	打	ta32	ta32	t	a	3	32
34	他	他	tʰa35	tʰa35	tʰ	a	1	35
35	拿	拿	na21	na21	n	a	2	21
36	乸	乸	na32	na32	n	a	3	32
37	哪	哪	na32	na32	n	a	3	32
38	罅	罅	la52	la52	l	a	4	52
39	家	家	ka35	ka35	k	a	1	35
40	加	加	ka35	ka35	k	a	1	35
41	痂	痂	ka35	ka35	k	a	1	35
42	嘉	嘉	ka35	ka35	k	a	1	35
43	瓜	瓜	ka35	ka35	k	a	1	35
44	假	假	ka32	ka32	k	a	3	32
45	賈	賈	ka32	ka32	k	a	3	32
46	假	假	ka32	ka32	k	a	3	32
47	寡	寡	ka32	ka32	k	a	3	32
48	剮	剮	ka32	ka32	k	a	3	32
49	架	架	ka52	ka52	k	a	4	52
50	駕	駕	ka52	ka52	k	a	4	52
51	嫁	嫁	ka52	ka52	k	a	4	52
52	稼	稼	ka52	ka52	k	a	4	52
53	價	價	ka52	ka52	k	a	4	52
54	掛	掛	ka52	ka52	k	a	4	52
55	卦	卦	ka52	ka52	k	a	4	52
56	卡	卡	kʰa35	kʰa35	kʰ	a	1	35
57	誇	誇	kʰa35	kʰa35	kʰ	a	1	35
58	垮	垮	kʰa32	kʰa32	kʰ	a	3	32
59	跨	跨	kʰa52	kʰa52	kʰ	a	4	52
60	哈	哈	ha35	ha35	h	a	1	35
61	蝦	蝦	ha35	ha35	h	a	1	35
62	瑕	瑕	ha21	ha21	h	a	2	21
63	霞	霞	ha21	ha21	h	a	2	21
64	暇	暇	ha21	ha21	h	a	2	21
65	廈	廈	ha32	ha32	h	a	3	32
66	下	下	ha32	ha32	h	a	3	32
67	夏	夏	ha32	ha32	h	a	3	32
68	牙	牙	ŋa21	ŋa21	ŋ	a	2	21
69	芽	芽	ŋa21	ŋa21	ŋ	a	2	21
70	衙	衙	ŋa21	ŋa21	ŋ	a	2	21
71	瓦	瓦	ŋa32	ŋa32	ŋ	a	3	32
72	雅	雅	ŋa32	ŋa32	ŋ	a	3	32
73	伢	伢	ŋa52	ŋa52	ŋ	a	4	52
74	楂	楂	ʦa35	ʦa35	ʦ	a	1	35
75	渣	渣	ʦa35	ʦa35	ʦ	a	1	35
76	遮	遮	ʦa35	ʦa35	ʦ	a	1	35
77	抓	抓	ʦa35	ʦa35	ʦ	a	1	35
78	者	者	ʦa32	ʦa32	ʦ	a	3	32
79	詐	詐	ʦa52	ʦa52	ʦ	a	4	52
80	榨	榨	ʦa52	ʦa52	ʦ	a	4	52
81	炸	炸	ʦa52	ʦa52	ʦ	a	4	52
82	蔗	蔗	ʦa52	ʦa52	ʦ	a	4	52
83	煠	煠	ʦa52	ʦa52	ʦ	a	4	52
84	叉	叉	ʦʰa35	ʦʰa35	ʦʰ	a	1	35
85	杈	杈	ʦʰa35	ʦʰa35	ʦʰ	a	1	35
86	差	差	ʦʰa35	ʦʰa35	ʦʰ	a	1	35
87	車	車	ʦʰa35	ʦʰa35	ʦʰ	a	1	35
88	賒	賒	ʦʰa35	ʦʰa35	ʦʰ	a	1	35
89	茶	茶	ʦʰa21	ʦʰa21	ʦʰ	a	2	21
90	查	查	ʦʰa21	ʦʰa21	ʦʰ	a	2	21
91	岔	岔	ʦʰa52	ʦʰa52	ʦʰ	a	4	52
92	沙	沙	sa35	sa35	s	a	1	35
93	紗	紗	sa35	sa35	s	a	1	35
94	痧	痧	sa35	sa35	s	a	1	35
95	砂	砂	sa35	sa35	s	a	1	35
96	社	社	sa35	sa35	s	a	1	35
97	蛇	蛇	sa21	sa21	s	a	2	21
98	灑	灑	sa32	sa32	s	a	3	32
99	射	射	sa32	sa32	s	a	3	32
100	麝	麝	sa32	sa32	s	a	3	32
101	捨	捨	sa32	sa32	s	a	3	32
102	赦	赦	sa32	sa32	s	a	3	32
103	灑	灑	sa32	sa32	s	a	3	32
104	射	射	sa32	sa32	s	a	3	32
105	舍	舍	sa52	sa52	s	a	4	52
106	惹	惹	ȵa35	ȵa35	ȵ	a	1	35
107	嘢	嘢	ȵa35	ȵa35	ȵ	a	1	35
108	野	野	ja35	ja35	j	a	1	35
109	爷	爷	ja21	ja21	j	a	2	21
110	夜	夜	ja32	ja32	j	a	3	32
111	也	也	ja52	ja52	j	a	4	52
112	娃	娃	wa35	wa35	w	a	1	35
113	蛙	蛙	wa35	wa35	w	a	1	35
114	阿	阿	a35	a35	∅	a	1	35
115	鸦	鸦	a35	a35	∅	a	1	35
116	哑	哑	a32	a32	∅	a	3	32
117	亚	亚	a52	a52	∅	a	4	52
118	擺	擺	pai32	pai32	p	ai	3	32
119	拜	拜	pai52	pai52	p	ai	4	52
120	排	排	pʰai21	pʰai21	pʰ	ai	2	21
121	牌	牌	pʰai21	pʰai21	pʰ	ai	2	21
122	㵺	㵺	pʰai21	pʰai21	pʰ	ai	2	21
123	敗	敗	pʰai32	pʰai32	pʰ	ai	3	32
124	稗	稗	pʰai32	pʰai32	pʰ	ai	3	32
125	派	派	pʰai52	pʰai52	pʰ	ai	4	52
126	買	買	mai35	mai35	m	ai	1	35
127	埋	埋	mai21	mai21	m	ai	2	21
128	賣	賣	mai32	mai32	m	ai	3	32
129	邁	邁	mai32	mai32	m	ai	3	32
130	懷	懷	fai21	fai21	f	ai	2	21
131	淮	淮	fai21	fai21	f	ai	2	21
132	槐	槐	fai21	fai21	f	ai	2	21
133	還	還	fai21	fai21	f	ai	2	21
134	壞	壞	fai32	fai32	f	ai	3	32
135	獃	獃	tai35	tai35	t	ai	1	35
136	呆	呆	tai35	tai35	t	ai	1	35
137	帶	帶	tai52	tai52	t	ai	4	52
138	戴	戴	tai52	tai52	t	ai	4	52
139	大	大	tʰai32	tʰai32	tʰ	ai	3	32
140	態	態	tʰai52	tʰai52	tʰ	ai	4	52
141	貸	貸	tʰai52	tʰai52	tʰ	ai	4	52
142	太	太	tʰai52	tʰai52	tʰ	ai	4	52
143	泰	泰	tʰai52	tʰai52	tʰ	ai	4	52
144	奶	奶	nai35	nai35	n	ai	1	35
145	哪	哪	nai32	nai32	n	ai	3	32
146	乃	乃	nai32	nai32	n	ai	3	32
147	奶	奶	nai32	nai32	n	ai	3	32
148	捺	捺	nai52	nai52	n	ai	4	52
149	拉	拉	lai35	lai35	l	ai	1	35
150	癩	癩	lai32	lai32	l	ai	3	32
151	賴	賴	lai32	lai32	l	ai	3	32
152	佳	佳	kai35	kai35	k	ai	1	35
153	街	街	kai35	kai35	k	ai	1	35
154	皆	皆	kai35	kai35	k	ai	1	35
155	階	階	kai35	kai35	k	ai	1	35
156	乖	乖	kai35	kai35	k	ai	1	35
157	解	解	kai32	kai32	k	ai	3	32
158	拐	拐	kai32	kai32	k	ai	3	32
159	那	那	kai52	kai52	k	ai	4	52
160	個	個	kai52	kai52	k	ai	4	52
161	介	介	kai52	kai52	k	ai	4	52
162	界	界	kai52	kai52	k	ai	4	52
163	芥	芥	kai52	kai52	k	ai	4	52
164	尬	尬	kai52	kai52	k	ai	4	52
165	疥	疥	kai52	kai52	k	ai	4	52
166	屆	屆	kai52	kai52	k	ai	4	52
167	戒	戒	kai52	kai52	k	ai	4	52
168	怪	怪	kai52	kai52	k	ai	4	52
169	筷	筷	kʰai52	kʰai52	kʰ	ai	4	52
170	快	快	kʰai52	kʰai52	kʰ	ai	4	52
171	塊	塊	kʰai52	kʰai52	kʰ	ai	4	52
172	鞋	鞋	hai21	hai21	h	ai	2	21
173	還	還	hai21	hai21	h	ai	2	21
174	諧	諧	hai21	hai21	h	ai	2	21
175	蟹	蟹	hai32	hai32	h	ai	3	32
176	懈	懈	hai32	hai32	h	ai	3	32
177	涯	涯	ŋai21	ŋai21	ŋ	ai	2	21
178	崖	崖	ŋai21	ŋai21	ŋ	ai	2	21
179	捱	捱	ŋai21	ʦai21	ŋ	ai	2	21
180	我	我	ŋai21	ʦai21	ŋ	ai	2	21
181	挨	挨	ŋai21	ʦai21	ŋ	ai	2	21
182	災	災	ʦai35	ʦai35	ʦ	ai	1	35
183	齋	齋	ʦai35	ʦʰai35	ʦ	ai	1	35
184	債	債	ʦai52	ʦʰai52	ʦ	ai	4	52
185	再	再	ʦai52	ʦʰai52	ʦ	ai	4	52
186	釵	釵	ʦʰai35	ʦʰai35	ʦʰ	ai	1	35
187	差	差	ʦʰai35	ʦʰai35	ʦʰ	ai	1	35
188	猜	猜	ʦʰai35	ʦʰai35	ʦʰ	ai	1	35
189	柴	柴	ʦʰai21	ʦʰai21	ʦʰ	ai	2	21
190	在	在	ʦʰai32	sai32	ʦʰ	ai	3	32
191	寨	寨	ʦʰai32	sai32	ʦʰ	ai	3	32
192	蔡	蔡	ʦʰai52	wai52	ʦʰ	ai	4	52
193	篩	篩	sai35	ai35	s	ai	1	35
194	晒	晒	sai52	ai52	s	ai	4	52
195	歪	歪	wai35	pai35	w	ai	1	35
196	埃	埃	ai35	pai35	∅	ai	1	35
197	挨	挨	ai35	pai35	∅	ai	1	35
198	焙	焙	puai52	pʰuai52	p	uai	4	52
199	背	背	puai52	pʰuai52	p	uai	4	52
200	簸	簸	puai52	pʰuai52	p	uai	4	52
201	胚	胚	pʰuai35	pʰuai35	pʰ	uai	1	35
202	坯	坯	pʰuai35	pʰuai35	pʰ	uai	1	35
203	培	培	pʰuai21	pʰuai21	pʰ	uai	2	21
204	陪	陪	pʰuai21	pʰuai21	pʰ	uai	2	21
205	賠	賠	pʰuai21	pʰuai21	pʰ	uai	2	21
206	倍	倍	pʰuai21	muai21	pʰ	uai	2	21
207	背	背	pʰuai32	muai32	pʰ	uai	3	32
208	吠	吠	pʰuai32	muai32	pʰ	uai	3	32
209	玫	玫	muai21	muai21	m	uai	2	21
210	莓	莓	muai21	muai21	m	uai	2	21
211	梅	梅	muai21	muai21	m	uai	2	21
212	媒	媒	muai21	muai21	m	uai	2	21
213	煤	煤	muai21	fuai21	m	uai	2	21
214	黴	黴	muai21	fuai21	m	uai	2	21
215	妹	妹	muai52	tʰuai52	m	uai	4	52
216	恢	恢	fuai35	tʰuai35	f	uai	1	35
217	灰	灰	fuai35	tʰuai35	f	uai	1	35
218	胎	胎	tʰuai35	tʰuai35	tʰ	uai	1	35
219	梯	梯	tʰuai35	tʰuai35	tʰ	uai	1	35
220	台	台	tʰuai21	tʰuai21	tʰ	uai	2	21
221	臺	臺	tʰuai21	tʰuai21	tʰ	uai	2	21
222	苔	苔	tʰuai21	tʰuai21	tʰ	uai	2	21
223	抬	抬	tʰuai21	tʰuai21	tʰ	uai	2	21
224	待	待	tʰuai32	tʰuai32	tʰ	uai	3	32
225	怠	怠	tʰuai32	nuai32	tʰ	uai	3	32
226	代	代	tʰuai32	nuai32	tʰ	uai	3	32
227	袋	袋	tʰuai32	luai32	tʰ	uai	3	32
228	奈	奈	nuai32	luai32	n	uai	3	32
229	耐	耐	nuai32	kuai32	n	uai	3	32
230	来	来	luai21	kuai21	l	uai	2	21
231	莱	莱	luai21	kuai21	l	uai	2	21
232	該	該	kuai35	kʰuai35	k	uai	1	35
233	改	改	kuai32	kʰuai32	k	uai	3	32
234	蓋	蓋	kuai52	huai52	k	uai	4	52
235	概	概	kʰuai52	huai52	kʰ	uai	4	52
236	钙	钙	kʰuai52	huai52	kʰ	uai	4	52
237	開	開	huai35	huai35	h	uai	1	35
238	海	海	huai32	ŋuai32	h	uai	3	32
239	凱	凱	huai32	ŋuai32	h	uai	3	32
