# 	聲韻 	聲調 	字元 	字數	http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=A
88 	yŋ 	上聲53 	泳, 永, 蛹, 踴, 俑, 詠, 勇, 湧		8
89 	yŋ 	去聲44 	傭, 用		2
90 	pi 	陰平21 	鐴, 逼, 碑, 壁, 筆, 蓖, 必, 畢, 荸		9
91 	pi 	陽平24 	鼻		1
92 	pi 	上聲53 	秕, 比		2
93 	pi 	去聲44 	箅, 備, 鐾, 幣, 背, 斃, 蔽, 閉, 篦, 潷, 被		11
94 	pu 	陰平21 	不		1
95 	pu 	陽平24 	不, 鵓		2
96 	pu 	上聲53 	堡, 補		2
97 	pu 	去聲44 	步, 布, 佈, 部		4
98 	pa 	陰平21 	巴, 把, 鈀, 芭, 八, 疤, 扒, 笆		8
99 	pa 	陽平24 	拔		1
100 	pa 	上聲53 	㞎, 把		2
101 	pa 	去聲44 	爸, 霸, 壩, 灞, 罷, 欛		6
102 	piɛ 	陰平21 	鼈, 憋		2
103 	piɛ 	陽平24 	別		1
104 	po 	陰平21 	撥, 鈸, 鉢, 玻, 博, 剝, 菠, 駁		8
105 	po 	陽平24 	脖, 薄		2
106 	po 	上聲53 	簸, 跛, 播		3
107 	po 	去聲44 	簸		1
108 	pai 	上聲53 	擺		1
109 	pai 	去聲44 	敗, 拜, 稗		3
110 	pei 	陰平21 	百, 伯, 柏, 揹, 北, 擘, 泊		7
111 	pei 	陽平24 	背, 白		2
112 	pei 	上聲53 	迫, 悲		2
113 	pei 	去聲44 	貝, 背, 褙, 焙, 輩		5
114 	pau 	陰平21 	包, 雹, 嫑		3
115 	pau 	陽平24 	刨		1
116 	pau 	上聲53 	寶, 保, 飽		3
117 	pau 	去聲44 	豹, 報, 菢, 暴, 抱, 爆, 刨		7
118 	piau 	陰平21 	蝙, 彪, 標, 臕		4
119 	piau 	上聲53 	裱, 表, 錶		3
120 	pã 	陰平21 	般, 頒, 斑, 扳, 班, 搬		6
121 	pã 	上聲53 	版, 板		2
122 	pã 	去聲44 	伴, 半, 扮, 絆, 畔, 瓣, 辦, 拌		8
123 	piã 	陰平21 	編, 鞭, 邊		3
124 	piã 	上聲53 	扁, 匾, 貶		3
125 	piã 	去聲44 	辨, 辯, 便, 變, 遍, 辮		6
126 	pẽ 	陰平21 	錛, 奔		2
127 	pẽ 	上聲53 	本		1
128 	pẽ 	去聲44 	笨		1
129 	piẽ 	陰平21 	彬, 殯, 賓		3
130 	piẽ 	去聲44 	鬢		1
131 	paŋ 	陰平21 	乓, 幫, 梆, 邦		4
132 	paŋ 	陽平24 	棒		1
133 	paŋ 	上聲53 	綁, 榜		2
134 	paŋ 	去聲44 	磅, 棒, 半		3
135 	pəŋ 	陰平21 	繃, 崩		2
136 	pəŋ 	去聲44 	泵, 迸, 蹦		3
137 	piŋ 	陰平21 	冰, 兵, 乒, 檳		4
138 	piŋ 	上聲53 	餅, 柄, 稟, 秉, 丙		5
139 	piŋ 	去聲44 	並, 併, 病		3
140 	pʰi 	陰平21 	毴, 批		2
141 	pʰi 	陽平24 	痹, 皮, 枇, 疲, 琵, 脾		6
142 	pʰi 	上聲53 	批, 劈, 避, 僻, 匹		5
143 	pʰi 	去聲44 	屁		1
144 	pʰu 	陰平21 	撲, 捕, 脖, 鋪		4
145 	pʰu 	陽平24 	蒲, 菩, 卜, 餑, 葡		5
146 	pʰu 	上聲53 	譜, 脯, 瀑, 普, 圃, 樸		6
147 	pʰu 	去聲44 	鋪		1
148 	pʰa 	陽平24 	爬, 筢, 耙		3
149 	pʰa 	去聲44 	怕		1
150 	pʰiɛ 	陰平21 	撇		1
151 	pʰiɛ 	上聲53 	撇		1
152 	pʰo 	陰平21 	波, 潑, 頗, 坡		4
153 	pʰo 	陽平24 	婆		1
154 	pʰo 	去聲44 	婆, 破		2
155 	pʰai 	陽平24 	排, 牌		2
156 	pʰai 	上聲53 	派, 魄		2
157 	pʰai 	去聲44 	派		1
158 	pʰei 	陰平21 	坯, 披, 杯, 拍		4
159 	pʰei 	陽平24 	賠, 陪		2
160 	pʰei 	上聲53 	佩		1
161 	pʰei 	去聲44 	培, 倍, 配		3
162 	pʰau 	陰平21 	泡, 脬, 拋, 胞		4
163 	pʰau 	陽平24 	跑, 袍		2
164 	pʰau 	上聲53 	跑		1
165 	pʰau 	去聲44 	泡, 薄, 炮		3
166 	pʰiau 	陰平21 	漂, 飄		2
167 	pʰiau 	陽平24 	嫖, 瓢, 瞟		3
168 	pʰiau 	去聲44 	票, 漂		2
169 	pʰã 	陰平21 	潘, 攀		2
170 	pʰã 	陽平24 	盤		1
171 	pʰã 	去聲44 	襻, 判, 盼, 叛		4
172 	pʰiã 	陰平21 	偏		1
173 	pʰiã 	陽平24 	緶, 便		2
174 	pʰiã 	上聲53 	片, 篇		2
175 	pʰiã 	去聲44 	騙		1
176 	pʰẽ 	陰平21 	噴		1
177 	pʰẽ 	陽平24 	盆		1
178 	pʰẽ 	去聲44 	噴		1
179 	pʰiẽ 	陰平21 	姘, 拚		2
180 	pʰiẽ 	陽平24 	頻, 貧		2
181 	pʰiẽ 	上聲53 	品		1
182 	pʰiẽ 	去聲44 	拼, 聘		2
183 	pʰaŋ 	陰平21 	肨		1
184 	pʰaŋ 	陽平24 	傍, 龐, 螃, 旁		4
185 	pʰaŋ 	去聲44 	肨		1
186 	pʰəŋ 	陰平21 	烹		1
187 	pʰəŋ 	陽平24 	朋, 膨, 蓬, 棚, 篷, 彭, 鵬		7
188 	pʰəŋ 	上聲53 	捧		1
189 	pʰəŋ 	去聲44 	碰		1
190 	pʰiŋ 	陽平24 	平, 評, 屏, 瓶, 憑, 坪, 萍		7
191 	mi 	陰平21 	蜜, 密, 祕, 泌, 瞇		5
192 	mi 	陽平24 	迷, 糜, 眉, 縻, 䉲, 彌, 郿		7
193 	mi 	上聲53 	米		1
194 	mi 	去聲44 	瞇, 郿, 謎, 咪		4
195 	mu 	陰平21 	牧, 木, 穆, 苜, 目		5
196 	mu 	陽平24 	模, 謀		2
197 	mu 	上聲53 	模, 畝, 母, 某, 牡		5
198 	mu 	去聲44 	幕, 慕, 木, 募, 墓		5
199 	ma 	陰平21 	抹, 媽		2
200 	ma 	陽平24 	媽, 麻, 螞, 痲		4
201 	ma 	上聲53 	螞, 馬, 碼		3
202 	ma 	去聲44 	罵		1
203 	miɛ 	陰平21 	滅, 覓		2
204 	mo 	陰平21 	摸, 茉, 沒, 末, 莫		5
205 	mo 	陽平24 	魔, 摩, 模, 磨, 蘑		5
206 	mo 	上聲53 	漠, 抹		2
207 	mo 	去聲44 	磨, 沫, 耱, 饃		4
208 	mai 	陽平24 	埋		1
209 	mai 	上聲53 	買		1
210 	mai 	去聲44 	邁, 賣		2
211 	mei 	陰平21 	默, 脈, 麥, 陌		4
212 	mei 	陽平24 	墨, 黴, 煤, 媒, 梅		5
213 	mei 	上聲53 	每, 美		2
214 	mei 	去聲44 	妹, 昧		2
215 	mau 	陰平21 	摸		1
216 	mau 	陽平24 	貓, 毛, 錨, 矛, 茅		5
217 	mau 	上聲53 	卯		1
218 	mau 	去聲44 	帽, 貌, 冒, 貿, 茂		5
219 	miau 	陽平24 	描, 苗, 矛		3
220 	miau 	上聲53 	秒		1
221 	miau 	去聲44 	廟, 妙		2
222 	mã 	陽平24 	蔓, 鞔, 饅, 瞞, 埋, 蠻		6
223 	mã 	上聲53 	滿		1
224 	mã 	去聲44 	蔓, 漫, 慢, 墁, 曼		5
225 	miã 	陽平24 	棉, 眠, 綿		3
226 	miã 	上聲53 	免, 勉, 緬		3
227 	miã 	去聲44 	面, 麵		2
228 	mẽ 	陰平21 	燜		1
229 	mẽ 	陽平24 	門		1
230 	mẽ 	去聲44 	燜, 拇, 悶		3
231 	miẽ 	陽平24 	抿, 民		2
232 	miẽ 	上聲53 	憫, 敏, 抿, 閩		4
233 	maŋ 	陽平24 	忙, 芒, 盲, 茫		4
234 	maŋ 	上聲53 	莽, 蟒		2
235 	məŋ 	陰平21 	蒙		1
236 	məŋ 	陽平24 	虻, 盟, 蒙, 萌		4
237 	məŋ 	上聲53 	猛, 蠓		2
238 	məŋ 	去聲44 	夢, 孟		2
239 	miŋ 	陽平24 	銘, 明, 名, 鳴		4
240 	miŋ 	去聲44 	命		1
241 	pfu 	陰平21 	珠, 硃, 朱, 諸, 竹, 蛛, 囑, 豬		8
242 	pfu 	陽平24 	逐, 觸, 軸, 築		4
243 	pfu 	上聲53 	主, 柱, 煑		3
244 	pfu 	去聲44 	箸, 苎, 著, 柱, 助, 炷, 鑄, 駐, 蛀, 注, 註, 住		12
245 	pfa 	陰平21 	抓		1
246 	pfa 	上聲53 	爪		1
247 	pfo 	陰平21 	捉, 桌, 拙		3
248 	pfo 	陽平24 	着		1
249 	pfei 	陰平21 	追, 錐		2
250 	pfei 	去聲44 	, 贅, 墜		3
251 	pfã 	陰平21 	磚, 專		2
252 	pfã 	上聲53 	轉		1
253 	pfã 	去聲44 	傳, 篆, 轉, 撰		4
254 	pfẽ 	陽平24 	衠		1
255 	pfẽ 	上聲53 	準, 准		2
256 	pfaŋ 	陰平21 	莊, 樁, 裝		3
257 	pfaŋ 	去聲44 	壯, 狀		2
258 	pfəŋ 	上聲53 	種, 腫		2
259 	pfəŋ 	去聲44 	終, 衷, 眾, 鐘, 鍾, 仲, 重, 盅, 中, 種, 中, 忠		12
260 	pfʰu 	陰平21 	初, 畜, 出		3
261 	pfʰu 	陽平24 	儲, 除, 廚, 鋤, 櫥		5
262 	pfʰu 	上聲53 	處, 褚		2
263 	pfʰo 	陰平21 	綽, 戳		2
264 	pfʰo 	陽平24 	着		1
265 	pfʰai 	陰平21 	揣		1
266 	pfʰai 	上聲53 	揣		1
267 	pfʰai 	去聲44 	膪		1
268 	pfʰei 	陰平21 	炊, 吹		2
269 	pfʰei 	陽平24 	錘, 垂, 捶, 槌		4
270 	pfʰei 	上聲53 	捶		1
271 	pfʰã 	陰平21 	川, 穿		2
272 	pfʰã 	陽平24 	椽, 傳		2
273 	pfʰã 	上聲53 	喘		1
274 	pfʰã 	去聲44 	篡, 串		2
275 	pfʰẽ 	陰平21 	椿, 春		2
276 	pfʰẽ 	陽平24 	純		1
277 	pfʰẽ 	上聲53 	蠢		1
278 	pfʰaŋ 	陰平21 	窗, 瘡		2
279 	pfʰaŋ 	陽平24 	牀		1
280 	pfʰaŋ 	上聲53 	創, 闖		2
281 	pfʰaŋ 	去聲44 	撞		1
282 	pfʰəŋ 	陰平21 	衝, 充		2
283 	pfʰəŋ 	陽平24 	重, 崇, 蟲		3
284 	pfʰəŋ 	上聲53 	充, 寵		2
285 	pfʰəŋ 	去聲44 	衝		1
286 	fi 	陰平21 	妃, 飛, 非		3
287 	fi 	陽平24 	肥		1
288 	fi 	上聲53 	匪, 疿		2
289 	fi 	去聲44 	廢, 肺, 費, 稅		4
290 	fu 	陰平21 	輸, 輻, 複, 幅, 福, 覆, 復, 樞, 麩, 叔, 夫, 梳, 蔬, 書		14
291 	fu 	陽平24 	服, 浮, 熟, 俘, 符, 扶, 術, 伏, 殊, 訃, 贖, 朮		12
292 	fu 	上聲53 	暑, 鼠, 否, 斧, 腐, 俯, 腑, 府, 署, 腹, 膚, 屬, 數		13
293 	fu 	去聲44 	負, 婦, 副, 幅, 富, 樹, 數, 付, 輔, 父, 豎, 附		12
294 	fa 	陰平21 	發, 法, 髮, 刷		4
295 	fa 	陽平24 	伐, 罰, 乏		3
296 	fa 	上聲53 	耍		1
297 	fo 	陽平24 	彿, 芍, 佛, 勺, 縛		5
298 	fo 	上聲53 	所		1
299 	fai 	陰平21 	衰		1
300 	fai 	上聲53 	甩		1
301 	fai 	去聲44 	帥, 率		2
302 	fei 	陰平21 	摔		1
303 	fei 	上聲53 	水, 翡		2
304 	fei 	去聲44 	睡, 瑞		2
305 	fã 	陰平21 	拴, 帆, 翻, 反, 番		5
306 	fã 	陽平24 	礬, 煩, 船, 繁, 凡		5
307 	fã 	上聲53 	返, 反		2
308 	fã 	去聲44 	泛, 犯, 閂, 飯, 涮, 范, 販, 範		8
309 	fẽ 	陰平21 	紛, 芬, 分		3
310 	fẽ 	陽平24 	焚, 墳, 唇		3
311 	fẽ 	上聲53 	粉		1
312 	fẽ 	去聲44 	順, 奮, 憤, 忿, 糞, 舜, 份		7
313 	faŋ 	陰平21 	方, 霜, 雙, 枋		4
314 	faŋ 	陽平24 	防, 妨, 房		3
315 	faŋ 	上聲53 	彷, 仿, 紡, 倣, 訪, 爽, 芳		7
316 	faŋ 	去聲44 	放, 雙		2
317 	fəŋ 	陰平21 	灃, 諷, 蜂, 封, 豐, 瘋, 風		7
318 	fəŋ 	陽平24 	縫, 馮, 峯, 鋒, 逢		5
319 	fəŋ 	去聲44 	奉, 縫, 鳳, 俸		4
320 	vi 	陽平24 	維, 微, 唯		3
321 	vi 	去聲44 	未, 味		2
322 	vu 	陰平21 	入, 褥		2
323 	vu 	陽平24 	儒, 如, 無		3
324 	vu 	上聲53 	乳, 撫, 鵡, 侮, 武, 舞		6
325 	vu 	去聲44 	戊, 霧, 務		3
326 	va 	陰平21 	襪		1
327 	va 	陽平24 	挼		1
328 	vo 	陰平21 	勿, 物, 若		3
329 	vo 	陽平24 	弱		1
330 	vei 	去聲44 	銳, 蘂		2
331 	vã 	陽平24 	頑		1
332 	vã 	上聲53 	晚, 阮, 惋, 軟, 挽, 婉, 綰		7
333 	vã 	去聲44 	腕, 蔓, 萬		3
334 	vẽ 	陽平24 	文, 聞, 紋, 蚊		4
335 	vẽ 	去聲44 	璺, 問, 閏, 潤		4
336 	vaŋ 	陽平24 	亡, 芒		2
337 	vaŋ 	上聲53 	網, 往		2
338 	vaŋ 	去聲44 	望, 妄, 往		3
339 	vəŋ 	陽平24 	茸, 仍, 戎, 絨		4
340 	ti 	陰平21 	的, 低, 滴		3
341 	ti 	陽平24 	敵, 狄, 笛		3
342 	ti 	上聲53 	抵, 底		2
343 	ti 	去聲44 	地, 帝, 弟, 第, 遞		5
344 	tu 	陰平21 	督, 嘟, 都		3
345 	tu 	陽平24 	毒, 讀, 獨		3
346 	tu 	上聲53 	堵, 肚, 賭		3
347 	tu 	去聲44 	杜, 肚, 鍍, 度, 渡		5
348 	ta 	陰平21 	答, 搭, 褡, 耷		4
349 	ta 	陽平24 	達		1
350 	ta 	上聲53 	打		1
351 	ta 	去聲44 	大		1
352 	tiɛ 	陰平21 	跌, 爹, 滴		3
353 	tiɛ 	陽平24 	諜, 疊, 碟, 咥, 挃		5
354 	tuo 	陰平21 	多		1
355 	tuo 	陽平24 	多, 奪		2
356 	tuo 	上聲53 	朶, 躱		2
357 	tuo 	去聲44 	大, 馱, 刴		3
358 	tai 	陰平21 	逮		1
359 	tai 	上聲53 	歹		1
360 	tai 	去聲44 	代, 貸, 帶, 戴, 待, 怠, 袋		7
361 	tei 	陰平21 	得, 德		2
362 	tei 	陽平24 	得		1
363 	tuei 	陰平21 	堆		1
364 	tuei 	去聲44 	兌, 隊, 對		3
365 	tau 	陰平21 	叨, 刀		2
366 	tau 	上聲53 	島, 倒, 禱, 搗, 導		5
367 	tau 	去聲44 	到, 道, 鑄, 盜		4
368 	tiau 	陰平21 	刁, 貂, 雕		3
369 	tiau 	陽平24 	藋		1
370 	tiau 	去聲44 	弔, 調, 釣, 掉		4
371 	tou 	陰平21 	兜, 都		2
372 	tou 	陽平24 	都		1
373 	tou 	上聲53 	抖, 斗, 陡		3
374 	tou 	去聲44 	鬥, 痘, 豆, 逗		4
375 	tiou 	陰平21 	丟		1
376 	tã 	陰平21 	耽, 擔, 單, 丹		4
377 	tã 	上聲53 	撣, 膽		2
378 	tã 	去聲44 	旦, 但, 彈, 石, 擔, 淡, 蛋, 啖		8
379 	tiã 	陰平21 	顛, 掂		2
380 	tiã 	上聲53 	典, 點		2
381 	tiã 	去聲44 	店, 殿, 奠, 墊, 澱, 電		6
382 	tuã 	陰平21 	端		1
383 	tuã 	上聲53 	短		1
384 	tuã 	去聲44 	段, 鍛, 緞, 斷		4
385 	tuẽ 	陰平21 	敦, 墩		2
386 	tuẽ 	上聲53 	躉, 盹		2
387 	tuẽ 	去聲44 	遁, 燉, 鈍, 盾, 囤, 扽, 頓		7
388 	taŋ 	陰平21 	當, 襠		2
389 	taŋ 	上聲53 	黨		1
390 	taŋ 	去聲44 	宕, 當, 擋, 黨, 蕩		5
391 	təŋ 	陰平21 	登, 蹬, 燈		3
392 	təŋ 	上聲53 	等, 戥		2
393 	təŋ 	去聲44 	澄, 凳, 鐙, 瞪, 鄧		5
394 	tiŋ 	陰平21 	疔, 丁, 釘		3
395 	tiŋ 	陽平24 	盯		1
396 	tiŋ 	上聲53 	鼎, 頂		2
397 	tiŋ 	去聲44 	訂, 釘, 定, 錠		4
398 	tuŋ 	陰平21 	東, 冬		2
399 	tuŋ 	上聲53 	懂, 董		2
400 	tuŋ 	去聲44 	凍, 動, 棟, 洞		4
401 	tʰi 	陰平21 	踢, 梯		2
402 	tʰi 	陽平24 	提, 啼, 題, 堤, 蹄		5
403 	tʰi 	上聲53 	體		1
404 	tʰi 	去聲44 	剃, 惕, 替		3
405 	tʰu 	陰平21 	禿		1
406 	tʰu 	陽平24 	徒, 屠, 圖, 塗, 途		5
407 	tʰu 	上聲53 	土, 突, 吐		3
408 	tʰu 	去聲44 	兔		1
409 	tʰa 	陰平21 	塔, 搨, 他, 溻, 塌		5
410 	tʰa 	陽平24 	踏, 沓		2
411 	tʰiɛ 	陰平21 	鐵, 貼, 帖		3
412 	tʰuo 	陰平21 	拖, 託, 脫, 托, 庹		5
413 	tʰuo 	陽平24 	砣, 馱, 坨		3
414 	tʰuo 	上聲53 	妥		1
415 	tʰuo 	去聲44 	唾		1
416 	tʰai 	陰平21 	胎		1
417 	tʰai 	陽平24 	臺, 抬, 薹		3
418 	tʰai 	去聲44 	泰, 態, 太		3
419 	tʰei 	陽平24 	特		1
420 	tʰuei 	陰平21 	推		1
421 	tʰuei 	上聲53 	腿		1
422 	tʰuei 	去聲44 	蛻, 褪, 退		3
423 	tʰau 	陰平21 	濤, 掏, 滔		3
424 	tʰau 	陽平24 	桃, 陶, 淘, 逃		4
425 	tʰau 	上聲53 	䵚, 稻, 討		3
426 	tʰau 	去聲44 	套		1
427 	tʰiau 	陰平21 	挑		1
428 	tʰiau 	陽平24 	笤, 調, 條, 跳		4
429 	tʰiau 	上聲53 	挑		1
430 	tʰiau 	去聲44 	跳, 糶		2
431 	tʰou 	陰平21 	偷		1
432 	tʰou 	陽平24 	投, 頭		2
433 	tʰou 	去聲44 	透		1
434 	tʰã 	陰平21 	貪, 攤, 灘		3
435 	tʰã 	陽平24 	壇, 檀, 彈, 痰, 談, 譚, 潭, 罈		8
436 	tʰã 	上聲53 	坦, 癱, 毯		3
437 	tʰã 	去聲44 	探, 炭, 嘆		3
438 	tʰiã 	陰平21 	添, 天		2
