#a		①阴平31 ②阳平455 ③上声13 ⑤阴去24 ⑥阳去33 ⑦入声52
p	①巴芭疤爸粑③把[一把，把柄]靶⑤霸壩堤坝平川⑥罢[不来就罢]耙犁耙⑦八叭	参考资料：张家异《黄梅小池方言语音研究》
pʰ	①扒[扒开]②钯[钉钯]爬琶[琵琶]杷[枇杷]⑤怕帕⑥罢[罢官]拔	
m	①妈[母亲]把[给]②麻痲蟆[蝦蟆]③马码妈[妻子]⑤把[把柄]⑥骂⑦抹[抹布，抹石灰]袜[手套，手袜]	
f	⑥乏罚筏伐⑦法發	
t	③沓打⑤大[大姐，妇女称呼陌生同辈]⑦褟答搭跌达	
tʰ	①他⑥踏榻⑦塌塔	
n	⑤那⑥捺[摁]⑦纳捺[撇捺]	
l	①拉⑦蜡腊辣癞	
ts	①查[山查]渣⑤诈榨炸[炸弹]乍⑥茬⑦杂劄眨闸炸[用油炸]扎紥铡	
tsʰ	①叉杈差[差别，差不多]②茶搽查[调查]⑤岔⑦插擦	
s	①沙纱杉③傻洒[新]撒[撒手]⑦萨杀	
tʂ	①遮⑤蔗	
tʂʰ	①车[老，马车]③扯捨	
ʂ	①赊佘②蛇⑥射[老]社[社庙]舍[破屋烂舍]	
k	①家[老]⑤架[老]嫁[老]稼⑦夹挟	
kʰ	①掐[掐死]②蛤跨⑥揢⑦掐[掐断]	
x	①虾哈[哈腰]⑤□[裂开]⑥下[底下]夏[姓]	
ŋ	①鸦桠[桠杈]②伢[小孩子]牙芽⑤□[（量词）小片，小块]⑥轧[轧棉花]砑[砑平]⑦鸭压押	
Ø	①阿[阿姨]	
#o		
p	①波菠坡玻薄[薄荷]③跛⑤簸[簸一簸 ，簸箕]⑦钵拨绂博剥驳	
pʰ	①颇②婆③回⑤破擘⑥薄[厚薄]剖⑦泼	
m	①摸②磨[磨刀]魔摩模[模子，模範]摹[摹仿]膜③母拇⑥磨[磨面]暮慕墓募幕⑦末沫莫寞木 目穆牧	
t	①多③朵⑤剁⑥舵惰⑦夺移[老]	
tʰ	①拖②驼驮③妥椭⑤唾⑦脱托芘	
n	②锣③挪⑥糯⑦诺	
l	①啰②罗箩萝骡螺胭③裸⑥摞捋⑦洛落烙骆赂乐酪	
ts	①啄③左佐⑥坐座⑦撮作[作坊，工作]凿[确凿]桌卓琢浊捉镯淀	
tsʰ	①搓⑤锉错[错杂]措错[错误]⑥锉昨凿[凿子]戳	
s	①蓑梭唆③锁琐⑦塑索从	
tʂ	③着[副词，表优先]	
tʂʰ	⑥着[着急]⑦绰焯[把菜放在开水裹焯焯]	
ʂ	⑦硕	
k	①哥歌戈③果裹髁⑤个过⑦鸽割葛耵各搁胳郭角	
kʰ	①科窠棵颗窝③可⑤课⑦角[菱角]磕渴阔[阔气]廓扩壳确[老]摧刻[用刀刻]	
x	①和[一唱一和]②河荷[荷花]何荷[薄荷]和[和气]禾③火[新]⑤贺货⑥祸和[和面]合[合作]盒[烟盒]⑦喝[喝酒]喝[喝彩]霍藿郝[姓]鹤蠶[蜂蠶人]	
Ø	②蛾俄鹅讹③我⑥饿⑦鄂恶[善恶]	
#ɵ		
Ø	②儿而③尔耳饵⑥二贰⑦日若	
#ɛ		
p	①杯碑卑悲	
pʰ	⑤佩配[天仙配]⑦呸	
m	③每	
f	①非飞妃②肥③匪翡⑤废[新]肺痱费[新]	
n	⑥内	
k	①给⑤锯	
tsʰ	⑤脆新粹翠新⑥贼	
ʂ	①奢②蛇新③舍新⑤射新⑥舌折弄折了	
x	①嘿③□[使劲]⑥核审核	
Ø	⑦诶	
#æ		
p	③摆[新]⑤拜⑥稗败⑦北伯百柏帛陌	
pʰ	②排牌③摆[老]⑤派⑦拍迫魄	
m	②埋③买⑥卖迈⑦没墨默麦脉	
t	①呆[呆子]⑤戴带③歹⑥待贷怠殆代袋大[大夫]⑦得德	
tʰ	①胎苔②台[天台,台州]臺抬⑤态太⑦特	
n	①奶[奶奶]③哪[哪个]乃奶[新]⑤奶[老，牛奶]⑥耐奈	
l	①邋②来③□[叫]⑥赖癞⑦肋勒	
ts	①灾栽斋③载[年载]宰[新，屠宰]⑤再载[载重]载[满载]债⑥在寨⑦厕[厕所]则侧测窄择[择菜]摘责	
tsʰ	①猜钗差[出差]②才材财裁纔豺柴③彩采睬⑤菜蔡⑦厕[新,厕所]拆坼泽宅择[选择]册策	
s	①腮鳃筛衰⑤赛晒帅[新]⑦厕[茅厕]虱瑟塞色啬	
tʂ	⑦摺[摺叠]褶[褶子]哲蛰[蝎子蛰人]折浙	
tʂʰ	⑦撤彻	
ʂ	⑦摄涉设	
k	①该皆阶街③改解[讲解]解[晓也]⑤慨盖丐[乞丐]介界芥尬戒械⑦格阁革隔	
kʰ	①开揩②佢渠[他]③凯楷⑤概溉⑦咳克刻时刻客	
x	①□[拖拉]②孩谐鞋③海蟹⑥害亥解[姓]懈⑦骇[惊骇]还[还有]黑赫吓[恐吓]	
ŋ	①哀挨②呆[呆板]埃崖涯③蔼矮⑤爱⑥碍艾⑦额扼軛	
Ø	⑦哎	
#au		
p	①褒包胞③保堡饱⑤报暴豹爆雹⑥抱菢[菢小鸡]鲍	
pʰ	①泡[灯泡]抛②袍跑刨铇⑤炮[枪炮]泡[泡在水裏 ]	
m	①猫②毛茅锚矛③卯铆⑥冒帽貌	
t	①刀叨③祷岛倒[打倒，颠倒]⑤到倒[倒水]铸[老]⑥道稻盗导	
tʰ	①滔掏②桃逃淘陶萄涛③讨⑤套	
n	③脑恼挠铙⑥闹痨	
l	①捞[偷]②劳牢唠③老佬⑤□[走，打下□就回来]⑥捞涝	
ts	①糟遭③早枣蚤澡爪[爪牙，爪子]找[老，找钱]⑤躁灶罩⑥皂造[新]	
tsʰ	①操抄钞②曹槽巢③草騲吵炒嫂[媳嫂]⑤糙耖⑥造[老，建造]	
s	①骚臊梢捎稍③扫[扫地]嫂⑤扫[扫帚]潲	
tʂ	①朝[今朝]昭招沼召③找[找人]⑤照诏⑥櫂[桨]赵兆	
tʂʰ	①超②朝[朝代]潮	
ʂ	①烧②韶勺③少[多少]⑤少[少年]⑥绍邵	
ʐ	②饶③扰绕[围绕]⑤绕[绕线]	
k	①高膏篙羔糕教[老，教书]跤③稿搅[新，搅拌]⑤告窖觉[睡觉]⑥□[绊， □倒]	
kʰ	①敲③考烤⑤靠犒	
