#ɿ																																
ts	①撕資姿咨茲滋③紫姊子仔滓梓孜[孜然]⑤自字柿[柿子]滓漬																															
tsʰ	①□[冒□：走過了]②雌瓷慈磁辭詞祠飼③此⑤伺刺賜次刺																															
s	①斯私司絲思□[嫌□：方言指詈語]廁[茅廁]師③死使史駛⑤四泗肆祀仕士事侍寺似柿[西紅柿]																															
#ʅ																																
tʂ	①知支枝肢梔之芝只隻指[手指]汁執侄質織職值[值班]②直值[價值]殖植③紙脂旨指[指導]止趾址⑤翅智制製至致志痣誌置治滯稚值[值錢]																															
tʂʰ	①癡嗤尺吃赤[赤膊]②池馳遲赤[打赤腳]③侈恥齒始[開始]□[滑：□跌倒了]⑤秩斥																															
ʂ	①施屍詩濕失室識釋適實[實在]②時十石實[實住了：堵住了]食[食物]③匙屎始[固始]⑤舐氏世勢食[食堂]誓市逝試式是示視嗜實[實驗]飾釋																															
ʐ	①日[新]																															
#ʯ																																
ɳ	③女																															
tʂ	①豬諸居車[車馬炮]誅株蛛朱硃珠拘駒橘菊局殊[文殊]③舉煮主矩⑤鋸[文]據著注劇巨句拒距註駐句具俱懼																															
tʂʰ	①出舒區軀趨屈②廚[廚師]除渠[渠道]③處杵拄⑤去[去年]																															
ʂ	①書虛輸[輸入]殊[特殊]②術③畜[畜牧]暑鼠許薯栩⑤豎樹庶																															
Ø	①輸[輸贏]淤虞②魚漁娛如與於余餘儒于逾驢③語乳雨宇羽豫喻⑤愉裕譽鬱玉入域預遇寓禦□[鈍]為[特為的：特意的]																															
#i																																
p	①逼屄畢必碧②鼻③彼比⑤閉輩[一輩子]背[背時]陛蔽弊被[單被]斃避篦備[老]																															
pʰ	①批胚坯披霹劈□[裂开]②啤陪[老]培[老]裴賠[老]琵枇脾疲皮□[薯片放久軟了]③丕痞⑤配[配對子]屁庇僻																															
m	①眯蜜密□[抿一小口]②迷梅[姓梅]枚[老]媒[老]煤[老]彌眉[老]霉[老]③米美[老]□[□貓，或寫作女貓]⑤謎昧[老]寐[老]覓䀛																															
t	①低堆[老]笛的嫡滴敵狄堤②糴③底抵[新]⑤地帝遞對[對子：對聯]第弟隊[老]碓[碓窩]																															
tʰ	①踢推[老]梯②題提蹄啼涕③體腿[老]⑤退[老]褪[文，褪色]蛻剔剃屜嚏[文]																															
l	①□[蹭]栗曆歷立力率律粒厲[又]②雷[老]籬黎離梨③旅縷[文]屢禮李裡里裏理鯉你[地普]⑤慮濾例麗厲[又]累[老]淚[老]利荔隸																															
ȵ	①匿逆②泥尼疑③蟻擬議[老]⑤膩藝[老]																															
tɕ	①雞幾[幾乎]饑機譏基疾吉奇[奇數]集[又]鯽擊②集[又]③擠己幾[幾個]咀給[把給]⑤寄聚技積罪[得罪]集[吃集子]繼妓記季既濟祭紀劑繫[繫鞋帶]																															
tɕʰ	①蛆妻栖棲欺期淇七膝漆②奇[奇怪]齊臍麒琪歧岐騎其棋祈旗蘄③取娶啟起豈企⑤趣契器棄氣汽砌去[來去]																															
ɕ	①西息嘻嬉戚須鬚犀溪浠希犧荽稀昔夕兮析熄襲悉蟋戌媳需吸②襲徐髓[老]習携③喜洗璽徙⑤絮細繫[聯繫]序緒緒碎[老]婿																															
