IPA	**调类**	**调值**	**字**
ɕi	1	33	西溪希
ɕi	2	13	徐
ɕi	3	42	洗喜
ɕi	5	35	戏西
ɕi	6	21	系
ɕi	7	45	习吸息惜席锡
ɕia	6	21	下夏
ɕien	1	33	鲜先
ɕien	2	13	嫌咸[文]
ɕien	3	42	险显选
ɕien	5	35	线
ɕien	6	21	限现县
ɕiaŋ	2	13	降
ɕiaŋ	3	42	想响
ɕiaŋ	5	35	向
ɕiaŋ	6	21	项
ɕiau	1	33	箫
ɕiau	3	42	小
ɕiau	5	35	孝笑
ɕiau	6	21	校
ɕie	2	13	斜
ɕie	3	42	写
ɕie	6	21	谢
ɕie	7	45	协歇雪血
ɕiəu	1	33	修休
ɕiəu	6	21	袖
ɕin	1	33	心新星
ɕin	2	13	行形
ɕin	5	35	兴姓
ɕio	7	45	削学
ɕy	1	33	书输
ɕy	3	42	鼠许
ɕy	6	21	竖树
ɕye	1	33	靴
ɕyei	3	42	水
ɕyei	5	35	税
ɕyn	1	33	熏
ɕyn	6	21	顺
ɕyəŋ	1	33	兄凶
ɕyəŋ	2	13	熊雄
fa	1	33	花
fa	2	13	华
fa	5	35	化
fa	6	21	画话划
fa	7	45	法滑[又]发罚
fai	2	13	怀
fai	6	21	坏
fan	1	33	欢翻饭
fan	3	42	反
fan	6	21	犯换
faŋ	1	33	慌方
faŋ	2	13	黄房防
faŋ	3	42	纺谎
faŋ	5	35	放
fei	1	33	灰飞
fei	2	13	回肥
fei	5	35	肺费
fei	6	21	会惠
fən	1	33	婚分
fən	2	13	魂坟
fən	3	42	粉
fən	5	35	粪
fu	2	13	壶浮[文]
fu	3	42	虎府
fu	5	35	付富副
fu	6	21	户父妇
fu	7	45	佛缚福服
ka	7	45	夹[白]剪[白]
kai	1	33	该街
kai	3	42	改解
kai	5	35	盖戒
kan	1	33	甘监肝间[白]
kan	3	42	感敢减[白]
kaŋ	1	33	钢
kau	1	33	高
ke	7	45	格隔
kei	7	45	割
kən	1	33	根更耕
kən	3	42	梗
kəu	1	33	钩
kəu	3	42	狗
kəu	5	35	够
kʰai	1	33	开
kʰan	5	35	看
kʰaŋ	1	33	糠
kʰau	1	33	敲[白]
kʰau	5	35	靠
kʰe	5	35	去[白]
kʰe	7	45	刻客
kʰən	1	33	坑
kʰən	3	42	肯
kʰəu	3	42	口
kʰo	3	42	可渴
kʰo	5	35	课
kʰo	7	45	阔壳
kʰu	3	42	苦
kʰu	5	35	裤
kʰu	7	45	哭
kʰuai	3	42	块
kʰuai	5	35	快
kʰuan	1	33	宽
kʰuaŋ	1	33	筐
kʰuaŋ	2	13	狂
kʰuei	1	33	亏
kʰuei	3	42	跪
kʰuən	5	35	困
kʰuŋ	3	42	孔
kʰuŋ	6	21	共
ko	1	33	歌哥锅
ko	3	42	果
ko	5	35	个过
ko	7	45	鸽各郭角国
ku	1	33	箍
ku	3	42	古
ku	7	45	骨谷
kua	1	33	瓜
kua	5	35	挂
kua	7	45	刮
kuai	3	42	拐
kuai	5	35	怪
kuan	1	33	官关
kuan	5	35	惯
kuaŋ	1	33	光
kuei	1	33	规龟
kuei	3	42	鬼
kuei	5	35	桂贵
kuei	6	21	柜
kuən	3	42	滚
kuŋ	1	33	宫恭
kuŋ	6	21	公
la	1	33	拉
la	7	45	蜡辣
lai	2	13	来
lan	2	13	南蓝难兰
lan	3	42	懒
lan	6	21	烂
laŋ	6	21	浪
lau	3	42	脑老
lau	6	21	闹
lei	2	13	雷
lei	6	21	类泪
lən	2	13	轮能
lən	3	42	冷
lən	6	21	嫩
ləu	2	13	奴楼
ləu	6	21	路
ləu	7	45	鹿六绿
li	2	13	犁梨
li	3	42	李
li	7	45	立栗律力历
lien	2	13	连
liaŋ	3	42	两
liaŋ	6	21	亮
liau	6	21	料
lie	7	45	列
liəu	2	13	流
lin	2	13	林邻零凌
lin	3	42	领
lo	2	13	锣螺脶
lo	7	45	落
lan	3	42	暖
lan	6	21	乱
luŋ	2	13	聋脓浓龙
luŋ	6	21	弄
ly	3	42	吕
ma	3	42	马
ma	6	21	骂
mai	2	13	埋
mai	3	42	买卖
man	3	42	满
man	6	21	慢
maŋ	2	13	忙
mau	1	33	猫
mau	2	13	毛
mau	6	21	帽
me	7	45	墨麦
mei	2	13	煤眉
mei	6	21	妹
mən	2	13	门
mən	3	42	猛
mi	3	42	米
mi	7	45	密
mien	2	13	棉
mien	6	21	面面
miau	6	21	庙
