汉字	注释	关峡	羊石	兰蓉	五团	麻林	牛头
多		təu⁴⁴	to¹³	to⁵⁵	to⁵⁵	tɤu³⁵	to⁵⁵
拖		tʰəu⁴⁴	tʰo¹³	tʰo⁵⁵	tʰo⁵⁵	tʰɤu³	tʰo⁵⁵
驼		təu²²	tʰo²¹	do²⁴	do¹¹²	do¹³	do¹¹
大		ta⁴⁴	ta³	ta¹¹	tɑ⁴²	ta¹¹	ta⁵²
锣		ləu²²	lo²¹	lo²⁴	lo¹¹²	lɤu¹³	lo¹¹
箩		ləu²²	lo²¹	lo²⁴	lo¹¹²	lɤu³	lo¹¹
左		tsəu³³	tso⁴⁵	tso³³	tso²²	tsɤu²²	tɬo²²
搓		tsʰəu⁴⁴	tsʰo⁴⁴	tsʰo³³	/	tsʰɤu³⁵	tʰo⁵⁵
歌		kəu⁴⁴	ko¹³	ko⁵⁵	ko⁵⁵	kɤu³⁵	ko⁵⁵
哥		ka⁴⁴	ko¹³	ko⁵⁵	ko⁵⁵	pa²²训读	ko⁵⁵
个	个人	kəu³³	ko³³	ko⁴⁴	ko³³	kɤu³³	ko³³
可		kʰo³³	kʰo³³	kʰo³³	kʰo³¹	ho²²	kʰo²²
蛾		ŋəu²²	o²¹	ŋo²⁴	ŋo¹¹²	ŋo¹³	ŋo¹¹
鹅		ŋəu²²	o²¹	ŋo²⁴	ŋo¹¹²	ŋo¹³	ŋo¹¹
饿		ŋəu⁴⁴	ŋo³³	ŋo¹¹	ŋo⁴²	ŋo¹¹	ŋo⁵²
河		xo²¹³	xo²¹	ho²⁴	ɦo¹¹²	hɤu¹³	ɦo¹¹
贺		xo³³	xo³³	ho⁵⁵	ho⁵⁵	ho¹³	ho³⁵
茄		tɕio²²	tɕʰia²¹	dʑia²⁴	dʑiɑ¹¹²	dʑia¹³	dʑio¹¹
波		po⁴⁴	po⁴⁴	po⁴⁴	po³³	po³³	po³³
簸		/	/	po⁴⁴	po³³	pɤu³³	po³³
坡		pʰo⁴⁴	pʰo¹³	pʰo⁵⁵	pʰo³³	pʰɤu³⁵	pʰo⁵⁵
破		pʰo³³	pʰo³³	pʰo⁴⁴	pʰo³³	pʰɤu³³	pʰo³³
婆		pəu²²	po²¹	bo²⁴	bo¹¹²	bɤu¹³	bo¹¹
磨	动	məu²²	mo²¹	mo²⁴	mo¹¹²	mo¹³	mo¹¹
磨	名	məu³³	mo³³	mo¹¹	mo⁴²	mo¹¹	mo⁵²
朵		to³³	to⁴⁵	to³³	to²²	tɤu²²	to²²
剁		to³³	to³³	to³³	nai¹¹²训读	ŋai²²训读	/
糯		nəu⁴⁴	no²¹	no¹¹	no⁴²	lo¹¹	no⁵²
螺		ləu²²	lo²¹	lo²⁴	lo¹¹²	lo²²	lo¹¹
