ɿ
ɿ
阴平33	阳平31	阴上24	阳上13	阴去21	阳去22	入声55
ʦ	鸡稽支枝肢栀致稚脂至字特寺置辎之芝□(ʦa21~kʰiaŋ22:蟋蟀)□(~pa33ioŋ21:知了)□(po31ko13:蛤蟆)	池驰奇骑岐瓷餐祁鳍兹滋慈磁辞词祠持痔棋期旗□(nau31pa33~:螃蟹)	纸只姊旨指子梓伺似祀巳嗣饲止趾址几徛(站)竖□(~piou21:鞭炮)	滞治杞	计继智志痣今-(~日)	妓资姿咨自滓忌蛰掷	□(伤口化脓)
ʦʰ	雌嗤欺		眵侈舐耻齿		赐次
s	师狮斯斯撕施私尸司丝思驶诗侍实失	匙时□(~ky21:翅膀)	翅矢屎始起□(~pɤ33:认识)	示士柿俟市恃	世戏视试	是氏事十什拾食蚀	豉使史湿

i
i
阴平33	阳平31	阴上24	阳上13	阴去21	阳去22	入声55
p	班斑辨辩奔锛份崩冰浜枫风- (吹~)分- (~家)	便贫朋彭膨篷蓬	颁扳板版本盆		洞(山~)	给
pʰ			品弼捧
m	慢问璺孟	眠民门			蚊闻(你~一下)嗅	漫幔蔓闷
f	昏婚疯分=(~配)封- (~起来)	矾魂馄浑焚坟獖	反喷粉仿纺访	幻混粪奋愤忿□(~po55mo13:蚯蚓)	睏(睡)饭	泛范乏贩
t	邓瞪冻栋洞戙	搀弹撮腾誊藤疼铜桐筒	囤沌盾动
tʰ			桶捅
l	滥论荡盪登灯东弄冬都(~是)	林淋临怜邻鳞磷吝楞陵凌菱聋虫□(xaŋ31kaŋ333~:蜈蚣)	等		凳镫
k	艰间奸跟根耕羹耕蚣工攻□(~~:爷~爷)公-(~~,鸡)功(~夫)		减简裥柬拣粳哽埂梗耿		更冷-(天好~)
x	爱陷馅痕空-(~手)	咸檩还虹恒弘行衡宏红洪鸿冯□ (~lau33:走路)	渴苋肯	恨	吠喊		赫吓
ʦ	栈津撙遵曾增憎蹭争筝睁棕鬃粽	祈缠蝉禅秦存澄曾层锃橙冗沉-(~下去)	踪纵重	尽疾	溅荐进晋赠
