jian ti	trad	detail	调类	
知	知		tʂʯ1	
蜘	蜘		tʂʯ1	
蜘	䵹		tʂʯ1	
蜘	鼅		tʂʯ1	
支	支		tsɿ1	
支	支	（俗）一～筆	tsʰɿ1	
枝	枝		tsɿ1	
枝	枝	（俗）樹丫～	tsʰɿ1	
肢	肢		tsɿ1	
栀	梔		tsɿ1	
资	資		tsɿ1	
姿	姿		tsɿ1	
咨	諮		tsɿ1	
咨	咨		tsɿ1	
脂	脂		tsɿ1	
滋	滋		tsɿ1	
辎	輜		tsɿ1	
之	之		tsɿ1	
芝	芝	～麻	tʂʯ1	
紫	紫		tsɿ1	
纸	紙		tsɿ1	
只	只	《詩經》母也天～	tsɿ1	
只	祇	《詩經》～攪我心	tsɿ1	
只	衹		tsɿ1	
只	衹	（口）～有，～好	tsəʔ7	
姊	姊	阿～，～妹	tsi1	
姐	姐	阿～，～妹	tsi1	
指	指	（口）～撥我看	tʂʯ1	
指	指	拇～	tsɿ1	
子	子		tsɿ1	
仔	仔	～細，牛～褲	tsɿ1	
制	制	～度	tʂʯ5	
制	製	～造	tʂʯ5	
止	止		tsɿ1	
芷	芷		tsɿ1	
沚	沚		tsɿ1	
趾	趾		tsɿ1	
址	址		tsɿ1	
翅	翅		tsʰɿ5	
致	致	導～	tʂʯ5	
致	緻	標～，精～	tʂʯ5	
质	質	人～	tsɿ5	
至	至		tsɿ5	
志	志	～願	tsɿ5	
志	誌	標～，雜～	tsɿ5	
痣	痣		tsɿ5	
智	智		tʂʯ5	
识	識	標～	tsɿ5	
炽	熾	《廣韻》昌志切	tsʰɿ5	
炽	熾	《中州音韻》張世切	tʂʯ5	
置	置		tʂʯ5	
置	寘	俗置字	tʂʯ5	
徵	徵	宮商角～羽	tʂʯ1	
魑	魑	～魅魍魎	tʂʰʯ1	
螭	螭		tʂʰʯ1	
离	离	同魑	tʂʰʯ1	
摛	摛		tʂʰʯ1	
笞	笞		tʂʰʯ1	
雌	雌		tsʰɿ1	
疵	疵	瑕～	tsʰɿ1	
瑕	瑕	～疵	ɦiɑ2	
眵	眵	眼～	tsʰɿ1	
牸	牸	～牛	tsʰɿ1	
郗	郗		tʂʰʯ1	
痴	痴		tʂʰʯ1	
痴	癡		tʂʰʯ1	
蚩	蚩		tʂʰʯ1	
嗤	嗤		tʂʰʯ1	
褫	褫		tʂʰʯ1	
粢	粢	～飯	tsʰɿ1	
侈	侈	奢～品	tsʰɿ1	
此	此		tsʰɿ1	
齿	齒		tsʰɿ1	
耻	恥		tsʰɿ1	
啻	啻		tsʰɿ5	
刺	刺		tsʰɿ5	
次	次		tsʰɿ5	
厕	廁		tsʰɿ5	
篪	篪		dʐʯ2	
䶵	䶵	同篪	dʐʯ2	
箎	箎	同篪	dʐʯ2	
箎	箎	竹名，高百丈	hu1	
竾	竾	同篪	dʐʯ2	
筂	筂	同篪	dʐʯ2	
弛	弛		dʐʯ2	
池	池		dʐʯ2	
驰	馳		dʐʯ2	
匙	匙		zɿ2	
迟	遲		dʐʯ2	
持	持		dʐʯ2	
滞	滯		dʐʯ6	
稚	稚		dʐʯ6	
雉	雉		dʐʯ6	
痔	痔		dʐʯ6	
治	治		dʐʯ6	
乿	乿	治古作乿	dʐʯ6	
斯	斯		sɿ1	
厮	廝		sɿ1	
撕	撕		sɿ1	
施	施		sɿ1	
私	私		sɿ1	
厶	厶	古同私	sɿ1	
师	師		sɿ1	
狮	獅		sɿ1	
蛳	螄	螺～	sɿ1	
尸	屍	～體	sɿ1	
尸	尸	～位素餐	sɿ1	
矢	矢		sɿ1	
司	司		sɿ1	
思	思		sɿ1	
丝	絲		sɿ1	
诗	詩		sɿ1	
死	死	（白）～脫	si1	
死	死	（文）	sɿ1	
屎	屎		sɿ1	
使	使		sɿ1	
史	史		sɿ1	
驶	駛		sɿ1	
世	世		ʂʯ5	
势	勢		ʂʯ5	
赐	賜		sɿ5	
四	四		sɿ5	
泗	泗		sɿ5	
肆	肆		sɿ5	
试	試	考～	sɿ5	
试	試	（口）～一～	ʂʯ5	
瓷	瓷		zɿ2	
糍	糍		zɿ2	
餈	餈		zɿ2	
兹	兹		tsɿ1	
兹	茲		tsɿ1	
慈	慈		zɿ2	
磁	磁		zɿ2	
词	詞		zɿ2	
辞	辭		zɿ2	
祠	祠		zɿ2	
豉	豉		zɿ6	
时	時		zɿ2	
鲥	鰣	～魚	zɿ2	
莳	蒔		zɿ2	
誓	誓		ʐʯ6	
逝	逝		ʐʯ6	
是	是		zɿ6	
氏	氏		zɿ6	
自	自		zɿ6	
示	示		zɿ6	
视	視		zɿ6	
字	字		zɿ6	
伺	伺		zɿ6	
似	似		zɿ6	
寺	寺		zɿ6	
嗣	嗣		zɿ6	
饲	飼		zɿ6	
巳	巳		zɿ6	
祀	祀		zɿ6	
士	士		zɿ6	
仕	仕		zɿ6	
柿	柿		zɿ6	
俟	俟		zɿ6	
事	事		zɿ6	
市	市		zɿ6	
侍	侍		zɿ6	
墅	墅	別～	zɿ6	
屄	屄		pi1	
鄙	鄙		pi1	
彼	彼		pi1	
比	比		pi1	
蔽	蔽		pi5	
闭	閉		pi5	
泌	泌		pi5	
秘	秘		pi5	
秘	祕		pi5	
庇	庇		pi5	
滗	潷	～米湯	pi5	
批	批		pʰi1	
披	披		pʰi1	
纰	紕		pʰi1	
痞	痞		pʰi1	
屁	屁		pʰi5	
脾	脾		bi2	
疲	疲		bi2	
皮	皮		bi2	
罴	羆		bi2	
毗	毗	～陵	bi2	
毗	毘	～陵	bi2	
貔	貔	～貅	bi2	
琵	琵		bi2	
肥	肥	（白）～皂	bi2	
敝	敝		bi6	
弊	弊		bi6	
币	幣		bi6	
毙	斃		bi6	
陛	陛		bi6	
鐾	鐾	～刀	bi6	
被	被		bi6	
婢	婢		bi6	
避	避		bi6	
痹	痺		bi6	
痹	痹		bi6	
备	備		bei6	
备	俻	同備	bei6	
眯	瞇		mi1	
眯	眯		mi1	
醚	醚		mi2	
迷	迷		mi2	
谜	謎		mi2	
糜	糜		mi2	
弥	彌		mi2	
弥	彌	俗彌字	mi2	
弥	瀰	～漫	mi2	
弥	㳽	俗瀰字	mi2	
靡	靡		mi2	
眉	眉	～毛	mi2	
米	米		mi1	
味	味	（白）～道	mi6	
非	非		fi1	
飞	飛		fi1	
妃	妃		fi1	
匪	匪		fi1	
费	費		fi5	
费	費	姓	vi6	
翡	翡		fi5	
废	廢		fi5	
肺	肺		fi5	
吠	吠		fi5	
维	維		vi2	
惟	惟		vi2	
唯	唯		vi2	
肥	肥	（文）	vi2	
微	微		vi2	
薇	薇	（白）薔～花	bi2	
薇	薇	（文）	vi2	
未	未		vi6	
味	味	（文）～精	vi6	
低	低		ti1	
底	底		ti1	
邸	邸		ti1	
抵	抵	～抗	ti1	
抵	牴	～觸	ti1	
抵	觝	～觸	ti1	
砥	砥	中流～柱	ti1	
帝	帝		ti5	
蒂	蒂		ti5	
梯	梯		tʰi1	
涕	涕	鼻～	tʰi1	
屉	屉		tʰi5	
屉	屜		tʰi5	
笹	笹	同屜	tʰi5	
体	體		tʰi1	
体	体	俗體字	tʰi1	
躰	躰	俗體字	tʰi1	
軆	軆	俗體字	tʰi1	
骵	骵	俗體字	tʰi1	
剃	剃	～頭	tʰi5	
剃	薙	～頭	tʰi5	
鬄	鬄		tʰi5	
剃	鬀	～頭	tʰi5	
替	替		tʰi5	
堤	堤		di2	
题	題		di2	
提	提		di2	
醍	醍	～醐	di2	
鹈	鵜	～鶘	di2	
蹄	蹄		di2	
蹄	蹏		di2	
啼	啼		di2	
啼	嗁		di2	
娣	娣		di6	
睇	睇		di6	
弟	弟		di6	
第	第		di6	
递	遞		di6	
隶	隸		di6	
隶	隷		di6	
棣	棣		di6	
地	地		di6	
驴	驢		li2	
犁	犁		li2	
犁	犂		li2	
黎	黎		li2	
黎	㴝		li2	
离	離		li2	
漓	漓	淋～	li2	
漓	灕	～江（廣西水名）	li2	
篱	籬		li2	
璃	璃		li2	
璃	瓈		li2	
梨	梨		li2	
梨	棃		li2	
厘	厘		li2	
厘	釐		li2	
狸	狸		li2	
狸	貍		li2	
蠡	蠡		li1	
吕	呂		li1	
吕	吕		li1	
旅	旅		li1	
缕	縷		li1	
屡	屢		li1	
礼	禮		li1	
李	李		li1	
里	里	公～	li1	
里	裏	～面	li1	
里	裡	俗裏字	li1	
哩	哩		li1	
理	理		li1	
俚	俚		li1	
娌	娌	妯～	li1	
鲤	鯉		li1	
滤	濾		li6	
虑	慮		li6	
例	例		li6	
厉	厲		li6	
励	勵		li6	
丽	麗		li6	
莅	莅		li6	
莅	蒞		li6	
