#ɿ
ts[1]资姿咨兹滋梓[3]紫姊子滓[5]刺自字
tsʰ[2]滞雌赐瓷糍慈磁伺辞祠词[3]此[5]次
s[1]私师狮蛳思丝司斯厮撕[3]死[5]四肆祀嗣

#ʅ
tʂ[1]知蜘支枝肢栀脂之芝只{一~}[2]掷[3]纸只{~有}指旨止址趾[5]制智翅致稚巳至峙痔治志痣[7]置执汁侄质直值织职植殖
tʂʰ[1]痴[2]池驰迟持[3]齿耻斥[5]秩[7]尺赤吃
ʂ[1]施尸诗[2]时[3]屎史使驶始[5]世势誓逝匙是氏豉示视嗜似寺饲士仕柿事试市恃侍式饰释[7]湿十什拾实失室食识适石
ʐ[7]日

#i
p[1]被{~迫}憋瘪蹩逼[3]彼比[5]蔽弊币闭俾毙被{棉~}鄙痹庇备篦弼
pʰ[2]皮疲脾琵枇匹[5]屁
m[2]迷谜弥泌眉篾蔑[3]米[7]蜜
t[1]低爹[3]底抵[5]帝蒂弟第递隶地狄
tʰ[1]梯剔[2]堤替涕屉题提蹄啼[3]体[5]剃
tɕ[1]鸡稽奇{~数}饥肌几{茶~}基箕姬机讥饥几{~乎}[3]挤己纪几{~个}虮[5]借藉届戒械祭际济脐荠剂计继寄技妓冀记杞忌既季脊籍寂[7]吉迹
tɕʰ[1]妻凄悽溪欺期[2]茄齐畦奇{~怪}骑棋旗其岐弃祁祈[3]且启起岂[5]砌契企器气汽泣
ȵ[2]泥犁黎离篱荔尼呢梨厘狸[3]礼你李里理鲤拟捋栗[5]例厉励丽莉璃离腻利痢吏觅
ɕ[1]些西栖犀兮携牺嬉熙嘻蟢希稀蟋[2]邪斜[3]写泻洗玺禧喜[5]卸谢细婿系徙戏泄[7]懈蝎
∅[1]耶伊医矣衣依[2]爷移姨夷肄怡遗邑延[3]也野椅以已[5]夜艺宜仪蚁谊义议倚易疑意贻异毅抑忆亿翼液腋译[7]叶页亦

#u
p[3]补捕[5]布怖部簿步讣卜
pʰ[1]铺{~开}[2]浦蒲菩葡[3]谱普[5]铺{当~}
m[2]模{~型}模{~范}摹[3]牡母拇[5]募
f[1]呼乎夫肤敷俘孵麸[2]胡湖糊狐壶葫蝴沪浮符扶芙[3]虎浒府斧抚釜腐辅腑俯甫否[5]户互沪护付赋咐父附富副负妇幅蝠[7]复弗袱
t[3]朵躲堵赌肚[5]舵剁惰堕妒杜肚度渡镀踱犊
tʰ[2]驼唾途屠徒涂图[3]妥土吐[5]兔
n[2]罗锣箩萝骡螺脶奴卢炉芦虏庐驴[3]挪裸努鲁橹卤[5]怒路露鹭[7]烙酪
ts[1]租猪诸诛蛛朱珠[3]左佐祖组阻煮主[5]坐座做著褚助驻柱住[7]卒
tsʰ[1]搓粗初[2]除储锄[3]楚础处{~所}处{~理}杵拄[5]锉醋措错{对~}错{~杂}
s[1]蓑梭唆苏酥梳舒[3]锁琐署[5]素诉塑嗉漱粟
tʂ[1]株[5]注蛀铸[7]筑冢
tʂʰ[2]厨橱
ʂ[1]梳疏疏蔬书枢输输殊[3]所鼠暑墅薯数{动词}[5]庶恕数{名词}竖树述术朔赎[7]硕
ʐ[2]如汝儒若褥[3]乳辱
k[1]辜[3]古估牯股鼓[5]故固雇顾
kʰ[1]箍枯[3]苦[5]库裤
∅[1]乌坞污巫诬[2]吴蜈吾梧无鹉[3]五伍午武舞侮[5]悟戊误务雾

#y
tɕ[1]居车{~马炮}拘驹[3]举矩[5]据锯拒距苣俱聚句具惧厥剧剧[7]橘
tɕʰ[1]蛆趋区驱躯[2]瘸渠橛[3]取娶[5]去趣
ȵ[3]女吕旅履[5]虑滤
ɕ[1]靴墟虚嘘须须需虽[2]徐[3]许[5]絮序叙绪遂
∅[1]淤迂[2]鱼渔于余愚娱[3]语与雨宇禹羽[5]御御予誉预豫遇寓芋榆俞逾喻愈裕郁玉

#ər
∅[2]儿而[3]尔耳饵[5]二贰

#a
p[1]巴芭疤吧笆爬琶杷[2]爸[3]把{~握}[5]坝把{扫~}坝罢[7]八
pʰ[2]钯耙拔[5]怕帕
m[1]妈[2]麻痳[3]马码[5]骂[7]抹
f[7]法乏发伐筏罚
t[3]打[5]大[7]搭答达
tʰ[1]他[7]踏搨塔榻遢溻塌
n[1]拉垃[2]拿[3]哪{~吒}哪{~里}[5]那[7]纳腊蜡捺辣
ts[1]楂渣[2]轧[5]诈榨炸炸[7]杂眨闸扎{~紧}铡
tsʰ[1]叉杈差{~别}差{~钱}[2]茶查{调~}搽察[5]岔茬[7]插擦
s[1]沙杉[3]洒傻撒[7]萨杀
ʂ[1]纱砂
x[1]𨉣{点头~腰}
∅[1]阿{~胶}

#ia
tɕ[1]家加嘉稼佳[3]假{真~}贾假{放~}[5]家{~具}架驾嫁价[7]夹裌甲胛挟荚
tɕʰ[7]掐恰洽
ɕ[1]虾[2]霞遐暇瑕狭峡侠辖匣[5]吓下厦{~门}夏吓[7]瞎
∅[1]鸦丫桠[2]牙芽衙伢蚜涯[3]雅哑[5]亚涯压[7]鸭押

#ua
ts[1]抓[3]爪
ʂ[3]厦高楼大厦耍[7]刷
k[1]瓜[3]寡剐[5]挂卦褂[7]刮
kʰ[1]夸[3]垮[5]跨
