"来源："	"李小平 2004《山西离石方言音系》；安静先生 整理录入"
"s"	"［7］涩杀煞瑟虱索色啬"
"x"	"［7］瞎［8］匣"
"#iaʔ"	""
"n"	"［7］鸭押-压-"
"tɕ"	"［7］夹甲胛挟觉{感～}角隔-{～开}"
"tɕʰ"	"［7］客-恰掐洽怯确壳{枳～}"
"ɕ"	"［7］狭峡胁协辖"
"Ø"	"［7］鸭=押=［8］岳-{姓}乐{吹～儿：吹唢呐}"
"#uaʔ"	""
"ts"	"［7］卓桌捉"
"tsʰ"	"［7］戳镯促龊"
"s"	"［7］率{～领}刷蟀朔缩"
"k"	"［7］刮"
"x"	"［7］法发［8］乏划滑猾伐筏罚阀获"
"Ø"	"［7］握龌［8］袜"
"#əʔ"	""
"p"	"［7］钵拨钹不博卜"
"pʰ"	"［7］讣泼朴扑醭仆瀑［8］薄勃卜{萝～}𡋯{面～：擀面时候撒的少许面粉}"
"m"	"［8］末沫抹抹没莫寞摸木目穆"
"t"	"［7］得德的{我～}"
"l"	"［8］肋=勒="
"ts"	"［7］直=值=脊-{～背}着{～意}摺褶蛰执汁哲辙折折断浙秩质種织职植=殖={～民}稙只{量词}炙子{词缀}"
"tsʰ"	"［7］取娶-彻撤赤斥尺吃［8］直-{～洞子：烟洞}值-{～钱}侄着-{～火}"
"s"	"［7］摄涉湿什设失塞识式饰适释室拭{～布：洗碗后擦拭水渍的抹布}［8］实硕佘十舌折{～本}食蚀植-{木～}殖-{骨～}石"
"z"	"［8］热日若弱"
"k"	"［7］去-合-{十合一升}蛤鸽割葛各阁搁格革隔=［8］胳"
"kʰ"	"［7］客=咳磕瞌渴刻克［8］去-"
"ŋ"	"［7］恶{厌～}腭鄂恶{善～}额扼轭厄鳄遏鄂遏{～火}"
"x"	"［7］核{～心}喝郝黑赫［8］合{～作}盒鹤学-{～担：模仿}"
"#iəʔ"	""
"p"	"［7］陛别={分～}鳖憋笔毕必弼泊北逼百柏伯迫碧璧壁"
"pʰ"	"［7］撇滗匹拍魄辟僻劈霹［8］白-别-{～人}鼻"
"m"	"［8］蜜秘泌灭密墨默麦脉陌觅沫{唾～}"
"t"	"［7］跌谍跌的{目～}滴嫡笛=敌=狄籴涤"
"tʰ"	"［7］帖{～子}贴铁踢剔惕［8］叠碟蝶笛-敌-{不～：比不上}"
"n"	"［8］匿聂镊蹑孽捏逆溺"
"l"	"［7］猎粒劣栗略掠历［8］列烈裂立力"
"tɕ"	"［7］接捷=劫集=辑急级给={供～}及杰揭竭节疖结洁桔{～梗}疾=吉爵嚼脚即鲫极戟积迹脊=籍藉绩寂击激"
"tɕʰ"	"［7］砌妾缉泣切窃七漆讫乞雀鹊却戚［8］截集-捷-{～近路}疾{～雨}"
"ɕ"	"［7］吸薛泄歇蝎楔悉膝蟋息熄媳惜昔夕锡析［8］习学席袭"
"Ø"	"［7］疫=役=揖噎乙一逸易{交～}虐疟约=乐={音～}抑益亦译给-往-［8］叶页业曳药钥𨷲{～上门：门闭也}"
"#uəʔ"	""
"t"	"［7］独=毒=掇夺=读督"
"tʰ"	"［7］脱突秃［8］独-{～身：单身}毒-{～药}犊夺-{～过来}"
"l"	"［8］肋-{～支：肋骨}勒-律率{效～}鹿禄陆绿禄录六="
"ts"	"［7］酌做撮拙=琢啄涿浊族竹筑逐祝烛嘱触粥"
"tsʰ"	"［7］出［8］卒妯碡{碌～}"
"s"	"［7］术述速叔淑束［8］勺芍熟赎属"
"z"	"［8］肉=辱褥"
"k"	"［7］核-{枣～子}锢聒骨郭国谷"
"kʰ"	"［7］括阔窟廓扩哭酷"
"x"	"［7］回{又读}复豁忽佛{仿～}霍藿劐或惑福幅蝠腹辐覆复［8］活佛{～教}斛服伏"
"Ø"	"［7］屋沃［8］伍午-五物勿"
"#yəʔ"	""
"l"	"［8］捋{轻扫也}"
"tɕ"	"［7］拙-{笨}绝厥憠蕨决诀镢橘钁{~头：镢头}攫足局=桔{～子}"
"tɕʰ"	"［7］缺猝黢屈掘倔菊掬曲［8］掘橛{～子}局-焗-{闷热不透气}"
"ɕ"	"［7］雪说血戌恤削肃宿畜蓄旭［8］穴俗续"
"Ø"	"［7］裕阅曰域郁育狱［8］粤月越悦岳=欲浴"
