"来源："	"李小平 2004《山西离石方言音系》；安静先生 整理录入"
"tʰ"	"［1］拖汤［2］驼驮{～起}舵堂棠螳唐糖塘［3］倘躺［5］烫趟"
"n"	"［2］挪囊［3］攮1［2］罗锣箩萝郎廊狼螂榔［5］朗浪"
"l"	"［2］罗锣箩萝郎廊狼螂榔［5］朗浪"
"ts"	"［1］脏{不干净}张章樟障［3］左={～右}佐长{生～}涨掌［5］左{～手}葬藏脏{五～}匠-帐账胀涨{～大}丈仗杖瘴"
"tsʰ"	"［1］搓仓苍［2］藏隐藏长{～短}肠场常偿=［3］畅昌厂倡［5］唱"
"s"	"［1］桑丧{婚～}商伤［2］尚{和～}尝-裳偿-{赔～}［3］嗓赏萨-{菩～}［5］丧{～失}晌上尚{高～}"
"z"	"［2］瓤［3］壤嚷［5］让"
"k"	"［1］柯{勒～：连枷}歌哥冈岗刚纲钢{～铁}港［5］逛-个{～人}钢{～刀}杠{～子}"
"kʰ"	"［1］康糠慷［3］可{～以}扛［5］可{～好:正好}抗炕"
"ŋ"	"［1］屙［2］蛾鹅娥俄讹昂夯［5］饿"
"x"	"［1］呵［2］荷河何行{~伍}航杭［5］晃巷贺项-{脖~筋：脖子}"
"Ø"	"［1］阿婀"
"#iɔ"	""
"n"	"［2］仰{～起头：抬起头}娘"
"l"	"［2］良凉量{～米}粮梁粱［5］亮谅量{容～}"
"tɕ"	"［1］将{～来}浆蒋疆僵缰江豇［3］奖桨讲耩虹-{～：虹也}［5］酱将{～帅}降{下～}"
"tɕʰ"	"［1］枪腔［2］墙强{～：小孩顽皮}［3］抢强{勉～}"
"ɕ"	"［1］相{互～}箱厢湘镶香乡［2］详祥翔降{～伏}［3］想饷享响［5］巷=相{照～：相片}象像橡向项"
"Ø"	"［1］央秧殃洋疡［2］羊杨阳扬［3］仰=养痒［5］样漾"
"#æ"	""
"p"	"［1］般=搬=班斑颁扳［3］板版［5］半=绊=伴=拌=扮瓣办"
"pʰ"	"［1］潘=攀［2］盘=［5］判=盼襻叛"
"m"	"［2］瞒=蛮馒［3］满=［5］漫=幔=慢"
"t"	"［1］耽担丹单单独［3］胆［5］担{～子}淡旦诞但弹{子～}蛋"
"tʰ"	"［1］贪滩摊［2］潭谭谈痰坦{～克}檀坛弹［3］毯坦{平～}掸{～子}瘫［5］探{～见：够得着}炭叹"
"n"	"［2］男南难{～易}［5］难{患～}"
"l"	"［2］蓝篮兰拦栏［3］览揽榄缆懒［5］滥烂"
"ts"	"［1］沾=粘={～贴}毡=簪瞻=［3］展=斩盏攒［5］占={～领}战=颤暂錾站蘸占={～卜}赞绽栈"
"tsʰ"	"［1］参惨惭［2］缠=蚕谗馋搀餐残蝉=禅={～宗}［3］铲产［5］灿"
"s"	"［1］三山［2］珊删［3］陕=闪=衫散{松～}伞［5］赡疝扇=善=散{解～}鳝=单={姓}膳=禅{～让}"
"z"	"［2］然=燃=喃-{唠叨，嚼，含贬义}［3］染=冉=［5］𩅠{泥泞陷入}"
"k"	"［1］柑=泔=肝=竿=甘=尴［3］敢杆={～杆}秆=感橄［5］干={～部}"
"kʰ"	"［1］堪=勘=看={～守}刊{～物}［3］坎刊{～登}"
"ŋ"	"［1］安=鞍=［5］揞=暗=岸=按=案=庵="
"x"	"［1］憨=鼾=［2］衔-咸-寒=韩=含=函=殓还{～是}［3］撼憾喊罕槛-{门～：门槛}［5］陷-馅-汉=旱=汗=焊翰"
"#iæ"	""
"n"	"［2］颜岩-［3］眼［5］雁"
"tɕ"	"［1］监艰间{中～}奸［3］减碱简柬拣［5］舰鉴间{离～}谏涧锏"
"tɕʰ"	"［1］鹐铅［5］嵌"
"ɕ"	"［2］咸=衔=闲=［5］陷=馅=限"
"Ø"	"［2］岩=［5］雁="
"#uæ"	""
"t"	"［1］端=［3］短=［5］断=锻=段=缎="
"tʰ"	"［2］团="
"n"	"［3］暖="
"l"	"［2］鸾銮联-{妇～}［3］卵［5］乱=恋"
"ts"	"［1］钻={～研}专=［3］转={～变}［5］钻{～石}转=篆=传{～记}赚纂撰"
"tsʰ"	"［1］川=穿=［2］传{～达}椽=船=［3］喘=［5］窜=串=篡"
"s"	"［1］酸=闩拴［5］疝算=蒜=涮"
"z"	"［3］软=阮"
"k"	"［1］官=棺=观={参～}冠={衣～}关［3］管=馆=［5］贯=灌=罐=观={寺～}冠={～军}惯"
"kʰ"	"［1］宽=［3］款="
"x"	"［1］欢=藩翻番［2］凡帆桓还{～原}环烦繁矾［3］缓反={～复}返［5］唤=焕=换=泛范犯幻患宦贩饭"
"Ø"	"［1］豌=剜=弯湾［2］完=丸=玩顽［3］碗=腕=皖晚挽［5］万蔓"
"#iɛ"	""
"p"	"［1］绷-{弹射}白={～花钱}［3］摆［5］拜-{～年}稗-败-{～兴}迸-{～开}蹦-"
"pʰ"	"［2］排-牌-棚-{～～：小棚子}［3］派-{~头}"
"m"	"［2］埋虻-{～蝇：牛虻}［3］买猛-{~不防}［5］卖迈-"
"t"	"［1］爹［5］待-{等～}代-{年～}大-{～夫}爹{面称:又读}"
"tʰ"	"［5］太泰-{～化}"
"n"	"［2］崖捱{～打}奶-{～～:胸脯}［3］乃-奶-{～油}［5］奈-硬-{～柴}"
